,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2011-12-26,1,SAS,MEM,1,95,82,35,88,0.398,10,33,0.303,15,22,0.682,12,37,23,13,5,13,20,34,73,0.466,3,7,0.429,11,19,0.579,9,42,18,9,2,24,25,100.9,87.1,94.1,0.25,0.375,0.486,46.8,65.7,13.8,7.6,0.455,11.7,26.7,0.17,0.486,22.8,73.5,0.151,2012,13,1,15,-0.068,7,26,-0.126,4,3,0.10300000000000009,3,-5,5,4,3,-11,-5
1,2,2011-12-28,1,SAS,LAC,1,115,90,45,80,0.563,10,19,0.526,15,15,1.0,7,43,27,3,1,15,23,29,74,0.392,7,20,0.35,25,33,0.758,10,30,17,8,5,12,17,127.8,100.0,90.0,0.188,0.238,0.664,58.9,60.0,3.3,1.9,0.625,14.8,25.9,0.188,0.439,11.9,78.3,0.338,2012,25,16,6,0.17099999999999993,3,-1,0.17600000000000005,-10,-18,0.242,-3,13,10,-5,-4,3,6
2,3,2011-12-29,2,SAS,HOU,2,85,105,35,93,0.376,2,17,0.118,13,20,0.65,22,46,12,4,7,12,10,43,85,0.506,9,26,0.346,10,13,0.769,13,46,21,7,8,11,17,97.9,121.0,86.8,0.215,0.183,0.417,50.0,34.3,4.6,11.9,0.387,10.5,40.0,0.14,0.559,10.8,64.9,0.118,2012,-20,-8,8,-0.13,-7,-9,-0.22799999999999998,3,7,-0.119,9,0,-9,-3,-1,1,-7
3,4,2011-12-31,1,SAS,UTA,1,104,89,36,74,0.486,10,16,0.625,22,31,0.71,5,46,26,4,5,19,21,33,89,0.371,2,16,0.125,21,25,0.84,14,44,11,13,9,7,25,109.3,93.5,95.2,0.419,0.216,0.593,51.1,72.2,4.2,6.8,0.554,17.8,14.3,0.297,0.382,6.5,74.5,0.236,2012,15,3,-15,0.11499999999999999,8,0,0.5,1,6,-0.13,-9,2,15,-9,-4,12,-4
4,5,2012-01-02,2,SAS,MIN,2,96,106,36,82,0.439,7,20,0.35,17,21,0.81,9,30,26,9,3,9,15,41,71,0.577,12,21,0.571,12,15,0.8,7,38,18,4,7,19,18,108.9,120.2,88.2,0.256,0.244,0.526,44.1,72.2,10.2,6.0,0.482,9.0,22.5,0.207,0.662,19.7,75.0,0.169,2012,-10,-5,11,-0.13799999999999996,-5,-1,-0.22099999999999997,5,6,0.010000000000000009,2,-8,8,5,-4,-10,-3
5,6,2012-01-04,1,SAS,GSW,1,101,95,37,78,0.474,10,17,0.588,17,24,0.708,9,45,23,4,7,13,14,37,80,0.463,9,20,0.45,12,19,0.632,5,37,18,9,6,10,20,110.4,103.8,91.5,0.308,0.218,0.57,54.9,62.2,4.4,11.7,0.538,12.8,22.0,0.218,0.519,10.2,87.8,0.15,2012,6,0,-2,0.010999999999999954,1,-3,0.13799999999999996,5,5,0.07599999999999996,4,8,5,-5,1,3,-6
6,7,2012-01-05,1,SAS,DAL,1,93,71,34,86,0.395,16,33,0.485,9,16,0.563,9,42,22,9,1,8,17,27,77,0.351,1,19,0.053,16,21,0.762,11,52,11,5,8,15,13,104.8,80.0,88.7,0.186,0.384,0.5,44.7,64.7,10.1,1.7,0.488,7.9,18.0,0.105,0.357,14.8,75.0,0.208,2012,22,7,9,0.04400000000000004,15,14,0.432,-7,-5,-0.19900000000000007,-2,-10,11,4,-7,-7,4
7,8,2012-01-07,1,SAS,DEN,1,121,117,49,89,0.551,9,20,0.45,14,18,0.778,15,38,27,6,5,15,19,46,81,0.568,8,16,0.5,17,26,0.654,10,33,25,9,4,14,17,128.5,124.2,94.2,0.202,0.225,0.624,53.5,55.1,6.4,7.7,0.601,13.4,39.5,0.157,0.617,13.2,69.7,0.21,2012,4,3,8,-0.016999999999999904,1,4,-0.04999999999999999,-3,-8,0.124,5,5,2,-3,1,1,2
8,9,2012-01-08,2,SAS,OKC,2,96,108,35,84,0.417,7,12,0.583,19,25,0.76,10,42,20,9,2,11,22,38,75,0.507,7,19,0.368,25,29,0.862,7,48,25,10,8,14,19,102.0,114.8,94.1,0.298,0.143,0.505,46.7,57.1,9.6,3.6,0.458,10.4,19.6,0.226,0.553,13.8,82.1,0.333,2012,-12,-3,9,-0.09000000000000002,0,-7,0.21499999999999997,-6,-4,-0.10199999999999998,3,-6,-5,-1,-6,-3,3
9,10,2012-01-10,2,SAS,MIL,2,103,106,45,75,0.6,4,14,0.286,9,16,0.563,5,35,29,6,6,16,16,44,85,0.518,9,14,0.643,9,10,0.9,7,30,31,7,4,11,15,112.3,115.6,91.7,0.213,0.187,0.628,53.8,64.4,6.5,8.5,0.627,16.3,17.9,0.12,0.571,11.0,81.1,0.106,2012,-3,1,-10,0.08199999999999996,-5,0,-0.35700000000000004,0,6,-0.3370000000000001,-2,5,-2,-1,2,5,1
