,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2012-10-31,1,CHI,SAC,1,93,87,33,79,0.418,2,9,0.222,25,33,0.758,14,46,21,8,10,18,19,34,84,0.405,6,17,0.353,13,16,0.813,11,40,14,10,5,19,29,98.0,91.6,94.9,0.418,0.114,0.497,53.5,63.6,8.4,14.9,0.43,16.1,32.6,0.316,0.44,17.3,74.4,0.155,2013,6,-1,-5,0.012999999999999956,-4,-8,-0.13099999999999998,12,17,-0.05499999999999994,3,6,7,-2,5,-1,-10
1,2,2012-11-02,2,CHI,CLE,1,115,86,44,69,0.638,4,10,0.4,23,30,0.767,5,41,34,7,4,17,21,32,79,0.405,8,20,0.4,14,27,0.519,11,33,23,7,1,17,25,122.3,91.5,94.0,0.435,0.145,0.7,55.4,77.3,7.4,6.8,0.667,17.1,18.5,0.333,0.456,15.8,76.6,0.177,2013,29,12,-10,0.23299999999999998,-4,-10,0.0,9,3,0.248,-6,8,11,0,3,0,-4
2,3,2012-11-03,1,CHI,NOH,2,82,89,29,88,0.33,3,17,0.176,21,25,0.84,15,41,21,11,6,12,20,32,75,0.427,5,18,0.278,20,23,0.87,9,44,13,7,9,16,21,91.4,99.2,89.7,0.284,0.193,0.414,48.2,72.4,12.3,10.5,0.347,10.8,30.0,0.239,0.46,15.8,74.3,0.267,2013,-7,-3,13,-0.09699999999999998,-2,-1,-0.10200000000000004,1,2,-0.030000000000000027,6,-3,8,4,-3,-4,-1
3,4,2012-11-06,1,CHI,ORL,1,99,93,40,84,0.476,2,6,0.333,17,24,0.708,9,43,27,7,7,9,12,36,86,0.419,8,19,0.421,13,17,0.765,11,43,23,4,5,11,22,108.2,101.6,91.5,0.286,0.071,0.523,50.0,67.5,7.7,10.4,0.488,8.7,22.0,0.202,0.465,10.5,75.6,0.151,2013,6,4,-2,0.056999999999999995,-6,-13,-0.08799999999999997,4,7,-0.05700000000000005,-2,0,4,3,2,-2,-10
4,5,2012-11-08,1,CHI,OKC,2,91,97,35,84,0.417,5,15,0.333,16,18,0.889,12,41,22,6,3,20,19,36,73,0.493,5,13,0.385,20,21,0.952,8,38,23,10,8,22,19,95.3,101.5,95.5,0.214,0.179,0.495,51.9,62.9,6.3,5.0,0.446,17.9,28.6,0.19,0.527,21.1,78.4,0.274,2013,-6,-1,11,-0.07600000000000001,0,2,-0.05199999999999999,-4,-3,-0.06299999999999994,4,3,-1,-4,-5,-2,0
5,6,2012-11-10,1,CHI,MIN,1,87,80,34,80,0.425,6,13,0.462,13,16,0.813,14,47,19,6,9,14,19,33,85,0.388,3,13,0.231,11,15,0.733,13,40,23,7,3,11,20,102.4,94.2,84.9,0.2,0.163,0.5,54.0,55.9,7.1,12.5,0.463,13.9,34.1,0.163,0.406,10.7,71.7,0.129,2013,7,1,-5,0.03699999999999998,3,0,0.231,2,1,0.07999999999999996,1,7,-4,-1,6,3,-1
6,7,2012-11-12,1,CHI,BOS,2,95,101,34,74,0.459,3,9,0.333,24,31,0.774,8,40,24,6,1,13,15,41,81,0.506,3,16,0.188,16,16,1.0,6,34,28,9,5,8,24,106.4,113.1,89.3,0.419,0.122,0.542,54.1,70.6,6.7,1.5,0.48,12.9,22.2,0.324,0.525,8.3,84.2,0.198,2013,-6,-7,-7,-0.046999999999999986,0,-7,0.14500000000000002,8,15,-0.22599999999999998,2,6,-4,-3,-4,5,-9
7,8,2012-11-14,2,CHI,PHO,1,112,106,44,88,0.5,6,12,0.5,18,25,0.72,15,46,26,7,5,15,21,42,105,0.4,6,21,0.286,16,17,0.941,20,51,19,6,6,12,27,114.9,108.7,88.3,0.284,0.136,0.566,47.4,59.1,7.2,6.0,0.534,13.2,32.6,0.205,0.429,9.6,60.8,0.152,2013,6,2,-17,0.09999999999999998,0,-9,0.21400000000000002,2,8,-0.22099999999999997,-5,-5,7,1,-1,3,-6
8,9,2012-11-17,2,CHI,LAC,2,80,101,30,89,0.337,2,14,0.143,18,22,0.818,21,45,18,7,4,15,20,37,75,0.493,5,16,0.313,22,30,0.733,10,41,21,10,10,12,20,91.8,115.9,87.2,0.247,0.157,0.405,52.3,60.0,8.0,6.8,0.348,13.2,40.4,0.202,0.527,12.0,70.6,0.293,2013,-21,-7,14,-0.15599999999999997,-3,-2,-0.17,-4,-8,0.08499999999999996,11,4,-3,-3,-6,3,0
9,10,2012-11-18,2,CHI,POR,2,94,102,37,75,0.493,4,16,0.25,16,18,0.889,6,35,25,9,3,19,20,39,79,0.494,9,22,0.409,15,20,0.75,10,34,15,8,1,16,17,101.6,110.2,92.5,0.24,0.213,0.567,50.7,67.6,9.7,5.3,0.52,18.6,20.0,0.213,0.551,15.4,74.4,0.19,2013,-8,-2,-4,-0.0010000000000000009,-5,-6,-0.15899999999999997,1,-2,0.139,-4,1,10,1,2,3,3
10,11,2012-11-21,2,CHI,HOU,2,89,93,38,95,0.4,2,16,0.125,11,19,0.579,16,48,20,11,7,14,22,32,74,0.432,7,19,0.368,22,31,0.71,10,45,15,8,6,23,18,90.7,94.8,98.1,0.2,0.168,0.431,51.6,52.6,11.2,12.7,0.411,11.9,31.4,0.116,0.48,20.8,76.2,0.297,2013,-4,6,21,-0.03199999999999997,-5,-3,-0.243,-11,-12,-0.131,6,3,5,3,1,-9,4
11,12,2012-11-24,2,CHI,MIL,1,93,86,32,82,0.39,4,16,0.25,25,26,0.962,20,54,17,4,2,16,18,38,88,0.432,3,17,0.176,7,10,0.7,10,40,20,10,10,9,20,105.8,97.8,87.9,0.317,0.195,0.498,57.4,53.1,4.5,2.8,0.415,14.6,40.0,0.305,0.449,8.9,77.3,0.08,2013,7,-6,-6,-0.04199999999999998,1,-1,0.07400000000000001,18,16,0.262,10,14,-3,-6,-8,7,-2
12,13,2012-11-26,1,CHI,MIL,2,92,93,35,80,0.438,5,11,0.455,17,19,0.895,14,40,21,8,6,15,21,39,85,0.459,3,15,0.2,12,19,0.632,13,36,23,4,12,12,17,106.6,107.8,86.3,0.238,0.138,0.521,52.6,60.0,9.3,8.6,0.469,14.5,37.8,0.213,0.476,11.4,66.7,0.141,2013,-1,-4,-5,-0.02100000000000002,2,-4,0.255,5,0,0.263,1,4,-2,4,-6,3,4
13,14,2012-11-28,1,CHI,DAL,1,101,78,34,69,0.493,6,10,0.6,27,33,0.818,10,44,24,8,6,19,19,28,81,0.346,4,18,0.222,18,20,0.9,11,30,18,10,6,14,26,113.9,87.9,88.7,0.478,0.145,0.605,59.5,70.6,9.0,9.5,0.536,18.5,34.5,0.391,0.37,13.5,75.6,0.222,2013,23,6,-12,0.14700000000000002,2,-8,0.378,9,13,-0.08200000000000007,-1,14,6,-2,0,5,-7
14,15,2012-12-01,1,CHI,PHI,1,93,88,38,81,0.469,4,7,0.571,13,21,0.619,12,50,28,4,6,13,16,36,82,0.439,3,12,0.25,13,18,0.722,11,37,17,10,5,11,19,105.1,99.4,88.5,0.259,0.086,0.515,57.5,73.7,4.5,8.6,0.494,12.6,31.6,0.16,0.457,10.9,77.6,0.159,2013,5,2,-1,0.02999999999999997,1,-5,0.32099999999999995,0,3,-0.10299999999999998,1,13,11,-6,1,2,-3
15,16,2012-12-04,1,CHI,IND,2,76,80,28,73,0.384,4,12,0.333,16,20,0.8,13,46,18,3,7,19,21,29,80,0.363,2,10,0.2,20,27,0.741,16,46,17,10,4,12,21,89.2,93.9,85.2,0.274,0.164,0.465,50.0,64.3,3.5,10.0,0.411,18.8,30.2,0.219,0.375,11.6,67.3,0.25,2013,-4,-1,-7,0.02100000000000002,2,2,0.133,-4,-7,0.05900000000000005,-3,0,1,-7,3,7,0
16,17,2012-12-05,2,CHI,CLE,1,95,85,34,72,0.472,4,15,0.267,23,27,0.852,10,45,22,5,6,15,24,31,85,0.365,5,16,0.313,18,25,0.72,14,41,15,8,2,10,18,108.4,97.0,87.7,0.375,0.208,0.566,52.3,64.7,5.7,8.7,0.5,15.2,27.0,0.319,0.394,9.4,71.4,0.212,2013,10,3,-13,0.10699999999999998,-1,-1,-0.045999999999999985,5,2,0.132,-4,4,7,-3,4,5,6
17,18,2012-12-07,2,CHI,DET,1,108,104,43,82,0.524,5,14,0.357,17,21,0.81,13,41,23,6,4,8,20,36,70,0.514,8,14,0.571,24,31,0.774,5,28,14,6,1,8,19,128.4,123.6,84.1,0.256,0.171,0.592,59.4,53.5,7.1,7.1,0.555,8.1,36.1,0.207,0.571,8.7,84.8,0.343,2013,4,7,12,0.010000000000000009,-3,0,-0.21399999999999997,-7,-10,0.03600000000000003,8,13,9,0,3,0,1
18,19,2012-12-08,1,CHI,NYK,1,93,85,34,78,0.436,7,13,0.538,18,18,1.0,10,47,18,10,6,19,20,27,84,0.321,8,23,0.348,23,28,0.821,14,40,14,10,6,15,17,100.8,92.1,92.3,0.231,0.167,0.541,54.0,52.9,10.8,9.8,0.481,18.1,27.8,0.231,0.369,13.5,72.5,0.274,2013,8,7,-6,0.11499999999999999,-1,-10,0.19000000000000006,-5,-10,0.17900000000000005,-4,7,4,0,0,4,3
19,20,2012-12-11,1,CHI,LAC,2,89,94,35,87,0.402,10,20,0.5,9,12,0.75,18,50,26,8,4,16,18,37,80,0.463,4,11,0.364,16,23,0.696,11,42,19,11,5,15,15,99.0,104.6,89.9,0.138,0.23,0.482,54.3,74.3,8.9,5.8,0.46,14.8,36.7,0.103,0.488,14.3,74.4,0.2,2013,-5,-2,7,-0.061,6,9,0.136,-7,-11,0.05400000000000005,7,8,7,-3,-1,1,3
52,21,2012-12-12,2,CHI,PHI,1,96,89,34,78,0.436,4,11,0.364,24,26,0.923,9,39,24,7,3,11,14,41,91,0.451,2,14,0.143,5,11,0.455,14,44,19,5,8,13,24,106.7,98.9,90.0,0.333,0.141,0.537,47.0,70.6,7.8,3.9,0.462,11.0,23.1,0.308,0.462,11.9,68.2,0.055,2013,7,-7,-13,-0.015000000000000013,2,-3,0.221,19,15,0.468,-5,-5,5,2,-5,-2,-10
53,22,2012-12-15,1,CHI,BRK,1,83,82,33,75,0.44,2,10,0.2,15,19,0.789,7,33,21,10,6,13,17,29,75,0.387,7,19,0.368,17,22,0.773,14,41,15,9,8,18,18,97.1,96.0,85.5,0.253,0.133,0.498,44.6,63.6,11.7,10.7,0.453,13.5,20.6,0.2,0.433,17.5,65.0,0.227,2013,1,4,0,0.05299999999999999,-5,-9,-0.16799999999999998,-2,-3,0.016000000000000014,-7,-8,6,1,-2,-5,-1
54,23,2012-12-17,2,CHI,MEM,2,71,80,28,75,0.373,2,11,0.182,13,20,0.65,10,39,14,10,1,16,21,30,80,0.375,6,11,0.545,14,19,0.737,18,51,16,7,5,18,19,82.4,92.8,86.2,0.267,0.147,0.424,43.3,50.0,11.6,1.4,0.387,16.0,23.3,0.173,0.413,16.9,61.7,0.175,2013,-9,-2,-5,-0.0020000000000000018,-4,0,-0.36300000000000004,-1,1,-0.08699999999999997,-8,-12,-2,3,-4,-2,2
55,24,2012-12-18,1,CHI,BOS,1,100,89,37,74,0.5,5,9,0.556,21,24,0.875,12,43,28,4,10,12,15,35,81,0.432,5,10,0.5,14,19,0.737,11,35,18,7,2,9,18,119.7,106.5,83.6,0.324,0.122,0.591,55.1,75.7,4.8,14.1,0.534,12.4,33.3,0.284,0.463,9.2,73.8,0.173,2013,11,2,-7,0.068,0,-1,0.05600000000000005,7,5,0.138,1,8,10,-3,8,3,-3
56,25,2012-12-21,2,CHI,NYK,1,110,106,37,83,0.446,8,18,0.444,28,33,0.848,12,51,22,7,4,16,25,38,91,0.418,8,26,0.308,22,25,0.88,10,40,14,11,3,10,25,111.4,107.3,98.8,0.398,0.217,0.564,56.0,59.5,7.1,6.2,0.494,14.1,28.6,0.337,0.462,8.9,79.6,0.242,2013,4,-1,-8,0.028000000000000025,0,-8,0.136,6,8,-0.03200000000000003,2,11,8,-4,1,6,0
57,26,2012-12-22,2,CHI,ATL,2,75,92,32,76,0.421,5,14,0.357,6,8,0.75,6,31,20,10,3,15,14,38,77,0.494,7,19,0.368,9,10,0.9,12,45,24,7,4,16,9,88.0,108.0,85.2,0.105,0.184,0.472,40.8,62.5,11.7,5.2,0.454,15.9,15.4,0.079,0.539,16.4,67.6,0.117,2013,-17,-6,-1,-0.07300000000000001,-2,-5,-0.01100000000000001,-3,-2,-0.15000000000000002,-6,-14,-4,3,-1,-1,5
58,27,2012-12-25,1,CHI,HOU,2,97,120,37,83,0.446,6,20,0.3,17,20,0.85,7,31,22,6,3,11,19,46,82,0.561,8,20,0.4,20,24,0.833,10,45,25,8,5,10,21,105.4,130.4,92.0,0.241,0.241,0.528,40.8,59.5,6.5,4.8,0.482,10.7,16.7,0.205,0.61,9.8,70.6,0.244,2013,-23,-9,1,-0.11500000000000005,-2,0,-0.10000000000000003,-3,-4,0.017000000000000015,-3,-14,-3,-2,-2,1,-2
59,28,2012-12-29,1,CHI,WAS,1,87,77,34,87,0.391,7,16,0.438,12,18,0.667,13,49,24,6,6,8,22,31,85,0.365,3,10,0.3,12,18,0.667,16,56,19,2,4,16,16,97.4,86.2,89.4,0.207,0.184,0.458,46.7,70.6,6.7,8.0,0.431,7.8,24.5,0.138,0.382,14.7,69.2,0.141,2013,10,3,2,0.026000000000000023,4,6,0.138,0,0,0.0,-3,-7,5,4,2,-8,6
60,29,2012-12-31,1,CHI,CHA,2,81,91,33,94,0.351,4,16,0.25,11,18,0.611,15,49,24,13,5,11,31,33,70,0.471,4,10,0.4,21,38,0.553,12,52,14,8,9,18,19,86.5,97.2,93.6,0.191,0.17,0.397,48.5,72.7,13.9,8.3,0.372,9.7,27.3,0.117,0.5,17.2,73.9,0.3,2013,-10,0,24,-0.12,0,6,-0.15000000000000002,-10,-20,0.05799999999999994,3,-3,10,5,-4,-7,12
61,30,2013-01-02,2,CHI,ORL,1,96,94,36,77,0.468,5,12,0.417,19,25,0.76,9,35,27,7,5,6,16,37,78,0.474,9,24,0.375,11,14,0.786,8,36,16,4,4,12,22,114.6,112.2,83.8,0.325,0.156,0.545,49.3,75.0,8.4,9.3,0.5,6.4,24.3,0.247,0.532,12.5,76.5,0.141,2013,2,-1,-1,-0.00599999999999995,-4,-12,0.04199999999999998,8,11,-0.026000000000000023,1,-1,11,3,1,-6,-6
62,31,2013-01-04,2,CHI,MIA,1,96,89,36,80,0.45,5,14,0.357,19,24,0.792,19,48,22,7,2,15,20,30,65,0.462,5,20,0.25,24,31,0.774,4,28,17,8,2,12,22,113.8,105.5,84.3,0.3,0.175,0.53,63.2,61.1,8.3,4.4,0.481,14.2,44.2,0.238,0.5,13.2,87.9,0.369,2013,7,6,15,-0.01200000000000001,0,-6,0.10699999999999998,-5,-7,0.018000000000000016,15,20,5,-1,0,3,-2
63,32,2013-01-07,1,CHI,CLE,1,118,92,44,82,0.537,10,14,0.714,20,24,0.833,16,47,34,10,9,20,21,33,78,0.423,7,14,0.5,19,23,0.826,11,31,19,8,5,16,24,128.2,99.9,92.1,0.293,0.171,0.637,60.3,77.3,10.9,14.1,0.598,17.8,44.4,0.244,0.468,15.4,73.8,0.244,2013,26,11,4,0.11400000000000005,3,0,0.21399999999999997,1,1,0.007000000000000006,5,16,15,2,4,4,-3
64,33,2013-01-09,1,CHI,MIL,2,96,104,39,95,0.411,4,10,0.4,14,20,0.7,16,45,23,9,2,15,18,39,84,0.464,10,22,0.455,16,21,0.762,11,48,21,11,15,16,18,98.4,106.6,97.5,0.211,0.105,0.462,48.4,59.0,9.2,3.2,0.432,12.6,30.2,0.147,0.524,14.6,72.5,0.19,2013,-8,0,11,-0.05300000000000005,-6,-12,-0.05499999999999999,-2,-1,-0.062000000000000055,5,-3,2,-2,-13,-1,0
65,34,2013-01-11,2,CHI,NYK,1,108,101,39,68,0.574,5,11,0.455,25,34,0.735,6,39,26,8,6,18,23,37,90,0.411,11,22,0.5,16,23,0.696,18,41,17,11,3,12,28,117.2,109.6,92.2,0.5,0.162,0.651,48.8,66.7,8.7,8.8,0.61,17.8,20.7,0.368,0.472,10.7,64.7,0.178,2013,7,2,-22,0.16299999999999998,-6,-11,-0.044999999999999984,9,11,0.039000000000000035,-12,-2,9,-3,3,6,-5
