,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2012-10-30,1,LAL,DAL,2,91,99,38,77,0.494,3,13,0.231,12,31,0.387,15,46,24,6,5,14,21,40,85,0.471,5,15,0.333,14,18,0.778,9,40,22,9,5,11,25,99.9,108.7,91.1,0.403,0.169,0.502,53.5,63.2,6.6,7.1,0.513,13.4,32.6,0.156,0.5,10.6,77.5,0.165,2013,-8,-2,-8,0.02300000000000002,-2,-2,-0.10200000000000001,-2,13,-0.391,6,6,2,-3,0,3,-4
1,2,2012-10-31,2,LAL,POR,2,106,116,36,72,0.5,8,18,0.444,26,32,0.813,15,45,21,6,2,24,29,42,83,0.506,9,20,0.45,23,28,0.821,10,30,19,10,5,12,20,113.1,123.7,93.8,0.444,0.25,0.616,60.0,58.3,6.4,3.2,0.556,21.8,42.9,0.361,0.56,11.2,75.0,0.277,2013,-10,-6,-11,-0.006000000000000005,-1,-2,-0.006000000000000005,3,4,-0.008000000000000007,5,15,2,-4,-3,12,9
2,3,2012-11-02,1,LAL,LAC,2,95,105,34,68,0.5,7,16,0.438,20,28,0.714,7,38,15,7,7,20,23,38,84,0.452,8,22,0.364,21,27,0.778,9,37,24,12,4,11,26,101.8,112.5,93.3,0.412,0.235,0.591,50.7,44.1,7.5,11.3,0.551,19.9,20.0,0.294,0.5,10.3,77.5,0.25,2013,-10,-4,-16,0.04799999999999999,-1,-6,0.07400000000000001,-1,1,-0.06400000000000006,-2,1,-9,-5,3,9,-3
3,4,2012-11-04,1,LAL,DET,1,108,79,40,77,0.519,10,22,0.455,18,26,0.692,16,46,27,11,8,15,20,28,79,0.354,4,13,0.308,19,23,0.826,13,33,19,5,5,16,20,125.2,91.6,86.3,0.338,0.286,0.611,58.2,67.5,12.8,12.1,0.584,14.5,44.4,0.234,0.38,15.2,69.8,0.241,2013,29,12,-2,0.16500000000000004,6,9,0.14700000000000002,-1,3,-0.134,3,13,8,6,3,-1,0
4,5,2012-11-07,2,LAL,UTA,2,86,95,25,74,0.338,4,23,0.174,32,46,0.696,15,48,11,10,3,18,14,37,83,0.446,5,17,0.294,16,18,0.889,9,37,21,12,7,12,30,93.6,103.4,91.9,0.622,0.311,0.456,56.5,44.0,10.9,4.5,0.365,16.0,34.9,0.432,0.476,11.7,78.6,0.193,2013,-9,-12,-9,-0.10799999999999998,-1,6,-0.12,16,28,-0.19300000000000006,6,11,-10,-2,-4,6,-16
5,6,2012-11-09,1,LAL,GSW,1,101,77,36,90,0.4,8,28,0.286,21,28,0.75,16,58,22,9,6,16,14,29,86,0.337,7,25,0.28,12,20,0.6,13,47,12,5,3,18,25,102.9,78.5,98.1,0.311,0.311,0.494,55.2,61.1,9.2,9.8,0.444,13.5,32.0,0.233,0.378,16.0,76.4,0.14,2013,24,7,4,0.063,1,3,0.00599999999999995,9,8,0.15000000000000002,3,11,10,4,3,-2,-11
6,7,2012-11-11,1,LAL,SAC,1,103,90,36,81,0.444,8,25,0.32,23,30,0.767,18,50,23,6,7,17,13,36,90,0.4,7,23,0.304,11,14,0.786,14,39,20,10,5,11,24,115.2,100.6,89.4,0.37,0.309,0.547,56.2,63.9,6.7,10.4,0.494,15.3,41.9,0.284,0.439,10.3,69.6,0.122,2013,13,0,-9,0.043999999999999984,1,2,0.016000000000000014,12,16,-0.019000000000000017,4,11,3,-4,2,6,-11
7,8,2012-11-13,1,LAL,SAS,2,82,84,31,74,0.419,6,20,0.3,14,22,0.636,13,48,18,5,9,17,14,35,90,0.389,7,20,0.35,7,11,0.636,11,38,22,13,5,8,17,94.7,97.0,86.6,0.297,0.27,0.49,55.8,58.1,5.8,12.9,0.459,16.9,32.5,0.189,0.428,7.8,76.1,0.078,2013,-2,-4,-16,0.02999999999999997,-1,0,-0.04999999999999999,7,11,0.0,2,10,-4,-8,4,9,-3
8,9,2012-11-16,1,LAL,PHO,1,114,102,42,89,0.472,8,21,0.381,22,28,0.786,17,48,25,7,9,11,15,45,92,0.489,5,14,0.357,7,15,0.467,12,38,27,8,8,15,25,119.8,107.2,95.1,0.315,0.236,0.563,55.8,59.5,7.4,11.5,0.517,9.8,39.5,0.247,0.516,13.2,72.1,0.076,2013,12,-3,-3,-0.017000000000000015,3,7,0.02400000000000002,15,13,0.319,5,10,-2,-1,1,-4,-10
9,10,2012-11-18,1,LAL,HOU,1,119,108,46,85,0.541,9,20,0.45,18,28,0.643,9,41,27,10,3,13,15,44,90,0.489,9,23,0.391,11,18,0.611,11,42,30,8,1,15,22,119.3,108.3,99.7,0.329,0.235,0.611,49.4,58.7,10.0,4.5,0.594,11.8,22.5,0.212,0.539,13.3,74.4,0.122,2013,11,2,-5,0.052000000000000046,0,-3,0.059,7,10,0.03200000000000003,-2,-1,-3,2,2,-2,-7
