,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2013-10-30,1,PHO,POR,1,104,91,43,83,0.518,4,19,0.211,14,18,0.778,11,47,18,8,5,15,17,33,81,0.407,8,26,0.308,17,24,0.708,11,39,19,5,5,13,14,112.6,98.5,92.4,0.217,0.229,0.572,54.7,41.9,8.7,9.1,0.542,14.2,28.2,0.169,0.457,12.4,76.6,0.21,2014,13,10,2,0.11100000000000004,-4,-7,-0.097,-3,-6,0.07000000000000006,0,8,-1,3,0,2,3
1,2,2013-11-01,1,PHO,UTA,1,87,84,31,83,0.373,6,22,0.273,19,24,0.792,16,46,15,10,10,16,24,31,85,0.365,5,17,0.294,17,27,0.63,22,53,20,3,1,20,20,96.1,92.8,90.5,0.289,0.265,0.465,46.5,48.4,11.0,14.7,0.41,14.6,34.0,0.229,0.394,17.1,57.7,0.2,2014,3,0,-2,0.008000000000000007,1,5,-0.020999999999999963,2,-3,0.16200000000000003,-6,-7,-5,7,9,-4,4
2,3,2013-11-03,2,PHO,OKC,2,96,103,32,80,0.4,14,37,0.378,18,22,0.818,12,43,21,11,3,23,23,35,82,0.427,2,18,0.111,31,37,0.838,10,41,20,8,4,15,22,97.5,104.6,98.5,0.275,0.463,0.535,51.2,65.6,11.2,4.7,0.488,20.4,27.9,0.225,0.439,13.2,75.6,0.378,2014,-7,-3,-2,-0.02699999999999997,12,19,0.267,-13,-15,-0.020000000000000018,2,2,1,3,-1,8,1
3,4,2013-11-05,2,PHO,NOP,1,104,98,39,78,0.5,12,25,0.48,14,22,0.636,7,41,25,10,4,15,20,37,85,0.435,10,18,0.556,14,19,0.737,8,40,26,12,11,13,20,109.4,103.1,95.1,0.282,0.321,0.593,50.6,64.1,10.5,6.0,0.577,14.6,17.9,0.179,0.494,12.2,81.0,0.165,2014,6,2,-7,0.065,2,7,-0.07600000000000007,0,3,-0.10099999999999998,-1,1,-1,-2,-7,2,0
4,5,2013-11-06,2,PHO,SAS,2,96,99,42,85,0.494,7,19,0.368,5,9,0.556,5,43,14,7,5,18,17,41,85,0.482,6,16,0.375,11,15,0.733,6,39,25,5,7,14,17,96.4,99.4,99.6,0.106,0.224,0.54,52.4,33.3,7.0,7.2,0.535,16.8,13.2,0.059,0.518,13.3,86.4,0.129,2014,-3,1,0,0.01200000000000001,1,3,-0.007000000000000006,-6,-6,-0.17699999999999994,-1,4,-11,2,-2,4,0
5,6,2013-11-08,1,PHO,DEN,1,114,103,40,83,0.482,9,20,0.45,25,32,0.781,11,48,21,11,3,20,22,36,80,0.45,8,22,0.364,23,28,0.821,7,37,17,11,2,20,26,110.1,99.4,103.6,0.386,0.241,0.587,56.5,52.5,10.6,5.2,0.536,17.1,26.8,0.301,0.5,17.8,84.1,0.288,2014,11,4,3,0.03199999999999997,1,-2,0.08600000000000002,2,4,-0.039999999999999925,4,11,4,0,1,0,-4
6,7,2013-11-10,1,PHO,NOP,1,101,94,38,78,0.487,7,22,0.318,18,23,0.783,10,40,14,10,11,14,16,39,88,0.443,4,13,0.308,12,13,0.923,14,43,20,6,3,15,20,111.1,103.4,90.9,0.295,0.282,0.573,48.2,36.8,11.0,14.7,0.532,13.7,25.6,0.231,0.466,13.8,68.2,0.136,2014,7,-1,-10,0.043999999999999984,3,9,0.010000000000000009,6,10,-0.14,-4,-3,-6,4,8,-1,-4
7,8,2013-11-13,2,PHO,POR,2,89,90,37,86,0.43,5,15,0.333,10,13,0.769,10,41,16,11,1,14,21,35,84,0.417,6,15,0.4,14,23,0.609,14,51,15,5,3,16,13,95.2,96.3,93.5,0.151,0.174,0.485,44.6,43.2,11.8,1.4,0.459,13.2,21.3,0.116,0.452,14.5,68.9,0.167,2014,-1,2,2,0.013000000000000012,-1,0,-0.067,-4,-10,0.16000000000000003,-4,-10,1,6,-2,-2,8
8,9,2013-11-15,1,PHO,BRK,2,98,100,34,79,0.43,10,28,0.357,20,25,0.8,9,42,17,8,4,16,23,38,87,0.437,2,12,0.167,22,29,0.759,14,49,14,8,4,12,25,103.1,105.2,86.1,0.316,0.354,0.544,46.2,50.0,8.4,5.3,0.494,15.1,20.5,0.253,0.448,10.7,70.2,0.253,2014,-2,-4,-8,-0.007000000000000006,8,16,0.18999999999999997,-2,-4,0.041000000000000036,-5,-7,3,0,0,4,-2
9,10,2013-11-19,2,PHO,SAC,2,104,107,37,79,0.468,10,29,0.345,20,28,0.714,6,31,23,9,3,16,23,39,83,0.47,8,22,0.364,21,28,0.75,15,48,21,8,3,20,24,106.2,109.3,97.9,0.354,0.367,0.569,39.2,62.2,9.2,4.9,0.532,14.9,15.4,0.253,0.518,17.3,62.5,0.253,2014,-3,-2,-4,-0.0019999999999999463,2,7,-0.019000000000000017,-1,0,-0.03600000000000003,-9,-17,2,1,0,-4,-1
