,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2013-10-30,1,SAC,DEN,1,90,88,33,81,0.407,8,21,0.381,16,23,0.696,11,41,13,8,7,14,26,34,79,0.43,5,15,0.333,15,17,0.882,8,41,19,3,11,18,21,97.3,95.1,92.5,0.284,0.259,0.494,50.0,39.4,8.6,10.9,0.457,13.3,25.0,0.198,0.462,17.2,78.9,0.19,2014,2,-1,2,-0.02300000000000002,3,6,0.04799999999999999,1,6,-0.18600000000000005,3,0,-6,5,-4,-4,5
1,2,2013-11-01,1,SAC,LAC,2,101,110,36,79,0.456,6,17,0.353,23,32,0.719,10,35,21,7,5,9,27,35,70,0.5,12,24,0.5,28,34,0.824,10,39,26,4,5,15,29,114.2,124.4,88.5,0.405,0.215,0.543,47.3,58.3,7.9,10.9,0.494,8.8,25.6,0.291,0.586,15.0,71.4,0.4,2014,-9,1,9,-0.043999999999999984,-6,-7,-0.14700000000000002,-5,-2,-0.10499999999999998,0,-4,-5,3,0,-6,-2
2,3,2013-11-02,2,SAC,GSW,2,87,98,30,87,0.345,6,26,0.231,21,24,0.875,16,48,16,9,1,14,18,39,76,0.513,11,27,0.407,9,12,0.75,5,44,28,8,7,18,22,93.4,105.2,93.2,0.276,0.299,0.446,52.2,53.3,9.7,2.0,0.379,12.5,29.1,0.241,0.586,18.1,86.5,0.118,2014,-11,-9,11,-0.16800000000000004,-5,-1,-0.17599999999999996,12,12,0.125,11,4,-12,1,-6,-4,-4
3,4,2013-11-05,1,SAC,ATL,2,100,105,35,80,0.438,10,31,0.323,20,21,0.952,10,39,22,10,4,18,26,39,81,0.481,8,22,0.364,19,26,0.731,9,36,26,11,7,14,15,106.3,111.6,94.1,0.263,0.388,0.56,52.0,62.9,10.6,6.8,0.5,16.8,27.0,0.25,0.531,13.2,76.3,0.235,2014,-5,-4,-1,-0.04299999999999998,2,9,-0.04099999999999998,1,-5,0.22099999999999997,1,3,-4,-1,-3,4,11
4,5,2013-11-08,2,SAC,POR,2,91,104,36,86,0.419,6,22,0.273,13,15,0.867,8,31,20,11,1,11,24,39,80,0.488,10,23,0.435,16,18,0.889,11,47,28,4,5,17,18,99.3,113.5,91.6,0.174,0.256,0.491,39.7,55.6,12.0,1.8,0.453,10.6,18.2,0.151,0.55,16.2,67.6,0.2,2014,-13,-3,6,-0.069,-4,-1,-0.16199999999999998,-3,-3,-0.02200000000000002,-3,-16,-8,7,-4,-6,6
5,6,2013-11-09,1,SAC,POR,2,85,96,36,78,0.462,3,12,0.25,10,14,0.714,8,33,17,7,2,10,20,36,82,0.439,9,20,0.45,15,22,0.682,19,52,25,6,2,12,17,102.2,115.4,83.2,0.179,0.154,0.505,38.8,47.2,8.4,3.2,0.481,10.6,19.5,0.128,0.494,11.6,56.8,0.183,2014,-11,0,-4,0.02300000000000002,-6,-8,-0.2,-5,-8,0.03199999999999992,-11,-19,-8,1,0,-2,3
6,7,2013-11-13,1,SAC,BRK,1,107,86,41,94,0.436,8,24,0.333,17,23,0.739,12,50,26,8,3,6,23,31,82,0.378,3,13,0.231,21,27,0.778,10,52,14,2,7,15,23,110.9,89.1,96.5,0.245,0.255,0.514,49.0,63.4,8.3,4.3,0.479,5.4,22.2,0.181,0.396,13.8,79.2,0.256,2014,21,10,12,0.057999999999999996,5,11,0.10200000000000001,-4,-4,-0.039000000000000035,2,-2,12,6,-4,-9,0
7,8,2013-11-15,1,SAC,DET,2,90,97,34,80,0.425,10,25,0.4,12,17,0.706,11,43,22,4,5,17,19,38,85,0.447,6,23,0.261,15,24,0.625,13,46,26,10,6,12,20,98.1,105.7,91.8,0.213,0.313,0.514,48.3,64.7,4.4,8.1,0.488,16.3,25.0,0.15,0.482,11.2,71.1,0.176,2014,-7,-4,-5,-0.02200000000000002,4,2,0.139,-3,-7,0.08099999999999996,-2,-3,-4,-6,-1,5,-1
8,9,2013-11-17,1,SAC,MEM,2,86,97,33,87,0.379,7,23,0.304,13,17,0.765,11,35,21,8,2,8,20,40,72,0.556,4,13,0.308,13,18,0.722,7,49,30,4,4,16,20,97.0,109.4,88.6,0.195,0.264,0.455,41.7,63.6,9.0,3.4,0.42,7.8,20.8,0.149,0.583,16.7,77.4,0.181,2014,-11,-7,15,-0.17700000000000005,3,10,-0.0040000000000000036,0,-1,0.04300000000000004,4,-14,-9,4,-2,-8,0
9,10,2013-11-19,1,SAC,PHO,1,107,104,39,83,0.47,8,22,0.364,21,28,0.75,15,48,21,8,3,20,24,37,79,0.468,10,29,0.345,20,28,0.714,6,31,23,9,3,16,23,109.3,106.2,97.9,0.337,0.265,0.561,60.8,53.8,8.2,6.0,0.518,17.3,37.5,0.253,0.532,14.9,84.6,0.253,2014,3,2,4,0.0019999999999999463,-2,-7,0.019000000000000017,1,0,0.03600000000000003,9,17,-2,-1,0,4,1
10,11,2013-11-20,2,SAC,PHO,1,113,106,37,80,0.463,7,17,0.412,32,38,0.842,9,42,19,11,2,10,23,38,85,0.447,15,33,0.455,15,22,0.682,13,37,12,6,6,17,26,119.4,112.0,94.6,0.475,0.213,0.584,53.2,51.4,11.6,3.8,0.506,9.4,27.3,0.4,0.535,15.2,71.7,0.176,2014,7,-1,-5,0.016000000000000014,-8,-16,-0.04300000000000004,17,16,0.15999999999999992,-4,5,7,5,-4,-7,-3
11,12,2013-11-23,2,SAC,LAC,2,102,103,37,88,0.42,5,17,0.294,23,30,0.767,11,46,26,8,4,10,33,33,68,0.485,11,25,0.44,26,45,0.578,5,39,22,5,5,17,26,104.6,105.7,97.5,0.341,0.193,0.504,54.1,70.3,8.2,9.3,0.449,9.0,24.4,0.261,0.566,16.2,87.5,0.382,2014,-1,4,20,-0.065,-6,-8,-0.14600000000000002,-3,-15,0.18900000000000006,6,7,4,3,-1,-7,7
12,13,2013-11-24,2,SAC,LAL,2,86,100,35,84,0.417,8,24,0.333,8,15,0.533,7,42,24,6,3,13,17,40,87,0.46,8,26,0.308,12,15,0.8,9,44,20,8,9,10,17,92.0,107.0,93.5,0.179,0.286,0.475,48.8,68.6,6.4,4.9,0.464,12.5,16.7,0.095,0.506,9.7,79.5,0.138,2014,-14,-5,-3,-0.04300000000000004,0,-2,0.025000000000000022,-4,0,-0.267,-2,-2,4,-2,-6,3,0
13,14,2013-11-29,1,SAC,LAC,2,98,104,42,91,0.462,6,23,0.261,8,10,0.8,12,44,24,4,5,15,33,37,83,0.446,6,20,0.3,24,37,0.649,13,46,20,4,9,12,16,102.3,108.6,86.8,0.11,0.253,0.514,48.9,57.1,4.2,7.9,0.495,13.6,26.7,0.088,0.482,10.8,71.1,0.289,2014,-6,5,8,0.016000000000000014,0,3,-0.03899999999999998,-16,-27,0.15100000000000002,-1,-2,4,0,-4,3,17
14,15,2013-12-01,1,SAC,GSW,2,113,115,40,76,0.526,9,19,0.474,24,28,0.857,11,39,22,11,1,24,25,42,82,0.512,15,25,0.6,16,22,0.727,10,32,22,13,5,18,25,115.4,117.4,97.9,0.368,0.25,0.64,54.9,55.0,11.2,1.8,0.586,21.4,33.3,0.316,0.604,16.4,73.7,0.195,2014,-2,-2,-6,0.014000000000000012,-6,-6,-0.126,8,6,0.13,1,7,0,-2,-4,6,0
15,16,2013-12-03,1,SAC,OKC,2,95,97,35,89,0.393,10,29,0.345,15,19,0.789,13,41,24,9,5,8,18,36,83,0.434,7,20,0.35,18,20,0.9,10,47,21,5,5,15,20,104.2,106.4,91.2,0.213,0.326,0.488,46.6,68.6,9.9,7.9,0.449,7.6,26.0,0.169,0.476,14.0,73.7,0.217,2014,-2,-1,6,-0.04099999999999998,3,9,-0.0050000000000000044,-3,-1,-0.11099999999999999,3,-6,3,4,0,-7,-2
16,17,2013-12-06,1,SAC,LAL,2,100,106,37,86,0.43,10,22,0.455,16,22,0.727,18,51,25,10,4,15,19,41,86,0.477,12,32,0.375,12,18,0.667,10,36,24,10,7,12,20,109.7,116.3,91.2,0.256,0.256,0.523,58.6,67.6,11.0,7.4,0.488,13.6,40.9,0.186,0.547,11.3,76.7,0.14,2014,-6,-4,0,-0.046999999999999986,-2,-10,0.08000000000000002,4,4,0.05999999999999994,8,15,1,0,-3,3,-1
17,18,2013-12-07,2,SAC,UTA,1,112,102,39,94,0.415,3,15,0.2,31,38,0.816,13,49,26,11,7,10,26,36,89,0.404,8,19,0.421,22,30,0.733,12,50,20,5,9,16,32,108.2,98.5,93.7,0.404,0.16,0.506,49.5,66.7,10.6,10.0,0.431,8.3,25.5,0.33,0.449,13.5,75.0,0.247,2014,10,3,5,0.010999999999999954,-5,-4,-0.22099999999999997,9,8,0.08299999999999996,1,-1,6,6,-2,-6,-6
18,19,2013-12-09,1,SAC,DAL,1,112,97,38,81,0.469,9,25,0.36,27,34,0.794,11,51,23,10,4,21,23,37,95,0.389,5,27,0.185,18,20,0.9,9,39,22,14,4,16,25,106.2,92.0,105.4,0.42,0.309,0.584,56.7,60.5,9.5,5.9,0.525,18.0,26.8,0.333,0.416,13.4,81.6,0.189,2014,15,1,-14,0.07999999999999996,4,-2,0.175,9,14,-0.10599999999999998,2,12,1,-4,0,5,-2
19,20,2013-12-11,1,SAC,UTA,2,101,122,35,78,0.449,4,13,0.308,27,33,0.818,13,40,13,2,4,12,20,48,89,0.539,13,23,0.565,13,15,0.867,12,39,35,7,8,6,27,114.9,138.8,87.9,0.423,0.167,0.546,50.6,37.1,2.3,6.1,0.474,11.5,32.5,0.346,0.612,5.9,69.2,0.146,2014,-21,-13,-11,-0.09000000000000002,-9,-10,-0.25699999999999995,14,18,-0.049000000000000044,1,1,-22,-5,-4,6,-7
52,21,2013-12-13,2,SAC,PHO,2,107,116,38,87,0.437,6,19,0.316,25,29,0.862,17,43,12,11,4,15,22,41,83,0.494,12,24,0.5,22,29,0.759,16,43,20,11,9,16,20,114.5,124.2,93.4,0.333,0.218,0.536,50.0,31.6,11.8,6.8,0.471,13.1,38.6,0.287,0.566,14.3,61.9,0.265,2014,-9,-3,4,-0.056999999999999995,-6,-5,-0.184,3,0,0.10299999999999998,1,0,-8,0,-5,-1,2
53,22,2013-12-15,1,SAC,HOU,1,106,91,39,81,0.481,3,13,0.231,25,30,0.833,7,43,17,8,6,15,25,31,75,0.413,7,27,0.259,22,38,0.579,11,42,15,6,5,17,26,108.2,92.9,98.0,0.37,0.16,0.563,50.6,43.6,8.2,12.5,0.5,13.7,18.4,0.309,0.46,15.6,76.6,0.293,2014,15,8,6,0.068,-4,-14,-0.027999999999999997,3,-8,0.254,-4,1,2,2,1,-2,-1
54,23,2013-12-17,2,SAC,CHA,2,87,95,30,80,0.375,4,15,0.267,23,28,0.821,9,42,18,8,4,15,23,35,78,0.449,8,17,0.471,17,24,0.708,5,42,26,9,6,15,26,90.5,98.8,96.1,0.35,0.188,0.471,50.0,60.0,8.3,6.6,0.4,14.0,19.6,0.288,0.5,14.5,86.8,0.218,2014,-8,-5,2,-0.07400000000000001,-4,-2,-0.20399999999999996,6,4,0.11299999999999999,4,0,-8,-1,-2,0,-3
55,24,2013-12-18,2,SAC,ATL,2,107,124,40,84,0.476,6,15,0.4,21,25,0.84,7,33,25,6,1,13,20,47,81,0.58,15,25,0.6,15,18,0.833,9,44,38,7,6,16,21,110.3,127.8,97.0,0.298,0.179,0.563,42.9,62.5,6.2,1.8,0.512,12.0,16.7,0.25,0.673,15.2,74.3,0.185,2014,-17,-7,3,-0.10399999999999998,-9,-10,-0.19999999999999996,6,7,0.007000000000000006,-2,-11,-13,-1,-5,-3,-1
56,25,2013-12-20,2,SAC,MIA,2,103,122,43,74,0.581,7,22,0.318,10,24,0.417,7,32,25,14,1,20,16,51,83,0.614,10,23,0.435,10,14,0.714,7,39,32,15,3,17,16,105.2,124.6,97.9,0.324,0.297,0.609,45.1,58.1,14.3,1.7,0.628,19.1,17.9,0.135,0.675,16.0,78.1,0.12,2014,-19,-8,-9,-0.03300000000000003,-3,-1,-0.11699999999999999,0,10,-0.297,0,-7,-7,-1,-2,3,0
57,26,2013-12-21,2,SAC,ORL,1,105,100,39,79,0.494,12,23,0.522,15,23,0.652,12,44,17,8,4,15,23,39,82,0.476,8,20,0.4,14,23,0.609,11,42,17,8,6,17,24,111.9,106.6,93.8,0.291,0.291,0.589,51.2,43.6,8.5,6.5,0.57,14.4,27.9,0.19,0.524,15.6,74.4,0.171,2014,5,0,-3,0.018000000000000016,4,3,0.122,1,0,0.04300000000000004,1,2,0,0,-2,-2,-1
58,27,2013-12-23,1,SAC,NOP,2,100,113,31,74,0.419,7,17,0.412,31,42,0.738,16,43,15,9,6,22,22,41,83,0.494,8,17,0.471,23,27,0.852,15,45,28,13,2,16,26,105.0,118.6,95.3,0.568,0.23,0.541,48.9,48.4,9.4,9.1,0.466,19.2,34.8,0.419,0.542,14.4,64.3,0.277,2014,-13,-10,-9,-0.07500000000000001,-1,0,-0.059,8,15,-0.11399999999999999,1,-2,-13,-4,4,6,-4
59,28,2013-12-27,1,SAC,MIA,1,108,103,41,83,0.494,5,20,0.25,21,25,0.84,10,51,23,5,4,22,21,38,86,0.442,11,32,0.344,16,21,0.762,4,35,23,9,5,16,23,102.9,98.2,95.0,0.301,0.241,0.574,59.3,56.1,4.8,7.4,0.524,19.0,24.4,0.253,0.506,14.4,91.1,0.186,2014,5,3,-3,0.05199999999999999,-6,-12,-0.09399999999999997,5,4,0.07799999999999996,6,16,0,-4,-1,6,-2
60,29,2013-12-29,2,SAC,SAS,2,104,112,41,91,0.451,7,14,0.5,15,20,0.75,16,51,20,3,6,7,18,44,94,0.468,8,24,0.333,16,19,0.842,10,44,29,5,4,4,17,113.9,122.7,91.3,0.22,0.154,0.521,53.7,48.8,3.3,8.6,0.489,6.6,32.0,0.165,0.511,3.8,77.8,0.17,2014,-8,-3,-3,-0.017000000000000015,-1,-10,0.16699999999999998,-1,1,-0.09199999999999997,6,7,-9,-2,2,3,1
61,30,2013-12-31,2,SAC,HOU,1,110,106,42,85,0.494,7,22,0.318,19,23,0.826,9,39,22,9,2,13,26,39,81,0.481,7,28,0.25,21,33,0.636,14,43,16,10,7,16,23,114.5,110.3,96.1,0.271,0.259,0.578,47.6,52.4,9.4,3.8,0.535,12.0,23.7,0.224,0.525,14.3,68.2,0.259,2014,4,3,4,0.013000000000000012,0,-6,0.068,-2,-10,0.18999999999999995,-5,-4,6,-1,-5,-3,3
62,31,2014-01-02,1,SAC,PHI,2,104,113,35,83,0.422,7,23,0.304,27,37,0.73,16,51,14,4,7,22,27,42,90,0.467,5,19,0.263,24,31,0.774,13,47,23,12,11,12,31,102.0,110.9,101.9,0.446,0.277,0.524,52.0,40.0,3.9,9.9,0.464,18.1,32.0,0.325,0.494,10.4,72.9,0.267,2014,-9,-7,-7,-0.04500000000000004,2,4,0.04099999999999998,3,6,-0.04400000000000004,3,4,-9,-8,-4,10,-4
63,32,2014-01-04,1,SAC,CHA,2,103,113,42,92,0.457,6,17,0.353,13,19,0.684,17,52,17,8,5,14,23,45,83,0.542,9,15,0.6,14,23,0.609,6,38,22,5,4,11,19,107.1,117.5,96.1,0.207,0.185,0.513,57.8,40.5,8.3,7.4,0.489,12.2,34.7,0.141,0.596,10.6,85.4,0.169,2014,-10,-3,9,-0.08500000000000002,-3,2,-0.247,-1,-4,0.07500000000000007,11,14,-5,3,1,3,4
64,33,2014-01-07,1,SAC,POR,1,123,119,40,85,0.471,7,15,0.467,36,50,0.72,12,48,20,9,3,8,25,39,90,0.433,10,27,0.37,31,36,0.861,14,51,24,3,6,16,37,119.2,115.4,103.2,0.588,0.176,0.575,48.5,50.0,8.7,4.8,0.512,7.0,24.5,0.424,0.489,13.1,72.0,0.344,2014,4,1,-5,0.03799999999999998,-3,-12,0.09700000000000003,5,14,-0.14100000000000001,-2,-3,-4,6,-3,-8,-12
65,34,2014-01-10,1,SAC,ORL,1,103,83,41,80,0.513,3,14,0.214,18,19,0.947,11,54,23,7,3,14,22,26,78,0.333,8,27,0.296,23,29,0.793,11,37,15,9,2,13,19,114.2,92.0,90.2,0.238,0.175,0.583,59.3,56.1,7.8,5.9,0.531,13.7,29.7,0.225,0.385,12.5,79.6,0.295,2014,20,15,2,0.18,-5,-13,-0.08199999999999999,-5,-10,0.15399999999999991,0,17,8,-2,1,1,3
