,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2014-10-29,2,MIN,MEM,2,101,105,39,86,0.453,6,12,0.5,17,23,0.739,19,47,20,8,4,23,21,43,82,0.524,4,15,0.267,15,20,0.75,10,33,21,10,5,17,21,105.5,109.7,95.7,0.267,0.14,0.525,58.8,51.3,8.4,6.0,0.488,19.3,45.2,0.198,0.549,15.8,73.7,0.183,2015,-4,-4,4,-0.07100000000000001,2,-3,0.23299999999999998,2,3,-0.01100000000000001,9,14,-1,-2,-1,6,0
1,2,2014-10-30,1,MIN,DET,1,97,91,37,76,0.487,4,10,0.4,19,28,0.679,10,43,18,8,3,12,21,38,91,0.418,7,21,0.333,8,13,0.615,14,46,20,3,5,12,24,107.4,100.8,90.3,0.368,0.132,0.549,48.3,48.6,8.9,4.3,0.513,12.0,23.8,0.25,0.456,11.0,70.2,0.088,2015,6,-1,-15,0.069,-3,-11,0.067,11,15,0.06400000000000006,-4,-3,-2,5,-2,0,-3
2,3,2014-11-01,1,MIN,CHI,2,105,106,38,85,0.447,4,12,0.333,25,31,0.806,13,42,26,9,4,10,29,33,69,0.478,9,23,0.391,31,40,0.775,5,38,15,3,8,14,24,112.6,113.7,93.3,0.365,0.141,0.532,52.5,68.4,9.7,8.7,0.471,9.2,28.3,0.294,0.543,13.9,85.3,0.449,2015,-1,5,16,-0.030999999999999972,-5,-11,-0.057999999999999996,-6,-9,0.031000000000000028,8,4,11,6,-4,-4,5
3,4,2014-11-05,2,MIN,BRK,1,98,91,37,90,0.411,7,17,0.412,17,22,0.773,13,51,22,9,4,11,21,36,82,0.439,8,21,0.381,11,17,0.647,7,42,17,6,5,18,22,101.2,94.0,96.8,0.244,0.189,0.492,54.8,59.5,9.3,6.6,0.45,9.9,27.1,0.189,0.488,16.7,84.4,0.134,2015,7,1,8,-0.028000000000000025,-1,-4,0.030999999999999972,6,5,0.126,6,9,5,3,-1,-7,-1
4,5,2014-11-07,2,MIN,ORL,2,103,112,40,93,0.43,4,18,0.222,19,25,0.76,9,38,24,9,7,12,22,46,91,0.505,5,10,0.5,15,19,0.789,12,52,19,5,6,21,27,98.1,106.6,95.1,0.269,0.194,0.495,42.2,60.0,8.6,8.6,0.452,10.3,18.4,0.204,0.533,17.4,70.7,0.165,2015,-9,-6,2,-0.07500000000000001,-1,8,-0.278,4,6,-0.029000000000000026,-3,-14,5,4,1,-9,-5
5,6,2014-11-08,2,MIN,MIA,2,92,102,35,87,0.402,4,16,0.25,18,23,0.783,17,49,13,9,2,16,17,41,78,0.526,5,13,0.385,15,17,0.882,6,40,26,8,2,14,19,98.8,109.6,93.1,0.264,0.184,0.474,55.1,37.1,9.7,3.1,0.425,14.1,33.3,0.207,0.558,14.1,84.2,0.192,2015,-10,-6,9,-0.124,-1,3,-0.135,3,6,-0.09899999999999998,11,9,-13,1,0,2,-2
6,7,2014-11-12,1,MIN,HOU,2,101,113,36,81,0.444,6,12,0.5,23,30,0.767,9,41,22,6,6,13,17,43,89,0.483,13,28,0.464,14,19,0.737,13,40,25,7,7,13,29,106.7,119.4,94.7,0.37,0.148,0.536,50.6,61.1,6.3,9.8,0.481,12.1,25.0,0.284,0.556,11.8,71.1,0.157,2015,-12,-7,-8,-0.03899999999999998,-7,-16,0.035999999999999976,9,11,0.030000000000000027,-4,1,-3,-1,-1,0,-12
7,8,2014-11-14,2,MIN,NOP,2,91,139,29,72,0.403,3,14,0.214,30,41,0.732,11,37,13,5,3,22,17,56,84,0.667,15,20,0.75,12,16,0.75,3,34,31,13,3,13,30,91.6,139.9,99.3,0.569,0.194,0.505,52.1,44.8,5.0,4.7,0.424,19.6,26.2,0.417,0.756,12.5,89.7,0.143,2015,-48,-27,-12,-0.264,-12,-6,-0.536,18,25,-0.018000000000000016,8,3,-18,-8,0,9,-13
8,9,2014-11-15,2,MIN,DAL,2,117,131,43,86,0.5,7,17,0.412,24,29,0.828,12,41,24,2,2,17,30,52,94,0.553,8,26,0.308,19,23,0.826,12,40,31,5,10,7,24,118.3,132.4,98.9,0.337,0.198,0.592,50.6,55.8,2.0,2.9,0.541,14.7,30.0,0.279,0.596,6.3,70.7,0.202,2015,-14,-9,-8,-0.05300000000000005,-1,-9,0.10399999999999998,5,6,0.0020000000000000018,0,1,-7,-3,-8,10,6
9,10,2014-11-19,1,MIN,NYK,1,115,99,44,89,0.494,11,22,0.5,16,22,0.727,15,35,26,15,2,14,23,34,69,0.493,9,16,0.563,22,28,0.786,8,33,19,6,3,22,22,124.2,106.9,92.6,0.247,0.247,0.583,51.5,59.1,16.2,3.8,0.556,12.4,37.5,0.18,0.558,21.3,71.4,0.319,2015,16,10,20,0.0010000000000000009,2,6,-0.06299999999999994,-6,-6,-0.05900000000000005,7,2,7,9,-1,-8,1
