,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2015-10-28,1,OKC,SAS,1,112,106,42,86,0.488,7,19,0.368,21,22,0.955,11,45,21,7,4,19,19,45,93,0.484,5,15,0.333,11,13,0.846,7,36,22,11,9,13,18,110.2,104.3,101.6,0.256,0.221,0.585,55.6,50.0,6.9,5.1,0.529,16.6,27.5,0.244,0.511,11.6,82.9,0.118,2016,6,-3,-7,0.0040000000000000036,2,4,0.034999999999999976,10,9,0.10899999999999999,4,9,-1,-4,-5,6,1
1,2,2015-10-30,2,OKC,ORL,1,139,136,50,110,0.455,8,27,0.296,31,38,0.816,22,62,19,8,9,20,28,47,106,0.443,12,33,0.364,30,38,0.789,14,49,25,10,10,16,31,115.2,112.7,99.8,0.345,0.245,0.548,55.9,38.0,6.6,12.3,0.491,13.6,38.6,0.282,0.5,11.5,74.1,0.283,2016,3,3,4,0.01200000000000001,-4,-6,-0.068,1,0,0.026999999999999913,8,13,-6,-2,-1,4,-3
2,3,2015-11-01,1,OKC,DEN,1,117,93,45,86,0.523,13,25,0.52,14,18,0.778,13,50,32,9,10,19,23,35,92,0.38,9,26,0.346,14,19,0.737,14,35,20,8,3,13,17,122.3,97.2,95.6,0.209,0.291,0.623,58.8,71.1,9.4,15.2,0.599,16.8,38.2,0.163,0.429,11.5,72.5,0.152,2016,24,10,-6,0.14300000000000002,4,-1,0.17400000000000004,0,-1,0.041000000000000036,-1,15,12,1,7,6,6
3,4,2015-11-02,2,OKC,HOU,2,105,110,40,84,0.476,10,23,0.435,15,22,0.682,14,55,17,7,9,24,24,41,89,0.461,9,29,0.31,19,29,0.655,7,34,22,18,7,12,22,102.0,106.9,102.9,0.262,0.274,0.56,61.8,42.5,6.8,15.0,0.536,20.4,34.1,0.179,0.511,10.5,85.4,0.213,2016,-5,-1,-5,0.014999999999999958,1,-6,0.125,-4,-7,0.027000000000000024,7,21,-5,-11,2,12,2
4,5,2015-11-04,1,OKC,TOR,2,98,103,39,82,0.476,8,23,0.348,12,14,0.857,11,41,26,8,10,19,29,33,79,0.418,5,14,0.357,32,39,0.821,12,45,12,14,3,14,16,103.4,108.6,94.8,0.171,0.28,0.556,47.7,66.7,8.4,15.4,0.524,17.7,25.0,0.146,0.449,12.7,71.4,0.405,2016,-5,6,3,0.057999999999999996,3,9,-0.009000000000000008,-20,-25,0.03600000000000003,-1,-4,14,-6,7,5,13
5,6,2015-11-05,2,OKC,CHI,2,98,104,38,84,0.452,5,13,0.385,17,20,0.85,9,44,21,2,8,9,18,40,90,0.444,7,18,0.389,17,21,0.81,11,47,20,3,7,6,17,107.2,113.8,91.4,0.238,0.155,0.528,48.4,55.3,2.2,11.1,0.482,8.8,20.0,0.202,0.483,5.7,76.1,0.189,2016,-6,-2,-6,0.008000000000000007,-2,-5,-0.0040000000000000036,0,-1,0.039999999999999925,-2,-3,1,-1,1,3,1
6,7,2015-11-08,1,OKC,PHO,1,124,103,49,94,0.521,4,20,0.2,22,30,0.733,17,52,26,14,8,15,25,38,84,0.452,7,16,0.438,20,26,0.769,7,33,18,7,1,23,25,117.4,97.6,105.6,0.319,0.213,0.578,61.2,53.1,13.3,11.8,0.543,12.3,39.5,0.234,0.494,19.4,83.3,0.238,2016,21,11,10,0.069,-3,4,-0.238,2,4,-0.03600000000000003,10,19,8,7,7,-8,0
7,8,2015-11-10,2,OKC,WAS,1,125,101,44,86,0.512,15,23,0.652,22,29,0.759,10,53,27,4,2,12,22,38,97,0.392,5,24,0.208,20,26,0.769,12,41,17,8,5,8,22,125.2,101.2,99.9,0.337,0.267,0.633,56.4,61.4,4.0,2.7,0.599,10.8,25.6,0.256,0.418,6.9,78.2,0.206,2016,24,6,-11,0.12,10,-1,0.44400000000000006,2,3,-0.010000000000000009,-2,12,10,-4,-3,4,0
8,9,2015-11-13,1,OKC,PHI,1,102,85,39,97,0.402,8,25,0.32,16,21,0.762,16,55,20,9,13,13,19,30,86,0.349,5,17,0.294,20,28,0.714,12,43,16,11,7,17,17,103.4,86.1,98.7,0.216,0.258,0.48,56.1,51.3,9.1,18.8,0.443,10.9,34.0,0.165,0.378,14.7,76.5,0.233,2016,17,9,11,0.05300000000000005,3,8,0.026000000000000023,-4,-7,0.04800000000000004,4,12,4,-2,6,-4,2
9,10,2015-11-15,1,OKC,BOS,2,85,100,28,77,0.364,6,25,0.24,23,29,0.793,10,34,18,10,6,18,20,39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26,90.6,106.6,93.8,0.377,0.325,0.473,42.0,64.3,10.7,10.2,0.403,16.7,22.2,0.299,0.53,16.5,66.7,0.159,2016,-15,-11,-5,-0.11199999999999999,-3,2,-0.15100000000000002,10,9,0.14300000000000002,-2,-13,-7,-2,-1,0,-6
