,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2015-10-28,2,WAS,ORL,1,88,87,33,84,0.393,7,28,0.25,15,25,0.6,15,49,17,8,9,17,14,37,100,0.37,5,26,0.192,8,12,0.667,17,56,20,9,6,14,22,91.6,90.5,96.1,0.298,0.333,0.463,46.7,51.5,8.3,12.2,0.435,15.2,27.8,0.179,0.395,11.7,66.7,0.08,2016,1,-4,-16,0.02300000000000002,2,2,0.057999999999999996,7,13,-0.06700000000000006,-2,-7,-3,-1,3,3,-8
1,2,2015-10-30,2,WAS,MIL,1,118,113,35,68,0.515,12,21,0.571,36,44,0.818,8,37,25,7,5,21,20,42,82,0.512,7,24,0.292,22,28,0.786,6,32,33,9,2,16,32,117.9,112.9,100.1,0.647,0.309,0.675,53.6,71.4,7.0,8.6,0.603,19.4,23.5,0.529,0.555,14.5,82.9,0.268,2016,5,-7,-14,0.0030000000000000027,5,-3,0.27899999999999997,14,16,0.03199999999999992,2,5,-8,-2,3,5,-12
2,3,2015-10-31,1,WAS,NYK,2,110,117,38,90,0.422,6,22,0.273,28,33,0.848,11,43,17,9,3,17,32,41,86,0.477,9,19,0.474,26,32,0.813,9,40,21,8,5,18,30,103.8,110.5,105.9,0.367,0.244,0.526,51.8,44.7,8.5,4.5,0.456,14.0,26.2,0.311,0.529,15.2,78.0,0.302,2016,-7,-3,4,-0.05499999999999999,-3,3,-0.20099999999999996,2,1,0.03500000000000003,2,3,-4,1,-2,-1,2
3,4,2015-11-04,1,WAS,SAS,1,102,99,42,87,0.483,8,23,0.348,10,14,0.714,4,33,27,11,3,10,19,37,81,0.457,7,22,0.318,18,20,0.9,9,49,21,5,3,20,21,104.0,101.0,98.0,0.161,0.264,0.547,40.2,64.3,11.2,5.1,0.529,9.7,9.1,0.115,0.5,18.2,76.3,0.222,2016,3,5,6,0.025999999999999968,1,1,0.02999999999999997,-8,-6,-0.18600000000000005,-5,-16,6,6,0,-10,-2
4,5,2015-11-06,2,WAS,BOS,2,98,118,36,88,0.409,8,25,0.32,18,23,0.783,10,45,23,10,8,24,27,44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21,90.8,109.4,107.9,0.261,0.284,0.499,45.9,63.9,9.3,11.9,0.455,19.7,20.8,0.205,0.515,13.7,70.0,0.186,2016,-20,-8,-9,-0.04500000000000004,-4,-5,-0.08000000000000002,0,0,0.0,-5,-8,-1,-8,3,7,6
5,6,2015-11-07,2,WAS,ATL,2,99,114,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18,43,92,0.467,13,33,0.394,15,15,1.0,10,39,37,12,4,14,15,99.3,114.4,99.7,0.218,0.308,0.579,51.3,71.1,11.0,5.1,0.538,21.9,21.6,0.192,0.538,12.4,76.7,0.163,2016,-15,-5,-14,0.019999999999999962,-5,-9,-0.061,0,2,-0.118,-2,2,-10,-1,-1,10,3
6,7,2015-11-10,1,WAS,OKC,2,101,125,38,97,0.392,5,24,0.208,20,26,0.769,12,41,17,8,5,8,22,44,86,0.512,15,23,0.652,22,29,0.759,10,53,27,4,2,12,22,101.2,125.2,99.9,0.268,0.247,0.466,43.6,44.7,8.0,7.9,0.418,6.9,21.8,0.206,0.599,10.8,74.4,0.256,2016,-24,-6,11,-0.12,-10,1,-0.44400000000000006,-2,-3,0.010000000000000009,2,-12,-10,4,3,-4,0
7,8,2015-11-14,1,WAS,ORL,1,108,99,39,83,0.47,12,29,0.414,18,26,0.692,7,49,29,6,6,11,23,38,87,0.437,4,18,0.222,19,24,0.792,6,45,19,7,2,12,22,108.4,99.4,99.6,0.313,0.349,0.572,52.1,74.4,6.0,8.7,0.542,10.4,15.2,0.217,0.46,11.0,87.5,0.218,2016,9,1,-4,0.032999999999999974,8,11,0.19199999999999998,-1,2,-0.10000000000000009,1,4,10,-1,4,-1,1
8,9,2015-11-17,1,WAS,MIL,1,115,86,37,70,0.529,12,22,0.545,29,41,0.707,6,42,25,8,3,12,19,31,72,0.431,10,21,0.476,14,24,0.583,6,34,22,5,3,19,27,123.3,92.2,93.3,0.586,0.314,0.653,55.3,67.6,8.6,5.9,0.614,12.0,17.6,0.414,0.5,18.7,85.7,0.194,2016,29,6,-2,0.09800000000000003,2,1,0.06900000000000006,15,17,0.124,0,8,3,3,0,-7,-8
9,10,2015-11-21,2,WAS,DET,1,97,95,38,78,0.487,7,19,0.368,14,20,0.7,9,42,22,10,0,11,19,36,79,0.456,8,26,0.308,15,21,0.714,8,38,20,3,2,13,17,108.7,106.4,89.3,0.256,0.244,0.559,52.5,57.9,11.2,0.0,0.532,11.2,23.1,0.179,0.506,12.8,80.5,0.19,2016,2,2,-1,0.030999999999999972,-1,-7,0.06,-1,-1,-0.014000000000000012,1,4,2,7,-2,-2,2
