,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2016-10-25,1,GSW,SAS,2,100,129,40,85,0.471,7,33,0.212,13,18,0.722,8,35,24,11,6,16,19,47,98,0.48,12,24,0.5,23,26,0.885,21,55,25,13,3,13,19,101.8,131.3,98.3,0.212,0.388,0.538,38.9,60.0,11.2,8.1,0.512,14.7,19.0,0.153,0.541,10.6,56.3,0.235,2017,-29,-7,-13,-0.009000000000000008,-5,9,-0.28800000000000003,-10,-8,-0.16300000000000003,-13,-20,-1,-2,3,3,0
1,2,2016-10-28,2,GSW,NOP,1,122,114,44,91,0.484,9,28,0.321,25,28,0.893,9,49,32,8,2,14,22,47,100,0.47,5,22,0.227,15,23,0.652,12,49,29,8,5,13,24,113.2,105.8,107.7,0.308,0.308,0.59,50.0,72.7,7.4,2.6,0.533,11.9,19.6,0.275,0.495,10.6,76.9,0.15,2017,8,-3,-9,0.014000000000000012,4,6,0.094,10,5,0.241,-3,0,3,0,-3,1,-2
2,3,2016-10-30,2,GSW,PHO,1,106,100,35,83,0.422,8,29,0.276,28,33,0.848,7,43,27,6,5,15,23,37,90,0.411,8,23,0.348,18,25,0.72,11,50,19,10,6,11,26,105.4,99.4,100.6,0.398,0.349,0.543,46.2,77.1,6.0,7.5,0.47,13.3,15.2,0.337,0.456,9.8,76.6,0.2,2017,6,-2,-7,0.01100000000000001,0,6,-0.07199999999999995,10,8,0.128,-4,-7,8,-4,-1,4,-3
3,4,2016-11-01,2,GSW,POR,1,127,104,50,89,0.562,10,26,0.385,17,23,0.739,7,45,36,14,4,16,19,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,120.6,98.8,105.3,0.258,0.292,0.641,58.4,72.0,13.3,8.5,0.618,13.9,21.2,0.191,0.512,15.9,86.4,0.186,2017,23,13,3,0.13200000000000006,-4,-13,0.026000000000000023,1,2,-0.02300000000000002,1,13,13,2,0,-2,2
4,5,2016-11-03,1,GSW,OKC,1,122,96,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18,35,87,0.402,10,27,0.37,16,28,0.571,13,41,20,8,6,16,20,126.0,99.1,96.9,0.225,0.337,0.624,52.9,58.7,9.3,23.3,0.596,13.3,34.9,0.18,0.46,13.9,70.5,0.184,2017,26,11,2,0.11499999999999999,4,3,0.09700000000000003,0,-8,0.2290000000000001,2,5,7,1,8,-1,-2
5,6,2016-11-04,2,GSW,LAL,2,97,117,39,86,0.453,5,32,0.156,14,20,0.7,9,40,26,13,3,20,13,45,95,0.474,8,30,0.267,19,21,0.905,16,51,26,9,5,16,19,94.7,114.2,102.5,0.233,0.372,0.512,44.0,66.7,12.7,4.6,0.483,17.4,20.5,0.163,0.516,13.3,66.0,0.2,2017,-20,-6,-9,-0.020999999999999963,-3,2,-0.11100000000000002,-5,-1,-0.20500000000000007,-7,-11,0,4,-2,4,-6
6,7,2016-11-07,1,GSW,NOP,1,116,106,45,90,0.5,16,35,0.457,10,12,0.833,10,38,35,14,4,15,17,39,80,0.488,7,21,0.333,21,27,0.778,11,43,26,8,1,19,16,118.5,108.3,97.9,0.133,0.389,0.609,46.9,77.8,14.3,6.8,0.589,13.6,23.8,0.111,0.531,17.1,71.8,0.263,2017,10,6,10,0.01200000000000001,9,14,0.124,-11,-15,0.05499999999999994,-1,-5,9,6,3,-4,1
7,8,2016-11-09,1,GSW,DAL,1,116,95,43,74,0.581,17,33,0.515,13,22,0.591,5,39,33,3,5,15,22,34,86,0.395,6,28,0.214,21,28,0.75,13,42,20,10,2,7,20,127.7,104.5,90.9,0.297,0.446,0.693,48.1,76.7,3.3,8.6,0.696,15.2,14.7,0.176,0.43,6.6,72.3,0.244,2017,21,9,-12,0.18599999999999994,11,5,0.30100000000000005,-8,-6,-0.15900000000000003,-8,-3,13,-7,3,8,2
8,9,2016-11-10,2,GSW,DEN,1,125,101,46,85,0.541,14,30,0.467,19,20,0.95,9,44,33,15,6,15,18,38,94,0.404,13,36,0.361,12,17,0.706,17,44,26,7,3,18,18,127.0,102.7,98.4,0.235,0.353,0.666,50.0,71.7,15.2,10.3,0.624,13.8,25.0,0.224,0.473,15.1,67.3,0.128,2017,24,8,-9,0.137,1,-6,0.10600000000000004,7,3,0.244,-8,0,7,8,3,-3,0
9,10,2016-11-13,1,GSW,PHO,1,133,120,45,87,0.517,16,33,0.485,27,31,0.871,8,43,32,8,7,16,20,46,90,0.511,8,24,0.333,20,26,0.769,8,38,27,10,3,13,29,126.3,114.0,105.3,0.356,0.379,0.661,53.1,71.1,7.6,10.6,0.609,13.7,21.1,0.31,0.556,11.4,81.4,0.222,2017,13,-1,-3,0.006000000000000005,8,9,0.15199999999999997,7,5,0.10199999999999998,0,5,5,-2,4,3,-9
10,11,2016-11-16,2,GSW,TOR,1,127,121,44,87,0.506,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25,37,82,0.451,10,25,0.4,37,41,0.902,13,46,16,8,1,14,22,127.5,121.4,99.6,0.322,0.414,0.639,43.2,75.0,9.0,12.3,0.58,10.8,17.5,0.299,0.512,12.3,68.3,0.451,2017,6,7,5,0.05499999999999999,3,11,-0.039000000000000035,-11,-13,0.027000000000000024,-6,-11,17,1,6,-2,3
11,12,2016-11-18,2,GSW,BOS,1,104,88,44,90,0.489,9,28,0.321,7,12,0.583,9,50,33,10,7,11,20,31,83,0.373,11,32,0.344,15,19,0.789,7,43,19,6,3,13,12,108.6,91.9,95.7,0.133,0.311,0.546,53.8,75.0,10.4,13.7,0.539,10.4,20.0,0.078,0.44,12.5,85.4,0.181,2017,16,13,7,0.11599999999999999,-2,-4,-0.022999999999999965,-8,-7,-0.20600000000000007,2,7,14,4,4,-2,8
12,13,2016-11-19,2,GSW,MIL,1,124,121,42,95,0.442,14,38,0.368,26,32,0.813,18,45,30,8,5,12,25,46,89,0.517,10,20,0.5,19,25,0.76,10,41,27,7,1,13,23,124.9,121.9,99.3,0.337,0.4,0.568,52.3,71.4,8.1,7.2,0.516,9.9,36.7,0.274,0.573,11.5,73.0,0.213,2017,3,-4,6,-0.07500000000000001,4,18,-0.132,7,7,0.052999999999999936,8,4,3,1,4,-1,2
13,14,2016-11-21,2,GSW,IND,1,120,83,40,90,0.444,13,36,0.361,27,32,0.844,12,60,31,9,10,12,17,33,103,0.32,6,23,0.261,11,12,0.917,15,49,13,5,4,11,23,118.9,82.3,100.9,0.356,0.4,0.576,55.0,77.5,8.9,12.5,0.517,10.3,26.1,0.3,0.35,9.2,76.2,0.107,2017,37,7,-13,0.124,7,13,0.09999999999999998,16,20,-0.07300000000000006,-3,11,18,4,6,1,-6
