,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2017-10-18,2,ATL,DAL,1,117,111,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,38,86,0.442,17,45,0.378,18,21,0.857,9,41,27,5,4,15,19,118.7,112.6,98.6,0.16,0.191,0.582,54.9,41.7,11.2,14.6,0.559,11.4,30.4,0.128,0.541,13.6,80.0,0.209,2018,6,10,8,0.069,-8,-27,0.122,-6,-6,-0.05699999999999994,5,9,-7,6,2,-2,-1
1,2,2017-10-20,2,ATL,CHO,2,91,109,36,95,0.379,7,30,0.233,12,14,0.857,6,38,19,11,4,13,29,37,86,0.43,11,36,0.306,24,30,0.8,12,57,17,5,4,21,18,86.3,103.4,105.4,0.147,0.316,0.45,40.0,52.8,10.4,8.0,0.416,11.4,11.8,0.126,0.494,17.5,72.7,0.279,2018,-18,-1,9,-0.05099999999999999,-4,-6,-0.07299999999999998,-12,-16,0.05699999999999994,-6,-19,2,6,0,-8,11
2,3,2017-10-22,2,ATL,BRK,2,104,116,32,94,0.34,7,27,0.259,33,36,0.917,16,48,21,6,2,16,25,41,87,0.471,11,27,0.407,23,34,0.676,13,51,27,12,8,18,27,99.5,110.9,104.6,0.383,0.287,0.473,48.5,65.6,5.7,3.3,0.378,12.7,29.6,0.351,0.534,15.0,71.1,0.264,2018,-12,-9,7,-0.13099999999999995,-4,0,-0.14799999999999996,10,2,0.241,3,-3,-6,-6,-6,-2,-2
3,4,2017-10-23,2,ATL,MIA,2,93,104,36,76,0.474,7,17,0.412,14,18,0.778,6,41,14,9,1,20,17,39,85,0.459,14,37,0.378,12,18,0.667,10,41,21,12,6,19,19,94.6,105.8,98.3,0.237,0.224,0.554,50.0,38.9,9.2,2.1,0.52,19.2,16.2,0.184,0.541,17.0,77.8,0.141,2018,-11,-3,-9,0.014999999999999958,-7,-20,0.033999999999999975,2,0,0.11099999999999999,-4,0,-7,-3,-5,1,-2
4,5,2017-10-26,2,ATL,CHI,2,86,91,32,81,0.395,11,28,0.393,11,13,0.846,7,40,22,10,5,10,23,31,86,0.36,7,32,0.219,22,29,0.759,18,62,20,5,4,13,15,96.2,101.8,89.4,0.16,0.346,0.496,39.2,68.8,11.2,9.3,0.463,10.3,13.7,0.136,0.401,11.6,64.7,0.256,2018,-5,1,-5,0.03500000000000003,4,-4,0.17400000000000002,-11,-16,0.08699999999999997,-11,-22,2,5,1,-3,8
5,6,2017-10-27,1,ATL,DEN,2,100,105,37,89,0.416,14,33,0.424,12,12,1.0,11,43,23,7,4,12,21,42,91,0.462,4,20,0.2,17,23,0.739,11,46,25,8,4,11,12,105.1,110.4,95.1,0.135,0.371,0.53,48.3,62.2,7.4,5.6,0.494,11.3,23.9,0.135,0.484,9.8,74.4,0.187,2018,-5,-5,-2,-0.04600000000000004,10,13,0.22399999999999998,-5,-11,0.261,0,-3,-2,-1,0,1,9
6,7,2017-10-29,1,ATL,MIL,2,106,117,36,77,0.468,13,29,0.448,21,26,0.808,3,31,27,9,2,16,21,44,81,0.543,13,26,0.5,16,21,0.762,5,43,30,9,3,14,27,107.3,118.4,98.8,0.338,0.377,0.599,41.9,75.0,9.1,3.6,0.552,15.3,7.3,0.273,0.623,13.4,84.8,0.198,2018,-11,-8,-4,-0.07500000000000001,0,3,-0.05199999999999999,5,5,0.04600000000000004,-2,-12,-3,0,-1,2,-6
7,8,2017-11-01,2,ATL,PHI,2,109,119,41,94,0.436,8,23,0.348,19,27,0.704,12,49,22,11,4,18,28,46,99,0.465,13,35,0.371,14,25,0.56,15,53,36,10,4,16,26,100.1,109.3,108.9,0.287,0.245,0.515,48.0,53.7,10.1,6.3,0.479,14.5,24.0,0.202,0.53,12.7,71.2,0.141,2018,-10,-5,-5,-0.029000000000000026,-5,-12,-0.02300000000000002,5,2,0.1439999999999999,-3,-4,-14,1,0,2,2
8,9,2017-11-03,1,ATL,HOU,2,104,119,39,81,0.481,11,33,0.333,15,18,0.833,5,41,16,8,8,18,16,42,89,0.472,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,103.6,118.6,100.4,0.222,0.407,0.585,48.2,41.0,8.0,19.0,0.549,16.8,12.5,0.185,0.562,10.8,80.0,0.213,2018,-15,-3,-8,0.009000000000000008,-5,-14,-0.007000000000000006,-4,-5,0.007000000000000006,-4,-3,-12,-6,4,6,0
9,10,2017-11-05,2,ATL,CLE,1,117,115,41,86,0.477,11,25,0.44,24,34,0.706,11,44,24,4,6,17,20,42,96,0.438,10,36,0.278,21,23,0.913,15,47,27,6,6,13,29,114.5,112.5,102.2,0.395,0.291,0.579,48.4,58.5,3.9,10.0,0.541,14.4,25.6,0.279,0.49,10.9,68.8,0.219,2018,2,-1,-10,0.03899999999999998,1,-11,0.16199999999999998,3,11,-0.20700000000000007,-4,-3,-3,-2,0,4,-9
10,11,2017-11-06,1,ATL,BOS,2,107,110,39,81,0.481,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22,39,81,0.481,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,111.5,114.6,96.0,0.247,0.321,0.596,46.2,61.5,8.3,8.9,0.562,13.5,12.5,0.198,0.568,12.5,81.6,0.222,2018,-3,0,0,0.0,-1,-10,0.11099999999999999,-2,-2,-0.017999999999999905,-2,-6,-4,5,1,1,1
11,12,2017-11-10,2,ATL,DET,2,104,111,44,89,0.494,8,24,0.333,8,11,0.727,11,45,28,11,7,15,21,39,89,0.438,12,30,0.4,21,27,0.778,20,51,23,7,5,17,18,107.9,115.2,96.4,0.124,0.27,0.554,46.9,63.6,11.4,11.9,0.539,13.8,26.2,0.09,0.506,14.4,63.0,0.236,2018,-7,5,0,0.055999999999999994,-4,-6,-0.067,-13,-16,-0.051000000000000045,-9,-6,5,4,2,-2,3
12,13,2017-11-11,2,ATL,WAS,2,94,113,34,83,0.41,14,33,0.424,12,17,0.706,10,32,19,11,1,24,23,42,78,0.538,7,24,0.292,22,28,0.786,11,42,22,14,10,23,22,93.8,112.8,100.2,0.205,0.398,0.519,43.2,55.9,11.0,1.9,0.494,21.0,24.4,0.145,0.583,20.3,66.7,0.282,2018,-19,-8,5,-0.12800000000000006,7,9,0.132,-10,-11,-0.08000000000000007,-1,-10,-3,-3,-9,1,1
13,14,2017-11-13,2,ATL,NOP,2,105,106,40,87,0.46,17,36,0.472,8,9,0.889,10,36,25,14,1,16,18,41,75,0.547,13,33,0.394,11,17,0.647,7,38,31,10,5,19,13,112.0,113.1,93.7,0.103,0.414,0.577,48.6,62.5,14.9,2.4,0.557,15.0,24.4,0.092,0.633,18.7,78.8,0.147,2018,-1,-1,12,-0.08700000000000002,4,3,0.07799999999999996,-3,-8,0.242,3,-2,-6,4,-4,-3,5
14,15,2017-11-15,1,ATL,SAC,1,126,80,50,79,0.633,16,32,0.5,10,16,0.625,9,53,40,9,6,18,23,31,88,0.352,6,28,0.214,12,20,0.6,11,29,18,12,2,12,19,133.4,84.7,94.4,0.203,0.405,0.732,64.6,80.0,9.5,10.0,0.734,17.3,33.3,0.127,0.386,11.0,80.0,0.136,2018,46,19,-9,0.281,10,4,0.28600000000000003,-2,-4,0.025000000000000022,-2,24,22,-3,4,6,4
