,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2017-10-19,1,TOR,CHI,1,117,100,39,83,0.47,13,29,0.448,26,28,0.929,13,49,26,10,4,17,19,37,89,0.416,10,32,0.313,16,18,0.889,10,39,22,7,2,19,23,117.2,100.1,99.9,0.337,0.349,0.614,55.7,66.7,10.0,7.0,0.548,15.1,31.0,0.313,0.472,16.4,78.3,0.18,2018,17,2,-6,0.05399999999999999,3,-3,0.135,10,10,0.040000000000000036,3,10,4,3,2,-2,-4
1,2,2017-10-21,1,TOR,PHI,1,128,94,42,89,0.472,13,44,0.295,31,37,0.838,8,51,23,5,10,13,29,32,82,0.39,8,24,0.333,22,36,0.611,8,41,18,5,4,20,26,119.1,87.4,107.5,0.416,0.494,0.608,55.4,54.8,4.7,17.2,0.545,11.0,19.5,0.348,0.439,17.0,84.3,0.268,2018,34,10,7,0.08199999999999996,5,20,-0.038000000000000034,9,1,0.22699999999999998,0,10,5,0,6,-7,3
2,3,2017-10-23,2,TOR,SAS,2,97,101,34,80,0.425,10,37,0.27,19,24,0.792,5,34,17,11,4,14,30,40,90,0.444,5,20,0.25,16,23,0.696,18,55,19,4,12,20,22,98.8,102.8,98.2,0.3,0.463,0.536,38.2,50.0,11.2,5.7,0.488,13.4,11.9,0.238,0.472,16.7,61.7,0.178,2018,-4,-6,-10,-0.019000000000000017,5,17,0.020000000000000018,3,1,0.09600000000000009,-13,-21,-2,7,-8,-6,8
3,4,2017-10-25,2,TOR,GSW,2,112,117,43,94,0.457,8,34,0.235,18,19,0.947,17,42,30,10,6,16,16,43,77,0.558,12,26,0.462,19,22,0.864,6,37,32,10,7,17,15,115.4,120.6,97.0,0.202,0.362,0.547,53.2,69.8,10.3,11.8,0.5,13.5,35.4,0.191,0.636,16.4,80.6,0.247,2018,-5,0,17,-0.10100000000000003,-4,8,-0.22700000000000004,-1,-3,0.08299999999999996,11,5,-2,0,-1,-1,1
4,5,2017-10-27,2,TOR,LAL,1,101,92,40,93,0.43,7,29,0.241,14,20,0.7,9,40,27,12,4,12,24,36,79,0.456,3,23,0.13,17,24,0.708,9,49,20,7,6,21,22,100.1,91.2,100.9,0.215,0.312,0.496,44.9,67.5,11.9,7.1,0.468,10.5,18.4,0.151,0.475,19.0,77.5,0.215,2018,9,4,14,-0.026000000000000023,4,6,0.11099999999999999,-3,-4,-0.008000000000000007,0,-9,7,5,-2,-9,2
5,6,2017-10-30,2,TOR,POR,1,99,85,39,87,0.448,8,24,0.333,13,17,0.765,8,47,17,10,9,9,14,31,80,0.388,8,26,0.308,15,19,0.789,6,38,13,5,7,13,15,106.4,91.3,93.1,0.195,0.276,0.524,55.3,43.6,10.7,16.7,0.494,8.7,20.0,0.149,0.438,12.8,86.7,0.188,2018,14,8,7,0.06,0,-2,0.025000000000000022,-2,-2,-0.02400000000000002,2,9,4,5,2,-4,-1
6,7,2017-11-01,2,TOR,DEN,2,111,129,42,85,0.494,11,31,0.355,16,25,0.64,9,38,20,7,4,13,25,47,88,0.534,16,32,0.5,19,29,0.655,9,43,35,9,4,12,20,111.2,129.3,99.8,0.294,0.365,0.578,46.9,47.6,7.0,7.1,0.559,11.9,20.9,0.188,0.625,10.6,76.3,0.216,2018,-18,-5,-3,-0.040000000000000036,-5,-1,-0.14500000000000002,-3,-4,-0.015000000000000013,0,-5,-15,-2,0,1,5
7,8,2017-11-03,2,TOR,UTA,1,109,100,38,71,0.535,11,30,0.367,22,28,0.786,5,39,20,9,4,16,27,35,80,0.438,8,23,0.348,22,24,0.917,10,33,11,9,5,13,25,118.8,109.0,91.8,0.394,0.423,0.654,54.2,52.6,9.8,7.0,0.613,16.1,17.9,0.31,0.488,12.6,77.3,0.275,2018,9,3,-9,0.09700000000000003,3,7,0.019000000000000017,0,4,-0.131,-5,6,9,0,-1,3,2
8,9,2017-11-05,1,TOR,WAS,2,96,107,37,80,0.463,5,24,0.208,17,27,0.63,9,36,17,7,8,13,24,40,85,0.471,11,23,0.478,16,23,0.696,11,46,19,9,3,17,26,100.2,111.7,95.8,0.338,0.3,0.522,43.9,45.9,7.3,12.9,0.494,12.4,20.5,0.213,0.535,15.2,71.1,0.188,2018,-11,-3,-5,-0.007999999999999952,-6,1,-0.27,1,4,-0.06599999999999995,-2,-10,-2,-2,5,-4,-2
9,10,2017-11-07,1,TOR,CHI,1,119,114,44,81,0.543,13,25,0.52,18,24,0.75,7,37,22,5,0,15,22,40,80,0.5,11,29,0.379,23,28,0.821,8,37,26,10,2,13,23,123.3,118.1,96.5,0.296,0.309,0.65,50.0,50.0,5.2,0.0,0.623,14.1,19.4,0.222,0.569,12.3,78.9,0.288,2018,5,4,1,0.04300000000000004,2,-4,0.14100000000000001,-5,-4,-0.07099999999999995,-1,0,-4,-5,-2,2,-1
