,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2019-10-23,1,BRK,MIN,2,126,127,48,101,0.475,15,34,0.441,15,26,0.577,10,48,19,8,9,16,30,46,108,0.426,13,43,0.302,22,28,0.786,12,52,23,9,4,13,22,108.5,109.3,105.2,0.257,0.337,0.56,48.0,39.6,6.9,13.8,0.55,12.5,20.0,0.149,0.486,9.8,76.0,0.204,2020,-1,2,-7,0.04899999999999999,2,-9,0.139,-7,-2,-0.20900000000000007,-2,-4,-4,-1,5,3,8
1,2,2019-10-25,1,BRK,NYK,1,113,109,37,78,0.474,16,37,0.432,23,34,0.676,11,46,21,11,2,26,26,38,81,0.469,17,25,0.68,16,28,0.571,9,39,17,14,4,26,31,105.3,101.6,107.3,0.436,0.474,0.608,54.1,56.8,10.3,3.6,0.577,21.9,26.8,0.295,0.574,21.8,79.5,0.198,2020,4,-1,-3,0.0050000000000000044,-1,12,-0.24800000000000005,7,6,0.1050000000000001,2,7,4,-3,-2,0,-5
2,3,2019-10-27,2,BRK,MEM,2,133,134,44,101,0.436,15,45,0.333,30,37,0.811,11,53,28,6,5,17,22,50,103,0.485,14,33,0.424,20,25,0.8,8,49,33,9,10,12,29,112.8,113.6,106.8,0.366,0.446,0.567,52.0,63.6,5.1,7.1,0.51,12.7,21.2,0.297,0.553,9.5,84.0,0.194,2020,-1,-6,-2,-0.04899999999999999,1,12,-0.09099999999999997,10,12,0.01100000000000001,3,4,-5,-3,-5,5,-7
3,4,2019-10-30,1,BRK,IND,2,108,118,41,93,0.441,10,31,0.323,16,26,0.615,18,54,21,6,5,19,19,45,96,0.469,11,26,0.423,17,20,0.85,11,41,25,9,2,9,24,107.1,117.0,100.9,0.28,0.333,0.517,56.8,51.2,5.9,7.1,0.495,15.4,37.5,0.172,0.526,7.9,76.6,0.177,2020,-10,-4,-3,-0.02799999999999997,-1,5,-0.09999999999999998,-1,6,-0.235,7,13,-4,-3,3,10,-5
4,5,2019-11-01,1,BRK,HOU,1,123,116,42,85,0.494,19,32,0.594,20,28,0.714,10,55,26,8,7,20,21,41,99,0.414,12,48,0.25,22,27,0.815,9,40,21,13,4,12,21,113.7,107.2,108.2,0.329,0.376,0.632,57.9,61.9,7.4,13.7,0.606,17.0,24.4,0.235,0.475,9.8,83.3,0.222,2020,7,1,-14,0.08000000000000002,7,-16,0.344,-2,1,-0.10099999999999998,1,15,5,-5,3,8,0
5,6,2019-11-02,2,BRK,DET,2,109,113,43,93,0.462,10,32,0.313,13,17,0.765,10,48,24,4,4,14,24,41,91,0.451,8,27,0.296,23,29,0.793,5,41,21,8,7,8,18,105.5,109.4,103.3,0.183,0.344,0.542,53.9,55.8,3.9,6.3,0.516,12.2,21.7,0.14,0.495,7.2,88.4,0.253,2020,-4,2,2,0.01100000000000001,2,5,0.017000000000000015,-10,-12,-0.028000000000000025,5,7,3,-4,-3,6,6
6,7,2019-11-04,1,BRK,NOP,1,135,125,49,92,0.533,16,41,0.39,21,28,0.75,12,45,32,13,3,23,18,48,97,0.495,13,32,0.406,16,21,0.762,10,39,18,16,5,21,26,119.0,110.2,113.5,0.304,0.446,0.647,53.6,65.3,11.5,4.6,0.62,18.1,29.3,0.228,0.562,16.5,76.7,0.165,2020,10,1,-5,0.038000000000000034,3,9,-0.016000000000000014,5,7,-0.01200000000000001,2,6,14,-3,-2,2,-8
7,8,2019-11-08,2,BRK,POR,1,119,115,41,99,0.414,16,37,0.432,21,30,0.7,16,51,18,6,9,9,25,40,97,0.412,11,30,0.367,24,25,0.96,13,48,11,3,9,10,24,118.4,114.4,100.5,0.303,0.374,0.53,51.5,43.9,6.0,13.4,0.495,7.4,31.4,0.212,0.469,8.5,72.9,0.247,2020,4,1,2,0.0020000000000000018,5,7,0.065,-3,5,-0.26,3,3,7,3,0,-1,1
8,9,2019-11-10,2,BRK,PHO,2,112,138,44,91,0.484,8,34,0.235,16,17,0.941,5,43,27,4,2,17,24,52,99,0.525,19,42,0.452,15,19,0.789,5,42,37,8,7,7,17,103.4,127.4,108.3,0.187,0.374,0.569,50.6,61.4,3.7,3.5,0.527,14.7,11.9,0.176,0.621,6.1,88.4,0.152,2020,-26,-8,-8,-0.041000000000000036,-11,-8,-0.21700000000000003,1,-2,0.1519999999999999,0,1,-10,-4,-5,10,7
9,10,2019-11-12,2,BRK,UTA,2,114,119,41,90,0.456,11,37,0.297,21,25,0.84,10,43,19,5,8,16,29,43,92,0.467,6,26,0.231,27,35,0.771,11,46,16,7,4,11,18,109.5,114.3,104.1,0.278,0.411,0.564,48.3,46.3,4.8,12.1,0.517,13.7,22.2,0.233,0.5,9.3,75.0,0.293,2020,-5,-2,-2,-0.01100000000000001,5,11,0.06599999999999998,-6,-10,0.06899999999999995,-1,-3,3,-2,4,5,11
10,11,2019-11-14,2,BRK,DEN,2,93,101,36,95,0.379,8,38,0.211,13,16,0.813,7,51,19,3,2,7,14,43,101,0.426,10,33,0.303,5,10,0.5,14,62,26,4,3,7,14,94.2,102.3,98.7,0.168,0.4,0.456,45.1,52.8,3.0,2.9,0.421,6.4,12.7,0.137,0.475,6.2,75.9,0.05,2020,-8,-7,-6,-0.046999999999999986,-2,5,-0.092,8,6,0.31299999999999994,-7,-11,-7,-1,-1,0,0
11,12,2019-11-16,2,BRK,CHI,1,117,111,40,88,0.455,10,43,0.233,27,31,0.871,5,40,30,10,9,15,30,32,91,0.352,9,39,0.231,38,41,0.927,17,56,15,8,2,19,30,108.7,103.1,107.7,0.352,0.489,0.576,41.7,75.0,9.3,17.3,0.511,12.9,11.4,0.307,0.401,14.8,67.3,0.418,2020,6,8,-3,0.10300000000000004,1,4,0.0020000000000000018,-11,-10,-0.05600000000000005,-12,-16,15,2,7,-4,0
