,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2020-12-22,2,LAC,LAL,1,116,109,44,93,0.473,14,40,0.35,14,19,0.737,11,40,22,10,3,16,29,38,81,0.469,9,29,0.31,24,31,0.774,8,45,22,4,2,19,20,112.1,105.3,103.5,0.204,0.43,0.572,47.1,50.0,9.7,5.8,0.548,13.6,22.9,0.151,0.525,16.7,78.4,0.296,2021,7,6,12,0.0040000000000000036,5,11,0.03999999999999998,-10,-12,-0.03700000000000003,3,-5,0,6,1,-3,9
1,2,2020-12-25,2,LAC,DEN,1,121,108,41,74,0.554,19,38,0.5,20,24,0.833,9,38,32,9,4,18,32,37,81,0.457,11,36,0.306,23,31,0.742,10,32,25,7,1,13,20,130.3,116.3,92.8,0.324,0.514,0.715,54.3,78.0,9.7,8.9,0.682,17.6,29.0,0.27,0.525,12.1,74.4,0.284,2021,13,4,-7,0.09700000000000003,8,2,0.194,-3,-7,0.09099999999999997,-1,6,7,2,3,5,12
2,3,2020-12-27,1,LAC,DAL,2,73,124,26,76,0.342,4,33,0.121,17,20,0.85,5,36,13,2,2,12,19,43,87,0.494,14,41,0.341,24,27,0.889,11,54,25,10,2,6,14,80.3,136.3,90.9,0.263,0.434,0.43,40.0,50.0,2.2,4.3,0.368,12.4,10.4,0.224,0.575,5.7,73.8,0.276,2021,-51,-17,-11,-0.15199999999999997,-10,-8,-0.22000000000000003,-7,-7,-0.039000000000000035,-6,-18,-12,-8,0,6,5
3,4,2020-12-29,1,LAC,MIN,1,124,101,47,88,0.534,16,31,0.516,14,16,0.875,7,46,32,6,10,13,21,37,89,0.416,13,38,0.342,14,17,0.824,11,39,22,7,6,14,15,126.4,103.0,98.1,0.182,0.352,0.652,54.1,68.1,6.1,19.6,0.625,12.0,20.0,0.159,0.489,12.7,78.0,0.157,2021,23,10,-1,0.11800000000000005,3,-7,0.174,0,-1,0.051000000000000045,-4,7,10,-1,4,-1,6
4,5,2020-12-30,1,LAC,POR,1,128,105,47,95,0.495,18,38,0.474,16,22,0.727,11,47,30,13,6,10,25,32,76,0.421,12,38,0.316,29,34,0.853,5,41,14,5,4,17,17,126.3,103.6,101.3,0.232,0.4,0.611,53.4,63.8,12.8,15.8,0.589,8.7,23.4,0.168,0.5,15.7,87.8,0.382,2021,23,15,19,0.07400000000000001,6,0,0.15799999999999997,-13,-12,-0.126,6,6,16,8,2,-7,8
5,6,2021-01-01,2,LAC,UTA,2,100,106,33,85,0.388,13,33,0.394,21,24,0.875,12,43,19,6,8,8,16,41,89,0.461,15,42,0.357,9,14,0.643,13,46,28,3,3,13,20,111.0,117.7,90.1,0.282,0.388,0.523,48.3,57.6,6.7,17.0,0.465,7.7,26.7,0.247,0.545,12.0,70.5,0.101,2021,-6,-8,-4,-0.07300000000000001,-2,-9,0.03700000000000003,12,10,0.23199999999999998,-1,-3,-9,3,5,-5,-4
6,7,2021-01-03,2,LAC,PHO,1,112,107,40,83,0.482,17,29,0.586,15,19,0.789,8,37,24,5,2,10,22,37,75,0.493,10,33,0.303,23,28,0.821,7,40,23,4,3,13,22,122.5,117.0,91.5,0.229,0.349,0.613,48.1,60.0,5.5,4.8,0.584,9.9,19.5,0.181,0.56,13.0,80.6,0.307,2021,5,3,8,-0.01100000000000001,7,-4,0.283,-8,-9,-0.03199999999999992,1,-3,1,1,-1,-3,0
7,8,2021-01-05,1,LAC,SAS,2,113,116,43,86,0.5,15,35,0.429,12,13,0.923,7,45,29,6,7,13,16,44,96,0.458,20,40,0.5,8,11,0.727,11,44,23,9,3,10,13,116.5,119.6,97.0,0.151,0.407,0.616,50.6,67.4,6.2,12.5,0.587,12.4,17.5,0.14,0.563,9.0,77.6,0.083,2021,-3,-1,-10,0.04199999999999998,-5,-5,-0.07100000000000001,4,2,0.19600000000000006,-4,1,6,-3,4,3,3
8,9,2021-01-06,2,LAC,GSW,1,108,101,36,81,0.444,11,34,0.324,25,25,1.0,12,48,19,6,3,19,26,39,86,0.453,8,30,0.267,15,19,0.789,8,35,25,10,2,13,21,112.1,104.9,96.3,0.309,0.42,0.587,57.8,52.8,6.2,5.4,0.512,17.1,30.8,0.309,0.5,12.1,81.8,0.174,2021,7,-3,-5,-0.009000000000000008,3,4,0.056999999999999995,10,6,0.21099999999999997,4,13,-6,-4,1,6,5
9,10,2021-01-08,2,LAC,GSW,2,105,115,40,83,0.482,14,31,0.452,11,13,0.846,10,37,23,6,5,18,16,40,82,0.488,20,41,0.488,15,18,0.833,9,38,25,13,3,15,19,112.1,122.8,93.7,0.157,0.373,0.592,49.3,57.5,6.4,12.2,0.566,16.9,25.6,0.133,0.61,14.3,75.0,0.183,2021,-10,0,1,-0.006000000000000005,-6,-10,-0.035999999999999976,-4,-5,0.013000000000000012,1,-1,-2,-7,2,3,-3
