,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2021-10-20,1,CHO,IND,1,123,122,46,107,0.43,13,31,0.419,18,27,0.667,12,46,29,9,5,8,21,42,90,0.467,17,47,0.362,21,24,0.875,8,51,29,2,10,16,24,113.2,112.2,108.7,0.252,0.29,0.517,47.4,63.0,8.3,11.6,0.491,6.3,21.8,0.168,0.561,13.7,81.0,0.233,2022,1,4,17,-0.03700000000000003,-4,-16,0.056999999999999995,-3,3,-0.20799999999999996,4,-5,0,7,-5,-8,-3
1,2,2021-10-22,2,CHO,CLE,1,123,112,48,91,0.527,13,32,0.406,14,17,0.824,11,46,32,13,1,18,16,43,84,0.512,9,31,0.29,17,20,0.85,7,36,26,9,3,18,15,119.5,108.8,102.9,0.187,0.352,0.624,56.1,66.7,12.6,1.9,0.599,15.5,27.5,0.154,0.565,16.2,83.3,0.202,2022,11,5,7,0.015000000000000013,4,1,0.11600000000000005,-3,-3,-0.026000000000000023,4,10,6,4,-2,0,1
2,3,2021-10-24,2,CHO,BRK,1,111,95,43,94,0.457,10,30,0.333,15,19,0.789,10,48,26,10,5,12,17,38,87,0.437,9,35,0.257,10,12,0.833,9,44,18,10,8,17,19,110.9,94.9,100.1,0.202,0.319,0.542,52.2,60.5,10.0,9.6,0.511,10.5,22.2,0.16,0.489,15.6,80.9,0.115,2022,16,5,7,0.020000000000000018,1,-5,0.07600000000000001,5,7,-0.04399999999999993,1,4,8,0,-3,-5,-2
3,4,2021-10-25,1,CHO,BOS,2,129,140,46,103,0.447,19,44,0.432,18,28,0.643,14,52,26,4,6,14,25,50,101,0.495,19,50,0.38,21,25,0.84,11,53,33,8,9,12,23,115.3,125.2,101.3,0.272,0.427,0.559,49.5,56.5,3.6,11.8,0.539,10.8,25.0,0.175,0.589,9.7,77.6,0.208,2022,-11,-4,2,-0.04799999999999999,0,-6,0.05199999999999999,-3,3,-0.19699999999999995,3,-1,-7,-4,-3,2,2
4,5,2021-10-27,2,CHO,ORL,1,120,111,43,83,0.518,14,30,0.467,20,24,0.833,10,40,22,14,4,16,14,43,88,0.489,15,40,0.375,10,13,0.769,8,33,22,6,2,18,21,121.6,112.4,98.7,0.289,0.361,0.641,54.8,51.2,14.2,8.3,0.602,14.6,28.6,0.241,0.574,16.1,78.9,0.114,2022,9,0,-5,0.029000000000000026,-1,-10,0.09200000000000003,10,11,0.06399999999999995,2,7,0,8,2,-2,-7
5,6,2021-10-29,2,CHO,MIA,2,99,114,35,90,0.389,13,37,0.351,16,22,0.727,11,37,21,8,6,11,17,43,91,0.473,9,35,0.257,19,19,1.0,16,60,23,6,3,17,20,102.0,117.5,97.0,0.244,0.411,0.497,38.1,60.0,8.2,10.7,0.461,9.9,20.0,0.178,0.522,14.6,61.9,0.209,2022,-15,-8,-1,-0.08399999999999996,4,2,0.09399999999999997,-3,3,-0.273,-5,-23,-2,2,3,-6,-3
6,7,2021-10-31,1,CHO,POR,1,125,113,46,89,0.517,20,42,0.476,13,21,0.619,10,44,36,4,6,8,18,43,97,0.443,17,54,0.315,10,11,0.909,15,47,30,4,5,12,18,131.5,118.8,95.1,0.236,0.472,0.636,48.4,78.3,4.2,14.0,0.629,7.5,23.8,0.146,0.531,10.5,69.4,0.103,2022,12,3,-8,0.07400000000000001,3,-12,0.16099999999999998,3,10,-0.29000000000000004,-5,-3,6,0,1,-4,0
7,8,2021-11-01,1,CHO,CLE,2,110,113,42,101,0.416,15,39,0.385,11,15,0.733,20,46,27,12,12,17,23,39,90,0.433,9,28,0.321,26,38,0.684,17,49,21,12,7,16,14,110.4,113.4,99.7,0.149,0.386,0.511,48.4,64.3,12.0,19.4,0.49,13.6,38.5,0.109,0.483,13.0,60.5,0.289,2022,-3,3,11,-0.017000000000000015,6,11,0.064,-15,-23,0.04899999999999993,3,-3,6,0,5,1,9
8,9,2021-11-03,2,CHO,GSW,2,92,114,34,91,0.374,10,36,0.278,14,19,0.737,9,49,18,10,2,16,14,42,86,0.488,18,45,0.4,12,18,0.667,7,53,33,14,4,16,17,89.0,110.2,103.4,0.209,0.396,0.463,48.0,52.9,9.7,4.9,0.429,13.9,16.4,0.154,0.593,14.6,85.1,0.14,2022,-22,-8,5,-0.11399999999999999,-8,-9,-0.122,2,1,0.06999999999999995,2,-4,-15,-4,-2,0,-3
9,10,2021-11-05,2,CHO,SAC,2,110,140,43,92,0.467,11,35,0.314,13,21,0.619,7,28,29,8,5,10,19,48,87,0.552,22,44,0.5,22,26,0.846,13,56,29,5,1,18,21,108.6,138.3,101.3,0.228,0.38,0.543,33.3,67.4,7.9,11.6,0.527,9.0,14.0,0.141,0.678,15.5,61.8,0.253,2022,-30,-5,5,-0.08500000000000002,-11,-9,-0.186,-9,-5,-0.22699999999999998,-6,-28,0,3,4,-8,-2
10,11,2021-11-07,2,CHO,LAC,2,106,120,41,101,0.406,10,33,0.303,14,18,0.778,12,44,20,13,2,13,21,41,86,0.477,18,48,0.375,20,21,0.952,7,50,24,8,5,20,16,99.6,112.7,106.5,0.178,0.327,0.487,46.8,48.8,12.2,5.3,0.455,10.7,21.8,0.139,0.581,17.4,82.1,0.233,2022,-14,0,15,-0.07099999999999995,-8,-15,-0.07200000000000001,-6,-3,-0.17399999999999993,5,-6,-4,5,-3,-7,5
11,12,2021-11-08,2,CHO,LAL,2,123,126,43,99,0.434,14,42,0.333,23,28,0.821,14,55,23,5,3,18,23,44,91,0.484,13,32,0.406,25,35,0.714,8,51,30,11,8,15,23,109.2,111.9,102.0,0.283,0.424,0.552,51.9,53.5,4.4,5.1,0.505,13.9,24.6,0.232,0.555,12.4,83.7,0.275,2022,-3,-1,8,-0.04999999999999999,1,10,-0.07300000000000001,-2,-7,0.10699999999999998,6,4,-7,-6,-5,3,0
12,13,2021-11-10,2,CHO,MEM,1,118,108,41,90,0.456,15,36,0.417,21,24,0.875,9,49,32,13,7,17,16,45,107,0.421,9,38,0.237,9,15,0.6,20,57,27,14,8,16,18,110.7,101.3,106.6,0.267,0.4,0.587,46.2,78.0,12.2,10.1,0.539,14.5,19.6,0.233,0.463,12.3,66.7,0.084,2022,10,-4,-17,0.03500000000000003,6,-2,0.18,12,9,0.275,-11,-8,5,-1,-1,1,-2
