,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2021-10-20,1,NOP,PHI,2,97,117,39,93,0.419,13,30,0.433,6,9,0.667,10,44,28,5,6,13,16,44,85,0.518,13,25,0.52,16,20,0.8,6,47,24,9,5,12,11,98.6,119.0,98.3,0.097,0.323,0.5,48.4,71.8,5.1,10.0,0.489,11.8,19.6,0.065,0.594,11.3,85.0,0.188,2022,-20,-5,8,-0.09900000000000003,0,5,-0.08700000000000002,-10,-11,-0.133,4,-3,4,-4,1,1,5
1,2,2021-10-22,2,NOP,CHI,2,112,128,42,87,0.483,15,29,0.517,13,16,0.813,9,42,26,7,5,16,20,47,89,0.528,14,28,0.5,20,25,0.8,11,46,32,9,7,14,14,111.3,127.2,100.7,0.184,0.333,0.595,47.7,61.9,7.0,8.2,0.569,14.5,20.5,0.149,0.607,12.3,75.0,0.225,2022,-16,-5,-2,-0.04500000000000004,1,1,0.017000000000000015,-7,-9,0.0129999999999999,-2,-4,-6,-2,-2,2,6
2,3,2021-10-23,2,NOP,MIN,2,89,96,31,89,0.348,9,40,0.225,18,23,0.783,21,61,15,10,5,28,22,39,96,0.406,12,38,0.316,6,10,0.6,13,47,22,13,8,19,25,86.2,93.0,103.3,0.258,0.449,0.449,56.5,48.4,9.7,8.6,0.399,22.0,38.2,0.202,0.469,15.9,75.5,0.063,2022,-7,-8,-7,-0.05800000000000005,-3,2,-0.091,12,13,0.18300000000000005,8,14,-7,-3,-3,9,-3
3,4,2021-10-25,2,NOP,MIN,1,107,98,39,87,0.448,10,30,0.333,19,23,0.826,15,60,19,5,5,17,20,31,90,0.344,15,50,0.3,21,27,0.778,11,41,20,10,7,11,19,109.5,100.3,97.7,0.264,0.345,0.551,59.4,48.7,5.1,12.5,0.506,14.9,33.3,0.218,0.428,9.7,80.4,0.233,2022,9,8,-3,0.10400000000000004,-5,-20,0.03300000000000003,-2,-4,0.04799999999999993,4,19,-1,-5,-2,6,1
4,5,2021-10-27,1,NOP,ATL,2,99,102,40,93,0.43,11,36,0.306,8,9,0.889,9,44,24,5,6,9,19,40,96,0.417,8,30,0.267,14,17,0.824,21,55,21,4,4,11,14,107.0,110.2,92.5,0.097,0.387,0.511,44.4,60.0,5.4,9.1,0.489,8.5,20.9,0.086,0.458,9.6,62.5,0.146,2022,-3,0,-3,0.013000000000000012,3,6,0.03899999999999998,-6,-8,0.06500000000000006,-12,-11,3,1,2,-2,5
5,6,2021-10-29,1,NOP,SAC,2,109,113,42,98,0.429,9,34,0.265,16,25,0.64,13,49,18,9,6,10,22,40,80,0.5,9,27,0.333,24,25,0.96,3,45,19,4,5,14,20,106.6,110.5,102.3,0.255,0.347,0.5,52.1,42.9,8.8,11.3,0.474,8.4,23.6,0.163,0.556,13.3,92.3,0.3,2022,-4,2,18,-0.07100000000000001,0,7,-0.068,-8,0,-0.31999999999999995,10,4,-1,5,1,-4,2
6,7,2021-10-30,1,NOP,NYK,2,117,123,42,92,0.457,11,33,0.333,22,24,0.917,12,43,30,7,3,11,24,42,81,0.519,19,33,0.576,20,25,0.8,5,37,22,7,4,12,21,119.9,126.0,97.6,0.261,0.359,0.57,53.8,71.4,7.2,6.3,0.516,9.7,27.3,0.239,0.636,11.5,86.1,0.247,2022,-6,0,11,-0.062,-8,0,-0.24299999999999994,2,-1,0.11699999999999999,7,6,8,0,-1,-1,3
7,8,2021-11-02,2,NOP,PHO,2,100,112,36,91,0.396,13,39,0.333,15,16,0.938,14,43,21,17,6,17,16,43,82,0.524,9,26,0.346,17,18,0.944,7,42,32,8,4,19,17,101.2,113.3,98.8,0.176,0.429,0.51,50.6,58.3,17.2,10.7,0.467,14.8,28.6,0.165,0.579,17.4,80.6,0.207,2022,-12,-7,9,-0.128,4,13,-0.012999999999999956,-2,-2,-0.006000000000000005,7,1,-11,9,2,-2,-1
8,9,2021-11-03,2,NOP,SAC,2,99,112,37,86,0.43,12,34,0.353,13,15,0.867,8,40,24,1,3,16,16,42,80,0.525,10,30,0.333,18,22,0.818,4,37,27,8,7,8,21,104.2,117.9,95.0,0.174,0.395,0.535,51.9,64.9,1.1,6.0,0.5,14.7,19.5,0.151,0.588,8.2,88.9,0.225,2022,-13,-5,6,-0.09500000000000003,2,4,0.019999999999999962,-5,-7,0.049000000000000044,4,3,-3,-7,-4,8,-5
9,10,2021-11-05,2,NOP,GSW,2,85,126,31,88,0.352,11,44,0.25,12,16,0.75,11,42,23,6,3,17,18,47,91,0.516,20,50,0.4,12,14,0.857,9,49,36,10,4,11,16,87.1,129.1,97.6,0.182,0.5,0.447,46.2,74.2,6.1,7.3,0.415,15.2,21.6,0.136,0.626,10.2,77.5,0.132,2022,-41,-16,-3,-0.16400000000000003,-9,-6,-0.15000000000000002,0,2,-0.10699999999999998,2,-7,-13,-4,-1,6,2
