,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2021-10-20,1,POR,SAC,2,121,124,45,93,0.484,12,35,0.343,19,22,0.864,9,49,25,5,5,12,22,42,92,0.457,17,41,0.415,23,29,0.793,7,43,24,6,4,10,22,115.7,118.6,104.6,0.237,0.376,0.589,53.3,55.6,4.8,9.8,0.548,10.5,20.0,0.204,0.549,8.7,85.1,0.25,2022,-3,3,1,0.02699999999999997,-5,-6,-0.07199999999999995,-4,-7,0.07099999999999995,2,6,1,-1,1,2,0
1,2,2021-10-23,1,POR,PHO,1,134,105,51,94,0.543,21,50,0.42,11,17,0.647,8,48,24,8,5,9,15,43,89,0.483,9,28,0.321,10,15,0.667,7,38,27,6,1,14,19,132.7,103.9,101.0,0.181,0.532,0.66,55.8,47.1,7.9,8.2,0.654,8.1,20.5,0.117,0.534,12.8,85.1,0.112,2022,29,8,5,0.06000000000000005,12,22,0.09899999999999998,1,2,-0.020000000000000018,1,10,-3,2,4,-5,-4
2,3,2021-10-25,2,POR,LAC,2,86,116,32,85,0.376,8,37,0.216,14,18,0.778,7,47,15,11,4,30,18,44,93,0.473,14,43,0.326,14,19,0.737,5,43,37,21,6,17,23,76.4,103.0,112.6,0.212,0.435,0.463,52.2,46.9,9.8,8.0,0.424,24.4,15.6,0.165,0.548,14.4,88.9,0.151,2022,-30,-12,-8,-0.09699999999999998,-6,-6,-0.11000000000000001,0,-1,0.041000000000000036,2,4,-22,-10,-2,13,-5
3,4,2021-10-27,1,POR,MEM,1,116,96,39,84,0.464,15,36,0.417,23,31,0.742,13,48,22,11,6,13,20,35,96,0.365,17,50,0.34,9,19,0.474,21,50,27,9,3,21,25,119.2,98.7,97.3,0.369,0.429,0.594,49.0,56.4,11.3,13.0,0.554,11.7,31.0,0.274,0.453,16.8,62.5,0.094,2022,20,4,-12,0.09900000000000003,-2,-14,0.07699999999999996,14,12,0.268,-8,-2,-5,2,3,-8,-5
4,5,2021-10-29,1,POR,LAC,1,111,92,41,98,0.418,19,41,0.463,10,16,0.625,16,63,21,8,6,14,19,34,87,0.391,15,42,0.357,9,16,0.563,6,43,17,7,5,12,14,111.6,92.5,99.5,0.163,0.418,0.528,59.4,51.2,8.0,13.3,0.515,11.8,30.2,0.102,0.477,11.3,88.7,0.103,2022,19,7,11,0.02699999999999997,4,-1,0.10600000000000004,1,0,0.062000000000000055,10,20,4,1,1,2,5
5,6,2021-10-31,2,POR,CHO,2,113,125,43,97,0.443,17,54,0.315,10,11,0.909,15,47,30,4,5,12,18,46,89,0.517,20,42,0.476,13,21,0.619,10,44,36,4,6,8,18,118.8,131.5,95.1,0.113,0.557,0.555,51.6,69.8,4.2,10.6,0.531,10.5,30.6,0.103,0.629,7.5,76.2,0.146,2022,-12,-3,8,-0.07400000000000001,-3,12,-0.16099999999999998,-3,-10,0.29000000000000004,5,3,-6,0,-1,4,0
6,7,2021-11-01,2,POR,PHI,2,103,113,40,84,0.476,12,34,0.353,11,18,0.611,13,45,21,5,2,14,15,43,83,0.518,13,36,0.361,14,16,0.875,7,34,34,11,6,10,18,113.4,124.4,90.8,0.214,0.405,0.56,57.0,52.5,5.5,4.3,0.548,13.2,32.5,0.131,0.596,10.0,82.1,0.169,2022,-10,-3,1,-0.04200000000000004,-1,-2,-0.008000000000000007,-3,2,-0.264,6,11,-13,-6,-4,4,-3
7,8,2021-11-03,2,POR,CLE,2,104,107,40,90,0.444,13,37,0.351,11,17,0.647,10,39,24,12,6,9,19,39,74,0.527,15,30,0.5,14,18,0.778,5,43,29,4,2,17,14,111.0,114.2,93.7,0.189,0.411,0.533,47.6,60.0,12.8,13.6,0.517,8.5,20.8,0.122,0.628,17.2,85.3,0.189,2022,-3,1,16,-0.08300000000000002,-2,7,-0.14900000000000002,-3,-1,-0.131,5,-4,-5,8,4,-8,5
8,9,2021-11-05,1,POR,IND,1,110,106,40,82,0.488,17,39,0.436,13,15,0.867,6,42,27,7,4,13,15,43,88,0.489,14,42,0.333,6,10,0.6,7,40,28,8,2,11,18,116.2,112.0,94.6,0.183,0.476,0.621,51.2,67.5,7.4,8.7,0.591,12.8,15.4,0.159,0.568,10.6,83.7,0.068,2022,4,-3,-6,-0.0010000000000000009,3,-3,0.10299999999999998,7,5,0.267,-1,2,-1,-1,2,2,-3
9,10,2021-11-06,1,POR,LAL,1,105,90,36,95,0.379,15,55,0.273,18,24,0.75,12,52,22,14,7,11,21,31,90,0.344,9,32,0.281,19,24,0.792,11,59,20,8,5,19,17,101.0,86.6,104.0,0.253,0.579,0.497,46.8,61.1,13.5,12.1,0.458,9.4,20.0,0.189,0.394,15.9,78.4,0.211,2022,15,5,5,0.03500000000000003,6,23,-0.008000000000000007,-1,0,-0.04200000000000004,1,-7,2,6,2,-8,4
