,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-02,1,DTF,WSC,2,33,50,10,,,,,,13,,,,,,,,,,18,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-17,-8,,,,,,-1,,,,,,,,,
1,2,1946-11-05,1,DTF,STB,2,49,53,18,,,,,,13,22.0,0.591,,,,,,,18.0,20,,,,,,13,26.0,0.5,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,-4,-2,,,,,,0,-4.0,0.09099999999999997,,,,,,,-4.0
2,3,1946-11-08,2,DTF,TRH,2,71,73,28,,,,,,15,23.0,0.652,,,,,,,15.0,31,,,,,,11,26.0,0.423,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1947,-2,-3,,,,,,4,-3.0,0.22900000000000004,,,,,,,-6.0
3,4,1946-11-09,1,DTF,BOS,1,69,46,26,,,,,,17,,,,,,,,,,15,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,23,11,,,,,,1,,,,,,,,,
4,5,1946-11-13,1,DTF,PRO,2,68,70,24,,,,,,20,32.0,0.625,,,,,,,22.0,27,,,,,,16,25.0,0.64,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1947,-2,-3,,,,,,4,7.0,-0.015000000000000013,,,,,,,-6.0
5,6,1946-11-16,2,DTF,PRO,1,70,59,28,,,,,,14,,,,,,,,,,21,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,11,7,,,,,,-3,,,,,,,,,
6,7,1946-11-18,2,DTF,NYK,2,57,61,22,,,,,,13,,,,,,,,,,25,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-4,-3,,,,,,2,,,,,,,,,
7,8,1946-11-20,1,DTF,PIT,2,53,54,22,,,,,,9,15.0,0.6,,,,,,,11.0,22,,,,,,10,13.0,0.769,,,,,,,14.0,,,,,,,,,,,,,,,,,,,1947,-1,0,,,,,,-1,2.0,-0.16900000000000004,,,,,,,-3.0
8,9,1946-11-23,1,DTF,BOS,1,54,46,22,,,,,,10,,,,,,,,,,18,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,8,4,,,,,,0,,,,,,,,,
9,10,1946-11-24,2,DTF,CHS,1,68,55,27,,,,,,14,24.0,0.583,,,,,,,26.0,18,,,,,,19,29.0,0.655,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1947,13,9,,,,,,-5,-5.0,-0.07200000000000006,,,,,,,3.0
