,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-02,1,PRO,BOS,1,59,53,21,,,,,,17,,,,,,,,,,21,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,6,0,,,,,,6,,,,,,,,,
1,2,1946-11-07,1,PRO,CHS,1,73,65,31,,,,,,11,18.0,0.611,,,,,,,20.0,27,,,,,,11,24.0,0.458,,,,,,,14.0,,,,,,,,,,,,,,,,,,,1947,8,4,,,,,,0,-6.0,0.15299999999999997,,,,,,,6.0
2,3,1946-11-09,1,PRO,PIT,1,76,66,22,,,,,,32,,,,,,,,,,25,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,10,-3,,,,,,16,,,,,,,,,
3,4,1946-11-11,2,PRO,PIT,2,71,84,21,,,,,,29,42.0,0.69,,,,,,,28.0,29,,,,,,26,35.0,0.743,,,,,,,32.0,,,,,,,,,,,,,,,,,,,1947,-13,-8,,,,,,3,7.0,-0.05300000000000005,,,,,,,-4.0
4,5,1946-11-13,2,PRO,DTF,1,70,68,27,,,,,,16,25.0,0.64,,,,,,,28.0,24,,,,,,20,32.0,0.625,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,2,3,,,,,,-4,-7.0,0.015000000000000013,,,,,,,6.0
5,6,1946-11-15,2,PRO,TRH,2,68,85,21,,,,,,26,34.0,0.765,,,,,,,22.0,32,,,,,,21,28.0,0.75,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,-17,-11,,,,,,5,6.0,0.015000000000000013,,,,,,,0.0
6,7,1946-11-16,1,PRO,DTF,2,59,70,21,,,,,,17,,,,,,,,,,28,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-11,-7,,,,,,3,,,,,,,,,
7,8,1946-11-21,1,PRO,WSC,2,58,66,22,,,,,,14,20.0,0.7,,,,,,,19.0,25,,,,,,16,24.0,0.667,,,,,,,19.0,,,,,,,,,,,,,,,,,,,1947,-8,-3,,,,,,-2,-4.0,0.03299999999999992,,,,,,,0.0
8,9,1946-11-23,1,PRO,STB,2,59,65,22,,,,,,15,21.0,0.714,,,,,,,15.0,27,,,,,,11,17.0,0.647,,,,,,,19.0,,,,,,,,,,,,,,,,,,,1947,-6,-5,,,,,,4,4.0,0.06699999999999995,,,,,,,-4.0
9,10,1946-11-25,2,PRO,BOS,1,71,59,31,,,,,,9,,,,,,,,,,24,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,12,7,,,,,,-2,,,,,,,,,
