,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1948-11-01,1,INJ,STB,1,84,80,30,,,,,,24,32,0.75,,,,,,,22.0,35,,,,,,10,24,0.417,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1949,4,-5,,,,,,14,8,0.333,,,,,,,-4.0
1,2,1948-11-05,1,INJ,NYK,2,71,87,22,,,,,,27,41,0.659,,,,,,,,35,,,,,,17,29,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-16,-13,,,,,,10,12,0.07300000000000006,,,,,,,
2,3,1948-11-06,2,INJ,ROC,2,58,69,18,,,,,,22,33,0.667,,,,,,,26.0,28,,,,,,13,29,0.448,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1949,-11,-10,,,,,,9,4,0.21900000000000003,,,,,,,-4.0
3,4,1948-11-09,1,INJ,BLB,2,64,65,22,,,,,,20,28,0.714,,,,,,,24.0,24,,,,,,17,28,0.607,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1949,-1,-2,,,,,,3,0,0.10699999999999998,,,,,,,2.0
4,5,1948-11-13,2,INJ,CHS,2,72,79,24,,,,,,24,32,0.75,,,,,,,23.0,29,,,,,,21,30,0.7,,,,,,,27.0,,,,,,,,,,,,,,,,,,,1949,-7,-5,,,,,,3,2,0.050000000000000044,,,,,,,-4.0
5,6,1948-11-14,2,INJ,FTW,2,73,79,21,,,,,,31,45,0.689,,,,,,,,23,,,,,,33,51,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-6,-2,,,,,,-2,-6,0.041999999999999926,,,,,,,
6,7,1948-11-16,1,INJ,PHW,2,82,90,30,107.0,0.28,,,,22,27,0.815,,,,,,,18.0,37,105.0,0.352,,,,16,22,0.727,,,,,,,20.0,,,,0.252,,0.345,,,,,0.28,,,0.206,0.352,,,0.152,1949,-8,-7,2.0,-0.07199999999999995,,,,6,5,0.08799999999999997,,,,,,,-2.0
7,8,1948-11-18,2,INJ,PHW,2,71,83,27,94.0,0.287,,,,17,28,0.607,,,11.0,,,,33.0,29,92.0,0.315,,,,25,37,0.676,,,15.0,,,,23.0,,,,0.298,,0.334,,40.7,,,0.287,,,0.181,0.315,,,0.272,1949,-12,-2,2.0,-0.028000000000000025,,,,-8,-9,-0.06900000000000006,,,-4.0,,,,10.0
8,9,1948-11-19,2,INJ,BOS,2,70,75,26,,,,,,18,26,0.692,,,,,,,,31,,,,,,13,18,0.722,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-5,-5,,,,,,5,8,-0.030000000000000027,,,,,,,
9,10,1948-11-20,2,INJ,PRO,1,110,107,46,,,,,,18,28,0.643,,,,,,,,39,,,,,,29,37,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,1949,3,7,,,,,,-11,-9,-0.14100000000000001,,,,,,,
10,11,1948-11-23,1,INJ,MNL,2,82,88,33,,,,,,16,24,0.667,,,,,,,,34,,,,,,20,26,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-6,-1,,,,,,-4,-2,-0.10199999999999998,,,,,,,
11,12,1948-11-25,1,INJ,BOS,1,81,66,28,,,,,,25,36,0.694,,,,,,,,21,,,,,,24,37,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,1949,15,7,,,,,,1,-1,0.04499999999999993,,,,,,,
12,13,1948-11-27,2,INJ,WSC,2,76,94,26,,,,,,24,33,0.727,,,,,,,,35,,,,,,24,34,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-18,-9,,,,,,0,-1,0.02100000000000002,,,,,,,
13,14,1948-11-30,1,INJ,FTW,2,62,77,20,,,,,,22,27,0.815,,,,,,,,29,,,,,,19,22,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-15,-9,,,,,,3,5,-0.049000000000000044,,,,,,,
14,15,1948-12-02,2,INJ,BLB,2,78,90,32,,,,,,14,20,0.7,,,,,,,,35,,,,,,20,24,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-12,-3,,,,,,-6,-4,-0.133,,,,,,,
15,16,1948-12-04,2,INJ,NYK,2,63,66,25,,,,,,13,28,0.464,,,,,,,,24,,,,,,18,26,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-3,1,,,,,,-5,2,-0.22799999999999992,,,,,,,
16,17,1948-12-07,1,INJ,WSC,1,94,78,36,,,,,,22,38,0.579,,,,,,,,28,,,,,,22,25,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,1949,16,8,,,,,,0,13,-0.30100000000000005,,,,,,,
17,18,1948-12-13,1,INJ,NYK,2,74,80,31,,,,,,12,22,0.545,,,,,,,,29,,,,,,22,30,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-6,2,,,,,,-10,-8,-0.18799999999999994,,,,,,,
18,19,1948-12-14,N,INJ,BLB,2,75,88,29,,,,,,17,25,0.68,,,,,,,,36,,,,,,16,21,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-13,-7,,,,,,1,4,-0.08199999999999996,,,,,,,
19,20,1948-12-15,2,INJ,MNL,2,61,79,22,,,,,,17,28,0.607,,,,,,,,33,,,,,,13,19,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-18,-11,,,,,,4,9,-0.07700000000000007,,,,,,,
28,21,1948-12-17,1,INJ,CHS,2,67,71,27,,,,,,13,19,0.684,,,,,,,,27,,,,,,17,22,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-4,0,,,,,,-4,-3,-0.08899999999999997,,,,,,,
29,22,1948-12-21,1,INJ,ROC,2,71,84,26,,,,,,19,29,0.655,,,,,,,,35,,,,,,14,20,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-13,-9,,,,,,5,9,-0.04499999999999993,,,,,,,
30,23,1948-12-23,1,INJ,FTW,1,71,60,22,,,,,,27,36,0.75,,,,,,,,22,,,,,,16,19,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,1949,11,0,,,,,,11,17,-0.09199999999999997,,,,,,,
31,24,1948-12-26,2,INJ,STB,2,65,75,20,,,,,,25,33,0.758,,,,,,,,28,,,,,,19,30,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-10,-8,,,,,,6,3,0.125,,,,,,,
32,25,1948-12-30,2,INJ,PHW,2,91,94,33,105.0,0.314,,,,25,32,0.781,,,13.0,,,,34.0,34,101.0,0.337,,,,26,40,0.65,,,19.0,,,,29.0,,,,0.305,,0.382,,39.4,,,0.314,,,0.238,0.337,,,0.257,1949,-3,-1,4.0,-0.02300000000000002,,,,-1,-8,0.131,,,-6.0,,,,5.0
33,26,1949-01-01,2,INJ,PRO,1,78,77,35,,,,,,8,12,0.667,,,,,,,,31,,,,,,15,20,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1,4,,,,,,-7,-8,-0.08299999999999996,,,,,,,
34,27,1949-01-04,1,INJ,NYK,1,63,58,23,,,,,,17,25,0.68,,,,,,,,18,,,,,,22,30,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,1949,5,5,,,,,,-5,-5,-0.052999999999999936,,,,,,,
35,28,1949-01-06,1,INJ,ROC,1,73,62,28,,,,,,17,26,0.654,,,,,,,,25,,,,,,12,20,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1949,11,3,,,,,,5,6,0.05400000000000005,,,,,,,
36,29,1949-01-08,2,INJ,WSC,2,81,89,30,,,,,,21,35,0.6,,,,,,,,38,,,,,,13,20,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-8,-8,,,,,,8,15,-0.050000000000000044,,,,,,,
37,30,1949-01-09,2,INJ,FTW,2,78,80,25,,,,,,28,40,0.7,,,,,,,,25,,,,,,30,47,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-2,0,,,,,,-2,-7,0.061999999999999944,,,,,,,
38,31,1949-01-11,1,INJ,PRO,1,90,67,35,,,,,,20,29,0.69,,,,,,,,25,,,,,,17,27,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,1949,23,10,,,,,,3,2,0.05999999999999994,,,,,,,
39,32,1949-01-14,1,INJ,CHS,2,61,88,21,,,,,,19,33,0.576,,,,,,,,35,,,,,,18,24,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-27,-14,,,,,,1,9,-0.17400000000000004,,,,,,,
40,33,1949-01-16,2,INJ,MNL,2,66,75,22,,,,,,22,32,0.688,,,,,,,,26,,,,,,23,32,0.719,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-9,-4,,,,,,-1,0,-0.031000000000000028,,,,,,,
41,34,1949-01-18,1,INJ,MNL,2,56,81,19,,,,,,18,28,0.643,,,,,,,,25,,,,,,31,39,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-25,-6,,,,,,-13,-11,-0.15200000000000002,,,,,,,
42,35,1949-01-19,N,INJ,ROC,2,66,70,22,,,,,,22,29,0.759,,,,,,,,25,,,,,,20,27,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-4,-3,,,,,,2,2,0.018000000000000016,,,,,,,
43,36,1949-01-23,2,INJ,STB,1,91,73,31,,,,,,29,36,0.806,,,,,,,,24,,,,,,25,34,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,1949,18,7,,,,,,4,2,0.07100000000000006,,,,,,,
44,37,1949-01-25,1,INJ,STB,1,65,53,25,,,,,,15,20,0.75,,,,,,,,18,,,,,,17,22,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,1949,12,7,,,,,,-2,-2,-0.02300000000000002,,,,,,,
45,38,1949-01-28,1,INJ,FTW,1,77,63,29,,,,,,19,27,0.704,,,,,,,,23,,,,,,17,27,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,1949,14,6,,,,,,2,0,0.07399999999999995,,,,,,,
46,39,1949-01-29,N,INJ,CHS,2,81,87,23,,,,,,35,47,0.745,,,,,,,,30,,,,,,27,36,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-6,-7,,,,,,8,11,-0.0050000000000000044,,,,,,,
47,40,1949-02-01,1,INJ,WSC,1,83,69,31,,,,,,21,32,0.656,,,,,,,,26,,,,,,17,27,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,1949,14,5,,,,,,4,5,0.026000000000000023,,,,,,,
48,41,1949-02-02,2,INJ,WSC,2,57,83,21,,,,,,15,23,0.652,,,,,,,,33,,,,,,17,29,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-26,-12,,,,,,-2,-6,0.06600000000000006,,,,,,,
49,42,1949-02-04,2,INJ,BOS,2,64,75,24,,,,,,16,20,0.8,,,,,,,,28,,,,,,19,29,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-11,-4,,,,,,-3,-9,0.14500000000000002,,,,,,,
50,43,1949-02-05,2,INJ,BLB,2,75,87,29,,,,,,17,25,0.68,,,,,,,,35,,,,,,17,26,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-12,-6,,,,,,0,-1,0.026000000000000023,,,,,,,
