,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1948-11-06,1,ROC,INJ,1,69,58,28,,,,,,13,29,0.448,,,,,,,30.0,18,,,,,,22,33,0.667,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1949,11,10,,,,,,-9,-4,-0.21900000000000003,,,,,,,4.0
1,2,1948-11-10,2,ROC,WSC,2,66,73,25,,,,,,16,26,0.615,,,,,,,26.0,26,,,,,,21,33,0.636,,,,,,,33.0,,,,,,,,,,,,,,,,,,,1949,-7,-1,,,,,,-5,-7,-0.02100000000000002,,,,,,,-7.0
2,3,1948-11-11,2,ROC,PHW,1,83,75,28,96.0,0.292,,,,27,40,0.675,,,9.0,,,,33.0,24,84.0,0.286,,,,27,37,0.73,,,9.0,,,,34.0,,,,0.417,,0.365,,32.1,,,0.292,,,0.281,0.286,,,0.321,1949,8,4,12.0,0.006000000000000005,,,,0,3,-0.05499999999999994,,,0.0,,,,-1.0
3,4,1948-11-13,1,ROC,BOS,1,95,63,39,,,,,,17,21,0.81,,,,,,,,25,,,,,,13,20,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,1949,32,14,,,,,,4,1,0.16000000000000003,,,,,,,
4,5,1948-11-14,1,ROC,MNL,1,92,75,37,,,,,,18,27,0.667,,,,,,,,25,,,,,,25,31,0.806,,,,,,,,,,,,,,,,,,,,,,,,,,1949,17,12,,,,,,-7,-4,-0.139,,,,,,,
5,6,1948-11-16,1,ROC,NYK,1,75,63,24,,,,,,27,34,0.794,,,,,,,,25,,,,,,13,30,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,1949,12,-1,,,,,,14,4,0.36100000000000004,,,,,,,
6,7,1948-11-18,2,ROC,PRO,1,103,74,40,,,,,,23,30,0.767,,,,,,,,24,,,,,,26,29,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,1949,29,16,,,,,,-3,1,-0.13,,,,,,,
7,8,1948-11-21,1,ROC,WSC,2,77,80,25,,,,,,27,42,0.643,,,,,,,,24,,,,,,32,44,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-3,1,,,,,,-5,-2,-0.08399999999999996,,,,,,,
8,9,1948-11-23,1,ROC,BLB,1,108,90,44,,,,,,20,25,0.8,,,,,,,,31,,,,,,28,39,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,1949,18,13,,,,,,-8,-14,0.08200000000000007,,,,,,,
9,10,1948-11-27,1,ROC,CHS,1,105,103,33,,,,,,39,51,0.765,,,,,,,,36,,,,,,31,46,0.674,,,,,,,,,,,,,,,,,,,,,,,,,,1949,2,-3,,,,,,8,5,0.09099999999999997,,,,,,,
10,11,1948-12-01,2,ROC,NYK,1,73,72,23,,,,,,27,34,0.794,,,,,,,,25,,,,,,22,32,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1,-2,,,,,,5,2,0.1060000000000001,,,,,,,
11,12,1948-12-04,1,ROC,PHW,1,105,101,38,86.0,0.442,,,,29,39,0.744,,,26.0,,,,29.0,36,106.0,0.34,,,,29,37,0.784,,,26.0,,,,30.0,,,,0.453,,0.509,,68.4,,,0.442,,,0.337,0.34,,,0.274,1949,4,2,-20.0,0.10199999999999998,,,,0,2,-0.040000000000000036,,,0.0,,,,-1.0
12,13,1948-12-06,2,ROC,BOS,1,87,79,34,,,,,,19,29,0.655,,,,,,,,26,,,,,,27,37,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,1949,8,8,,,,,,-8,-8,-0.07499999999999996,,,,,,,
13,14,1948-12-07,1,ROC,PRO,2,89,90,35,,,,,,19,26,0.731,,,,,,,,35,,,,,,20,28,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-1,0,,,,,,-1,-2,0.017000000000000015,,,,,,,
14,15,1948-12-10,1,ROC,MNL,2,75,96,30,,,,,,15,22,0.682,,,,,,,,38,,,,,,20,27,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-21,-8,,,,,,-5,-5,-0.05899999999999994,,,,,,,
15,16,1948-12-12,2,ROC,MNL,2,58,67,18,,,,,,22,38,0.579,,,,,,,,20,,,,,,27,42,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-9,-2,,,,,,-5,-4,-0.06400000000000006,,,,,,,
16,17,1948-12-14,2,ROC,CHS,1,85,78,29,,,,,,27,44,0.614,,,,,,,,27,,,,,,24,35,0.686,,,,,,,,,,,,,,,,,,,,,,,,,,1949,7,2,,,,,,3,9,-0.07200000000000006,,,,,,,
17,18,1948-12-18,1,ROC,FTW,1,84,64,26,,,,,,32,38,0.842,,,,,,,,25,,,,,,14,18,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,1949,20,1,,,,,,18,20,0.06399999999999995,,,,,,,
18,19,1948-12-19,2,ROC,FTW,1,83,78,25,,,,,,33,44,0.75,,,,,,,,23,,,,,,32,44,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,1949,5,2,,,,,,1,0,0.02300000000000002,,,,,,,
19,20,1948-12-21,2,ROC,INJ,1,84,71,35,,,,,,14,20,0.7,,,,,,,,26,,,,,,19,29,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,1949,13,9,,,,,,-5,-9,0.04499999999999993,,,,,,,
28,21,1948-12-25,1,ROC,STB,1,90,82,31,,,,,,28,37,0.757,,,,,,,,27,,,,,,28,37,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,1949,8,4,,,,,,0,0,0.0,,,,,,,
29,22,1948-12-26,2,ROC,MNL,2,90,99,26,,,,,,38,48,0.792,,,,,,,,28,,,,,,43,48,0.896,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-9,-2,,,,,,-5,0,-0.10399999999999998,,,,,,,
30,23,1948-12-29,2,ROC,NYK,2,74,77,26,,,,,,22,37,0.595,,,,,,,,27,,,,,,23,36,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-3,-1,,,,,,-1,1,-0.04400000000000004,,,,,,,
31,24,1948-12-30,2,ROC,BLB,2,89,100,31,,,,,,27,33,0.818,,,,,,,,36,,,,,,28,34,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-11,-5,,,,,,-1,-1,-0.006000000000000005,,,,,,,
32,25,1949-01-01,1,ROC,STB,1,106,83,36,,,,,,34,51,0.667,,,,,,,,30,,,,,,23,31,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,1949,23,6,,,,,,11,20,-0.07499999999999996,,,,,,,
33,26,1949-01-02,2,ROC,STB,1,89,64,33,,,,,,23,31,0.742,,,,,,,,23,,,,,,18,25,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,1949,25,10,,,,,,5,6,0.02200000000000002,,,,,,,
34,27,1949-01-06,2,ROC,INJ,2,62,73,25,,,,,,12,20,0.6,,,,,,,,28,,,,,,17,26,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-11,-3,,,,,,-5,-6,-0.05400000000000005,,,,,,,
35,28,1949-01-08,1,ROC,CHS,2,88,91,31,,,,,,26,38,0.684,,,,,,,,33,,,,,,25,34,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-3,-2,,,,,,1,4,-0.050999999999999934,,,,,,,
36,29,1949-01-09,2,ROC,CHS,1,90,75,28,,,,,,34,48,0.708,,,,,,,,28,,,,,,19,25,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,1949,15,0,,,,,,15,23,-0.052000000000000046,,,,,,,
37,30,1949-01-11,1,ROC,PHW,1,83,71,30,,,,,,23,32,0.719,,,,,,,21.0,28,,,,,,15,27,0.556,,,,,,,27.0,,,,,,,,,,,,,,,,,,,1949,12,2,,,,,,8,5,0.16299999999999992,,,,,,,-6.0
38,31,1949-01-13,2,ROC,BLB,1,102,85,39,,,,,,24,38,0.632,,,,,,,,29,,,,,,27,37,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,1949,17,10,,,,,,-3,1,-0.09799999999999998,,,,,,,
39,32,1949-01-15,1,ROC,FTW,1,73,62,22,,,,,,29,40,0.725,,,,,,,,23,,,,,,16,34,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,1949,11,-1,,,,,,13,6,0.254,,,,,,,
40,33,1949-01-19,N,ROC,INJ,1,70,66,25,,,,,,20,27,0.741,,,,,,,,22,,,,,,22,29,0.759,,,,,,,,,,,,,,,,,,,,,,,,,,1949,4,3,,,,,,-2,-2,-0.018000000000000016,,,,,,,
41,34,1949-01-20,2,ROC,STB,1,84,74,31,,,,,,22,33,0.667,,,,,,,,25,,,,,,24,32,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1949,10,6,,,,,,-2,1,-0.08299999999999996,,,,,,,
42,35,1949-01-22,1,ROC,NYK,1,103,98,38,,,,,,27,39,0.692,,,,,,,,33,,,,,,32,48,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1949,5,5,,,,,,-5,-9,0.02499999999999991,,,,,,,
43,36,1949-01-23,2,ROC,FTW,1,81,80,30,,,,,,21,32,0.656,,,,,,,,30,,,,,,20,27,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1,0,,,,,,1,5,-0.08499999999999996,,,,,,,
44,37,1949-01-29,1,ROC,BLB,1,90,86,28,,,,,,34,49,0.694,,,,,,,,31,,,,,,24,34,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,1949,4,-3,,,,,,10,15,-0.01200000000000001,,,,,,,
45,38,1949-02-01,2,ROC,BOS,1,76,68,28,,,,,,20,29,0.69,,,,,,,,26,,,,,,16,23,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,1949,8,2,,,,,,4,6,-0.006000000000000005,,,,,,,
46,39,1949-02-03,2,ROC,PRO,2,80,88,29,,,,,,22,36,0.611,,,,,,,,33,,,,,,22,31,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-8,-4,,,,,,0,5,-0.09899999999999998,,,,,,,
47,40,1949-02-05,1,ROC,FTW,1,80,61,28,,,,,,24,30,0.8,,,,,,,,21,,,,,,19,28,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,1949,19,7,,,,,,5,2,0.121,,,,,,,
48,41,1949-02-06,2,ROC,MNL,1,85,74,28,,,,,,29,38,0.763,,,,,,,,25,,,,,,24,36,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1949,11,3,,,,,,5,2,0.09599999999999997,,,,,,,
49,42,1949-02-08,1,ROC,PRO,1,97,65,42,,,,,,13,19,0.684,,,,,,,,24,,,,,,17,22,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,1949,32,18,,,,,,-4,-3,-0.08899999999999997,,,,,,,
50,43,1949-02-09,2,ROC,WSC,2,94,99,31,,,,,,32,49,0.653,,,,,,,,29,,,,,,41,49,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-5,2,,,,,,-9,0,-0.18399999999999994,,,,,,,
51,44,1949-02-10,2,ROC,BLB,1,90,76,29,,,,,,32,43,0.744,,,,,,,,28,,,,,,20,28,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,1949,14,1,,,,,,12,15,0.030000000000000027,,,,,,,
52,45,1949-02-12,1,ROC,CHS,1,87,73,30,,,,,,27,34,0.794,,,,,,,,29,,,,,,15,22,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,1949,14,1,,,,,,12,12,0.11199999999999999,,,,,,,
53,46,1949-02-15,1,ROC,WSC,1,91,79,31,,,,,,29,42,0.69,,,,,,,,26,,,,,,27,37,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,1949,12,5,,,,,,2,5,-0.040000000000000036,,,,,,,
54,47,1949-02-17,2,ROC,STB,1,68,63,27,84.0,0.321,,,,14,25,0.56,,,,,,,20.0,23,70.0,0.329,,,,17,27,0.63,,,,,,,23.0,,,,0.298,,0.358,,,,,0.321,,,0.167,0.329,,,0.243,1949,5,4,14.0,-0.008000000000000007,,,,-3,-2,-0.06999999999999995,,,,,,,-3.0
55,48,1949-02-18,2,ROC,INJ,1,65,53,27,,,,,,11,22,0.5,,,,,,,,19,,,,,,15,25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1949,12,8,,,,,,-4,-3,-0.09999999999999998,,,,,,,
56,49,1949-02-19,1,ROC,INJ,1,87,73,31,,,,,,25,39,0.641,,,,,,,,24,,,,,,25,33,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,1949,14,7,,,,,,0,6,-0.11699999999999999,,,,,,,
57,50,1949-02-22,1,ROC,PHW,1,92,86,35,87.0,0.402,,,,22,34,0.647,,,26.0,,,,18.0,33,111.0,0.297,,,,20,24,0.833,,,18.0,,,,25.0,,,,0.391,,0.451,,74.3,,,0.402,,,0.253,0.297,,,0.18,1949,6,2,-24.0,0.10500000000000004,,,,2,10,-0.18599999999999994,,,8.0,,,,-7.0
58,51,1949-02-26,1,ROC,BOS,1,64,59,22,,,,,,20,33,0.606,,,,,,,,19,,,,,,21,29,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,1949,5,3,,,,,,-1,4,-0.118,,,,,,,
59,52,1949-03-01,1,ROC,WSC,1,67,64,21,,,,,,25,37,0.676,,,,,,,,22,,,,,,20,24,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,1949,3,-1,,,,,,5,13,-0.15699999999999992,,,,,,,
60,53,1949-03-05,1,ROC,PRO,1,81,64,35,,,,,,11,16,0.688,,,,,,,,27,,,,,,10,13,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,1949,17,8,,,,,,1,3,-0.08100000000000007,,,,,,,
61,54,1949-03-06,2,ROC,FTW,1,78,66,24,,,,,,30,39,0.769,,,,,,,,21,,,,,,24,37,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,1949,12,3,,,,,,6,2,0.12,,,,,,,
62,55,1949-03-10,2,ROC,PHW,1,73,71,27,90.0,0.3,,,,19,30,0.633,,,9.0,,,,24.0,26,98.0,0.265,,,,19,28,0.679,,,8.0,,,,26.0,,,,0.333,,0.354,,33.3,,,0.3,,,0.211,0.265,,,0.194,1949,2,1,-8.0,0.034999999999999976,,,,0,2,-0.04600000000000004,,,1.0,,,,-2.0
63,56,1949-03-12,1,ROC,STB,1,104,74,43,,,,,,18,27,0.667,,,,,,,,26,,,,,,22,31,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,1949,30,17,,,,,,-4,-4,-0.04299999999999993,,,,,,,
64,57,1949-03-15,2,ROC,BOS,2,83,86,28,,,,,,27,33,0.818,,,,,,,,32,,,,,,22,38,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-3,-4,,,,,,5,-5,0.239,,,,,,,
65,58,1949-03-16,2,ROC,NYK,1,94,89,34,,,,,,26,33,0.788,,,,,,,,34,,,,,,21,23,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,1949,5,0,,,,,,5,10,-0.125,,,,,,,
66,59,1949-03-19,1,ROC,MNL,2,85,99,35,,,,,,15,23,0.652,,,,,,,,40,,,,,,19,23,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-14,-5,,,,,,-4,0,-0.17399999999999993,,,,,,,
67,60,1949-03-20,2,ROC,CHS,2,61,98,20,,,,,,21,31,0.677,,,,,,,,43,,,,,,12,15,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1949,-37,-23,,,,,,9,16,-0.123,,,,,,,
