,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-11-02,2,BLB,WSC,2,61,66,16,,,,,,29,36,0.806,,,,,,,,23,,,,,,20,32,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-5,-7,,,,,,9,4,0.18100000000000005,,,,,,,
1,2,1949-11-03,1,BLB,STB,2,65,81,22,,,,,,21,34,0.618,,,,,,,,27,,,,,,27,38,0.711,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-16,-5,,,,,,-6,-4,-0.09299999999999997,,,,,,,
2,3,1949-11-05,1,BLB,MNL,2,77,92,24,,,,,,29,40,0.725,,,,,,,26.0,34,,,,,,24,29,0.828,,,,,,,31.0,,,,,,,,,,,,,,,,,,,1950,-15,-10,,,,,,5,11,-0.10299999999999998,,,,,,,-5.0
3,4,1949-11-10,1,BLB,WSC,2,72,88,22,,,,,,28,35,0.8,,,,,,,,29,,,,,,30,36,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-16,-7,,,,,,-2,-1,-0.03299999999999992,,,,,,,
4,5,1949-11-12,1,BLB,FTW,1,82,75,20,,,,,,42,57,0.737,,,,,,,,24,,,,,,27,50,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,1950,7,-4,,,,,,15,7,0.19699999999999995,,,,,,,
5,6,1949-11-15,2,BLB,BOS,1,81,76,27,,,,,,27,39,0.692,,,,,,,,26,,,,,,24,38,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,1950,5,1,,,,,,3,1,0.05999999999999994,,,,,,,
6,7,1949-11-17,1,BLB,DNN,1,86,71,32,,,,,,22,31,0.71,,,,,,,,24,,,,,,23,38,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,1950,15,8,,,,,,-1,-7,0.10499999999999998,,,,,,,
7,8,1949-11-19,1,BLB,BOS,2,82,91,26,,,,,,30,38,0.789,,,,,,,,34,,,,,,23,33,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-9,-8,,,,,,7,5,0.09200000000000008,,,,,,,
8,9,1949-11-20,2,BLB,SHE,1,97,92,32,87.0,0.368,,,,33,42,0.786,,,27.0,,,,40.0,27,80.0,0.338,,,,38,49,0.776,,,22.0,,,,36.0,,,,0.483,,0.46,,84.4,,,0.368,,,0.379,0.338,,,0.475,1950,5,5,7.0,0.02999999999999997,,,,-5,-7,0.010000000000000009,,,5.0,,,,4.0
9,10,1949-11-23,2,BLB,MNL,2,71,84,26,85.0,0.306,,,,19,26,0.731,,,22.0,,,,21.0,34,93.0,0.366,,,,16,25,0.64,,,25.0,,,,21.0,,,,0.306,,0.368,,84.6,,,0.306,,,0.224,0.366,,,0.172,1950,-13,-8,-8.0,-0.06,,,,3,1,0.09099999999999997,,,-3.0,,,,0.0
10,11,1949-11-24,2,BLB,STB,1,65,63,25,,,,,,15,23,0.652,,,,,,,,25,,,,,,13,23,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2,0,,,,,,2,0,0.08700000000000008,,,,,,,
11,12,1949-11-27,2,BLB,DNN,2,61,68,20,,,,,,21,33,0.636,,,,,,,,23,,,,,,22,33,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,-3,,,,,,-1,0,-0.031000000000000028,,,,,,,
12,13,1949-11-30,2,BLB,CHS,2,50,57,16,,,,,,18,26,0.692,,,,,,,,21,,,,,,15,20,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,-5,,,,,,3,6,-0.05800000000000005,,,,,,,
13,14,1949-12-01,1,BLB,ROC,1,70,64,21,,,,,,28,32,0.875,,,,,,,,21,,,,,,22,34,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,1950,6,0,,,,,,6,-2,0.22799999999999998,,,,,,,
14,15,1949-12-03,2,BLB,NYK,2,55,85,17,,,,,,21,32,0.656,,,,,,,,30,,,,,,25,32,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-30,-13,,,,,,-4,0,-0.125,,,,,,,
15,16,1949-12-07,1,BLB,CHS,2,72,84,19,,,,,,34,52,0.654,,,,,,,,31,,,,,,22,29,0.759,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-12,-12,,,,,,12,23,-0.10499999999999998,,,,,,,
16,17,1949-12-08,1,BLB,NYK,2,60,82,20,,,,,,20,31,0.645,,,,,,,,27,,,,,,28,32,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-22,-7,,,,,,-8,-1,-0.22999999999999998,,,,,,,
17,18,1949-12-10,1,BLB,STB,1,69,66,24,,,,,,21,31,0.677,,,,,,,,20,,,,,,26,33,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,1950,3,4,,,,,,-5,-2,-0.11099999999999999,,,,,,,
18,19,1949-12-15,1,BLB,MNL,1,87,68,36,,,,,,15,21,0.714,,,,,,,18.0,27,,,,,,14,19,0.737,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1950,19,9,,,,,,1,2,-0.02300000000000002,,,,,,,1.0
19,20,1949-12-16,N,BLB,WAT,2,75,77,28,,,,,,19,27,0.704,,,,,,,,28,,,,,,21,26,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-2,0,,,,,,-2,1,-0.10400000000000009,,,,,,,
38,21,1949-12-17,2,BLB,WSC,1,89,72,29,,,,,,31,40,0.775,,,,,,,,25,,,,,,22,33,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1950,17,4,,,,,,9,7,0.10799999999999998,,,,,,,
39,22,1949-12-18,2,BLB,FTW,2,95,106,27,,,,,,41,48,0.854,,,,,,,,35,,,,,,36,45,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-11,-8,,,,,,5,3,0.05399999999999994,,,,,,,
40,23,1949-12-20,2,BLB,INO,1,88,79,28,,,,,,32,37,0.865,,,,,,,,26,,,,,,27,37,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,1950,9,2,,,,,,5,0,0.135,,,,,,,
41,24,1949-12-21,2,BLB,PHW,2,60,70,19,82.0,0.232,,,,22,28,0.786,,,10.0,,,,26.0,26,93.0,0.28,,,,18,28,0.643,,,12.0,,,,20.0,,,,0.341,,0.318,,52.6,,,0.232,,,0.268,0.28,,,0.194,1950,-10,-7,-11.0,-0.048000000000000015,,,,4,0,0.14300000000000002,,,-2.0,,,,6.0
42,25,1949-12-22,1,BLB,WSC,1,86,82,31,,,,,,24,33,0.727,,,,,,,,31,,,,,,20,29,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,1950,4,0,,,,,,4,4,0.03700000000000003,,,,,,,
43,26,1949-12-25,1,BLB,PHW,2,63,64,22,80.0,0.275,,,,19,29,0.655,,,18.0,,,,26.0,19,79.0,0.241,,,,26,32,0.813,,,14.0,,,,22.0,,,,0.363,,0.34,,81.8,,,0.275,,,0.238,0.241,,,0.329,1950,-1,3,1.0,0.03400000000000003,,,,-7,-3,-0.15799999999999992,,,4.0,,,,4.0
44,27,1949-12-26,N,BLB,BOS,2,57,82,18,,,,,,21,29,0.724,,,,,,,,27,,,,,,28,33,0.848,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-25,-9,,,,,,-7,-4,-0.124,,,,,,,
45,28,1949-12-28,2,BLB,MNL,2,77,88,28,83.0,0.337,,,,21,29,0.724,,,23.0,,,,25.0,34,90.0,0.378,,,,20,30,0.667,,,25.0,,,,26.0,,,,0.349,,0.402,,82.1,,,0.337,,,0.253,0.378,,,0.222,1950,-11,-6,-7.0,-0.04099999999999998,,,,1,-1,0.05699999999999994,,,-2.0,,,,-1.0
46,29,1949-12-29,2,BLB,STB,2,63,90,21,,,,,,21,34,0.618,,,,,,,20.0,36,,,,,,18,25,0.72,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1950,-27,-15,,,,,,3,9,-0.10199999999999998,,,,,,,-2.0
47,30,1950-01-01,2,BLB,TRI,2,66,79,23,,,,,,20,28,0.714,,,,,,,29.0,28,,,,,,23,32,0.719,,,,,,,27.0,,,,,,,,,,,,,,,,,,,1950,-13,-5,,,,,,-3,-4,-0.0050000000000000044,,,,,,,2.0
48,31,1950-01-02,2,BLB,AND,2,75,92,26,,,,,,23,30,0.767,,,,,,,,36,,,,,,20,28,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-17,-10,,,,,,3,2,0.05300000000000005,,,,,,,
