,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-10-29,2,DNN,TRI,2,85,93,29,,,,,,27,30,0.9,,,,,,,35.0,32,,,,,,29,44,0.659,,,,,,,31.0,,,,,,,,,,,,,,,,,,,1950,-8,-3,,,,,,-2,-14,0.241,,,,,,,4.0
1,2,1949-11-01,2,DNN,INO,2,64,71,19,,,,,,26,31,0.839,,,,,,,,24,,,,,,23,30,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,-5,,,,,,3,1,0.07199999999999995,,,,,,,
2,3,1949-11-03,2,DNN,SYR,2,58,78,16,,,,,,26,34,0.765,,,,,,,,26,,,,,,26,33,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-20,-10,,,,,,0,1,-0.02300000000000002,,,,,,,
3,4,1949-11-05,N,DNN,SYR,2,51,84,16,,,,,,19,29,0.655,,,,,,,,28,,,,,,28,38,0.737,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-33,-12,,,,,,-9,-9,-0.08199999999999996,,,,,,,
4,5,1949-11-09,2,DNN,WAT,2,65,80,24,,,,,,17,27,0.63,,,,,,,,29,,,,,,22,30,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-15,-5,,,,,,-5,-3,-0.10299999999999998,,,,,,,
5,6,1949-11-10,N,DNN,CHS,2,53,64,22,,,,,,9,17,0.529,,,,,,,20.0,23,,,,,,18,24,0.75,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1950,-11,-1,,,,,,-9,-7,-0.22099999999999997,,,,,,,2.0
6,7,1949-11-12,N,DNN,PHW,2,63,81,24,86.0,0.279,,,,15,34,0.441,,,11.0,,,,34.0,28,79.0,0.354,,,,25,42,0.595,,,8.0,,,,29.0,,,,0.395,,0.312,,45.8,,,0.279,,,0.174,0.354,,,0.316,1950,-18,-4,7.0,-0.07499999999999996,,,,-10,-8,-0.15399999999999997,,,3.0,,,,5.0
7,8,1949-11-13,2,DNN,FTW,2,71,90,29,,,,,,13,29,0.448,,,,,,,,32,,,,,,26,31,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-19,-3,,,,,,-13,-2,-0.39099999999999996,,,,,,,
8,9,1949-11-16,2,DNN,WSC,2,90,99,33,,,,,,24,32,0.75,,,,,,,,30,,,,,,39,49,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-9,3,,,,,,-15,-17,-0.04600000000000004,,,,,,,
9,10,1949-11-17,2,DNN,BLB,2,71,86,24,,,,,,23,38,0.605,,,,,,,,32,,,,,,22,31,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-15,-8,,,,,,1,7,-0.10499999999999998,,,,,,,
10,11,1949-11-18,N,DNN,NYK,2,78,85,31,,,,,,16,27,0.593,,,,,,,,31,,,,,,23,33,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,0,,,,,,-7,-6,-0.10399999999999998,,,,,,,
11,12,1949-11-19,2,DNN,ROC,2,64,96,26,,,,,,12,16,0.75,,,,,,,,41,,,,,,14,19,0.737,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-32,-15,,,,,,-2,-3,0.013000000000000012,,,,,,,
12,13,1949-11-20,2,DNN,SYR,2,76,102,27,,,,,,22,28,0.786,,,,,,,,41,,,,,,20,28,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-26,-14,,,,,,2,0,0.07200000000000006,,,,,,,
13,14,1949-11-21,N,DNN,SYR,2,67,77,27,,,,,,13,28,0.464,,,,,,,,27,,,,,,23,38,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-10,0,,,,,,-10,-10,-0.14099999999999996,,,,,,,
14,15,1949-11-25,1,DNN,MNL,2,81,101,30,,,,,,21,30,0.7,,,,,,,24.0,39,,,,,,23,30,0.767,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1950,-20,-9,,,,,,-2,0,-0.06700000000000006,,,,,,,3.0
15,16,1949-11-27,1,DNN,BLB,1,68,61,23,,,,,,22,33,0.667,,,,,,,,20,,,,,,21,33,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,1950,7,3,,,,,,1,0,0.031000000000000028,,,,,,,
