,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1950-11-02,1,TRI,BOS,1,79,65,30,80.0,0.375,,,,19,30,0.633,,,,,,,39,19,91.0,0.209,,,,27,47,0.574,,,,,,,24,,,,0.375,,0.424,,,,,0.375,,,0.238,0.209,,,0.297,1951,14,11,-11.0,0.166,,,,-8,-17,0.05900000000000005,,,,,,,15
1,2,1950-11-04,1,TRI,NYK,1,87,76,30,88.0,0.341,,,,27,38,0.711,,,,,,,28,30,88.0,0.341,,,,16,34,0.471,,,,,,,33,,,,0.432,,0.415,,,,,0.341,,,0.307,0.341,,,0.182,1951,11,0,0.0,0.0,,,,11,4,0.24,,,,,,,-5
2,3,1950-11-05,1,TRI,NYK,1,98,95,38,106.0,0.358,,,,22,33,0.667,,,,,,,46,29,88.0,0.33,,,,37,64,0.578,,,,,,,28,,,,0.311,,0.407,,,,,0.358,,,0.208,0.33,,,0.42,1951,3,9,18.0,0.02799999999999997,,,,-15,-31,0.08900000000000008,,,,,,,18
3,4,1950-11-08,2,TRI,FTW,2,79,87,23,,,,,,33,37,0.892,,,,,,,35,30,,,,,,27,44,0.614,,,,,,,30,,,,,,,,,,,,,,,,,,,1951,-8,-7,,,,,,6,-7,0.278,,,,,,,5
4,5,1950-11-09,2,TRI,SYR,2,70,89,24,,,,,,22,36,0.611,,,,,,,39,25,,,,,,39,53,0.736,,,,,,,30,,,,,,,,,,,,,,,,,,,1951,-19,-1,,,,,,-17,-17,-0.125,,,,,,,9
5,6,1950-11-11,2,TRI,ROC,2,77,86,28,,,,,,21,31,0.677,,,,,,,35,26,,,,,,34,42,0.81,,,,,,,25,,,,,,,,,,,,,,,,,,,1951,-9,2,,,,,,-13,-11,-0.133,,,,,,,10
6,7,1950-11-12,1,TRI,ROC,1,82,79,29,89.0,0.326,,,,24,40,0.6,,,,,,,33,24,77.0,0.312,,,,31,38,0.816,,,,,,,32,,,,0.449,,0.385,,,,,0.326,,,0.27,0.312,,,0.403,1951,3,5,12.0,0.014000000000000012,,,,-7,2,-0.21599999999999997,,,,,,,1
7,8,1950-11-16,1,TRI,SYR,1,79,75,27,72.0,0.375,,,,25,39,0.641,,,,,,,34,20,76.0,0.263,,,,35,47,0.745,,,,,,,35,,,,0.542,,0.443,,,,,0.375,,,0.347,0.263,,,0.461,1951,4,7,-4.0,0.11199999999999999,,,,-10,-8,-0.10399999999999998,,,,,,,-1
8,9,1950-11-18,2,TRI,INO,2,67,74,24,,,,,,19,27,0.704,,,,,,,29,23,,,,,,28,36,0.778,,,,,,,19,,,,,,,,,,,,,,,,,,,1951,-7,1,,,,,,-9,-9,-0.07400000000000007,,,,,,,10
9,10,1950-11-19,1,TRI,INO,1,104,81,41,96.0,0.427,,,,22,27,0.815,,,,,,,26,31,99.0,0.313,,,,19,32,0.594,,,,,,,18,,,,0.281,,0.482,,,,,0.427,,,0.229,0.313,,,0.192,1951,23,10,-3.0,0.11399999999999999,,,,3,-5,0.22099999999999997,,,,,,,8
10,11,1950-11-21,N,TRI,BLB,1,76,65,27,87.0,0.31,,,,22,29,0.759,,,25.0,,,,28,22,80.0,0.275,,,,21,33,0.636,,,17.0,,,,24,,,,0.333,,0.381,,92.6,,,0.31,,,0.253,0.275,,,0.263,1951,11,5,7.0,0.034999999999999976,,,,1,-4,0.123,,,8.0,,,,4
11,12,1950-11-22,2,TRI,WSC,2,60,65,20,,,,,,20,31,0.645,,,,,,,32,18,,,,,,29,38,0.763,,,,,,,23,,,,,,,,,,,,,,,,,,,1951,-5,2,,,,,,-9,-7,-0.118,,,,,,,9
12,13,1950-11-23,2,TRI,BOS,2,78,94,26,,,,,,26,36,0.722,,,,,,,25,34,,,,,,26,35,0.743,,,,,,,24,,,,,,,,,,,,,,,,,,,1951,-16,-8,,,,,,0,1,-0.02100000000000002,,,,,,,1
13,14,1950-11-25,1,TRI,FTW,1,85,71,29,79.0,0.367,,,,27,38,0.711,,,,,,,29,21,79.0,0.266,,,,29,40,0.725,,,,,,,30,,,,0.481,,0.444,,,,,0.367,,,0.342,0.266,,,0.367,1951,14,8,0.0,0.10099999999999998,,,,-2,-2,-0.014000000000000012,,,,,,,-1
14,15,1950-11-28,1,TRI,BLB,2,65,73,22,84.0,0.262,,,,21,35,0.6,,,,,,,25,25,83.0,0.301,,,,23,31,0.742,,,,,,,22,,,,0.417,,0.327,,,,,0.262,,,0.25,0.301,,,0.277,1951,-8,-3,1.0,-0.03899999999999998,,,,-2,4,-0.14200000000000002,,,,,,,3
15,16,1950-11-29,2,TRI,MNL,2,66,85,21,67.0,0.313,,,,24,35,0.686,,,,,,,19,33,74.0,0.446,,,,19,24,0.792,,,,,,,25,,,,0.522,,0.4,,,,,0.313,,,0.358,0.446,,,0.257,1951,-19,-12,-7.0,-0.133,,,,5,11,-0.10599999999999998,,,,,,,-6
16,17,1950-12-03,1,TRI,NYK,2,92,100,32,97.0,0.33,,,,28,38,0.737,,,,,,,39,30,79.0,0.38,,,,40,51,0.784,,,,,,,31,,,,0.392,,0.405,,,,,0.33,,,0.289,0.38,,,0.506,1951,-8,2,18.0,-0.04999999999999999,,,,-12,-13,-0.04700000000000004,,,,,,,8
17,18,1950-12-07,1,TRI,FTW,2,76,77,28,82.0,0.341,,,,20,32,0.625,,,,,,,26,26,84.0,0.31,,,,25,31,0.806,,,,,,,25,,,,0.39,,0.396,,,,,0.341,,,0.244,0.31,,,0.298,1951,-1,2,-2.0,0.031000000000000028,,,,-5,1,-0.18100000000000005,,,,,,,1
18,19,1950-12-09,1,TRI,MNL,2,79,88,25,97.0,0.258,,,,29,39,0.744,,,,,,,31,30,83.0,0.361,,,,28,36,0.778,,,,,,,28,,,,0.402,,0.346,,,,,0.258,,,0.299,0.361,,,0.337,1951,-9,-5,14.0,-0.10299999999999998,,,,1,3,-0.03400000000000003,,,,,,,3
19,20,1950-12-10,2,TRI,MNL,2,101,114,30,84.0,0.357,,,,41,55,0.745,,,,,,,30,41,103.0,0.398,,,,32,39,0.821,,,,,,,40,,,,0.655,,0.467,,,,,0.357,,,0.488,0.398,,,0.311,1951,-13,-11,-19.0,-0.041000000000000036,,,,9,16,-0.07599999999999996,,,,,,,-10
38,21,1950-12-12,2,TRI,INO,2,74,75,25,,,,,,24,29,0.828,,,,,,,25,27,,,,,,21,28,0.75,,,,,,,23,,,,,,,,,,,,,,,,,,,1951,-1,-2,,,,,,3,1,0.07799999999999996,,,,,,,2
39,22,1950-12-13,2,TRI,BLB,2,55,83,17,,,,,,21,27,0.778,,,,,,,17,34,,,,,,15,20,0.75,,,,,,,19,,,,,,,,,,,,,,,,,,,1951,-28,-17,,,,,,6,7,0.028000000000000025,,,,,,,-2
40,23,1950-12-14,2,TRI,SYR,1,78,69,24,,,,,,30,45,0.667,,,,,,,37,20,,,,,,29,42,0.69,,,,,,,37,,,,,,,,,,,,,,,,,,,1951,9,4,,,,,,1,3,-0.02299999999999991,,,,,,,0
41,24,1950-12-16,1,TRI,MNL,2,71,86,22,81.0,0.272,,,,27,40,0.675,,,,,,,35,30,90.0,0.333,,,,26,43,0.605,,,,,,,31,,,,0.494,,0.36,,,,,0.272,,,0.333,0.333,,,0.289,1951,-15,-8,-9.0,-0.061,,,,1,-3,0.07000000000000006,,,,,,,4
42,25,1950-12-17,2,TRI,FTW,1,103,99,38,,,,,,27,38,0.711,,,,,,,32,32,,,,,,35,47,0.745,,,,,,,29,,,,,,,,,,,,,,,,,,,1951,4,6,,,,,,-8,-9,-0.03400000000000003,,,,,,,3
43,26,1950-12-20,1,TRI,SYR,1,86,83,30,89.0,0.337,,,,26,32,0.813,,,,,,,25,31,93.0,0.333,,,,21,31,0.677,,,,,,,23,,,,0.36,,0.417,,,,,0.337,,,0.292,0.333,,,0.226,1951,3,-1,-4.0,0.0040000000000000036,,,,5,1,0.1359999999999999,,,,,,,2
44,27,1950-12-25,1,TRI,BLB,1,87,72,26,85.0,0.306,,,,35,43,0.814,,,,,,,21,26,88.0,0.295,,,,20,27,0.741,,,,,,,33,,,,0.506,,0.419,,,,,0.306,,,0.412,0.295,,,0.227,1951,15,0,-3.0,0.01100000000000001,,,,15,16,0.07299999999999995,,,,,,,-12
45,28,1950-12-28,1,TRI,WSC,1,97,80,40,104.0,0.385,,,,17,29,0.586,,,,,,,30,27,100.0,0.27,,,,26,32,0.813,,,,,,,24,,,,0.279,,0.415,,,,,0.385,,,0.163,0.27,,,0.26,1951,17,13,4.0,0.11499999999999999,,,,-9,-3,-0.22699999999999998,,,,,,,6
46,29,1950-12-29,2,TRI,INO,2,81,112,32,,,,,,17,27,0.63,,,,,,,20,47,,,,,,18,24,0.75,,,,,,,20,,,,,,,,,,,,,,,,,,,1951,-31,-15,,,,,,-1,3,-0.12,,,,,,,0
47,30,1950-12-31,1,TRI,FTW,1,110,100,33,91.0,0.363,,,,44,61,0.721,,,,,,,31,35,107.0,0.327,,,,30,52,0.577,,,,,,,45,,,,0.67,,0.467,,,,,0.363,,,0.484,0.327,,,0.28,1951,10,-2,-16.0,0.035999999999999976,,,,14,9,0.14400000000000002,,,,,,,-14
48,31,1951-01-01,1,TRI,PHW,1,109,92,38,95.0,0.4,,,,33,49,0.673,,59.0,33.0,,,,37,27,88.0,0.307,,,,38,47,0.809,,62.0,22.0,,,,38,,,,0.516,,0.468,48.8,86.8,,,0.4,,,0.347,0.307,,,0.432,1951,17,11,7.0,0.09300000000000003,,,,-5,2,-0.136,,-3.0,11.0,,,,-1
49,32,1951-01-03,1,TRI,BOS,2,82,84,33,106.0,0.311,,,,16,24,0.667,,,,,,,31,29,79.0,0.367,,,,26,35,0.743,,,,,,,20,,,,0.226,,0.352,,,,,0.311,,,0.151,0.367,,,0.329,1951,-2,4,27.0,-0.055999999999999994,,,,-10,-11,-0.07599999999999996,,,,,,,11
50,33,1951-01-07,1,TRI,INO,1,83,79,31,88.0,0.352,,,,21,30,0.7,,,,,,,25,28,78.0,0.359,,,,23,30,0.767,,,,,,,21,,,,0.341,,0.41,,,,,0.352,,,0.239,0.359,,,0.295,1951,4,3,10.0,-0.007000000000000006,,,,-2,0,-0.06700000000000006,,,,,,,4
51,34,1951-01-10,1,TRI,SYR,2,96,97,35,92.0,0.38,,,,26,39,0.667,,,,,,,44,27,81.0,0.333,,,,43,55,0.782,,,,,,,34,,,,0.424,,0.44,,,,,0.38,,,0.283,0.333,,,0.531,1951,-1,8,11.0,0.046999999999999986,,,,-17,-16,-0.11499999999999999,,,,,,,10
52,35,1951-01-11,1,TRI,MNL,2,109,113,35,95.0,0.368,,,,39,49,0.796,,,,,,,43,36,83.0,0.434,,,,41,52,0.788,,,,,,,39,,,,0.516,,0.468,,,,,0.368,,,0.411,0.434,,,0.494,1951,-4,-1,12.0,-0.066,,,,-2,-3,0.008000000000000007,,,,,,,4
53,36,1951-01-14,2,TRI,FTW,2,85,94,25,,,,,,35,43,0.814,,,,,,,43,25,,,,,,44,57,0.772,,,,,,,33,,,,,,,,,,,,,,,,,,,1951,-9,0,,,,,,-9,-14,0.041999999999999926,,,,,,,10
54,37,1951-01-16,2,TRI,ROC,2,89,97,35,,,,,,19,22,0.864,,,,,,,33,33,,,,,,31,46,0.674,,,,,,,19,,,,,,,,,,,,,,,,,,,1951,-8,2,,,,,,-12,-24,0.18999999999999995,,,,,,,14
