,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1951-11-03,2,MNL,ROC,1,93,74,36,,,,,,21,25,0.84,,,,,,,31,25,,,,,,24,38,0.632,,,,,,,20,,,,,,,,,,,,,,,,,,,1952,19,11,,,,,,-3,-13,0.20799999999999996,,,,,,,11
1,2,1951-11-04,2,MNL,SYR,2,67,98,19,,,,,,29,34,0.853,,,,,,,33,34,,,,,,30,42,0.714,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,-31,-15,,,,,,-1,-8,0.139,,,,,,,5
2,3,1951-11-09,2,MNL,PHW,2,86,98,32,91.0,0.352,,,,22,34,0.647,,52.0,29.0,,,,31,35,75.0,0.467,,,,28,36,0.778,,54.0,30.0,,,,25,,,,0.374,,0.406,49.1,90.6,,,0.352,,,0.242,0.467,,,0.373,1952,-12,-3,16.0,-0.11500000000000005,,,,-6,-2,-0.131,,-2.0,-1.0,,,,6
3,4,1951-11-10,2,MNL,NYK,1,89,73,32,,,,,,25,30,0.833,,,,,,,27,24,,,,,,25,31,0.806,,,,,,,25,,,,,,,,,,,,,,,,,,,1952,16,8,,,,,,0,-1,0.026999999999999913,,,,,,,2
4,5,1951-11-11,2,MNL,BOS,2,72,77,29,93.0,0.312,,,,14,33,0.424,,61.0,22.0,,,,28,28,75.0,0.373,,,,21,35,0.6,,66.0,22.0,,,,18,,,,0.355,,0.335,48.0,75.9,,,0.312,,,0.151,0.373,,,0.28,1952,-5,1,18.0,-0.061,,,,-7,-2,-0.176,,-5.0,0.0,,,,10
5,6,1951-11-12,2,MNL,BLB,1,90,80,36,,,,,,18,24,0.75,,,,,,,33,27,,,,,,26,36,0.722,,,,,,,20,,,,,,,,,,,,,,,,,,,1952,10,9,,,,,,-8,-12,0.028000000000000025,,,,,,,13
6,7,1951-11-13,2,MNL,INO,1,77,71,24,,,,,,29,35,0.829,,,,,,,27,24,,,,,,23,36,0.639,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,6,0,,,,,,6,-1,0.18999999999999995,,,,,,,0
7,8,1951-11-17,1,MNL,FTW,1,68,64,20,100.0,0.2,,,,28,40,0.7,,,,,,,26,21,51.0,0.412,,,,22,29,0.759,,,,,,,28,,,,0.4,,0.289,,,,,0.2,,,0.28,0.412,,,0.431,1952,4,-1,49.0,-0.21199999999999997,,,,6,11,-0.05900000000000005,,,,,,,-2
8,9,1951-11-22,1,MNL,ROC,1,70,65,26,79.0,0.329,,,,18,26,0.692,,,,,,,26,21,66.0,0.318,,,,23,34,0.676,,,,,,,23,,,,0.329,,0.387,,,,,0.329,,,0.228,0.318,,,0.348,1952,5,5,13.0,0.01100000000000001,,,,-5,-8,0.015999999999999903,,,,,,,3
9,10,1951-11-24,2,MNL,MLH,1,72,59,29,,,,,,14,22,0.636,,,,,,,19,21,,,,,,17,23,0.739,,,,,,,18,,,,,,,,,,,,,,,,,,,1952,13,8,,,,,,-3,-1,-0.10299999999999998,,,,,,,1
10,11,1951-11-25,1,MNL,INO,1,82,73,31,97.0,0.32,,,,20,30,0.667,,,,,,,24,26,89.0,0.292,,,,21,31,0.677,,,,,,,24,,,,0.309,,0.372,,,,,0.32,,,0.206,0.292,,,0.236,1952,9,5,8.0,0.028000000000000025,,,,-1,-1,-0.010000000000000009,,,,,,,0
11,12,1951-11-28,1,MNL,BOS,1,90,76,36,98.0,0.367,,,,18,26,0.692,,,,,,,23,25,73.0,0.342,,,,26,37,0.703,,,,,,,19,,,,0.265,,0.411,,,,,0.367,,,0.184,0.342,,,0.356,1952,14,11,25.0,0.024999999999999967,,,,-8,-11,-0.01100000000000001,,,,,,,4
12,13,1951-12-01,1,MNL,FTW,1,89,69,39,96.0,0.406,,,,11,19,0.579,,,,,,,17,27,77.0,0.351,,,,15,23,0.652,,,,,,,12,,,,0.198,,0.426,,,,,0.406,,,0.115,0.351,,,0.195,1952,20,12,19.0,0.05500000000000005,,,,-4,-4,-0.07300000000000006,,,,,,,5
