,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1952-10-31,1,INO,BOS,2,68,83,24,93.0,0.258,,,,20,28,0.714,,,,,,23.0,30,27,70.0,0.386,,,,29,37,0.784,,,,,,19.0,26,,,,0.301,,0.323,,,,,0.258,17.9,,0.215,0.386,18.0,,0.414,1953,-15,-3,23.0,-0.128,,,,-9,-9,-0.07000000000000006,,,,,,4.0,4
1,2,1952-11-01,2,INO,MLH,2,71,73,24,,,,,,23,36,0.639,,,,,,,27,25,,,,,,23,32,0.719,,,,,,,32,,,,,,,,,,,,,,,,,,,1953,-2,-1,,,,,,0,4,-0.07999999999999996,,,,,,,-5
2,3,1952-11-07,1,INO,ROC,2,63,65,19,,,,,,25,39,0.641,,,,,,,24,23,,,,,,19,29,0.655,,,,,,,29,,,,,,,,,,,,,,,,,,,1953,-2,-4,,,,,,6,10,-0.014000000000000012,,,,,,,-5
3,4,1952-11-08,2,INO,ROC,2,96,99,29,,,,,,38,48,0.792,,,,,,,43,31,,,,,,37,51,0.725,,,,,,,41,,,,,,,,,,,,,,,,,,,1953,-3,-2,,,,,,1,-3,0.06700000000000006,,,,,,,2
4,5,1952-11-09,2,INO,FTW,2,71,74,22,,,,,,27,40,0.675,,,,,,,24,27,,,,,,20,29,0.69,,,,,,,29,,,,,,,,,,,,,,,,,,,1953,-3,-5,,,,,,7,11,-0.014999999999999902,,,,,,,-5
5,6,1952-11-11,1,INO,FTW,1,78,63,28,,,,,,22,35,0.629,,,,,,,23,22,,,,,,19,26,0.731,,,,,,,31,,,,,,,,,,,,,,,,,,,1953,15,6,,,,,,3,9,-0.10199999999999998,,,,,,,-8
6,7,1952-11-14,2,INO,PHW,1,77,71,32,88.0,0.364,,,,13,30,0.433,,70.0,24.0,,,,18,27,85.0,0.318,,,,17,23,0.739,,55.0,22.0,,,,24,,,,0.341,,0.38,56.0,75.0,,,0.364,,,0.148,0.318,,,0.2,1953,6,5,3.0,0.045999999999999985,,,,-4,7,-0.306,,15.0,2.0,,,,-6
7,8,1952-11-15,N,INO,PHW,1,79,76,26,,,,,,27,37,0.73,,,,,,,15,31,,,,,,14,21,0.667,,,,,,,30,,,,,,,,,,,,,,,,,,,1953,3,-5,,,,,,13,16,0.06299999999999994,,,,,,,-15
8,9,1952-11-16,2,INO,SYR,2,78,84,29,,,,,,20,24,0.833,,,,,,,30,28,,,,,,28,40,0.7,,,,,,,20,,,,,,,,,,,,,,,,,,,1953,-6,1,,,,,,-8,-16,0.133,,,,,,,10
9,10,1952-11-18,1,INO,NYK,1,100,90,35,,,,,,30,35,0.857,,,,,,,26,34,,,,,,22,35,0.629,,,,,,,28,,,,,,,,,,,,,,,,,,,1953,10,1,,,,,,8,0,0.22799999999999998,,,,,,,-2
10,11,1952-11-20,N,INO,NYK,2,67,72,22,93.0,0.237,,,,23,31,0.742,,70.0,15.0,,,,21,29,87.0,0.333,,,,14,28,0.5,,70.0,23.0,,,,28,,,,0.333,,0.314,50.0,68.2,,,0.237,,,0.247,0.333,,,0.161,1953,-5,-7,6.0,-0.09600000000000003,,,,9,3,0.242,,0.0,-8.0,,,,-7
11,12,1952-11-22,2,INO,BOS,2,91,96,38,94.0,0.404,,,,15,19,0.789,,,33.0,,,,29,33,85.0,0.388,,,,30,35,0.857,,,23.0,,,,19,,,,0.202,,0.445,,86.8,,,0.404,,,0.16,0.388,,,0.353,1953,-5,5,9.0,0.016000000000000014,,,,-15,-16,-0.06799999999999995,,,10.0,,,,10
12,13,1952-11-23,2,INO,BLB,1,100,90,34,,,,,,32,41,0.78,,,,,,,25,32,,,,,,26,36,0.722,,,,,,,36,,,,,,,,,,,,,,,,,,,1953,10,2,,,,,,6,5,0.05800000000000005,,,,,,,-11
13,14,1952-11-25,1,INO,MLH,2,66,78,21,,,,,,24,35,0.686,,,,,,,33,23,,,,,,32,40,0.8,,,,,,,29,,,,,,,,,,,,,,,,,,,1953,-12,-2,,,,,,-8,-5,-0.11399999999999999,,,,,,,4
14,15,1952-11-27,2,INO,MNL,2,69,90,24,92.0,0.261,,,,21,28,0.75,,,,,,,26,32,75.0,0.427,,,,26,36,0.722,,,,,,,24,,,,0.304,,0.331,,,,,0.261,,,0.228,0.427,,,0.347,1953,-21,-8,17.0,-0.16599999999999998,,,,-5,-8,0.028000000000000025,,,,,,,2
15,16,1952-11-28,1,INO,MNL,2,82,97,30,,,,,,22,37,0.595,,,,,,,25,37,,,,,,23,28,0.821,,,,,,,24,,,,,,,,,,,,,,,,,,,1953,-15,-7,,,,,,-1,9,-0.22599999999999998,,,,,,,1
16,17,1952-11-29,2,INO,NYK,2,72,94,30,,,,,,12,21,0.571,,,,,,,27,34,,,,,,26,32,0.813,,,,,,,15,,,,,,,,,,,,,,,,,,,1953,-22,-4,,,,,,-14,-11,-0.242,,,,,,,12
17,18,1952-12-02,1,INO,ROC,1,85,76,27,,,,,,31,40,0.775,,,,,,,23,24,,,,,,28,35,0.8,,,,,,,29,,,,,,,,,,,,,,,,,,,1953,9,3,,,,,,3,5,-0.025000000000000022,,,,,,,-6
