,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1952-11-01,1,MLH,INO,1,73,71,25,,,,,,23,32,0.719,,,,,,,32,24,,,,,,23,36,0.639,,,,,,,27,,,,,,,,,,,,,,,,,,,1953,2,1,,,,,,0,-4,0.07999999999999996,,,,,,,5
1,2,1952-11-09,1,MLH,ROC,1,78,75,25,,,,,,28,47,0.596,,,,,,,36,25,,,,,,25,40,0.625,,,,,,,42,,,,,,,,,,,,,,,,,,,1953,3,0,,,,,,3,7,-0.029000000000000026,,,,,,,-6
2,3,1952-11-12,2,MLH,BLB,2,90,107,34,,,,,,22,31,0.71,,,,,,,51,27,,,,,,53,69,0.768,,,,,,,26,,,,,,,,,,,,,,,,,,,1953,-17,7,,,,,,-31,-38,-0.05800000000000005,,,,,,,25
3,4,1952-11-13,N,MLH,ROC,2,79,97,29,,,,,,21,30,0.7,,,,,,,29,35,,,,,,27,38,0.711,,,,,,,24,,,,,,,,,,,,,,,,,,,1953,-18,-6,,,,,,-6,-8,-0.01100000000000001,,,,,,,5
4,5,1952-11-15,1,MLH,FTW,1,71,68,20,,,,,,31,44,0.705,,,,,,,42,16,,,,,,36,52,0.692,,,,,,,34,,,,,,,,,,,,,,,,,,,1953,3,4,,,,,,-5,-8,0.013000000000000012,,,,,,,8
5,6,1952-11-16,2,MLH,MNL,2,51,87,17,80.0,0.213,,,,17,31,0.548,,,,,,,24,35,84.0,0.417,,,,17,27,0.63,,,,,,,23,,,,0.388,,0.272,,,,,0.213,,,0.213,0.417,,,0.202,1953,-36,-18,-4.0,-0.204,,,,0,4,-0.08199999999999996,,,,,,,1
6,7,1952-11-18,N,MLH,PHW,2,82,83,31,73.0,0.425,,,,20,33,0.606,,36.0,24.0,,,,45,23,50.0,0.46,,,,37,55,0.673,,51.0,19.0,,,,26,,,,0.452,,0.468,41.4,77.4,,,0.425,,,0.274,0.46,,,0.74,1953,-1,8,23.0,-0.03500000000000003,,,,-17,-22,-0.06700000000000006,,-15.0,5.0,,,,19
7,8,1952-11-19,N,MLH,BOS,2,77,91,29,,,,,,19,33,0.576,,,,,,,31,32,,,,,,27,36,0.75,,,,,,,24,,,,,,,,,,,,,,,,,,,1953,-14,-3,,,,,,-8,-3,-0.17400000000000004,,,,,,,7
8,9,1952-11-20,2,MLH,SYR,2,73,92,27,,,,,,19,29,0.655,,,,,,,28,33,,,,,,26,38,0.684,,,,,,,21,,,,,,,,,,,,,,,,,,,1953,-19,-6,,,,,,-7,-9,-0.029000000000000026,,,,,,,7
9,10,1952-11-22,2,MLH,ROC,2,65,69,20,,,,,,25,38,0.658,,,,,,,32,20,,,,,,29,40,0.725,,,,,,,31,,,,,,,,,,,,,,,,,,,1953,-4,0,,,,,,-4,-2,-0.06699999999999995,,,,,,,1
