,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1954-10-30,2,FTW,MLH,1,91,72,33,,,,,,25,35,0.714,,,,,,,29,22,,,,,,28,46,0.609,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,19,11,,,,,,-3,-11,0.10499999999999998,,,,,,,5
1,2,1954-10-31,1,FTW,BOS,1,90,86,27,,,,,,36,46,0.783,,,,,,,21,30,,,,,,26,37,0.703,,,,,,,32,,,,,,,,,,,,,,,,,,,1955,4,-3,,,,,,10,9,0.08000000000000007,,,,,,,-11
2,3,1954-11-06,1,FTW,NYK,1,90,83,35,,,,,,20,28,0.714,,,,,,,27,27,,,,,,29,45,0.644,,,,,,,17,,,,,,,,,,,,,,,,,,,1955,7,8,,,,,,-9,-17,0.06999999999999995,,,,,,,10
3,4,1954-11-07,1,FTW,ROC,1,109,84,33,,,,,,43,51,0.843,,,,,,,31,27,,,,,,30,46,0.652,,,,,,,34,,,,,,,,,,,,,,,,,,,1955,25,6,,,,,,13,5,0.19099999999999995,,,,,,,-3
4,5,1954-11-11,1,FTW,SYR,2,86,88,26,,,,,,34,45,0.756,,,,,,,24,32,,,,,,24,33,0.727,,,,,,,29,,,,,,,,,,,,,,,,,,,1955,-2,-6,,,,,,10,12,0.029000000000000026,,,,,,,-5
5,6,1954-11-13,2,FTW,ROC,1,103,98,31,,,,,,41,52,0.788,,,,,,,33,35,,,,,,28,47,0.596,,,,,,,31,,,,,,,,,,,,,,,,,,,1955,5,-4,,,,,,13,5,0.19200000000000006,,,,,,,2
6,7,1954-11-14,1,FTW,MLH,1,93,91,28,76.0,0.368,,,,37,45,0.822,,,26.0,,,,30,30,85.0,0.353,,,,31,43,0.721,,,21.0,,,,28,,,,0.592,,0.485,,92.9,,,0.368,,,0.487,0.353,,,0.365,1955,2,-2,-9.0,0.015000000000000013,,,,6,2,0.10099999999999998,,,5.0,,,,2
7,8,1954-11-18,2,FTW,SYR,2,82,91,29,,,,,,24,40,0.6,,,,,,,29,28,,,,,,35,45,0.778,,,,,,,26,,,,,,,,,,,,,,,,,,,1955,-9,1,,,,,,-11,-5,-0.17800000000000005,,,,,,,3
8,9,1954-11-20,2,FTW,PHW,2,82,99,30,92.0,0.326,,,,22,34,0.647,,56.0,21.0,,,,32,34,91.0,0.374,,,,31,46,0.674,,78.0,27.0,,,,27,,,,0.37,,0.383,41.8,70.0,,,0.326,,,0.239,0.374,,,0.341,1955,-17,-4,1.0,-0.04799999999999999,,,,-9,-12,-0.027000000000000024,,-22.0,-6.0,,,,5
9,10,1954-11-21,1,FTW,ROC,1,89,78,27,,,,,,35,49,0.714,,,,,,,24,27,,,,,,24,31,0.774,,,,,,,30,,,,,,,,,,,,,,,,,,,1955,11,0,,,,,,11,18,-0.06000000000000005,,,,,,,-6
10,11,1954-11-24,N,FTW,PHW,2,87,91,35,80.0,0.438,,,,17,24,0.708,,51.0,26.0,,,,16,38,91.0,0.418,,,,15,19,0.789,,43.0,27.0,,,,18,,,,0.3,,0.48,54.3,74.3,,,0.438,,,0.213,0.418,,,0.165,1955,-4,-3,-11.0,0.020000000000000018,,,,2,5,-0.08100000000000007,,8.0,-1.0,,,,-2
11,12,1954-11-27,1,FTW,MNL,1,97,81,37,,,,,,23,35,0.657,,,,,,,18,33,,,,,,15,26,0.577,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,16,4,,,,,,8,9,0.08000000000000007,,,,,,,-6
12,13,1954-11-28,1,FTW,MLH,1,96,81,33,,,,,,30,46,0.652,,,,,,,19,31,,,,,,19,29,0.655,,,,,,,33,,,,,,,,,,,,,,,,,,,1955,15,2,,,,,,11,17,-0.0030000000000000027,,,,,,,-14
13,14,1954-11-30,N,FTW,MNL,1,92,90,34,,,,,,24,37,0.649,,,,,,,22,35,,,,,,20,33,0.606,,,,,,,23,,,,,,,,,,,,,,,,,,,1955,2,-1,,,,,,4,4,0.04300000000000004,,,,,,,-1
14,15,1954-12-01,2,FTW,ROC,1,101,96,34,,,,,,33,46,0.717,,,,,,,28,35,,,,,,26,39,0.667,,,,,,,30,,,,,,,,,,,,,,,,,,,1955,5,-1,,,,,,7,7,0.04999999999999993,,,,,,,-2
15,16,1954-12-02,1,FTW,BOS,1,116,98,42,,,,,,32,44,0.727,,,,,,,28,31,,,,,,36,46,0.783,,,,,,,30,,,,,,,,,,,,,,,,,,,1955,18,11,,,,,,-4,-2,-0.05600000000000005,,,,,,,-2
16,17,1954-12-04,2,FTW,NYK,1,90,88,36,,,,,,18,23,0.783,,,,,,,21,36,,,,,,16,28,0.571,,,,,,,17,,,,,,,,,,,,,,,,,,,1955,2,0,,,,,,2,-5,0.21200000000000008,,,,,,,4
17,18,1954-12-05,1,FTW,ROC,2,96,97,28,,,,,,40,48,0.833,,,,,,,23,36,,,,,,25,30,0.833,,,,,,,32,,,,,,,,,,,,,,,,,,,1955,-1,-8,,,,,,15,18,0.0,,,,,,,-9
18,19,1954-12-07,N,FTW,MLH,1,101,85,36,,,,,,29,33,0.879,,,,,,,23,30,,,,,,25,39,0.641,,,,,,,23,,,,,,,,,,,,,,,,,,,1955,16,6,,,,,,4,-6,0.238,,,,,,,0
19,20,1954-12-08,N,FTW,MLH,1,92,68,34,,,,,,24,37,0.649,,,,,,,16,26,,,,,,16,23,0.696,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,24,8,,,,,,8,14,-0.04699999999999993,,,,,,,-9
38,21,1954-12-12,1,FTW,BOS,1,100,99,35,,,,,,30,34,0.882,,,,,,,24,32,,,,,,35,36,0.972,,,,,,,27,,,,,,,,,,,,,,,,,,,1955,1,3,,,,,,-5,-2,-0.08999999999999997,,,,,,,-3
39,22,1954-12-15,N,FTW,PHW,2,90,99,31,,,,,,28,36,0.778,,,,,,,36,27,,,,,,45,54,0.833,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,-9,4,,,,,,-17,-18,-0.05499999999999994,,,,,,,11
40,23,1954-12-18,2,FTW,ROC,1,87,86,30,,,,,,27,35,0.771,,,,,,,23,31,,,,,,24,34,0.706,,,,,,,23,,,,,,,,,,,,,,,,,,,1955,1,-1,,,,,,3,1,0.06500000000000006,,,,,,,0
41,24,1954-12-19,1,FTW,MLH,1,87,82,36,,,,,,15,26,0.577,,,,,,,24,29,,,,,,24,31,0.774,,,,,,,16,,,,,,,,,,,,,,,,,,,1955,5,7,,,,,,-9,-5,-0.19700000000000006,,,,,,,8
42,25,1954-12-23,2,FTW,PHW,1,92,82,31,,,,,,30,39,0.769,,,,,,,21,31,,,,,,20,27,0.741,,,,,,,26,,,,,,,,,,,,,,,,,,,1955,10,0,,,,,,10,12,0.028000000000000025,,,,,,,-5
43,26,1954-12-25,2,FTW,ROC,2,73,80,27,,,,,,19,28,0.679,,,,,,,19,33,,,,,,14,25,0.56,,,,,,,21,,,,,,,,,,,,,,,,,,,1955,-7,-6,,,,,,5,3,0.119,,,,,,,-2
44,27,1954-12-26,1,FTW,PHW,1,109,96,33,,,,,,43,53,0.811,,,,,,,26,28,,,,,,40,49,0.816,,,,,,,31,,,,,,,,,,,,,,,,,,,1955,13,5,,,,,,3,4,-0.004999999999999893,,,,,,,-5
45,28,1954-12-30,N,FTW,MNL,1,93,76,32,93.0,0.344,,,,29,37,0.784,,,,,,,26,26,95.0,0.274,,,,24,35,0.686,,,,,,,29,,,,0.398,,0.426,,,,,0.344,,,0.312,0.274,,,0.253,1955,17,6,-2.0,0.06999999999999995,,,,5,2,0.09799999999999998,,,,,,,-3
46,29,1954-12-31,1,FTW,MNL,2,91,103,24,,,,,,43,68,0.632,,,,,,,37,28,,,,,,47,59,0.797,,,,,,,37,,,,,,,,,,,,,,,,,,,1955,-12,-4,,,,,,-4,9,-0.16500000000000004,,,,,,,0
47,30,1955-01-02,1,FTW,PHW,1,89,66,37,,,,,,15,20,0.75,,,,,,,18,25,,,,,,16,25,0.64,,,,,,,17,,,,,,,,,,,,,,,,,,,1955,23,12,,,,,,-1,-5,0.10999999999999999,,,,,,,1
48,31,1955-01-04,N,FTW,MNL,1,93,92,36,,,,,,21,32,0.656,,,,,,,24,33,,,,,,26,37,0.703,,,,,,,20,,,,,,,,,,,,,,,,,,,1955,1,3,,,,,,-5,-5,-0.04699999999999993,,,,,,,4
49,32,1955-01-05,N,FTW,MLH,2,92,97,31,70.0,0.443,,,,30,40,0.75,,45.0,22.0,,,,25,33,84.0,0.393,,,,31,42,0.738,,48.0,22.0,,,,28,,,,0.571,,0.525,48.4,71.0,,,0.443,,,0.429,0.393,,,0.369,1955,-5,-2,-14.0,0.04999999999999999,,,,-1,-2,0.01200000000000001,,-3.0,0.0,,,,-3
50,33,1955-01-06,N,FTW,ROC,1,90,83,35,,,,,,20,27,0.741,,,,,,,27,30,,,,,,23,38,0.605,,,,,,,21,,,,,,,,,,,,,,,,,,,1955,7,5,,,,,,-3,-11,0.136,,,,,,,6
51,34,1955-01-09,1,FTW,MNL,1,89,86,26,,,,,,37,44,0.841,,,,,,,25,30,,,,,,26,37,0.703,,,,,,,27,,,,,,,,,,,,,,,,,,,1955,3,-4,,,,,,11,7,0.138,,,,,,,-2
52,35,1955-01-11,1,FTW,BOS,2,110,119,36,,,,,,38,51,0.745,,,,,,,33,39,,,,,,41,52,0.788,,,,,,,31,,,,,,,,,,,,,,,,,,,1955,-9,-3,,,,,,-3,-1,-0.04300000000000004,,,,,,,2
53,36,1955-01-13,2,FTW,SYR,2,83,100,31,,,,,,21,31,0.677,,,,,,,19,39,,,,,,22,28,0.786,,,,,,,22,,,,,,,,,,,,,,,,,,,1955,-17,-8,,,,,,-1,3,-0.10899999999999999,,,,,,,-3
54,37,1955-01-14,N,FTW,NYK,2,83,97,31,,,,,,21,33,0.636,,,,,,,26,35,,,,,,27,38,0.711,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,-14,-4,,,,,,-6,-5,-0.07499999999999996,,,,,,,2
55,38,1955-01-15,2,FTW,NYK,2,87,106,27,,,,,,33,39,0.846,,,,,,,20,43,,,,,,20,28,0.714,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,-19,-16,,,,,,13,11,0.132,,,,,,,-5
56,39,1955-01-16,1,FTW,MLH,1,89,78,31,,,,,,27,36,0.75,,,,,,,23,27,,,,,,24,31,0.774,,,,,,,26,,,,,,,,,,,,,,,,,,,1955,11,4,,,,,,3,5,-0.02400000000000002,,,,,,,-3
57,40,1955-01-19,N,FTW,BOS,1,105,84,45,,,,,,15,18,0.833,,,,,,,25,25,,,,,,34,39,0.872,,,,,,,15,,,,,,,,,,,,,,,,,,,1955,21,20,,,,,,-19,-21,-0.039000000000000035,,,,,,,10
58,41,1955-01-22,2,FTW,MLH,1,85,83,30,,,,,,25,31,0.806,,,,,,,21,32,,,,,,19,30,0.633,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,2,-2,,,,,,6,1,0.17300000000000004,,,,,,,-3
59,42,1955-01-23,1,FTW,ROC,1,105,84,36,,,,,,33,39,0.846,,,,,,,26,28,,,,,,28,36,0.778,,,,,,,26,,,,,,,,,,,,,,,,,,,1955,21,8,,,,,,5,3,0.06799999999999995,,,,,,,0
60,43,1955-01-25,N,FTW,SYR,1,69,66,26,,,,,,17,23,0.739,,,,,,,22,24,,,,,,18,32,0.563,,,,,,,19,,,,,,,,,,,,,,,,,,,1955,3,2,,,,,,-1,-9,0.17600000000000005,,,,,,,3
61,44,1955-01-26,2,FTW,BOS,2,90,99,35,83.0,0.422,,,,20,29,0.69,,52.0,,,,,23,37,88.0,0.42,,,,25,30,0.833,,,,,,,19,,,,0.349,,0.47,,,,,0.422,,,0.241,0.42,,,0.284,1955,-9,-2,-5.0,0.0020000000000000018,,,,-5,-1,-0.14300000000000002,,,,,,,4
62,45,1955-01-27,2,FTW,SYR,2,79,94,28,,,,,,23,36,0.639,,,,,,,25,36,,,,,,22,33,0.667,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,-15,-8,,,,,,1,3,-0.028000000000000025,,,,,,,0
63,46,1955-01-29,2,FTW,MNL,2,91,100,35,91.0,0.385,,,,21,27,0.778,,,,,,,17,41,92.0,0.446,,,,18,24,0.75,,,,,,,21,,,,0.297,,0.442,,,,,0.385,,,0.231,0.446,,,0.196,1955,-9,-6,-1.0,-0.061,,,,3,3,0.028000000000000025,,,,,,,-4
64,47,1955-01-30,1,FTW,MNL,1,99,92,37,,,,,,25,30,0.833,,,,,,,19,35,,,,,,22,27,0.815,,,,,,,18,,,,,,,,,,,,,,,,,,,1955,7,2,,,,,,3,3,0.018000000000000016,,,,,,,1
65,48,1955-01-31,N,FTW,NYK,2,84,91,29,,,,,,26,35,0.743,,,,,,,20,34,,,,,,23,30,0.767,,,,,,,22,,,,,,,,,,,,,,,,,,,1955,-7,-5,,,,,,3,5,-0.02400000000000002,,,,,,,-2
66,49,1955-02-02,2,FTW,ROC,2,74,84,26,78.0,0.333,,,,22,27,0.815,,,,,,,17,34,77.0,0.442,,,,16,20,0.8,,,,,,,20,,,,0.346,,0.412,,,,,0.333,,,0.282,0.442,,,0.208,1955,-10,-8,1.0,-0.10899999999999999,,,,6,7,0.014999999999999902,,,,,,,-3
67,50,1955-02-03,1,FTW,SYR,1,104,85,34,,,,,,36,38,0.947,,,,,,,28,28,,,,,,29,38,0.763,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,19,6,,,,,,7,0,0.18399999999999994,,,,,,,3
