,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1954-10-31,1,SYR,MNL,2,94,97,31,82.0,0.378,,,,32,53,0.604,,,,,,,28,34,87.0,0.391,,,,29,43,0.674,,59.0,26.0,,,,36,,,,0.646,,0.446,,,,,0.378,,,0.39,0.391,,,0.333,1955,-3,-3,-5.0,-0.013000000000000012,,,,3,10,-0.07000000000000006,,,,,,,-8
1,2,1954-11-06,2,SYR,BOS,2,84,107,28,100.0,0.28,,,,28,35,0.8,,,18.0,,,,12,47,111.0,0.423,,,,13,17,0.765,,,29.0,,,,21,,,,0.35,,0.364,,64.3,,,0.28,,,0.28,0.423,,,0.117,1955,-23,-19,-11.0,-0.14299999999999996,,,,15,18,0.03500000000000003,,,-11.0,,,,-9
2,3,1954-11-07,1,SYR,MLH,1,97,80,32,86.0,0.372,,,,33,42,0.786,,50.0,29.0,,,,26,27,88.0,0.307,,,,26,39,0.667,,54.0,23.0,,,,28,,,,0.488,,0.464,48.1,90.6,,,0.372,,,0.384,0.307,,,0.295,1955,17,5,-2.0,0.065,,,,7,3,0.119,,-4.0,6.0,,,,-2
3,4,1954-11-11,2,SYR,FTW,1,88,86,32,,,,,,24,33,0.727,,,,,,,29,26,,,,,,34,45,0.756,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,2,6,,,,,,-10,-12,-0.029000000000000026,,,,,,,5
4,5,1954-11-13,2,SYR,MLH,2,72,85,22,91.0,0.242,,,,28,48,0.583,,45.0,19.0,,,,28,29,82.0,0.354,,,,27,35,0.771,,70.0,22.0,,,,31,,,,0.527,,0.321,39.1,86.4,,,0.242,,,0.308,0.354,,,0.329,1955,-13,-7,9.0,-0.11199999999999999,,,,1,13,-0.18800000000000006,,-25.0,-3.0,,,,-3
5,6,1954-11-14,2,SYR,MNL,2,92,99,31,89.0,0.348,,,,30,43,0.698,,48.0,11.0,,,,25,39,93.0,0.419,,,,21,30,0.7,,51.0,13.0,,,,29,,,,0.483,,0.426,48.5,35.5,,,0.348,,,0.337,0.419,,,0.226,1955,-7,-8,-4.0,-0.07100000000000001,,,,9,13,-0.0020000000000000018,,-3.0,-2.0,,,,-4
6,7,1954-11-16,N,SYR,PHW,1,86,85,29,99.0,0.293,,,,28,41,0.683,,64.0,19.0,,,,27,27,78.0,0.346,,,,31,42,0.738,,60.0,17.0,,,,27,,,,0.414,,0.367,51.6,65.5,,,0.293,,,0.283,0.346,,,0.397,1955,1,2,21.0,-0.05299999999999999,,,,-3,-1,-0.05499999999999994,,4.0,2.0,,,,0
7,8,1954-11-18,1,SYR,FTW,1,91,82,28,,,,,,35,45,0.778,,,,,,,26,29,,,,,,24,40,0.6,,,,,,,29,,,,,,,,,,,,,,,,,,,1955,9,-1,,,,,,11,5,0.17800000000000005,,,,,,,-3
8,9,1954-11-20,2,SYR,ROC,1,80,79,32,74.0,0.432,,,,16,23,0.696,,35.0,18.0,,,,18,33,83.0,0.398,,,,13,25,0.52,,51.0,31.0,,,,19,,,,0.311,,0.476,40.7,56.3,,,0.432,,,0.216,0.398,,,0.157,1955,1,-1,-9.0,0.033999999999999975,,,,3,-2,0.17599999999999993,,-16.0,-13.0,,,,-1
9,10,1954-11-21,1,SYR,BOS,1,110,104,44,,,,,,22,29,0.759,,,,,,,24,40,,,,,,24,28,0.857,,,,,,,23,,,,,,,,,,,,,,,,,,,1955,6,4,,,,,,-2,1,-0.09799999999999998,,,,,,,1
10,11,1954-11-25,1,SYR,MLH,1,91,85,29,75.0,0.387,,,,33,46,0.717,,47.0,17.0,,,,23,31,80.0,0.388,,,,23,34,0.676,,55.0,16.0,,,,29,,,,0.613,,0.478,46.1,58.6,,,0.387,,,0.44,0.388,,,0.288,1955,6,-2,-5.0,-0.0010000000000000009,,,,10,12,0.040999999999999925,,-8.0,1.0,,,,-6
11,12,1954-11-27,2,SYR,NYK,1,80,74,30,80.0,0.375,,,,20,23,0.87,,41.0,19.0,,,,18,29,68.0,0.426,,,,16,24,0.667,,36.0,20.0,,,,20,,,,0.288,,0.444,53.2,63.3,,,0.375,,,0.25,0.426,,,0.235,1955,6,1,12.0,-0.05099999999999999,,,,4,-1,0.20299999999999996,,5.0,-1.0,,,,-2
12,13,1954-11-28,1,SYR,NYK,1,79,77,27,78.0,0.346,,,,25,35,0.714,,53.0,24.0,,,,25,26,75.0,0.347,,,,25,34,0.735,,47.0,20.0,,,,28,,,,0.449,,0.423,53.0,88.9,,,0.346,,,0.321,0.347,,,0.333,1955,2,1,3.0,-0.0010000000000000009,,,,0,1,-0.02100000000000002,,6.0,4.0,,,,-3
13,14,1954-12-01,N,SYR,NYK,2,86,88,30,99.0,0.303,,,,26,36,0.722,,65.0,21.0,,,,31,28,76.0,0.368,,,,32,50,0.64,,65.0,24.0,,,,26,,,,0.364,,0.374,50.0,70.0,,,0.303,,,0.263,0.368,,,0.421,1955,-2,2,23.0,-0.065,,,,-6,-14,0.08199999999999996,,0.0,-3.0,,,,5
14,15,1954-12-02,1,SYR,ROC,1,82,78,30,77.0,0.39,,,,22,29,0.759,,57.0,25.0,,,,17,32,94.0,0.34,,,,14,23,0.609,,36.0,21.0,,,,20,,,,0.377,,0.457,61.3,83.3,,,0.39,,,0.286,0.34,,,0.149,1955,4,-2,-17.0,0.04999999999999999,,,,8,6,0.15000000000000002,,21.0,4.0,,,,-3
15,16,1954-12-04,2,SYR,PHW,2,73,79,28,94.0,0.298,,,,17,22,0.773,,61.0,21.0,,,,15,33,109.0,0.303,,,,13,19,0.684,,80.0,25.0,,,,16,,,,0.234,,0.352,43.3,75.0,,,0.298,,,0.181,0.303,,,0.119,1955,-6,-5,-15.0,-0.0050000000000000044,,,,4,3,0.08899999999999997,,-19.0,-4.0,,,,-1
16,17,1954-12-05,1,SYR,PHW,1,89,72,31,78.0,0.397,,,,27,37,0.73,,53.0,25.0,,,,17,27,83.0,0.325,,,,18,25,0.72,,54.0,22.0,,,,27,,,,0.474,,0.472,49.5,80.6,,,0.397,,,0.346,0.325,,,0.217,1955,17,4,-5.0,0.07200000000000001,,,,9,12,0.010000000000000009,,-1.0,3.0,,,,-10
17,18,1954-12-07,N,SYR,PHW,1,88,81,36,83.0,0.434,,,,16,21,0.762,,56.0,37.0,,,,14,34,90.0,0.378,,,,13,20,0.65,,50.0,34.0,,,,15,,,,0.253,,0.477,52.8,102.8,,,0.434,,,0.193,0.378,,,0.144,1955,7,2,-7.0,0.055999999999999994,,,,3,1,0.11199999999999999,,6.0,3.0,,,,-1
18,19,1954-12-08,2,SYR,ROC,2,78,105,32,80.0,0.4,,,,14,20,0.7,,50.0,12.0,,,,18,43,86.0,0.5,,,,19,28,0.679,,56.0,27.0,,,,15,,,,0.25,,0.439,47.2,37.5,,,0.4,,,0.175,0.5,,,0.221,1955,-27,-11,-6.0,-0.09999999999999998,,,,-5,-8,0.020999999999999908,,-6.0,-15.0,,,,3
