,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1959-10-18,2,DET,MNL,1,106,105,44,,,,,,18,27,0.667,,,,,,,29,39,,,,,,27,44,0.614,,,,,,,25,,,,,,,,,,,,,,,,,,,1960,1,5,,,,,,-9,-17,0.05300000000000005,,,,,,,4
1,2,1959-10-24,2,DET,CIN,2,103,108,37,,,,,,29,47,0.617,,54.0,,,,,34,43,,,,,,22,39,0.564,,58.0,,,,,32,,,,,,,48.2,,,,,,,,,,,,1960,-5,-6,,,,,,7,8,0.05300000000000005,,-4.0,,,,,2
2,3,1959-10-28,1,DET,SYR,1,117,102,43,,,,,,31,47,0.66,,,,,,,29,34,,,,,,34,42,0.81,,,,,,,29,,,,,,,,,,,,,,,,,,,1960,15,9,,,,,,-3,5,-0.15000000000000002,,,,,,,0
3,4,1959-10-31,2,DET,PHW,2,112,120,49,125.0,0.392,,,,14,19,0.737,,74.0,20.0,,,,26,47,128.0,0.367,,,,26,40,0.65,,79.0,28.0,,,,15,,,,0.152,,0.42,48.4,40.8,,,0.392,,,0.112,0.367,,,0.203,1960,-8,2,-3.0,0.025000000000000022,,,,-12,-21,0.08699999999999997,,-5.0,-8.0,,,,11
4,5,1959-11-04,1,DET,NYK,2,101,107,38,,,,,,25,37,0.676,,,,,,,24,42,,,,,,23,35,0.657,,,,,,,25,,,,,,,,,,,,,,,,,,,1960,-6,-4,,,,,,2,2,0.019000000000000017,,,,,,,-1
5,6,1959-11-06,2,DET,MNL,1,118,113,42,114.0,0.368,,,,34,45,0.756,,,,,,,33,38,121.0,0.314,,,,37,47,0.787,,,,,,,30,,,,0.395,,0.441,,,,,0.368,,,0.298,0.314,,,0.306,1960,5,4,-7.0,0.05399999999999999,,,,-3,-2,-0.031000000000000028,,,,,,,3
6,7,1959-11-07,1,DET,MNL,2,111,113,44,,,,,,23,34,0.676,,,,,,,32,40,,,,,,33,43,0.767,,,,,,,27,,,,,,,,,,,,,,,,,,,1960,-2,4,,,,,,-10,-9,-0.09099999999999997,,,,,,,5
7,8,1959-11-08,2,DET,SYR,2,107,118,41,110.0,0.373,,,,25,34,0.735,,62.0,19.0,,,,28,42,104.0,0.404,,,,34,38,0.895,,63.0,22.0,,,,26,,,,0.309,,0.428,49.6,46.3,,,0.373,,,0.227,0.404,,,0.327,1960,-11,-1,6.0,-0.031000000000000028,,,,-9,-4,-0.16000000000000003,,-1.0,-3.0,,,,2
8,9,1959-11-10,N,DET,BOS,2,109,128,44,106.0,0.415,,,,21,30,0.7,,60.0,,,,,32,51,117.0,0.436,,,,26,42,0.619,,74.0,,,,,21,,,,0.283,,0.457,44.8,,,,0.415,,,0.198,0.436,,,0.222,1960,-19,-7,-11.0,-0.02100000000000002,,,,-5,-12,0.08099999999999996,,-14.0,,,,,11
9,10,1959-11-11,1,DET,PHW,2,105,119,42,113.0,0.372,,,,21,29,0.724,,58.0,8.0,,,,19,49,113.0,0.434,,,,21,28,0.75,,62.0,20.0,,,,19,,,,0.257,,0.417,48.3,19.0,,,0.372,,,0.186,0.434,,,0.186,1960,-14,-7,0.0,-0.062,,,,0,1,-0.026000000000000023,,-4.0,-12.0,,,,0
