,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1960-10-22,1,SYR,PHW,2,123,133,52,120.0,0.433,,,,19,24,0.792,,60.0,31.0,,,,28,51,109.0,0.468,,,,31,46,0.674,,63.0,27.0,,,,20,,,,0.2,,0.471,48.8,59.6,,,0.433,,,0.158,0.468,,,0.284,1961,-10,1,11.0,-0.03500000000000003,,,,-12,-22,0.118,,-3.0,4.0,,,,8
1,2,1960-10-25,2,SYR,STL,2,100,123,33,102.0,0.324,,,,34,48,0.708,,58.0,,,,,37,40,99.0,0.404,,,,43,62,0.694,,73.0,,,,,34,,,,0.471,,0.406,44.3,,,,0.324,,,0.333,0.404,,,0.434,1961,-23,-7,3.0,-0.08000000000000002,,,,-9,-14,0.014000000000000012,,-15.0,,,,,3
2,3,1960-10-27,2,SYR,CIN,2,140,143,49,,,,,,42,51,0.824,,65.0,,,,,38,54,,,,,,35,47,0.745,,81.0,,,,,33,,,,,,,44.5,,,,,,,,,,,,1961,-3,-5,,,,,,7,4,0.07899999999999996,,-16.0,,,,,5
3,4,1960-10-29,1,SYR,LAL,1,125,118,38,,,,,,49,55,0.891,,,,,,,31,38,,,,,,42,50,0.84,,,,,,,33,,,,,,,,,,,,,,,,,,,1961,7,0,,,,,,7,5,0.051000000000000045,,,,,,,-2
4,5,1960-11-05,2,SYR,LAL,2,110,112,46,,,,,,18,27,0.667,,,,,,,27,39,,,,,,34,41,0.829,,,,,,,22,,,,,,,,,,,,,,,,,,,1961,-2,7,,,,,,-16,-14,-0.16199999999999992,,,,,,,5
5,6,1960-11-06,N,SYR,LAL,2,113,119,43,,,,,,27,32,0.844,,,,,,,27,46,,,,,,27,38,0.711,,,,,,,25,,,,,,,,,,,,,,,,,,,1961,-6,-3,,,,,,0,-6,0.133,,,,,,,2
6,7,1960-11-11,2,SYR,NYK,2,108,112,37,,,,,,34,42,0.81,,,,,,,34,40,,,,,,32,42,0.762,,,,,,,36,,,,,,,,,,,,,,,,,,,1961,-4,-3,,,,,,2,0,0.04800000000000004,,,,,,,-2
7,8,1960-11-12,1,SYR,NYK,1,128,117,44,,,,,,40,47,0.851,,,,,,,37,39,,,,,,39,53,0.736,,,,,,,32,,,,,,,,,,,,,,,,,,,1961,11,5,,,,,,1,-6,0.11499999999999999,,,,,,,5
8,9,1960-11-16,1,SYR,CIN,1,124,87,53,122.0,0.434,,,,18,23,0.783,,67.0,31.0,,,,22,35,99.0,0.354,,,,17,23,0.739,,57.0,20.0,,,,17,,,,0.189,,0.469,54.0,58.5,,,0.434,,,0.148,0.354,,,0.172,1961,37,18,23.0,0.08000000000000002,,,,1,0,0.04400000000000004,,10.0,11.0,,,,5
9,10,1960-11-17,2,SYR,PHW,1,106,105,42,114.0,0.368,,,,22,26,0.846,,68.0,20.0,,,,30,41,105.0,0.39,,,,23,47,0.489,,76.0,28.0,,,,23,,,,0.228,,0.423,47.2,47.6,,,0.368,,,0.193,0.39,,,0.219,1961,1,1,9.0,-0.02200000000000002,,,,-1,-21,0.357,,-8.0,-8.0,,,,7
