,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1961-10-19,2,CHP,NYK,2,103,120,34,,,,,,35,49,0.714,,,,,,,26,51,,,,,,18,38,0.474,,,,,,,35,,,,,,,,,,,,,,,,,,,1962,-17,-17,,,,,,17,11,0.24,,,,,,,-9
1,2,1961-10-21,2,CHP,SYR,2,103,123,31,,,,,,41,69,0.594,,,,,,,29,47,,,,,,29,40,0.725,,,,,,,46,,,,,,,,,,,,,,,,,,,1962,-20,-16,,,,,,12,29,-0.131,,,,,,,-17
2,3,1961-10-27,1,CHP,STL,1,117,106,44,,,,,,29,35,0.829,,,,,,,27,40,,,,,,26,41,0.634,,,,,,,24,,,,,,,,,,,,,,,,,,,1962,11,4,,,,,,3,-6,0.19499999999999995,,,,,,,3
3,4,1961-10-28,2,CHP,STL,2,95,122,34,110.0,0.309,,,,27,37,0.73,,67.0,,,,,23,50,123.0,0.407,,,,22,34,0.647,,82.0,,,,,30,,,,0.336,,0.376,45.0,,,,0.309,,,0.245,0.407,,,0.179,1962,-27,-16,-13.0,-0.09799999999999998,,,,5,3,0.08299999999999996,,-15.0,,,,,-7
4,5,1961-11-03,1,CHP,NYK,1,129,118,49,,,,,,31,43,0.721,,,,,,,31,42,,,,,,34,49,0.694,,,,,,,28,,,,,,,,,,,,,,,,,,,1962,11,7,,,,,,-3,-6,0.027000000000000024,,,,,,,3
5,6,1961-11-04,1,CHP,LAL,2,112,125,42,,,,,,28,34,0.824,,,,,,,32,45,,,,,,35,49,0.714,,,,,,,24,,,,,,,,,,,,,,,,,,,1962,-13,-3,,,,,,-7,-15,0.10999999999999999,,,,,,,8
6,7,1961-11-08,N,CHP,NYK,2,108,130,37,,,,,,34,48,0.708,,,,,,,24,57,,,,,,16,24,0.667,,,,,,,28,,,,,,,,,,,,,,,,,,,1962,-22,-20,,,,,,18,24,0.040999999999999925,,,,,,,-4
7,8,1961-11-10,2,CHP,CIN,2,117,122,46,126.0,0.365,,,,25,41,0.61,,70.0,,,,,26,48,111.0,0.432,,,,26,39,0.667,,77.0,,,,,28,,,,0.325,,0.406,47.6,,,,0.365,,,0.198,0.432,,,0.234,1962,-5,-2,15.0,-0.067,,,,-1,2,-0.05700000000000005,,-7.0,,,,,-2
8,9,1961-11-11,1,CHP,CIN,2,107,117,37,98.0,0.378,,,,33,50,0.66,,53.0,,,,,16,49,119.0,0.412,,,,19,24,0.792,,58.0,,,,,34,,,,0.51,,0.446,47.7,,,,0.378,,,0.337,0.412,,,0.16,1962,-10,-12,-21.0,-0.033999999999999975,,,,14,26,-0.132,,-5.0,,,,,-18
9,10,1961-11-12,1,CHP,BOS,2,96,112,37,,,,,,22,29,0.759,,,,,,,18,46,,,,,,20,26,0.769,,,,,,,22,,,,,,,,,,,,,,,,,,,1962,-16,-9,,,,,,2,3,-0.010000000000000009,,,,,,,-4
