,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1961-10-19,N,PHW,LAL,2,113,118,45,114.0,0.395,,,,23,35,0.657,,57.0,26.0,,,,29,42,100.0,0.42,,,,34,48,0.708,,66.0,20.0,,,,22,,,,0.307,,0.437,46.3,57.8,,,0.395,,,0.202,0.42,,,0.34,1962,-5,3,14.0,-0.024999999999999967,,,,-11,-13,-0.050999999999999934,,-9.0,6.0,,,,7
1,2,1961-10-20,1,PHW,LAL,1,122,115,47,110.0,0.427,,,,28,43,0.651,,72.0,27.0,,,,30,44,105.0,0.419,,,,27,42,0.643,,62.0,22.0,,,,29,,,,0.391,,0.473,53.7,57.4,,,0.427,,,0.255,0.419,,,0.257,1962,7,3,5.0,0.008000000000000007,,,,1,1,0.008000000000000007,,10.0,5.0,,,,1
2,3,1961-10-21,1,PHW,NYK,1,132,95,54,127.0,0.425,,,,24,34,0.706,,84.0,32.0,,,,14,41,115.0,0.357,,,,13,22,0.591,,57.0,21.0,,,,23,,,,0.268,,0.465,59.6,59.3,,,0.425,,,0.189,0.357,,,0.113,1962,37,13,12.0,0.068,,,,11,12,0.11499999999999999,,27.0,11.0,,,,-9
3,4,1961-10-27,1,PHW,SYR,2,122,126,45,100.0,0.45,,,,32,49,0.653,,64.0,33.0,,,,35,42,119.0,0.353,,,,42,53,0.792,,78.0,20.0,,,,31,,,,0.49,,0.502,45.1,73.3,,,0.45,,,0.32,0.353,,,0.353,1962,-4,3,-19.0,0.09700000000000003,,,,-10,-4,-0.139,,-14.0,13.0,,,,4
4,5,1961-10-28,2,PHW,SYR,1,119,115,39,110.0,0.355,,,,41,55,0.745,,64.0,20.0,,,,28,44,107.0,0.411,,,,27,37,0.73,,64.0,25.0,,,,35,,,,0.5,,0.443,50.0,51.3,,,0.355,,,0.373,0.411,,,0.252,1962,4,-5,3.0,-0.055999999999999994,,,,14,18,0.015000000000000013,,0.0,-5.0,,,,-7
5,6,1961-11-03,1,PHW,BOS,2,98,112,39,117.0,0.333,,,,20,28,0.714,,71.0,21.0,,,,30,46,114.0,0.404,,,,20,35,0.571,,77.0,33.0,,,,20,,,,0.239,,0.379,48.0,53.8,,,0.333,,,0.171,0.404,,,0.175,1962,-14,-7,3.0,-0.07100000000000001,,,,0,-7,0.14300000000000002,,-6.0,-12.0,,,,10
6,7,1961-11-04,1,PHW,DET,1,135,132,51,129.0,0.395,,,,33,42,0.786,,78.0,24.0,,,,35,47,95.0,0.495,,,,38,54,0.704,,56.0,26.0,,,,31,,,,0.326,,0.458,58.2,47.1,,,0.395,,,0.256,0.495,,,0.4,1962,3,4,34.0,-0.09999999999999998,,,,-5,-12,0.08200000000000007,,22.0,-2.0,,,,4
7,8,1961-11-08,2,PHW,DET,1,132,128,52,119.0,0.437,,,,28,38,0.737,,64.0,25.0,,,,33,50,111.0,0.45,,,,28,48,0.583,,63.0,30.0,,,,27,,,,0.319,,0.486,50.4,48.1,,,0.437,,,0.235,0.45,,,0.252,1962,4,2,8.0,-0.013000000000000012,,,,0,-10,0.15400000000000003,,1.0,-5.0,,,,6
8,9,1961-11-09,1,PHW,SYR,1,151,108,52,111.0,0.468,,,,47,64,0.734,,84.0,36.0,,,,24,40,122.0,0.328,,,,28,35,0.8,,60.0,25.0,,,,39,,,,0.577,,0.543,58.3,69.2,,,0.468,,,0.423,0.328,,,0.23,1962,43,12,-11.0,0.14,,,,19,29,-0.06600000000000006,,24.0,11.0,,,,-15
9,10,1961-11-11,2,PHW,BOS,2,125,128,50,108.0,0.463,,,,25,37,0.676,,62.0,20.0,,,,36,45,118.0,0.381,,,,38,57,0.667,,73.0,24.0,,,,24,,,,0.343,,0.503,45.9,40.0,,,0.463,,,0.231,0.381,,,0.322,1962,-3,5,-10.0,0.08200000000000002,,,,-13,-20,0.009000000000000008,,-11.0,-4.0,,,,12
10,11,1961-11-14,2,PHW,NYK,2,122,124,45,105.0,0.429,,,,32,49,0.653,,63.0,25.0,,,,25,48,116.0,0.414,,,,28,36,0.778,,61.0,26.0,,,,34,,,,0.467,,0.482,50.8,55.6,,,0.429,,,0.305,0.414,,,0.241,1962,-2,-3,-11.0,0.015000000000000013,,,,4,13,-0.125,,2.0,-1.0,,,,-9
11,12,1961-11-15,1,PHW,CIN,1,145,133,57,115.0,0.496,,,,31,40,0.775,,66.0,33.0,,,,26,53,133.0,0.398,,,,27,40,0.675,,73.0,22.0,,,,25,,,,0.348,,0.547,47.5,57.9,,,0.496,,,0.27,0.398,,,0.203,1962,12,4,-18.0,0.09799999999999998,,,,4,0,0.09999999999999998,,-7.0,11.0,,,,1
12,13,1961-11-17,1,PHW,LAL,2,121,125,50,118.0,0.424,,,,21,37,0.568,,77.0,25.0,,,,18,53,129.0,0.411,,,,19,27,0.704,,77.0,20.0,,,,25,,,,0.314,,0.451,50.0,50.0,,,0.424,,,0.178,0.411,,,0.147,1962,-4,-3,-11.0,0.013000000000000012,,,,2,10,-0.136,,0.0,5.0,,,,-7
13,14,1961-11-18,2,PHW,SYR,2,130,148,45,106.0,0.425,,,,40,58,0.69,,45.0,14.0,,,,23,61,115.0,0.53,,,,26,32,0.813,,58.0,29.0,,,,36,,,,0.547,,0.494,43.7,31.1,,,0.425,,,0.377,0.53,,,0.226,1962,-18,-16,-9.0,-0.10500000000000004,,,,14,26,-0.123,,-13.0,-15.0,,,,-13
14,15,1961-11-19,2,PHW,CHP,1,122,114,55,,,,,,12,20,0.6,,,,,,,22,45,,,,,,24,29,0.828,,,,,,,17,,,,,,,,,,,,,,,,,,,1962,8,10,,,,,,-12,-9,-0.22799999999999998,,,,,,,5
15,16,1961-11-21,2,PHW,CIN,1,125,118,52,123.0,0.423,,,,21,40,0.525,,71.0,32.0,,,,23,48,107.0,0.449,,,,22,32,0.688,,67.0,31.0,,,,28,,,,0.325,,0.445,51.4,61.5,,,0.423,,,0.171,0.449,,,0.206,1962,7,4,16.0,-0.026000000000000023,,,,-1,8,-0.16299999999999992,,4.0,1.0,,,,-5
16,17,1961-11-23,1,PHW,BOS,2,106,119,40,112.0,0.357,,,,26,40,0.65,,71.0,21.0,,,,24,46,110.0,0.418,,,,27,41,0.659,,74.0,27.0,,,,27,,,,0.357,,0.409,49.0,52.5,,,0.357,,,0.232,0.418,,,0.245,1962,-13,-6,2.0,-0.061,,,,-1,-1,-0.009000000000000008,,-3.0,-6.0,,,,-3
17,18,1961-11-25,1,PHW,CHP,1,134,102,52,127.0,0.409,,,,30,37,0.811,,90.0,32.0,,,,19,43,137.0,0.314,,,,16,28,0.571,,75.0,20.0,,,,26,,,,0.291,,0.468,54.5,61.5,,,0.409,,,0.236,0.314,,,0.117,1962,32,9,-10.0,0.09499999999999997,,,,14,9,0.2400000000000001,,15.0,12.0,,,,-7
18,19,1961-11-28,2,PHW,STL,1,121,111,45,103.0,0.437,,,,31,50,0.62,,64.0,19.0,,,,23,44,111.0,0.396,,,,23,37,0.622,,69.0,21.0,,,,29,,,,0.485,,0.484,48.1,42.2,,,0.437,,,0.301,0.396,,,0.207,1962,10,1,-8.0,0.04099999999999998,,,,8,13,-0.0020000000000000018,,-5.0,-2.0,,,,-6
19,20,1961-12-01,2,PHW,LAL,1,138,117,56,124.0,0.452,,,,26,43,0.605,,56.0,43.0,,,,24,46,98.0,0.469,,,,25,41,0.61,,55.0,32.0,,,,30,,,,0.347,,0.483,50.5,76.8,,,0.452,,,0.21,0.469,,,0.255,1962,21,10,26.0,-0.01699999999999996,,,,1,2,-0.0050000000000000044,,1.0,11.0,,,,-6
38,21,1961-12-02,2,PHW,LAL,2,119,129,40,91.0,0.44,,,,39,55,0.709,,61.0,27.0,,,,27,47,116.0,0.405,,,,35,38,0.921,,69.0,34.0,,,,30,,,,0.604,,0.516,46.9,67.5,,,0.44,,,0.429,0.405,,,0.302,1962,-10,-7,-25.0,0.034999999999999976,,,,4,17,-0.21200000000000008,,-8.0,-7.0,,,,-3
39,22,1961-12-05,2,PHW,NYK,1,122,105,50,100.0,0.5,,,,22,39,0.564,,60.0,29.0,,,,25,44,106.0,0.415,,,,17,32,0.531,,,,,,,29,,,,0.39,,0.521,,58.0,,,0.5,,,0.22,0.415,,,0.16,1962,17,6,-6.0,0.08500000000000002,,,,5,7,0.03299999999999992,,,,,,,-4
40,23,1961-12-06,1,PHW,STL,2,132,137,48,114.0,0.421,,,,36,48,0.75,,64.0,27.0,,,,20,58,134.0,0.433,,,,21,30,0.7,,80.0,35.0,,,,27,,,,0.421,,0.488,44.4,56.3,,,0.421,,,0.316,0.433,,,0.157,1962,-5,-10,-20.0,-0.01200000000000001,,,,15,18,0.050000000000000044,,-16.0,-8.0,,,,-7
41,24,1961-12-08,1,PHW,LAL,2,147,151,57,153.0,0.373,,,,33,56,0.589,,98.0,34.0,,,,35,57,138.0,0.413,,,,37,52,0.712,,90.0,27.0,,,,38,,,,0.366,,0.414,52.1,59.6,,,0.373,,,0.216,0.413,,,0.268,1962,-4,0,15.0,-0.03999999999999998,,,,-4,4,-0.123,,8.0,7.0,,,,-3
42,25,1961-12-09,1,PHW,CHP,1,135,113,60,130.0,0.462,,,,15,28,0.536,,81.0,36.0,,,,32,41,117.0,0.35,,,,31,52,0.596,,78.0,19.0,,,,21,,,,0.215,,0.474,50.9,60.0,,,0.462,,,0.115,0.35,,,0.265,1962,22,19,13.0,0.11200000000000004,,,,-16,-24,-0.05999999999999994,,3.0,17.0,,,,11
43,26,1961-12-10,N,PHW,CHP,1,118,109,44,97.0,0.454,,,,30,43,0.698,,35.0,28.0,,,,27,43,123.0,0.35,,,,23,35,0.657,,47.0,18.0,,,,27,,,,0.443,,0.509,42.7,63.6,,,0.454,,,0.309,0.35,,,0.187,1962,9,1,-26.0,0.10400000000000004,,,,7,8,0.040999999999999925,,-12.0,10.0,,,,0
44,27,1961-12-12,N,PHW,DET,1,132,109,53,114.0,0.465,,,,26,34,0.765,,65.0,28.0,,,,23,46,116.0,0.397,,,,17,32,0.531,,60.0,20.0,,,,24,,,,0.298,,0.512,52.0,52.8,,,0.465,,,0.228,0.397,,,0.147,1962,23,7,-2.0,0.068,,,,9,2,0.23399999999999999,,5.0,8.0,,,,-1
45,28,1961-12-13,2,PHW,BOS,2,113,123,44,112.0,0.393,,,,25,37,0.676,,56.0,20.0,,,,22,49,123.0,0.398,,,,25,35,0.714,,80.0,25.0,,,,24,,,,0.33,,0.44,41.2,45.5,,,0.393,,,0.223,0.398,,,0.203,1962,-10,-5,-11.0,-0.0050000000000000044,,,,0,2,-0.03799999999999992,,-24.0,-5.0,,,,-2
46,29,1961-12-14,1,PHW,SYR,1,136,125,50,119.0,0.42,,,,36,48,0.75,,71.0,27.0,,,,30,44,119.0,0.37,,,,37,45,0.822,,74.0,23.0,,,,32,,,,0.403,,0.485,49.0,54.0,,,0.42,,,0.303,0.37,,,0.311,1962,11,6,0.0,0.04999999999999999,,,,-1,3,-0.07199999999999995,,-3.0,4.0,,,,-2
47,30,1961-12-16,2,PHW,CHP,1,112,110,46,102.0,0.451,,,,20,29,0.69,,53.0,25.0,,,,16,47,103.0,0.456,,,,16,19,0.842,,58.0,24.0,,,,19,,,,0.284,,0.488,47.7,54.3,,,0.451,,,0.196,0.456,,,0.155,1962,2,-1,-1.0,-0.0050000000000000044,,,,4,10,-0.15200000000000002,,-5.0,1.0,,,,-3
48,31,1961-12-19,2,PHW,CIN,1,117,110,48,99.0,0.485,,,,21,31,0.677,,59.0,,,,,20,44,95.0,0.463,,,,22,27,0.815,,56.0,,,,,21,,,,0.313,,0.519,51.3,,,,0.485,,,0.212,0.463,,,0.232,1962,7,4,4.0,0.021999999999999964,,,,-1,4,-0.1379999999999999,,3.0,,,,,-1
49,32,1961-12-20,2,PHW,DET,1,117,102,47,113.0,0.416,,,,23,30,0.767,,61.0,30.0,,,,22,36,95.0,0.379,,,,30,40,0.75,,61.0,29.0,,,,21,,,,0.265,,0.464,50.0,63.8,,,0.416,,,0.204,0.379,,,0.316,1962,15,11,18.0,0.03699999999999998,,,,-7,-10,0.017000000000000015,,0.0,1.0,,,,1
