,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1962-10-16,2,CHZ,NYK,2,119,121,47,,,,,,25,37,0.676,,,,,,,27,48,,,,,,25,34,0.735,,,,,,,27,,,,,,,,,,,,,,,,,,,1963,-2,-1,,,,,,0,3,-0.05899999999999994,,,,,,,0
1,2,1962-10-20,1,CHZ,CIN,1,113,109,45,90.0,0.5,,,,23,37,0.622,,45.0,,,,,27,40,90.0,0.444,,,,29,36,0.806,,53.0,,,,,32,,,,0.411,,0.532,45.9,,,,0.5,,,0.256,0.444,,,0.322,1963,4,5,0.0,0.055999999999999994,,,,-6,1,-0.18400000000000005,,-8.0,,,,,-5
2,3,1962-10-23,N,CHZ,STL,2,109,110,36,78.0,0.462,,,,37,49,0.755,,44.0,,,,,33,37,93.0,0.398,,,,36,47,0.766,,49.0,,,,,35,,,,0.628,,0.547,47.3,,,,0.462,,,0.474,0.398,,,0.387,1963,-1,-1,-15.0,0.064,,,,1,2,-0.01100000000000001,,-5.0,,,,,-2
3,4,1962-10-24,1,CHZ,LAL,1,118,107,49,,,,,,20,28,0.714,,,,,,,28,33,,,,,,41,51,0.804,,,,,,,25,,,,,,,,,,,,,,,,,,,1963,11,16,,,,,,-21,-23,-0.09000000000000008,,,,,,,3
4,5,1962-10-26,2,CHZ,SYR,2,112,130,41,,,,,,30,51,0.588,,,,,,,30,51,,,,,,28,32,0.875,,,,,,,31,,,,,,,,,,,,,,,,,,,1963,-18,-10,,,,,,2,19,-0.28700000000000003,,,,,,,-1
5,6,1962-10-27,1,CHZ,SFW,2,126,129,52,112.0,0.464,,,,22,34,0.647,,65.0,22.0,,,,29,53,110.0,0.482,,,,23,36,0.639,,58.0,26.0,,,,23,,,,0.304,,0.496,52.8,42.3,,,0.464,,,0.196,0.482,,,0.209,1963,-3,-1,2.0,-0.01799999999999996,,,,-1,-2,0.008000000000000007,,7.0,-4.0,,,,6
6,7,1962-11-02,1,CHZ,BOS,2,97,107,36,,,,,,25,43,0.581,,,,,,,27,43,,,,,,21,30,0.7,,,,,,,31,,,,,,,,,,,,,,,,,,,1963,-10,-7,,,,,,4,13,-0.119,,,,,,,-4
7,8,1962-11-03,2,CHZ,STL,2,109,114,42,97.0,0.433,,,,25,37,0.676,,49.0,15.0,,,,28,44,86.0,0.512,,,,26,35,0.743,,50.0,26.0,,,,31,,,,0.381,,0.481,49.5,35.7,,,0.433,,,0.258,0.512,,,0.302,1963,-5,-2,11.0,-0.07900000000000001,,,,-1,2,-0.06699999999999995,,-1.0,-11.0,,,,-3
8,9,1962-11-09,2,CHZ,SFW,2,126,134,50,106.0,0.472,,,,26,35,0.743,,46.0,28.0,,,,25,49,102.0,0.48,,,,36,45,0.8,,55.0,25.0,,,,24,,,,0.33,,0.519,45.5,56.0,,,0.472,,,0.245,0.48,,,0.353,1963,-8,1,4.0,-0.008000000000000007,,,,-10,-10,-0.05700000000000005,,-9.0,3.0,,,,1
9,10,1962-11-10,2,CHZ,SFW,2,108,113,46,124.0,0.371,,,,16,23,0.696,,63.0,21.0,,,,25,44,99.0,0.444,,,,25,34,0.735,,68.0,23.0,,,,19,,,,0.185,,0.403,48.1,45.7,,,0.371,,,0.129,0.444,,,0.253,1963,-5,2,25.0,-0.07300000000000001,,,,-9,-11,-0.039000000000000035,,-5.0,-2.0,,,,6
10,11,1962-11-11,2,CHZ,LAL,1,109,105,46,96.0,0.479,,,,17,27,0.63,,65.0,,,,,26,43,114.0,0.377,,,,19,31,0.613,,51.0,,,,,21,,,,0.281,,0.505,56.0,,,,0.479,,,0.177,0.377,,,0.167,1963,4,3,-18.0,0.10199999999999998,,,,-2,-4,0.017000000000000015,,14.0,,,,,5
11,12,1962-11-13,2,CHZ,LAL,2,84,107,31,94.0,0.33,,,,22,30,0.733,,57.0,,,,,22,40,84.0,0.476,,,,27,36,0.75,,58.0,,,,,21,,,,0.319,,0.392,49.6,,,,0.33,,,0.234,0.476,,,0.321,1963,-23,-9,10.0,-0.14599999999999996,,,,-5,-6,-0.017000000000000015,,-1.0,,,,,1
