,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1964-10-17,1,BAL,SFW,1,121,101,47,96.0,0.49,,,,27,41,0.659,,67.0,26.0,,,,28.0,38,97.0,0.392,,,,25,44,0.568,,53.0,11.0,,,,27.0,,,,0.427,,0.531,55.8,55.3,,,0.49,,,0.281,0.392,,,0.258,1965,20,9,-1.0,0.09799999999999998,,,,2,-3,0.09100000000000008,,14.0,15.0,,,,1.0
1,2,1964-10-21,1,BAL,LAL,2,105,108,33,,,,,,39,51,0.765,,,,,,,,40,,,,,,28,35,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1965,-3,-7,,,,,,11,16,-0.03500000000000003,,,,,,,
2,3,1964-10-22,2,BAL,PHI,1,138,135,52,100.0,0.52,,,,34,43,0.791,,59.0,30.0,,,,35.0,48,117.0,0.41,,,,39,50,0.78,,67.0,26.0,,,,36.0,,,,0.43,,0.58,46.8,57.7,,,0.52,,,0.34,0.41,,,0.333,1965,3,4,-17.0,0.11000000000000004,,,,-5,-7,0.01100000000000001,,-8.0,4.0,,,,-1.0
3,4,1964-10-24,2,BAL,BOS,2,103,131,34,103.0,0.33,,,,35,42,0.833,,58.0,13.0,,,,26.0,54,128.0,0.422,,,,23,28,0.821,,73.0,23.0,,,,29.0,,,,0.408,,0.424,44.3,38.2,,,0.33,,,0.34,0.422,,,0.18,1965,-28,-20,-25.0,-0.09199999999999997,,,,12,14,0.01200000000000001,,-15.0,-10.0,,,,-3.0
4,5,1964-10-25,1,BAL,BOS,2,100,112,36,,,,,,28,45,0.622,,,,,,,,46,,,,,,20,33,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,1965,-12,-10,,,,,,8,12,0.016000000000000014,,,,,,,
5,6,1964-10-27,2,BAL,SFW,2,90,101,34,99.0,0.343,,,,22,35,0.629,,48.0,21.0,,,,19.0,43,99.0,0.434,,,,15,23,0.652,,73.0,25.0,,,,26.0,,,,0.354,,0.393,39.7,61.8,,,0.343,,,0.222,0.434,,,0.152,1965,-11,-9,0.0,-0.09099999999999997,,,,7,12,-0.02300000000000002,,-25.0,-4.0,,,,-7.0
6,7,1964-10-28,2,BAL,LAL,2,102,112,37,81.0,0.457,,,,28,41,0.683,,46.0,20.0,,,,28.0,46,97.0,0.474,,,,20,26,0.769,,60.0,21.0,,,,29.0,,,,0.506,,0.515,43.4,54.1,,,0.457,,,0.346,0.474,,,0.206,1965,-10,-9,-16.0,-0.01699999999999996,,,,8,15,-0.08599999999999997,,-14.0,-1.0,,,,-1.0
7,8,1964-10-29,2,BAL,LAL,1,98,95,40,84.0,0.476,,,,18,33,0.545,,55.0,25.0,,,,27.0,34,97.0,0.351,,,,27,36,0.75,,65.0,18.0,,,,27.0,,,,0.393,,0.497,45.8,62.5,,,0.476,,,0.214,0.351,,,0.278,1965,3,6,-13.0,0.125,,,,-9,-3,-0.20499999999999996,,-10.0,7.0,,,,0.0
8,9,1964-10-31,2,BAL,SFW,1,102,98,36,104.0,0.346,,,,30,49,0.612,,71.0,20.0,,,,25.0,41,105.0,0.39,,,,16,29,0.552,,63.0,24.0,,,,30.0,,,,0.471,,0.406,53.0,55.6,,,0.346,,,0.288,0.39,,,0.152,1965,4,-5,-1.0,-0.04400000000000004,,,,14,20,0.05999999999999994,,8.0,-4.0,,,,-5.0
9,10,1964-11-04,2,BAL,DET,1,121,108,41,,,,,,39,60,0.65,,,,,,,,42,,,,,,24,30,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1965,13,-1,,,,,,15,30,-0.15000000000000002,,,,,,,
