,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1966-10-15,2,SFW,BOS,2,113,121,42,92,0.457,,,,29,37,0.784,,57,16,,,,24,47,115,0.409,,,,27,35,0.771,,61,25,,,,26,,,,0.402,,0.522,48.3,38.1,,,0.457,,,0.315,0.409,,,0.235,1967,-8,-5,-23,0.04800000000000004,,,,2,2,0.013000000000000012,,-4,-9,,,,-2
1,2,1966-10-18,2,SFW,CHI,2,116,119,44,97,0.454,,,,28,35,0.8,,64,16,,,,22,50,111,0.45,,,,19,24,0.792,,51,26,,,,28,,,,0.361,,0.516,55.7,36.4,,,0.454,,,0.289,0.45,,,0.171,1967,-3,-6,-14,0.0040000000000000036,,,,9,11,0.008000000000000007,,13,-10,,,,-6
2,3,1966-10-20,N,SFW,CHI,1,121,111,42,103,0.408,,,,37,56,0.661,,72,25,,,,30,39,107,0.364,,,,33,42,0.786,,74,20,,,,32,,,,0.544,,0.474,49.3,59.5,,,0.408,,,0.359,0.364,,,0.308,1967,10,3,-4,0.043999999999999984,,,,4,14,-0.125,,-2,5,,,,-2
3,4,1966-10-21,1,SFW,DET,1,136,119,52,111,0.468,,,,32,42,0.762,,76,30,,,,25,48,116,0.414,,,,23,32,0.719,,62,24,,,,31,,,,0.378,,0.525,55.1,57.7,,,0.468,,,0.288,0.414,,,0.198,1967,17,4,-5,0.05400000000000005,,,,9,10,0.04300000000000004,,14,6,,,,-6
4,5,1966-10-23,N,SFW,DET,2,110,119,40,107,0.374,,,,30,41,0.732,,63,16,,,,25,45,99,0.455,,,,29,36,0.806,,54,16,,,,27,,,,0.383,,0.44,53.8,40.0,,,0.374,,,0.28,0.455,,,0.293,1967,-9,-5,8,-0.08100000000000002,,,,1,5,-0.07400000000000007,,9,0,,,,-2
5,6,1966-10-28,2,SFW,BAL,1,105,104,43,109,0.394,,,,19,36,0.528,,70,22,,,,24,42,103,0.408,,,,20,32,0.625,,68,18,,,,27,,,,0.33,,0.421,50.7,51.2,,,0.394,,,0.174,0.408,,,0.194,1967,1,1,6,-0.013999999999999957,,,,-1,4,-0.09699999999999998,,2,4,,,,-3
6,7,1966-10-29,2,SFW,CIN,1,127,115,51,124,0.411,,,,25,31,0.806,,65,16,,,,29,42,95,0.442,,,,31,35,0.886,,61,28,,,,27,,,,0.25,,0.461,51.6,31.4,,,0.411,,,0.202,0.442,,,0.326,1967,12,9,29,-0.031000000000000028,,,,-6,-4,-0.07999999999999996,,4,-12,,,,2
7,8,1966-11-01,2,SFW,CHI,1,137,121,49,107,0.458,,,,39,52,0.75,,65,22,,,,27,45,116,0.388,,,,31,45,0.689,,55,22,,,,34,,,,0.486,,0.527,54.2,44.9,,,0.458,,,0.364,0.388,,,0.267,1967,16,4,-9,0.07,,,,8,7,0.061000000000000054,,10,0,,,,-7
8,9,1966-11-03,2,SFW,NYK,2,108,123,42,93,0.452,,,,24,33,0.727,,50,23,,,,29,45,88,0.511,,,,33,47,0.702,,49,32,,,,30,,,,0.355,,0.502,50.5,54.8,,,0.452,,,0.258,0.511,,,0.375,1967,-15,-3,5,-0.059,,,,-9,-14,0.025000000000000022,,1,-9,,,,-1
9,10,1966-11-04,2,SFW,PHI,2,129,134,48,112,0.429,,,,33,43,0.767,,62,21,,,,33,51,98,0.52,,,,32,48,0.667,,60,35,,,,30,,,,0.384,,0.493,50.8,43.8,,,0.429,,,0.295,0.52,,,0.327,1967,-5,-3,14,-0.09100000000000003,,,,1,-5,0.09999999999999998,,2,-14,,,,3
10,11,1966-11-05,2,SFW,STL,2,120,122,43,97,0.443,,,,34,41,0.829,,54,13,,,,28,46,104,0.442,,,,30,37,0.811,,52,20,,,,33,,,,0.423,,0.522,50.9,30.2,,,0.443,,,0.351,0.442,,,0.288,1967,-2,-3,-7,0.0010000000000000009,,,,4,4,0.017999999999999905,,2,-7,,,,-5
11,12,1966-11-06,1,SFW,BAL,1,120,117,42,103,0.408,,,,36,49,0.735,,74,26,,,,27,44,101,0.436,,,,29,49,0.592,,63,23,,,,35,,,,0.476,,0.482,54.0,61.9,,,0.408,,,0.35,0.436,,,0.287,1967,3,-2,2,-0.028000000000000025,,,,7,0,0.14300000000000002,,11,3,,,,-8
12,13,1966-11-09,1,SFW,BAL,1,128,122,47,106,0.443,,,,34,40,0.85,,74,25,,,,22,51,113,0.451,,,,20,28,0.714,,55,26,,,,29,,,,0.377,,0.518,57.4,53.2,,,0.443,,,0.321,0.451,,,0.177,1967,6,-4,-7,-0.008000000000000007,,,,14,12,0.136,,19,-1,,,,-7
13,14,1966-11-11,1,SFW,LAL,1,132,93,57,119,0.479,,,,18,29,0.621,,80,30,,,,25,37,104,0.356,,,,19,33,0.576,,65,20,,,,29,,,,0.244,,0.501,55.2,52.6,,,0.479,,,0.151,0.356,,,0.183,1967,39,20,15,0.123,,,,-1,-4,0.04500000000000004,,15,10,,,,-4
14,15,1966-11-13,1,SFW,DET,1,135,96,58,125,0.464,,,,19,27,0.704,,84,33,,,,20,38,107,0.355,,,,20,28,0.714,,63,16,,,,24,,,,0.216,,0.493,57.1,56.9,,,0.464,,,0.152,0.355,,,0.187,1967,39,20,18,0.10900000000000004,,,,-1,-1,-0.010000000000000009,,21,17,,,,-4
15,16,1966-11-14,1,SFW,DET,1,115,104,43,101,0.426,,,,29,38,0.763,,77,26,,,,26,40,119,0.336,,,,24,32,0.75,,68,20,,,,27,,,,0.376,,0.488,53.1,60.5,,,0.426,,,0.287,0.336,,,0.202,1967,11,3,-18,0.08999999999999997,,,,5,6,0.013000000000000012,,9,6,,,,-1
16,17,1966-11-19,2,SFW,LAL,1,144,109,56,114,0.491,,,,32,43,0.744,,73,30,,,,27,41,111,0.369,,,,27,38,0.711,,64,19,,,,33,,,,0.377,,0.542,53.3,53.6,,,0.491,,,0.281,0.369,,,0.243,1967,35,15,3,0.122,,,,5,5,0.03300000000000003,,9,11,,,,-6
17,18,1966-11-21,N,SFW,STL,1,134,117,49,89,0.551,,,,36,50,0.72,,57,21,,,,24,44,103,0.427,,,,29,33,0.879,,44,20,,,,34,,,,0.562,,0.604,56.4,42.9,,,0.551,,,0.404,0.427,,,0.282,1967,17,5,-14,0.12400000000000005,,,,7,17,-0.15900000000000003,,13,1,,,,-10
18,19,1966-11-22,N,SFW,BAL,2,117,125,45,103,0.437,,,,27,39,0.692,,58,24,,,,28,53,111,0.477,,,,19,32,0.594,,67,33,,,,29,,,,0.379,,0.487,46.4,53.3,,,0.437,,,0.262,0.477,,,0.171,1967,-8,-8,-8,-0.03999999999999998,,,,8,7,0.09799999999999998,,-9,-9,,,,-1
