,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1967-10-14,1,SDR,STL,2,98,99,43,105.0,0.41,,,,12,25,0.48,,62.0,17.0,,,,23,39,107.0,0.364,,,,21,33,0.636,,70.0,18.0,,,,23,,,,0.238,,0.422,47.0,39.5,,,0.41,,,0.114,0.364,,,0.196,1968,-1,4,-2.0,0.045999999999999985,,,,-9,-8,-0.15600000000000003,,-8.0,-1.0,,,,0
1,2,1967-10-17,1,SDR,STL,2,105,123,43,113.0,0.381,,,,19,33,0.576,,,,,,,26,43,110.0,0.391,,,,37,41,0.902,,,,,,,24,,,,0.292,,0.412,,,,,0.381,,,0.168,0.391,,,0.336,1968,-18,0,3.0,-0.010000000000000009,,,,-18,-8,-0.32600000000000007,,,,,,,2
2,3,1967-10-20,2,SDR,SEA,1,121,114,45,104.0,0.433,,,,31,43,0.721,,60.0,23.0,,,,34,40,97.0,0.412,,,,34,44,0.773,,60.0,33.0,,,,35,,,,0.413,,0.492,50.0,51.1,,,0.433,,,0.298,0.412,,,0.351,1968,7,5,7.0,0.02100000000000002,,,,-3,-1,-0.052000000000000046,,0.0,-10.0,,,,-1
3,4,1967-10-21,1,SDR,SEA,2,110,117,43,120.0,0.358,,,,24,33,0.727,,,23.0,,,,19,47,108.0,0.435,,,,23,30,0.767,,70.0,13.0,,,,27,,,,0.275,,0.409,,53.5,,,0.358,,,0.2,0.435,,,0.213,1968,-7,-4,12.0,-0.07700000000000001,,,,1,3,-0.040000000000000036,,,10.0,,,,-8
4,5,1967-10-22,2,SDR,SFW,2,126,137,44,107.0,0.411,,,,38,48,0.792,,47.0,25.0,,,,29,53,108.0,0.491,,,,31,45,0.689,,75.0,28.0,,,,32,,,,0.449,,0.492,38.5,56.8,,,0.411,,,0.355,0.491,,,0.287,1968,-11,-9,-1.0,-0.08000000000000002,,,,7,3,0.10300000000000009,,-28.0,-3.0,,,,-3
5,6,1967-10-25,1,SDR,BAL,2,109,125,44,109.0,0.404,,,,21,33,0.636,,59.0,19.0,,,,20,51,101.0,0.505,,,,23,31,0.742,,52.0,21.0,,,,24,,,,0.303,,0.441,53.2,43.2,,,0.404,,,0.193,0.505,,,0.228,1968,-16,-7,8.0,-0.10099999999999998,,,,-2,2,-0.10599999999999998,,7.0,-2.0,,,,-4
6,7,1967-10-27,1,SDR,CIN,2,113,116,45,104.0,0.433,,,,23,34,0.676,,50.0,,,,,27,47,83.0,0.566,,,,22,40,0.55,,54.0,,,,,30,,,,0.327,,0.475,48.1,,,,0.433,,,0.221,0.566,,,0.265,1968,-3,-2,21.0,-0.13299999999999995,,,,1,-6,0.126,,-4.0,,,,,-3
7,8,1967-10-29,1,SDR,CIN,2,99,108,37,95.0,0.389,,,,25,33,0.758,,54.0,,,,,23,42,86.0,0.488,,,,24,30,0.8,,42.0,,,,,24,,,,0.347,,0.452,56.3,,,,0.389,,,0.263,0.488,,,0.279,1968,-9,-5,9.0,-0.09899999999999998,,,,1,3,-0.04200000000000004,,12.0,,,,,-1
8,9,1967-11-01,N,SDR,SEA,1,139,125,55,110.0,0.5,,,,29,43,0.674,,61.0,23.0,,,,29,48,113.0,0.425,,,,29,41,0.707,,62.0,18.0,,,,31,,,,0.391,,0.539,49.6,41.8,,,0.5,,,0.264,0.425,,,0.257,1968,14,7,-3.0,0.07500000000000001,,,,0,2,-0.03299999999999992,,-1.0,5.0,,,,-2
9,10,1967-11-04,1,SDR,NYK,2,121,125,50,102.0,0.49,,,,21,31,0.677,,45.0,25.0,,,,23,50,100.0,0.5,,,,25,30,0.833,,52.0,22.0,,,,26,,,,0.304,,0.523,46.4,50.0,,,0.49,,,0.206,0.5,,,0.25,1968,-4,0,2.0,-0.010000000000000009,,,,-4,1,-0.15599999999999992,,-7.0,3.0,,,,-3
