,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1967-10-14,2,STL,SDR,1,99,98,39,107,0.364,,,,21,33,0.636,,70.0,18.0,,,,23,43,105,0.41,,,,12,25,0.48,,62.0,17.0,,,,23,,,,0.308,,0.407,53.0,46.2,,,0.364,,,0.196,0.41,,,0.114,1968,1,-4,2,-0.045999999999999985,,,,9,8,0.15600000000000003,,8.0,1.0,,,,0
1,2,1967-10-15,2,STL,SFW,1,107,102,42,110,0.382,,,,23,33,0.697,,64.0,24.0,,,,23,37,99,0.374,,,,28,36,0.778,,65.0,20.0,,,,27,,,,0.3,,0.43,49.6,57.1,,,0.382,,,0.209,0.374,,,0.283,1968,5,5,11,0.008000000000000007,,,,-5,-3,-0.08100000000000007,,-1.0,4.0,,,,-4
2,3,1967-10-17,2,STL,SDR,1,123,105,43,110,0.391,,,,37,41,0.902,,,,,,,24,43,113,0.381,,,,19,33,0.576,,,,,,,26,,,,0.373,,0.48,,,,,0.391,,,0.336,0.381,,,0.168,1968,18,0,-3,0.010000000000000009,,,,18,8,0.32600000000000007,,,,,,,-2
3,4,1967-10-19,1,STL,LAL,1,100,95,37,82,0.451,,,,26,41,0.634,,61.0,24.0,,,,25,40,103,0.388,,,,15,25,0.6,,54.0,17.0,,,,25,,,,0.5,,0.5,53.0,64.9,,,0.451,,,0.317,0.388,,,0.146,1968,5,-3,-21,0.063,,,,11,16,0.03400000000000003,,7.0,7.0,,,,0
4,5,1967-10-20,2,STL,CHI,1,126,99,46,96,0.479,,,,34,39,0.872,,57.0,17.0,,,,21,40,104,0.385,,,,19,31,0.613,,64.0,17.0,,,,29,,,,0.406,,0.557,47.1,37.0,,,0.479,,,0.354,0.385,,,0.183,1968,27,6,-8,0.09399999999999997,,,,15,8,0.259,,-7.0,0.0,,,,-8
5,6,1967-10-21,1,STL,SFW,1,115,110,41,91,0.451,,,,33,45,0.733,,65.0,29.0,,,,26,41,108,0.38,,,,28,35,0.8,,63.0,8.0,,,,32,,,,0.495,,0.519,50.8,70.7,,,0.451,,,0.363,0.38,,,0.259,1968,5,0,-17,0.07100000000000001,,,,5,10,-0.06700000000000006,,2.0,21.0,,,,-6
6,7,1967-10-24,2,STL,NYK,1,135,130,50,123,0.407,,,,35,46,0.761,,76.0,34.0,,,,28,53,116,0.457,,,,24,41,0.585,,67.0,26.0,,,,34,,,,0.374,,0.471,53.1,68.0,,,0.407,,,0.285,0.457,,,0.207,1968,5,-3,7,-0.050000000000000044,,,,11,5,0.17600000000000005,,9.0,8.0,,,,-6
7,8,1967-10-25,2,STL,BOS,2,104,118,38,103,0.369,,,,28,38,0.737,,57.0,15.0,,,,23,46,112,0.411,,,,26,31,0.839,,71.0,14.0,,,,25,,,,0.369,,0.434,44.5,39.5,,,0.369,,,0.272,0.411,,,0.232,1968,-14,-8,-9,-0.04199999999999998,,,,2,7,-0.10199999999999998,,-14.0,1.0,,,,-2
8,9,1967-10-28,1,STL,SEA,1,116,109,44,93,0.473,,,,28,40,0.7,,60.0,26.0,,,,17,47,114,0.412,,,,15,19,0.789,,61.0,14.0,,,,25,,,,0.43,,0.524,49.6,59.1,,,0.473,,,0.301,0.412,,,0.132,1968,7,-3,-21,0.061,,,,13,21,-0.08900000000000008,,-1.0,12.0,,,,-8
9,10,1967-10-31,1,STL,BAL,1,114,103,36,87,0.414,,,,42,59,0.712,,59.0,27.0,,,,23,40,97,0.412,,,,23,34,0.676,,45.0,16.0,,,,35,,,,0.678,,0.505,56.7,75.0,,,0.414,,,0.483,0.412,,,0.237,1968,11,-4,-10,0.0020000000000000018,,,,19,25,0.03599999999999992,,14.0,11.0,,,,-12
10,11,1967-11-01,2,STL,CIN,1,101,96,43,95,0.453,,,,15,26,0.577,,65.0,19.0,,,,25,35,90,0.389,,,,26,34,0.765,,49.0,23.0,,,,21,,,,0.274,,0.474,57.0,44.2,,,0.453,,,0.158,0.389,,,0.289,1968,5,8,5,0.064,,,,-11,-8,-0.18800000000000006,,16.0,-4.0,,,,4
