,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1971-10-12,1,CIN,ATL,1,127,113,52,102.0,0.51,,,,23,31,0.742,,39,31.0,,,,36.0,36,87.0,0.414,,,,41,49,0.837,,56.0,23.0,,,,29.0,,,,0.304,,0.549,41.1,59.6,,,0.51,,,0.225,0.414,,,0.471,1972,14,16,15.0,0.09600000000000003,,,,-18,-18,-0.09499999999999997,,-17.0,8.0,,,,7.0
1,2,1971-10-19,1,CIN,SEA,2,100,101,44,92.0,0.478,,,,12,20,0.6,,49,20.0,,,,30.0,40,82.0,0.488,,,,21,34,0.618,,48.0,21.0,,,,16.0,,,,0.217,,0.496,50.5,45.5,,,0.478,,,0.13,0.488,,,0.256,1972,-1,4,10.0,-0.010000000000000009,,,,-9,-14,-0.018000000000000016,,1.0,-1.0,,,,14.0
2,3,1971-10-23,2,CIN,POR,2,100,104,40,100.0,0.4,,,,20,22,0.909,,50,30.0,,,33.0,31.0,37,89.0,0.416,,,,30,44,0.682,,57.0,29.0,,,34.0,21.0,,,,0.22,,0.456,46.7,75.0,,,0.4,23.1,,0.2,0.416,23.9,,0.337,1972,-4,3,11.0,-0.01599999999999996,,,,-10,-22,0.22699999999999998,,-7.0,1.0,,,-1.0,10.0
3,4,1971-10-24,2,CIN,SEA,2,101,119,39,96.0,0.406,,,,23,34,0.676,,49,22.0,,,30.0,33.0,45,94.0,0.479,,,,29,43,0.674,,56.0,24.0,,,28.0,27.0,,,,0.354,,0.455,46.7,56.4,,,0.406,21.3,,0.24,0.479,19.9,,0.309,1972,-18,-6,2.0,-0.07299999999999995,,,,-6,-9,0.0020000000000000018,,-7.0,-2.0,,,2.0,6.0
4,5,1971-10-26,2,CIN,PHO,2,99,126,36,98.0,0.367,,,,27,38,0.711,,41,21.0,,,20.0,33.0,46,79.0,0.582,,,,34,54,0.63,,54.0,27.0,,,30.0,29.0,,,,0.388,,0.431,43.2,58.3,,,0.367,14.8,,0.276,0.582,22.6,,0.43,1972,-27,-10,19.0,-0.21499999999999997,,,,-7,-16,0.08099999999999996,,-13.0,-6.0,,,-10.0,4.0
5,6,1971-10-29,2,CIN,LAL,2,107,119,45,109.0,0.413,,,,17,27,0.63,,51,26.0,,,,35.0,42,95.0,0.442,,,,35,61,0.574,,71.0,26.0,,,,20.0,,,,0.248,,0.443,41.8,57.8,,,0.413,,,0.156,0.442,,,0.368,1972,-12,3,14.0,-0.029000000000000026,,,,-18,-34,0.05600000000000005,,-20.0,0.0,,,,15.0
6,7,1971-10-30,2,CIN,GSW,2,112,116,45,101.0,0.446,,,,22,35,0.629,,54,22.0,,,21.0,29.0,41,87.0,0.471,,,,34,45,0.756,,59.0,22.0,,,24.0,28.0,,,,0.347,,0.481,47.8,48.9,,,0.446,15.3,,0.218,0.471,18.3,,0.391,1972,-4,4,14.0,-0.024999999999999967,,,,-12,-10,-0.127,,-5.0,0.0,,,-3.0,1.0
7,8,1971-11-03,1,CIN,PHI,1,124,100,47,102.0,0.461,,,,30,48,0.625,,60,30.0,,,,25.0,36,90.0,0.4,,,,28,38,0.737,,39.0,20.0,,,,31.0,,,,0.471,,0.504,60.6,63.8,,,0.461,,,0.294,0.4,,,0.311,1972,24,11,12.0,0.061,,,,2,10,-0.11199999999999999,,21.0,10.0,,,,-6.0
8,9,1971-11-06,1,CIN,PHO,1,110,95,46,93.0,0.495,,,,18,29,0.621,,55,37.0,,,23.0,28.0,33,97.0,0.34,,,,29,39,0.744,,53.0,20.0,,,13.0,25.0,,,,0.312,,0.52,50.9,80.4,,,0.495,17.9,,0.194,0.34,10.2,,0.299,1972,15,13,-4.0,0.15499999999999997,,,,-11,-10,-0.123,,2.0,17.0,,,10.0,3.0
9,10,1971-11-08,N,CIN,BOS,2,109,120,44,101.0,0.436,,,,21,29,0.724,,48,21.0,,,,19.0,48,96.0,0.5,,,,24,28,0.857,,58.0,23.0,,,,25.0,,,,0.287,,0.479,45.3,47.7,,,0.436,,,0.208,0.5,,,0.25,1972,-11,-4,5.0,-0.064,,,,-3,1,-0.133,,-10.0,-2.0,,,,-6.0
