,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1971-10-12,2,PHI,CHI,1,114,100,45,74.0,0.608,,,,24,31,0.774,,,,,,,31,37,85.0,0.435,,,,26,40,0.65,,,,,,,27,,,,0.419,,0.65,,,,,0.608,,,0.324,0.435,,,0.306,1972,14,8,-11.0,0.173,,,,-2,-9,0.124,,,,,,,4
1,2,1971-10-14,2,PHI,HOU,1,105,94,40,96.0,0.417,,,,25,34,0.735,,43.0,,,,,28,37,86.0,0.43,,,,20,28,0.714,,55.0,,,,,24,,,,0.354,,0.473,43.9,,,,0.417,,,0.26,0.43,,,0.233,1972,11,3,10.0,-0.013000000000000012,,,,5,6,0.02100000000000002,,-12.0,,,,,4
2,3,1971-10-16,2,PHI,ATL,1,104,102,43,75.0,0.573,,,,18,26,0.692,,35.0,10.0,,,21.0,24,43,79.0,0.544,,,,16,26,0.615,,43.0,21.0,,,30.0,26,,,,0.347,,0.602,44.9,23.3,,,0.573,19.5,,0.24,0.544,24.9,,0.203,1972,2,0,-4.0,0.028999999999999915,,,,2,0,0.07699999999999996,,-8.0,-11.0,,,-9.0,-2
3,4,1971-10-20,1,PHI,SEA,1,100,93,38,105.0,0.362,,,,24,26,0.923,,54.0,20.0,,,,30,30,79.0,0.38,,,,33,46,0.717,,60.0,17.0,,,,23,,,,0.248,,0.429,47.4,52.6,,,0.362,,,0.229,0.38,,,0.418,1972,7,8,26.0,-0.018000000000000016,,,,-9,-20,0.20600000000000007,,-6.0,3.0,,,,7
4,5,1971-10-23,1,PHI,MIL,2,88,110,34,98.0,0.347,,,,20,28,0.714,,48.0,20.0,,,,27,42,92.0,0.457,,,,26,38,0.684,,69.0,25.0,,,,25,,,,0.286,,0.399,41.0,58.8,,,0.347,,,0.204,0.457,,,0.283,1972,-22,-8,6.0,-0.11000000000000004,,,,-6,-10,0.029999999999999916,,-21.0,-5.0,,,,2
5,6,1971-10-24,2,PHI,CLE,1,111,93,47,90.0,0.522,,,,17,25,0.68,,50.0,40.0,,,,25,38,92.0,0.413,,,,17,27,0.63,,36.0,29.0,,,,21,,,,0.278,,0.55,58.1,85.1,,,0.522,,,0.189,0.413,,,0.185,1972,18,9,-2.0,0.10900000000000004,,,,0,-2,0.050000000000000044,,14.0,11.0,,,,4
6,7,1971-10-27,1,PHI,CLE,1,120,106,51,98.0,0.52,,,,18,27,0.667,,50.0,24.0,,,,31,38,85.0,0.447,,,,30,40,0.75,,44.0,17.0,,,,25,,,,0.276,,0.546,53.2,47.1,,,0.52,,,0.184,0.447,,,0.353,1972,14,13,13.0,0.07300000000000001,,,,-12,-13,-0.08299999999999996,,6.0,7.0,,,,6
7,8,1971-10-29,1,PHI,PHO,2,135,137,51,137.0,0.372,,,,33,39,0.846,,62.0,20.0,,,13.0,45,40,97.0,0.412,,,,57,67,0.851,,75.0,19.0,,,36.0,30,,,,0.285,,0.438,45.3,39.2,,,0.372,7.8,,0.241,0.412,22.2,,0.588,1972,-2,11,40.0,-0.03999999999999998,,,,-24,-28,-0.0050000000000000044,,-13.0,1.0,,,-23.0,15
8,9,1971-10-30,2,PHI,NYK,1,108,101,34,80.0,0.425,,,,40,49,0.816,,44.0,15.0,,,,26,37,88.0,0.42,,,,27,34,0.794,,47.0,24.0,,,,32,,,,0.613,,0.532,48.4,44.1,,,0.425,,,0.5,0.42,,,0.307,1972,7,-3,-8.0,0.0050000000000000044,,,,13,15,0.02199999999999991,,-3.0,-9.0,,,,-6
9,10,1971-11-03,2,PHI,CIN,2,100,124,36,90.0,0.4,,,,28,38,0.737,,39.0,20.0,,,,31,47,102.0,0.461,,,,30,48,0.625,,60.0,30.0,,,,25,,,,0.422,,0.469,39.4,55.6,,,0.4,,,0.311,0.461,,,0.294,1972,-24,-11,-12.0,-0.061,,,,-2,-10,0.11199999999999999,,-21.0,-10.0,,,,6
