,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1972-10-11,1,KCO,LAL,2,94,129,39,92,0.424,,,,16,23,0.696,,35,12.0,,,,37,49,82,0.598,,,,31,48,0.646,,51,22.0,,,,29,,,,0.25,,0.46,40.7,30.8,,,0.424,,,0.174,0.598,,,0.378,1973,-35,-10,10,-0.174,,,,-15,-25,0.04999999999999993,,-16,-10.0,,,,8
1,2,1972-10-14,1,KCO,DET,1,113,101,46,96,0.479,,,,21,27,0.778,,50,29.0,,,,26,37,92,0.402,,,,27,33,0.818,,49,14.0,,,,24,,,,0.281,,0.524,50.5,63.0,,,0.479,,,0.219,0.402,,,0.293,1973,12,9,4,0.07699999999999996,,,,-6,-6,-0.039999999999999925,,1,15.0,,,,2
2,3,1972-10-19,1,KCO,BAL,2,83,94,35,98,0.357,,,,13,16,0.813,,53,24.0,,,,22,39,83,0.47,,,,16,19,0.842,,55,18.0,,,,18,,,,0.163,,0.395,49.1,68.6,,,0.357,,,0.133,0.47,,,0.193,1973,-11,-4,15,-0.11299999999999999,,,,-3,-3,-0.029000000000000026,,-2,6.0,,,,4
3,4,1972-10-21,1,KCO,ATL,1,108,101,41,86,0.477,,,,26,33,0.788,,34,23.0,,,,22,43,91,0.473,,,,15,19,0.789,,48,18.0,,,,25,,,,0.384,,0.537,41.5,56.1,,,0.477,,,0.302,0.473,,,0.165,1973,7,-2,-5,0.0040000000000000036,,,,11,14,-0.0010000000000000009,,-14,5.0,,,,-3
4,5,1972-10-24,1,KCO,LAL,2,94,114,41,110,0.373,,,,12,17,0.706,,46,19.0,,,,26,46,87,0.529,,,,22,26,0.846,,56,22.0,,,,23,,,,0.155,,0.4,45.1,46.3,,,0.373,,,0.109,0.529,,,0.253,1973,-20,-5,23,-0.15600000000000003,,,,-10,-9,-0.14,,-10,-3.0,,,,3
5,6,1972-10-26,1,KCO,MIL,2,107,114,44,96,0.458,,,,19,22,0.864,,47,30.0,,,,22,48,96,0.5,,,,18,24,0.75,,44,23.0,,,,20,,,,0.229,,0.506,51.6,68.2,,,0.458,,,0.198,0.5,,,0.188,1973,-7,-4,0,-0.04199999999999998,,,,1,-2,0.11399999999999999,,3,7.0,,,,2
6,7,1972-10-28,2,KCO,BUF,1,113,102,43,85,0.506,,,,27,33,0.818,,37,,,,,27,45,110,0.409,,,,12,22,0.545,,63,,,,,27,,,,0.388,,0.568,37.0,,,,0.506,,,0.318,0.409,,,0.109,1973,11,-2,-25,0.09700000000000003,,,,15,11,0.2729999999999999,,-26,,,,,0
7,8,1972-10-29,2,KCO,CLE,2,97,115,38,94,0.404,,,,21,24,0.875,,44,22.0,,,28.0,17,52,95,0.547,,,,11,14,0.786,,47,41.0,,,28.0,24,,,,0.255,,0.464,48.4,57.9,,,0.404,21.1,,0.223,0.547,21.7,,0.116,1973,-18,-14,-1,-0.14300000000000002,,,,10,10,0.08899999999999997,,-3,-19.0,,,0.0,-7
8,9,1972-10-31,2,KCO,CHI,2,95,104,36,70,0.514,,,,23,28,0.821,,40,22.0,,,,30,39,95,0.411,,,,26,32,0.813,,42,23.0,,,,21,,,,0.4,,0.577,48.8,61.1,,,0.514,,,0.329,0.411,,,0.274,1973,-9,-3,-25,0.10300000000000004,,,,-3,-4,0.008000000000000007,,-2,-1.0,,,,9
9,10,1972-11-01,1,KCO,NYK,2,85,122,39,87,0.448,,,,7,10,0.7,,43,21.0,,,,22,52,87,0.598,,,,18,28,0.643,,40,23.0,,,,15,,,,0.115,,0.465,51.8,53.8,,,0.448,,,0.08,0.598,,,0.207,1973,-37,-13,0,-0.14999999999999997,,,,-11,-18,0.05699999999999994,,3,-2.0,,,,7
10,11,1972-11-03,2,KCO,PHI,1,114,101,46,93,0.495,,,,22,33,0.667,,48,24.0,,,,22,43,99,0.434,,,,15,24,0.625,,61,15.0,,,,25,,,,0.355,,0.53,44.0,52.2,,,0.495,,,0.237,0.434,,,0.152,1973,13,3,-6,0.061,,,,7,9,0.04200000000000004,,-13,9.0,,,,-3
11,12,1972-11-04,2,KCO,BOS,1,118,107,52,91,0.571,,,,14,15,0.933,,40,33.0,,,,23,44,93,0.473,,,,19,24,0.792,,39,28.0,,,,18,,,,0.165,,0.605,50.6,63.5,,,0.571,,,0.154,0.473,,,0.204,1973,11,8,-2,0.09799999999999998,,,,-5,-9,0.14100000000000001,,1,5.0,,,,5
12,13,1972-11-08,1,KCO,PHI,1,125,107,52,108,0.481,,,,21,27,0.778,,55,33.0,,,,27,40,89,0.449,,,,27,33,0.818,,45,12.0,,,,21,,,,0.25,,0.521,55.0,63.5,,,0.481,,,0.194,0.449,,,0.303,1973,18,12,19,0.03199999999999997,,,,-6,-6,-0.039999999999999925,,10,21.0,,,,6
13,14,1972-11-10,2,KCO,SEA,1,111,106,45,83,0.542,,,,21,27,0.778,,34,31.0,,,,25,42,81,0.519,,,,22,25,0.88,,39,27.0,,,,29,,,,0.325,,0.585,46.6,68.9,,,0.542,,,0.253,0.519,,,0.272,1973,5,3,2,0.02300000000000002,,,,-1,2,-0.10199999999999998,,-5,4.0,,,,-4
14,15,1972-11-12,2,KCO,POR,2,100,102,45,92,0.489,,,,10,14,0.714,,46,30.0,,,,26,40,77,0.519,,,,22,33,0.667,,41,30.0,,,,17,,,,0.152,,0.509,52.9,66.7,,,0.489,,,0.109,0.519,,,0.286,1973,-2,5,15,-0.030000000000000027,,,,-12,-19,0.04699999999999993,,5,0.0,,,,9
15,16,1972-11-14,1,KCO,BUF,1,106,100,42,91,0.462,,,,22,26,0.846,,35,24.0,,,,29,39,72,0.542,,,,22,27,0.815,,36,18.0,,,,29,,,,0.286,,0.517,49.3,57.1,,,0.462,,,0.242,0.542,,,0.306,1973,6,3,19,-0.08000000000000002,,,,0,-1,0.031000000000000028,,-1,6.0,,,,0
16,17,1972-11-15,1,KCO,SEA,1,106,97,43,94,0.457,,,,20,25,0.8,,48,20.0,,,13.0,25,40,86,0.465,,,,17,24,0.708,,48,11.0,,,23.0,17,,,,0.266,,0.505,50.0,46.5,,,0.457,11.0,,0.213,0.465,19.2,,0.198,1973,9,3,8,-0.008000000000000007,,,,3,1,0.09200000000000008,,0,9.0,,,-10.0,8
17,18,1972-11-17,1,KCO,CLE,1,115,96,47,87,0.54,,,,21,23,0.913,,51,28.0,,,26.0,25,38,95,0.4,,,,20,24,0.833,,43,19.0,,,26.0,27,,,,0.264,,0.592,54.3,59.6,,,0.54,21.1,,0.241,0.4,19.8,,0.211,1973,19,9,-8,0.14,,,,1,-1,0.08000000000000007,,8,9.0,,,0.0,-2
18,19,1972-11-18,1,KCO,HOU,1,127,117,50,88,0.568,,,,27,30,0.9,,40,24.0,,,,26,45,91,0.495,,,,27,31,0.871,,35,17.0,,,,24,,,,0.341,,0.627,53.3,48.0,,,0.568,,,0.307,0.495,,,0.297,1973,10,5,-3,0.07299999999999995,,,,0,-1,0.029000000000000026,,5,7.0,,,,2
19,20,1972-11-21,1,KCO,PHO,1,101,96,40,98,0.408,,,,21,28,0.75,,55,26.0,,,21.0,27,35,79,0.443,,,,26,33,0.788,,48,15.0,,,27.0,24,,,,0.286,,0.458,53.4,65.0,,,0.408,16.0,,0.214,0.443,22.4,,0.329,1973,5,5,19,-0.03500000000000003,,,,-5,-5,-0.038000000000000034,,7,11.0,,,-6.0,3
52,21,1972-11-24,2,KCO,MIL,2,106,115,45,81,0.556,,,,16,19,0.842,,34,29.0,,,,29,47,95,0.495,,,,21,26,0.808,,41,28.0,,,,17,,,,0.235,,0.593,45.3,64.4,,,0.556,,,0.198,0.495,,,0.221,1973,-9,-2,-14,0.061000000000000054,,,,-5,-7,0.03399999999999992,,-7,1.0,,,,12
53,22,1972-11-25,1,KCO,GSW,2,114,133,45,87,0.517,,,,24,29,0.828,,37,33.0,,,23.0,28,53,93,0.57,,,,27,34,0.794,,41,18.0,,,23.0,26,,,,0.333,,0.571,47.4,73.3,,,0.517,18.7,,0.276,0.57,17.6,,0.29,1973,-19,-8,-6,-0.052999999999999936,,,,-3,-5,0.03399999999999992,,-4,15.0,,,0.0,2
54,23,1972-11-28,2,KCO,CHI,1,92,91,41,93,0.441,,,,10,13,0.769,,44,27.0,,,,23,33,83,0.398,,,,25,28,0.893,,57,20.0,,,,14,,,,0.14,,0.466,43.6,65.9,,,0.441,,,0.108,0.398,,,0.301,1973,1,8,10,0.04299999999999998,,,,-15,-15,-0.124,,-13,7.0,,,,9
55,24,1972-11-29,1,KCO,POR,1,110,102,43,98,0.439,,,,24,25,0.96,,53,20.0,,,,27,42,89,0.472,,,,18,24,0.75,,41,12.0,,,,24,,,,0.255,,0.505,56.4,46.5,,,0.439,,,0.245,0.472,,,0.202,1973,8,1,9,-0.032999999999999974,,,,6,1,0.20999999999999996,,12,8.0,,,,3
56,25,1972-12-01,1,KCO,CHI,2,97,106,33,90,0.367,,,,31,38,0.816,,47,14.0,,,,35,40,92,0.435,,,,26,33,0.788,,56,16.0,,,,32,,,,0.422,,0.454,45.6,42.4,,,0.367,,,0.344,0.435,,,0.283,1973,-9,-7,-2,-0.068,,,,5,5,0.027999999999999914,,-9,-2.0,,,,3
57,26,1972-12-02,2,KCO,HOU,1,114,109,47,101,0.465,,,,20,23,0.87,,51,25.0,,,,20,47,102,0.461,,,,15,19,0.789,,55,24.0,,,,22,,,,0.228,,0.513,48.1,53.2,,,0.465,,,0.198,0.461,,,0.147,1973,5,0,-1,0.0040000000000000036,,,,5,4,0.08099999999999996,,-4,1.0,,,,-2
58,27,1972-12-05,2,KCO,NYK,2,103,125,42,88,0.477,,,,19,23,0.826,,40,24.0,,,,29,48,93,0.516,,,,29,33,0.879,,46,31.0,,,,20,,,,0.261,,0.525,46.5,57.1,,,0.477,,,0.216,0.516,,,0.312,1973,-22,-6,-5,-0.039000000000000035,,,,-10,-10,-0.05300000000000005,,-6,-7.0,,,,9
59,28,1972-12-06,2,KCO,PHI,2,117,122,46,110,0.418,,,,25,29,0.862,,55,27.0,,,,28,50,109,0.459,,,,22,28,0.786,,67,28.0,,,,22,,,,0.264,,0.477,45.1,58.7,,,0.418,,,0.227,0.459,,,0.202,1973,-5,-4,1,-0.041000000000000036,,,,3,1,0.07599999999999996,,-12,-1.0,,,,6
60,29,1972-12-08,2,KCO,DET,2,100,113,45,92,0.489,,,,10,11,0.909,,38,27.0,,,,23,47,90,0.522,,,,19,26,0.731,,43,27.0,,,,21,,,,0.12,,0.516,46.9,60.0,,,0.489,,,0.109,0.522,,,0.211,1973,-13,-2,2,-0.03300000000000003,,,,-9,-15,0.17800000000000005,,-5,0.0,,,,2
