,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1973-10-09,2,CAP,ATL,2,114,128,45,111,0.405,,,,24,28,0.857,,47,12,,,,22,50,94,0.532,,,,28,33,0.848,,58,22,,,,23,,,,0.252,,0.462,44.8,26.7,,,0.405,,,0.216,0.532,,,0.298,1974,-14,-5,17,-0.127,,,,-4,-5,0.009000000000000008,,-11,-10,,,,-1
1,2,1973-10-12,2,CAP,SEA,2,102,103,42,100,0.42,,,,18,25,0.72,,39,22,8.0,3.0,17.0,15,44,90,0.489,,,,15,18,0.833,,49,26,9.0,,20.0,24,,,,0.25,,0.459,44.3,52.4,,3.3,0.42,13.3,,0.18,0.489,17.0,,0.167,1974,-1,-2,10,-0.069,,,,3,7,-0.11299999999999999,,-10,-4,-1.0,,-3.0,-9
2,3,1973-10-13,2,CAP,POR,2,87,132,34,95,0.358,,,,19,26,0.731,17.0,41,21,11.0,8.0,20.0,22,57,109,0.523,,,,18,24,0.75,26.0,61,35,16.0,10.0,15.0,23,83.4,126.5,104.4,0.274,,0.409,40.2,61.8,10.5,7.3,0.358,15.8,32.7,0.2,0.523,11.1,48.0,0.165,1974,-45,-23,-14,-0.16500000000000004,,,,1,2,-0.019000000000000017,-9.0,-20,-14,-5.0,-2.0,5.0,-1
3,4,1973-10-19,2,CAP,CHI,2,103,117,37,90,0.411,,,,29,33,0.879,,56,16,,,27.0,32,46,97,0.474,,,,25,36,0.694,,45,18,,,22.0,34,,,,0.367,,0.493,55.4,43.2,,,0.411,20.5,,0.322,0.474,16.3,,0.258,1974,-14,-9,-7,-0.063,,,,4,-3,0.18500000000000005,,11,-2,,,5.0,-2
4,5,1973-10-20,1,CAP,BOS,1,96,87,40,97,0.412,,,,16,20,0.8,,51,19,,,,21,35,121,0.289,,,,17,25,0.68,,84,19,,,,18,,,,0.206,,0.454,37.8,47.5,,,0.412,,,0.165,0.289,,,0.14,1974,9,5,-24,0.123,,,,-1,-5,0.12,,-33,0,,,,3
5,6,1973-10-21,1,CAP,CHI,2,99,107,36,94,0.383,,,,27,33,0.818,21.0,58,19,3.0,,16.0,34,37,90,0.411,,,,33,42,0.786,12.0,45,26,6.0,,14.0,26,96.1,103.9,103.0,0.351,,0.456,56.3,52.8,2.9,,0.383,12.8,38.9,0.287,0.411,11.4,75.5,0.367,1974,-8,-1,4,-0.02799999999999997,,,,-6,-9,0.03199999999999992,9.0,13,-7,-3.0,,2.0,8
6,7,1973-10-23,2,CAP,NYK,1,101,84,39,101,0.386,,,,23,33,0.697,,62,15,,,,19,39,98,0.398,,,,6,14,0.429,,42,26,,,,30,,,,0.327,,0.437,59.6,38.5,,,0.386,,,0.228,0.398,,,0.061,1974,17,0,3,-0.01200000000000001,,,,17,19,0.26799999999999996,,20,-11,,,,-11
7,8,1973-10-28,1,CAP,PHI,1,119,99,51,111,0.459,,,,17,22,0.773,,53,27,,,,14,43,90,0.478,,,,13,17,0.765,,48,18,,,,19,,,,0.198,,0.493,52.5,52.9,,,0.459,,,0.153,0.478,,,0.144,1974,20,8,21,-0.01899999999999996,,,,4,5,0.008000000000000007,,5,9,,,,-5
8,9,1973-11-03,2,CAP,PHI,1,112,84,45,114,0.395,,,,22,27,0.815,,66,17,,,,18,34,82,0.415,,,,16,21,0.762,,44,20,,,,25,,,,0.237,,0.445,60.0,37.8,,,0.395,,,0.193,0.415,,,0.195,1974,28,11,32,-0.019999999999999962,,,,6,6,0.052999999999999936,,22,-3,,,,-7
9,10,1973-11-04,1,CAP,PHO,1,102,99,43,100,0.43,,,,16,23,0.696,16.0,54,17,10.0,2.0,18.0,26,40,99,0.404,,,,19,23,0.826,10.0,56,22,6.0,1.0,18.0,24,90.9,88.2,112.3,0.23,,0.463,49.1,39.5,8.9,2.0,0.43,14.0,25.8,0.16,0.404,14.2,79.2,0.192,1974,3,3,1,0.025999999999999968,,,,-3,0,-0.13,6.0,-2,-5,4.0,1.0,0.0,2
10,11,1973-11-07,2,CAP,HOU,1,111,97,45,88,0.511,,,,21,31,0.677,,54,29,,,,23,43,103,0.417,,,,11,17,0.647,,49,27,,,,26,,,,0.352,,0.546,52.4,64.4,,,0.511,,,0.239,0.417,,,0.107,1974,14,2,-15,0.09400000000000003,,,,10,14,0.030000000000000027,,5,2,,,,-3
11,12,1973-11-09,2,CAP,KCO,1,109,96,45,85,0.529,,,,19,28,0.679,,42,23,,,,20,40,93,0.43,,,,16,19,0.842,,44,16,,,,26,,,,0.329,,0.56,48.8,51.1,,,0.529,,,0.224,0.43,,,0.172,1974,13,5,-8,0.09900000000000003,,,,3,9,-0.16299999999999992,,-2,7,,,,-6
12,13,1973-11-11,1,CAP,MIL,2,91,110,35,100,0.35,,,,21,28,0.75,,39,18,5.0,5.0,14.0,24,46,85,0.541,,,,18,20,0.9,,53,27,7.0,5.0,26.0,24,,,,0.28,,0.405,42.4,51.4,,5.9,0.35,11.1,,0.21,0.541,21.7,,0.212,1974,-19,-11,15,-0.19100000000000006,,,,3,8,-0.15000000000000002,,-14,-9,-2.0,0.0,-12.0,0
13,14,1973-11-17,2,CAP,ATL,1,115,109,42,95,0.442,,,,31,39,0.795,,62,23,,,,23,46,106,0.434,,,,17,23,0.739,,52,33,,,,28,,,,0.411,,0.513,54.4,54.8,,,0.442,,,0.326,0.434,,,0.16,1974,6,-4,-11,0.008000000000000007,,,,14,16,0.05600000000000005,,10,-10,,,,-5
14,15,1973-11-18,1,CAP,BUF,2,101,112,48,100,0.48,,,,5,10,0.5,,43,21,,,,17,49,97,0.505,,,,14,16,0.875,,51,23,,,,19,,,,0.1,,0.484,45.7,43.8,,,0.48,,,0.05,0.505,,,0.144,1974,-11,-1,3,-0.025000000000000022,,,,-9,-6,-0.375,,-8,-2,,,,-2
15,16,1973-11-21,1,CAP,LAL,2,97,106,39,106,0.368,,,,19,24,0.792,25.0,64,18,5.0,,,22,46,105,0.438,,,,14,20,0.7,19.0,57,23,7.0,,,22,,,,0.226,,0.416,52.9,46.2,,,0.368,,39.7,0.179,0.438,,67.2,0.133,1974,-9,-7,1,-0.07,,,,5,4,0.09200000000000008,6.0,7,-5,-2.0,,,0
16,17,1973-11-23,1,CAP,ATL,1,101,86,43,98,0.439,,,,15,23,0.652,,66,26,,,,19,38,102,0.373,,,,10,15,0.667,,52,20,,,,25,,,,0.235,,0.467,55.9,60.5,,,0.439,,,0.153,0.373,,,0.098,1974,15,5,-4,0.066,,,,5,8,-0.015000000000000013,,14,6,,,,-6
17,18,1973-11-25,1,CAP,NYK,1,109,81,47,99,0.475,,,,15,21,0.714,,54,20,,,,18,33,92,0.359,,,,15,22,0.682,,46,18,,,,22,,,,0.212,,0.504,54.0,42.6,,,0.475,,,0.152,0.359,,,0.163,1974,28,14,7,0.11599999999999999,,,,0,-1,0.03199999999999992,,8,2,,,,-4
18,19,1973-11-28,2,CAP,BOS,2,104,111,43,96,0.448,,,,18,21,0.857,,49,26,,,,18,47,98,0.48,,,,17,20,0.85,,48,29,,,,18,,,,0.219,,0.494,50.5,60.5,,,0.448,,,0.188,0.48,,,0.173,1974,-7,-4,-2,-0.03199999999999997,,,,1,1,0.007000000000000006,,1,-3,,,,0
19,20,1973-11-30,2,CAP,BUF,1,121,113,52,109,0.477,,,,17,23,0.739,,63,30,,,,19,50,105,0.476,,,,13,22,0.591,,53,27,,,,20,,,,0.211,,0.508,54.3,57.7,,,0.477,,,0.156,0.476,,,0.124,1974,8,2,4,0.0010000000000000009,,,,4,1,0.14800000000000002,,10,3,,,,-1
52,21,1973-12-02,1,CAP,SEA,1,98,96,40,97,0.412,,,,18,24,0.75,,65,16,,,,27,41,111,0.369,,,,14,20,0.7,,54,13,,,,24,,,,0.247,,0.456,54.6,40.0,,,0.412,,,0.186,0.369,,,0.126,1974,2,-1,-14,0.04299999999999998,,,,4,4,0.050000000000000044,,11,3,,,,3
53,22,1973-12-05,2,CAP,HOU,2,99,119,37,90,0.411,,,,25,34,0.735,,42,19,,,,25,49,98,0.5,,,,21,25,0.84,,65,30,,,,28,,,,0.378,,0.472,39.3,51.4,,,0.411,,,0.278,0.5,,,0.214,1974,-20,-12,-8,-0.08900000000000002,,,,4,9,-0.10499999999999998,,-23,-11,,,,-3
54,23,1973-12-07,2,CAP,PHO,2,92,114,35,83,0.422,,,,22,26,0.846,8.0,37,20,13.0,5.0,30.0,28,43,82,0.524,,,,28,39,0.718,5.0,40,32,14.0,2.0,26.0,25,79.5,98.6,115.7,0.313,,0.487,48.1,57.1,11.2,6.1,0.422,24.1,18.6,0.265,0.524,20.8,85.3,0.341,1974,-22,-8,1,-0.10200000000000004,,,,-6,-13,0.128,3.0,-3,-12,-1.0,3.0,4.0,3
55,24,1973-12-09,2,CAP,LAL,1,110,96,47,103,0.456,,,,16,20,0.8,18.0,59,33,13.0,,,21,40,87,0.46,,,,16,23,0.696,12.0,50,28,7.0,,,22,,,,0.194,,0.492,54.1,70.2,,,0.456,,32.1,0.155,0.46,,77.4,0.184,1974,14,7,16,-0.0040000000000000036,,,,0,-3,0.10400000000000009,6.0,9,5,6.0,,,-1
56,25,1973-12-11,2,CAP,POR,1,87,82,32,85,0.376,,,,23,24,0.958,10.0,43,24,10.0,5.0,18.0,22,35,94,0.372,,,,12,16,0.75,25.0,64,23,9.0,4.0,29.0,28,85.6,80.7,101.6,0.282,,0.455,40.2,75.0,9.8,5.3,0.376,15.9,20.4,0.271,0.372,22.3,56.9,0.128,1974,5,-3,-9,0.0040000000000000036,,,,11,8,0.20799999999999996,-15.0,-21,1,1.0,1.0,-11.0,-6
57,26,1973-12-14,2,CAP,SEA,2,88,93,32,94,0.34,,,,24,31,0.774,,46,23,,,15.0,18,44,94,0.468,,,,5,8,0.625,,60,32,4.0,,20.0,20,,,,0.33,,0.409,43.4,71.9,,,0.34,12.2,,0.255,0.468,17.0,,0.053,1974,-5,-12,0,-0.128,,,,19,23,0.14900000000000002,,-14,-9,,,-5.0,-2
