,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1974-10-18,2,BUF,BOS,1,126,119,51,91.0,0.56,,,,24,28,0.857,,38.0,24.0,,,,29.0,46,110.0,0.418,,,,27,33,0.818,,55.0,29.0,,,,28.0,,,,0.308,,0.61,40.9,47.1,,,0.56,,,0.264,0.418,,,0.245,1975,7,5,-19.0,0.14200000000000007,,,,-3,-5,0.039000000000000035,,-17.0,-5.0,,,,1.0
1,2,1974-10-19,1,BUF,BOS,2,95,113,34,88.0,0.386,,,,27,35,0.771,,47.0,20.0,,,20.0,23.0,48,101.0,0.475,,,,17,21,0.81,,50.0,26.0,,,21.0,32.0,,,,0.398,,0.459,48.5,58.8,,,0.386,16.2,,0.307,0.475,16.0,,0.168,1975,-18,-14,-13.0,-0.08899999999999997,,,,10,14,-0.039000000000000035,,-3.0,-6.0,,,-1.0,-9.0
2,3,1974-10-22,1,BUF,NOJ,1,134,118,50,88.0,0.568,,,,34,43,0.791,,56.0,31.0,,,,29.0,43,102.0,0.422,,,,32,43,0.744,,37.0,25.0,,,,32.0,,,,0.489,,0.627,60.2,62.0,,,0.568,,,0.386,0.422,,,0.314,1975,16,7,-14.0,0.14599999999999996,,,,2,0,0.04700000000000004,,19.0,6.0,,,,-3.0
3,4,1974-10-24,1,BUF,NYK,1,111,91,47,96.0,0.49,,,,17,20,0.85,,56.0,30.0,,,,27.0,40,92.0,0.435,,,,11,13,0.846,,39.0,21.0,,,,24.0,,,,0.208,,0.53,58.9,63.8,,,0.49,,,0.177,0.435,,,0.12,1975,20,7,4.0,0.05499999999999999,,,,6,7,0.0040000000000000036,,17.0,9.0,,,,3.0
4,5,1974-10-26,1,BUF,CHI,1,105,104,45,82.0,0.549,,,,15,18,0.833,13.0,49.0,26.0,6.0,10.0,30.0,21.0,48,110.0,0.436,,,,8,9,0.889,19.0,37.0,25.0,7.0,3.0,16.0,25.0,100.3,99.4,104.6,0.22,,0.584,57.0,57.8,5.7,9.1,0.549,25.0,41.9,0.183,0.436,12.3,65.5,0.073,1975,1,-3,-28.0,0.11300000000000004,,,,7,9,-0.05600000000000005,-6.0,12.0,1.0,-1.0,7.0,14.0,-4.0
5,6,1974-10-29,2,BUF,GSW,2,101,130,36,86.0,0.419,,,,29,46,0.63,16.0,48.0,21.0,11.0,6.0,32.0,25.0,50,112.0,0.446,,,,30,34,0.882,23.0,60.0,28.0,19.0,7.0,22.0,31.0,84.1,108.3,120.1,0.535,,0.475,44.4,58.3,9.2,5.4,0.419,23.1,30.2,0.337,0.446,14.8,58.2,0.268,1975,-29,-14,-26.0,-0.027000000000000024,,,,-1,12,-0.252,-7.0,-12.0,-7.0,-8.0,-1.0,10.0,-6.0
6,7,1974-11-01,2,BUF,POR,2,106,113,44,88.0,0.5,,,,18,23,0.783,14.0,41.0,29.0,8.0,3.0,,27.0,42,80.0,0.525,,,,29,34,0.853,12.0,46.0,31.0,9.0,3.0,,24.0,,,,0.261,,0.54,47.1,65.9,,3.8,0.5,,29.2,0.205,0.525,,69.2,0.363,1975,-7,2,8.0,-0.025000000000000022,,,,-11,-11,-0.06999999999999995,2.0,-5.0,-2.0,-1.0,0.0,,3.0
7,8,1974-11-03,2,BUF,LAL,1,124,101,49,97.0,0.505,,,,26,33,0.788,19.0,62.0,35.0,14.0,6.0,,24.0,41,98.0,0.418,,,,19,22,0.864,16.0,48.0,30.0,10.0,5.0,,28.0,,,,0.34,,0.556,56.4,71.4,,6.1,0.505,,37.3,0.268,0.418,,72.9,0.194,1975,23,8,-1.0,0.08700000000000002,,,,7,11,-0.07599999999999996,3.0,14.0,5.0,4.0,1.0,,-4.0
8,9,1974-11-06,2,BUF,NOJ,1,110,98,45,100.0,0.45,,,,20,32,0.625,,54.0,30.0,,,,26.0,35,96.0,0.365,,,,28,40,0.7,,65.0,23.0,,,31.0,32.0,,,,0.32,,0.482,45.4,66.7,,,0.45,,,0.2,0.365,21.4,,0.292,1975,12,10,4.0,0.08500000000000002,,,,-8,-8,-0.07499999999999996,,-11.0,7.0,,,,-6.0
9,10,1974-11-09,1,BUF,DET,1,109,100,45,,,,,,19,26,0.731,,,,,,,27.0,37,,,,,,26,34,0.765,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1975,9,8,,,,,,-7,-8,-0.03400000000000003,,,,,,,5.0
