,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1975-10-24,1,BOS,HOU,1,109,94,41,92,0.446,,,,27,35,0.771,,41,28,,,16.0,24,36,85,0.424,,,,22,28,0.786,,44,22,,,25.0,26.0,,,,0.38,,0.507,48.2,68.3,,,0.446,13.0,,0.293,0.424,20.4,,0.259,1976,15,5,7,0.02200000000000002,,,,5,7,-0.015000000000000013,,-3,6,,,-9.0,-2.0
1,2,1975-10-29,1,BOS,GSW,1,115,106,45,92,0.489,,,,25,37,0.676,15.0,46,26,6.0,5.0,14.0,29,43,88,0.489,,,,20,30,0.667,13.0,40,21,4.0,3.0,19.0,33.0,110.8,102.1,103.8,0.402,,0.531,53.5,57.8,5.8,5.7,0.489,11.4,35.7,0.272,0.489,15.8,70.5,0.227,1976,9,2,4,0.0,,,,5,7,0.009000000000000008,2.0,6,5,2.0,2.0,-5.0,-4.0
2,3,1975-10-31,1,BOS,POR,1,112,94,47,100,0.47,,,,18,22,0.818,15.0,55,29,12.0,6.0,,28,36,83,0.434,,,,22,29,0.759,6.0,37,23,6.0,3.0,,25.0,,,,0.22,,0.511,59.8,61.7,,7.2,0.47,,32.6,0.18,0.434,,87.0,0.265,1976,18,11,17,0.035999999999999976,,,,-4,-7,0.05899999999999994,9.0,18,6,6.0,3.0,,3.0
3,4,1975-11-01,2,BOS,CHI,2,82,84,35,84,0.417,,,,12,16,0.75,9.0,53,20,11.0,1.0,22.0,23,38,90,0.422,,,,8,16,0.5,10.0,50,17,6.0,5.0,17.0,16.0,79.7,81.6,102.9,0.19,,0.45,51.5,57.1,10.7,1.1,0.417,19.5,18.4,0.143,0.422,14.9,81.5,0.089,1976,-2,-3,-6,-0.0050000000000000044,,,,4,0,0.25,-1.0,3,3,5.0,-4.0,5.0,7.0
4,5,1975-11-05,1,BOS,BUF,1,105,95,42,97,0.433,,,,21,24,0.875,,53,25,,,22.0,20,39,100,0.39,,,,17,24,0.708,,44,23,,,19.0,22.0,,,,0.247,,0.488,54.6,59.5,,,0.433,17.0,,0.216,0.39,14.7,,0.17,1976,10,3,-3,0.04299999999999998,,,,4,0,0.16700000000000004,,9,2,,,3.0,-2.0
5,6,1975-11-07,2,BOS,MIL,2,101,104,38,86,0.442,,,,25,29,0.862,,41,23,,2.0,,22,46,96,0.479,,,,12,15,0.8,,39,16,,4.0,,19.0,,,,0.337,,0.511,51.3,60.5,,2.1,0.442,,,0.291,0.479,,,0.125,1976,-3,-8,-10,-0.03699999999999998,,,,13,14,0.061999999999999944,,2,7,,-2.0,,3.0
6,7,1975-11-08,2,BOS,DET,1,118,104,53,109,0.486,,,,12,19,0.632,,73,28,,,,17,49,116,0.422,,,,6,11,0.545,,41,28,,,,16.0,,,,0.174,,0.503,64.0,52.8,,,0.486,,,0.11,0.422,,,0.052,1976,14,4,-7,0.064,,,,6,8,0.08699999999999997,,32,0,,,,1.0
7,8,1975-11-11,1,BOS,ATL,2,91,100,37,81,0.457,,,,17,25,0.68,,42,17,,,28.0,27,38,81,0.469,,,,24,29,0.828,,32,20,,,22.0,22.0,,,,0.309,,0.495,56.8,45.9,,,0.457,23.3,,0.21,0.469,19.0,,0.296,1976,-9,-1,0,-0.011999999999999955,,,,-7,-4,-0.1479999999999999,,10,-3,,,6.0,5.0
8,9,1975-11-13,2,BOS,WSB,2,107,110,42,88,0.477,,,,23,27,0.852,,45,18,,,21.0,21,46,91,0.505,,,,18,25,0.72,,38,21,,,12.0,20.0,,,,0.307,,0.536,54.2,42.9,,,0.477,17.4,,0.261,0.505,10.5,,0.198,1976,-3,-4,-3,-0.028000000000000025,,,,5,2,0.132,,7,-3,,,9.0,1.0
9,10,1975-11-14,1,BOS,PHI,2,109,119,46,99,0.465,,,,17,20,0.85,,49,21,,,,21,54,93,0.581,,,,11,17,0.647,,36,27,,,,21.0,,,,0.202,,0.506,57.6,45.7,,,0.465,,,0.172,0.581,,,0.118,1976,-10,-8,6,-0.11599999999999994,,,,6,3,0.20299999999999996,,13,-6,,,,0.0
