,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1975-10-23,2,NOJ,ATL,2,91,109,36,100.0,0.36,,,,19,27,0.704,,57.0,17.0,,,,24,45,88.0,0.511,,,,19,29,0.655,,61.0,25.0,,,,21,,,,0.27,,0.407,48.3,47.2,,,0.36,,,0.19,0.511,,,0.216,1976,-18,-9,12.0,-0.15100000000000002,,,,0,-2,0.04899999999999993,,-4.0,-8.0,,,,3
1,2,1975-10-24,1,NOJ,DET,1,114,106,43,85.0,0.506,,,,28,38,0.737,,57.0,25.0,,,,27,44,102.0,0.431,,,,18,26,0.692,,49.0,17.0,,,,33,,,,0.447,,0.56,53.8,58.1,,,0.506,,,0.329,0.431,,,0.176,1976,8,-1,-17.0,0.07500000000000001,,,,10,12,0.04500000000000004,,8.0,8.0,,,,-6
2,3,1975-10-26,1,NOJ,NYK,1,125,114,43,87.0,0.494,,,,39,48,0.813,,57.0,26.0,,,26.0,36,46,102.0,0.451,,,,22,34,0.647,,42.0,15.0,,,20.0,37,,,,0.552,,0.578,57.6,60.5,,,0.494,19.4,,0.448,0.451,14.6,,0.216,1976,11,-3,-15.0,0.04299999999999998,,,,17,14,0.16599999999999993,,15.0,11.0,,,6.0,-1
3,4,1975-10-28,1,NOJ,POR,1,99,90,39,94.0,0.415,,,,21,27,0.778,14.0,58.0,23.0,7.0,2.0,,30,34,86.0,0.395,,,,22,32,0.688,12.0,50.0,22.0,7.0,5.0,,24,,,,0.287,,0.468,53.7,59.0,,2.3,0.415,,26.9,0.223,0.395,,78.6,0.256,1976,9,5,8.0,0.019999999999999962,,,,-1,-5,0.09000000000000008,2.0,8.0,1.0,0.0,-3.0,,6
4,5,1975-10-31,1,NOJ,MIL,1,100,85,37,96.0,0.385,,,,26,35,0.743,20.0,50.0,22.0,16.0,3.0,18.0,26,35,85.0,0.412,,,,15,26,0.577,17.0,55.0,11.0,11.0,5.0,32.0,27,93.3,79.3,107.1,0.365,,0.449,47.6,59.5,14.9,3.5,0.385,13.9,34.5,0.271,0.412,24.9,63.8,0.176,1976,15,2,11.0,-0.02699999999999997,,,,11,9,0.16600000000000004,3.0,-5.0,11.0,5.0,-2.0,-14.0,-1
5,6,1975-11-01,2,NOJ,CLE,1,103,91,41,87.0,0.471,,,,21,28,0.75,,55.0,16.0,,,16.0,18,39,89.0,0.438,,,,13,17,0.765,,32.0,23.0,,,15.0,25,,,,0.322,,0.519,63.2,39.0,,,0.471,13.9,,0.241,0.438,13.5,,0.146,1976,12,2,-2.0,0.032999999999999974,,,,8,11,-0.015000000000000013,,23.0,-7.0,,,1.0,-7
6,7,1975-11-05,1,NOJ,LAL,1,113,110,49,103.0,0.476,,,,15,20,0.75,,54.0,30.0,,,18.0,22,45,98.0,0.459,,,,20,28,0.714,,46.0,17.0,,,18.0,17,,,,0.194,,0.505,54.0,61.2,,,0.476,13.9,,0.146,0.459,14.0,,0.204,1976,3,4,5.0,0.01699999999999996,,,,-5,-8,0.03600000000000003,,8.0,13.0,,,0.0,5
7,8,1975-11-07,1,NOJ,CLE,2,90,94,38,96.0,0.396,,,,14,19,0.737,19.0,61.0,23.0,5.0,4.0,22.0,28,34,93.0,0.366,,,,26,31,0.839,20.0,56.0,18.0,6.0,3.0,20.0,24,86.0,89.9,104.6,0.198,,0.431,52.1,60.5,4.8,4.3,0.396,17.4,34.5,0.146,0.366,15.8,67.7,0.28,1976,-4,4,3.0,0.030000000000000027,,,,-12,-12,-0.10199999999999998,-1.0,5.0,5.0,-1.0,1.0,2.0,4
8,9,1975-11-09,1,NOJ,SEA,2,97,111,34,88.0,0.386,,,,29,45,0.644,,43.0,18.0,11.0,2.0,20.0,27,44,73.0,0.603,,,,23,32,0.719,,46.0,24.0,6.0,6.0,28.0,36,,,,0.511,,0.45,48.3,52.9,,2.7,0.386,15.6,,0.33,0.603,24.3,,0.315,1976,-14,-10,15.0,-0.21699999999999997,,,,6,13,-0.07499999999999996,,-3.0,-6.0,5.0,-4.0,-8.0,-9
9,10,1975-11-11,2,NOJ,POR,2,104,106,39,88.0,0.443,,,,26,32,0.813,10.0,40.0,26.0,13.0,5.0,,30,40,85.0,0.471,,,,26,33,0.788,15.0,53.0,29.0,10.0,5.0,,28,,,,0.364,,0.509,43.0,66.7,,5.9,0.443,,20.8,0.295,0.471,,66.7,0.306,1976,-2,-1,3.0,-0.02799999999999997,,,,0,-1,0.02499999999999991,-5.0,-13.0,-3.0,3.0,0.0,,2
10,11,1975-11-12,2,NOJ,LAL,2,100,116,44,111.0,0.396,,,,12,19,0.632,28.0,59.0,29.0,10.0,8.0,22.0,23,50,107.0,0.467,,,,16,21,0.762,25.0,64.0,29.0,8.0,,20.0,18,91.4,106.0,109.4,0.171,,0.419,48.0,65.9,9.1,7.5,0.396,15.6,41.8,0.108,0.467,14.7,55.4,0.15,1976,-16,-6,4.0,-0.07100000000000001,,,,-4,-2,-0.13,3.0,-5.0,0.0,2.0,,2.0,5
11,12,1975-11-15,2,NOJ,HOU,2,101,103,36,83.0,0.434,,,,29,36,0.806,,34.0,20.0,12.0,,,29,39,80.0,0.488,,,,25,27,0.926,,48.0,33.0,16.0,,,30,,,,0.434,,0.511,41.5,55.6,,,0.434,,,0.349,0.488,,,0.313,1976,-2,-3,3.0,-0.05399999999999999,,,,4,9,-0.12,,-14.0,-13.0,-4.0,,,-1
12,13,1975-11-18,1,NOJ,GSW,2,104,112,41,91.0,0.451,,,,22,28,0.786,16.0,47.0,25.0,8.0,7.0,22.0,19,50,95.0,0.526,,,,12,14,0.857,8.0,45.0,21.0,9.0,8.0,23.0,27,93.8,101.0,110.9,0.308,,0.503,51.1,61.0,7.2,7.4,0.451,17.6,30.2,0.242,0.526,18.5,79.5,0.126,1976,-8,-9,-4.0,-0.07500000000000001,,,,10,14,-0.07099999999999995,8.0,2.0,4.0,-1.0,-1.0,-1.0,-8
