,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1977-10-18,2,CHI,CLE,1,91,88,38,86,0.442,,,,15,28,0.536,16.0,49,17,9,1,24,20,37,77,0.481,,,,14,25,0.56,7.0,34,20,10,8,20,24,90.3,87.3,100.8,0.326,,0.463,59.0,44.7,8.9,1.3,0.442,19.6,37.2,0.174,0.481,18.5,82.5,0.182,1978,3,1,9,-0.03899999999999998,,,,1,3,-0.02400000000000002,9.0,15,-3,-1,-7,4,-4
1,2,1977-10-19,2,CHI,HOU,1,107,103,46,93,0.495,,,,15,19,0.789,,40,18,10,1,13,20,44,89,0.494,,,,15,20,0.75,,45,29,3,4,17,26,,,,0.204,,0.528,47.1,39.1,,1.1,0.495,11.4,,0.161,0.494,14.8,,0.169,1978,4,2,4,0.0010000000000000009,,,,0,-1,0.039000000000000035,,-5,-11,7,-3,-4,-6
2,3,1977-10-21,1,CHI,IND,1,122,119,43,76,0.566,,,,36,45,0.8,15.0,41,31,5,5,21,25,49,86,0.57,,,,21,27,0.778,8.0,31,27,11,8,19,39,117.6,114.7,103.8,0.592,,0.637,56.9,72.1,4.8,5.8,0.566,18.0,39.5,0.474,0.57,16.3,76.5,0.244,1978,3,-6,-10,-0.0040000000000000036,,,,15,18,0.02200000000000002,7.0,10,4,-6,-3,2,-14
3,4,1977-10-22,2,CHI,MIL,2,95,113,37,84,0.44,,,,21,37,0.568,17.0,48,24,5,4,24,28,47,103,0.456,,,,19,30,0.633,20.0,45,31,13,6,13,29,91.8,109.2,103.5,0.44,,0.474,51.6,64.9,4.8,3.9,0.44,19.3,40.5,0.25,0.456,10.1,60.8,0.184,1978,-18,-10,-19,-0.016000000000000014,,,,2,7,-0.06500000000000006,-3.0,3,-7,-8,-2,11,-1
4,5,1977-10-25,1,CHI,GSW,2,98,105,44,91,0.484,,,,10,13,0.769,17.0,55,29,7,1,17,28,43,83,0.518,,,,19,26,0.731,7.0,31,24,6,2,10,18,103.7,111.1,94.5,0.143,,0.507,64.0,65.9,7.4,1.2,0.484,14.9,41.5,0.11,0.518,9.6,84.4,0.229,1978,-7,1,8,-0.03400000000000003,,,,-9,-13,0.038000000000000034,10.0,24,5,1,-1,7,10
5,6,1977-10-29,1,CHI,SEA,1,101,97,42,89,0.472,,,,17,27,0.63,15.0,46,26,8,0,20,25,40,80,0.5,,,,17,25,0.68,11.0,44,19,14,6,24,29,97.6,93.8,103.4,0.303,,0.501,51.1,61.9,7.7,0.0,0.472,16.5,31.3,0.191,0.5,20.9,73.8,0.213,1978,4,2,9,-0.028000000000000025,,,,0,2,-0.050000000000000044,4.0,2,7,-6,-6,-4,-4
6,7,1977-11-01,2,CHI,NOJ,2,88,99,38,90,0.422,,,,12,20,0.6,14.0,49,22,9,1,21,19,44,91,0.484,,,,11,14,0.786,13.0,48,25,8,8,16,19,87.1,98.0,101.0,0.222,,0.445,50.5,57.9,8.9,1.1,0.422,17.5,28.6,0.133,0.484,14.1,72.9,0.121,1978,-11,-6,-1,-0.062,,,,1,6,-0.18600000000000005,1.0,1,-3,1,-7,5,0
7,8,1977-11-02,2,CHI,PHI,1,103,102,37,92,0.402,,,,29,38,0.763,26.0,59,27,9,3,20,25,40,84,0.476,,,,22,28,0.786,12.0,43,29,8,4,17,34,103.0,102.0,100.0,0.413,,0.474,57.8,73.0,9.0,3.6,0.402,15.5,45.6,0.315,0.476,15.0,73.3,0.262,1978,1,-3,8,-0.07399999999999995,,,,7,10,-0.02300000000000002,14.0,16,-2,1,-1,3,-9
8,9,1977-11-04,1,CHI,BUF,2,92,100,38,87,0.437,,,,16,17,0.941,18.0,44,27,3,0,17,24,39,74,0.527,,,,22,30,0.733,9.0,35,23,6,1,19,16,99.6,108.3,92.4,0.195,,0.487,55.7,71.1,3.2,0.0,0.437,15.2,40.9,0.184,0.527,17.9,74.3,0.297,1978,-8,-1,13,-0.09000000000000002,,,,-6,-13,0.20799999999999996,9.0,9,4,-3,-1,-2,8
9,10,1977-11-05,1,CHI,PHO,1,111,94,47,86,0.547,,,,17,26,0.654,15.0,46,27,11,4,24,26,39,89,0.438,,,,16,20,0.8,15.0,41,17,14,2,25,23,105.9,89.7,104.8,0.302,,0.57,52.9,57.4,10.5,4.5,0.547,19.8,36.6,0.198,0.438,20.4,67.4,0.18,1978,17,8,-3,0.10900000000000004,,,,1,6,-0.14600000000000002,0.0,5,10,-3,2,-1,3
10,11,1977-11-08,1,CHI,HOU,1,117,104,49,84,0.583,,,,19,23,0.826,12.0,37,38,2,4,16,23,43,83,0.518,,,,18,23,0.783,14.0,38,27,8,3,18,29,122.2,108.6,95.8,0.274,,0.622,49.3,77.6,2.1,4.8,0.583,14.5,33.3,0.226,0.518,16.2,64.1,0.217,1978,13,6,1,0.06499999999999995,,,,1,0,0.04299999999999993,-2.0,-1,11,-6,1,-2,-6
