,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1977-10-18,1,PHO,GSW,1,100,83,42,103,0.408,,,,16,26,0.615,19.0,55,25,18.0,8.0,20,22,32,90,0.356,,,,19,27,0.704,12,53,18,14,5.0,30,26,87.7,72.8,114.0,0.252,,0.437,50.9,59.5,15.8,8.9,0.408,14.9,31.7,0.155,0.356,22.7,75.0,0.211,1978,17,10,13,0.05199999999999999,,,,-3,-1,-0.08899999999999997,7.0,2,7,4.0,3.0,-10,-4
1,2,1977-10-23,2,PHO,LAL,1,104,101,40,105,0.381,,,,24,30,0.8,18.0,43,22,16.0,3.0,13,23,44,84,0.524,,,,13,20,0.65,12,52,29,9,3.0,30,30,96.1,93.3,108.3,0.286,,0.44,45.3,55.0,14.8,3.6,0.381,9.9,31.0,0.229,0.524,24.4,67.6,0.155,1978,3,-4,21,-0.14300000000000002,,,,11,10,0.15000000000000002,6.0,-9,-7,7.0,0.0,-17,-7
2,3,1977-10-25,1,PHO,SEA,1,93,86,34,89,0.382,,,,25,39,0.641,18.0,53,24,9.0,7.0,23,21,37,86,0.43,,,,12,19,0.632,7,38,24,8,7.0,19,29,88.6,82.0,104.9,0.438,,0.438,58.2,70.6,8.6,8.1,0.382,17.8,36.7,0.281,0.43,16.8,83.3,0.14,1978,7,-3,3,-0.04799999999999999,,,,13,20,0.009000000000000008,11.0,15,0,1.0,0.0,4,-8
3,4,1977-10-28,2,PHO,NOJ,2,107,114,43,116,0.371,,,,21,24,0.875,21.0,54,23,16.0,4.0,21,29,41,76,0.539,,,,32,41,0.78,7,56,32,10,14.0,31,25,89.2,95.0,120.0,0.207,,0.423,49.1,53.5,13.3,5.3,0.371,14.2,30.0,0.181,0.539,24.8,82.5,0.421,1978,-7,2,40,-0.16800000000000004,,,,-11,-17,0.09499999999999997,14.0,-2,-9,6.0,-10.0,-10,4
4,5,1977-10-29,2,PHO,HOU,2,112,125,47,105,0.448,,,,18,19,0.947,16.0,35,18,11.0,4.0,20,22,47,90,0.522,,,,31,32,0.969,18,49,32,12,2.0,27,26,102.3,114.2,109.4,0.181,,0.494,41.7,38.3,10.1,4.4,0.448,15.0,34.0,0.171,0.522,20.6,51.4,0.344,1978,-13,0,15,-0.07400000000000001,,,,-13,-13,-0.02200000000000002,-2.0,-14,-14,-1.0,2.0,-7,-4
5,6,1977-10-31,1,PHO,SAS,2,143,145,58,100,0.58,,,,27,33,0.818,11.0,39,35,12.0,4.0,18,32,57,97,0.588,,,,31,38,0.816,16,48,29,6,3.0,24,31,119.0,120.7,120.2,0.33,,0.624,44.8,60.3,10.0,4.1,0.58,13.6,25.6,0.27,0.588,17.4,63.6,0.32,1978,-2,1,3,-0.008000000000000007,,,,-4,-5,0.0020000000000000018,-5.0,-9,6,6.0,1.0,-6,1
6,7,1977-11-03,2,PHO,SAS,1,110,89,46,115,0.4,,,,18,22,0.818,27.0,56,24,18.0,6.0,20,26,35,83,0.422,,,,19,25,0.76,13,49,26,10,8.0,40,20,96.0,77.6,114.6,0.191,,0.441,53.3,52.2,15.7,7.2,0.4,13.8,42.9,0.157,0.422,29.9,69.0,0.229,1978,21,11,32,-0.021999999999999964,,,,-1,-3,0.05799999999999994,14.0,7,-2,8.0,-2.0,-20,6
7,8,1977-11-04,2,PHO,WSB,2,96,113,45,104,0.433,,,,6,12,0.5,13.0,45,28,19.0,8.0,28,27,45,89,0.506,,,,23,36,0.639,15,48,30,13,2.0,33,22,79.9,94.0,120.2,0.115,,0.439,48.4,62.2,15.8,9.0,0.433,20.4,28.3,0.058,0.506,23.9,68.1,0.258,1978,-17,0,15,-0.07300000000000001,,,,-17,-24,-0.139,-2.0,-3,-2,6.0,6.0,-5,5
8,9,1977-11-05,2,PHO,CHI,2,94,111,39,89,0.438,,,,16,20,0.8,15.0,41,17,14.0,2.0,25,23,47,86,0.547,,,,17,26,0.654,15,46,27,11,4.0,24,26,89.7,105.9,104.8,0.225,,0.481,47.1,43.6,13.4,2.3,0.438,20.4,32.6,0.18,0.547,19.8,63.4,0.198,1978,-17,-8,3,-0.10900000000000004,,,,-1,-6,0.14600000000000002,0.0,-5,-10,3.0,-2.0,1,-3
9,10,1977-11-10,1,PHO,NOJ,1,127,111,55,106,0.519,,,,17,25,0.68,14.0,52,38,19.0,6.0,25,19,47,103,0.456,,,,17,30,0.567,13,49,20,13,5.0,27,23,100.6,87.9,126.2,0.236,,0.543,51.5,69.1,15.1,5.8,0.519,17.6,28.0,0.16,0.456,18.9,74.5,0.165,1978,16,8,3,0.063,,,,0,-5,0.1130000000000001,1.0,3,18,6.0,1.0,-2,-4
10,11,1977-11-13,1,PHO,IND,1,116,107,48,97,0.495,,,,20,27,0.741,12.0,47,22,13.0,9.0,17,24,41,100,0.41,,,,25,30,0.833,22,55,12,10,3.0,21,23,105.7,97.5,109.7,0.278,,0.533,46.1,45.8,11.8,9.0,0.495,13.5,26.7,0.206,0.41,15.6,61.4,0.25,1978,9,7,-3,0.08500000000000002,,,,-5,-3,-0.09199999999999997,-10.0,-8,10,3.0,6.0,-4,1
11,12,1977-11-18,1,PHO,CHI,1,103,101,40,92,0.435,,,,23,34,0.676,12.0,39,27,11.0,5.0,13,27,36,86,0.419,,,,29,31,0.935,15,53,15,9,2.0,20,26,100.7,98.8,102.3,0.37,,0.481,42.4,67.5,10.8,5.8,0.435,10.8,24.0,0.25,0.419,16.7,64.3,0.337,1978,2,4,6,0.016000000000000014,,,,-6,3,-0.259,-3.0,-14,12,2.0,3.0,-7,1
12,13,1977-11-20,1,PHO,SAS,1,134,112,55,101,0.545,,,,24,31,0.774,14.0,50,36,24.0,7.0,27,25,43,96,0.448,,,,26,28,0.929,15,45,25,12,1.0,32,24,108.4,90.6,123.6,0.307,,0.584,52.6,65.5,19.4,7.3,0.545,19.1,31.8,0.238,0.448,22.8,70.6,0.271,1978,22,12,5,0.09700000000000003,,,,-2,3,-0.15500000000000003,-1.0,5,11,12.0,6.0,-5,1
13,14,1977-11-22,1,PHO,LAL,1,118,107,44,90,0.489,,,,30,34,0.882,14.0,49,33,12.0,3.0,23,25,41,92,0.446,,,,25,37,0.676,13,42,20,13,3.0,18,30,107.0,97.0,110.3,0.378,,0.562,53.8,75.0,10.9,3.3,0.489,18.0,32.6,0.333,0.446,14.3,72.9,0.272,1978,11,3,-2,0.04299999999999998,,,,5,-3,0.20599999999999996,1.0,7,13,-1.0,0.0,5,-5
14,15,1977-11-24,2,PHO,CLE,2,82,97,33,88,0.375,,,,16,20,0.8,17.0,44,22,15.0,6.0,24,16,43,92,0.467,,,,11,16,0.688,14,50,22,15,7.0,23,19,80.1,94.8,102.3,0.227,,0.424,46.8,66.7,14.7,6.5,0.375,19.9,32.1,0.182,0.467,18.8,65.9,0.12,1978,-15,-10,-4,-0.09200000000000003,,,,5,4,0.1120000000000001,3.0,-6,0,0.0,-1.0,1,-3
