,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1978-10-14,1,GSW,SDC,1,117,89,48,96,0.5,,,,21,27,0.778,14,43,29,17,3,17,29,34,83,0.41,,,,21,36,0.583,17,50,16,8,1,31,27,107.6,81.8,108.8,0.281,,0.542,46.2,60.4,15.6,3.6,0.5,13.6,29.8,0.219,0.41,23.9,63.0,0.253,1979,28,14,13,0.09000000000000002,,,,0,-9,0.19500000000000006,-3,-7,13,9,2,-14,2
1,2,1978-10-15,2,GSW,PHO,2,110,129,51,89,0.573,,,,8,14,0.571,9,33,26,11,2,26,31,48,86,0.558,,,,33,40,0.825,11,41,25,13,5,22,22,98.9,116.0,111.2,0.157,,0.578,44.6,51.0,9.9,2.3,0.573,21.5,23.1,0.09,0.558,17.5,68.6,0.384,1979,-19,3,3,0.014999999999999902,,,,-25,-26,-0.254,-2,-8,1,-2,-3,4,9
2,3,1978-10-18,1,GSW,PHO,2,112,122,47,101,0.465,,,,18,25,0.72,19,44,24,16,4,13,30,49,90,0.544,,,,24,31,0.774,14,49,29,2,4,20,20,106.5,116.0,105.2,0.248,,0.5,47.3,51.1,15.2,4.4,0.465,10.4,35.2,0.178,0.544,16.2,64.1,0.267,1979,-10,-2,11,-0.07900000000000001,,,,-6,-6,-0.05400000000000005,5,-5,-5,14,0,-7,10
3,4,1978-10-20,1,GSW,POR,1,111,108,40,87,0.46,,,,31,43,0.721,18,46,18,9,10,15,33,40,85,0.471,,,,28,36,0.778,10,45,23,5,3,21,31,105.8,102.9,104.9,0.494,,0.524,50.5,45.0,8.6,11.8,0.46,12.4,34.0,0.356,0.471,17.2,73.7,0.329,1979,3,0,2,-0.010999999999999954,,,,3,7,-0.05700000000000005,8,1,-5,4,7,-6,2
4,5,1978-10-22,2,GSW,MIL,2,107,109,42,90,0.467,,,,23,26,0.885,13,43,24,11,8,23,26,48,101,0.475,,,,13,16,0.813,15,41,39,10,7,16,24,101.5,103.4,105.4,0.289,,0.527,51.2,57.1,10.4,7.9,0.467,18.5,33.3,0.256,0.475,12.9,66.7,0.129,1979,-2,-6,-11,-0.007999999999999952,,,,10,10,0.07200000000000006,-2,2,-15,1,1,7,2
5,6,1978-10-25,2,GSW,NJN,2,118,121,48,107,0.449,,,,22,27,0.815,25,55,28,13,9,23,39,39,94,0.415,,,,43,59,0.729,25,57,20,6,9,18,22,106.3,109.0,111.0,0.252,,0.496,49.1,58.3,11.7,9.6,0.449,16.2,43.9,0.206,0.415,13.0,54.5,0.457,1979,-3,9,13,0.03400000000000003,,,,-21,-32,0.08599999999999997,0,-2,8,7,0,5,17
6,7,1978-10-27,1,GSW,WSB,1,102,83,47,96,0.49,,,,8,10,0.8,11,50,28,14,3,14,22,36,98,0.367,,,,11,16,0.688,21,56,23,2,4,23,15,99.2,80.7,102.8,0.104,,0.508,47.2,59.6,13.6,3.1,0.49,12.2,23.9,0.083,0.367,18.0,65.0,0.112,1979,19,11,-2,0.123,,,,-3,-6,0.1120000000000001,-10,-6,5,12,-1,-9,7
7,8,1978-10-29,2,GSW,CLE,1,99,94,44,91,0.484,,,,11,14,0.786,15,43,22,7,13,13,15,41,102,0.402,,,,12,15,0.8,23,56,22,6,5,9,17,109.1,103.6,90.7,0.154,,0.509,43.4,50.0,7.7,12.7,0.484,11.8,31.3,0.121,0.402,7.7,54.9,0.118,1979,5,3,-11,0.08199999999999996,,,,-1,-1,-0.014000000000000012,-8,-13,0,1,8,4,-2
8,9,1978-10-31,2,GSW,SAS,1,139,138,59,117,0.504,,,,21,25,0.84,22,50,28,8,6,16,32,52,100,0.52,,,,34,40,0.85,12,41,31,8,6,18,28,118.4,117.5,106.3,0.214,,0.543,54.9,47.5,6.8,6.0,0.504,11.1,43.1,0.179,0.52,13.3,70.0,0.34,1979,1,7,17,-0.016000000000000014,,,,-13,-15,-0.010000000000000009,10,9,-3,0,0,-2,4
9,10,1978-11-01,2,GSW,HOU,1,112,105,51,95,0.537,,,,10,13,0.769,8,46,29,10,12,17,26,42,103,0.408,,,,21,31,0.677,19,47,29,4,4,15,15,104.0,97.5,107.7,0.137,,0.556,49.5,56.9,9.3,11.7,0.537,14.4,22.2,0.105,0.408,11.4,66.7,0.204,1979,7,9,-8,0.12900000000000006,,,,-11,-18,0.09199999999999997,-11,-1,0,6,8,2,11
10,11,1978-11-02,2,GSW,ATL,1,113,106,45,84,0.536,,,,23,29,0.793,13,50,18,9,10,20,24,46,105,0.438,,,,14,27,0.519,22,50,19,12,3,15,24,107.8,101.1,104.8,0.345,,0.584,50.0,40.0,8.6,9.5,0.536,17.1,31.7,0.274,0.438,11.4,62.7,0.133,1979,7,-1,-21,0.09800000000000003,,,,9,2,0.274,-9,0,-1,-3,7,5,0
11,12,1978-11-04,2,GSW,DET,1,103,95,49,93,0.527,,,,5,8,0.625,13,49,24,7,5,19,18,40,94,0.426,,,,15,24,0.625,17,44,22,4,7,16,15,102.5,94.5,100.5,0.086,,0.534,52.7,49.0,7.0,5.3,0.527,16.4,32.5,0.054,0.426,13.3,67.9,0.16,1979,8,9,-1,0.10100000000000003,,,,-10,-16,0.0,-4,5,2,3,-2,3,3
12,13,1978-11-08,1,GSW,KCK,2,97,105,41,79,0.519,,,,15,18,0.833,13,43,26,10,4,24,27,45,92,0.489,,,,15,22,0.682,17,42,23,10,4,18,21,98.5,106.7,98.5,0.228,,0.558,50.6,63.4,10.2,4.3,0.519,21.6,34.2,0.19,0.489,15.0,63.8,0.163,1979,-8,-4,-13,0.030000000000000027,,,,0,-4,0.1509999999999999,-4,1,3,0,0,6,6
