,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1978-10-15,2,KCK,SEA,2,105,115,40,87,0.46,,,,25,33,0.758,17.0,41,16,7.0,5.0,23.0,38,40,84,0.476,,,,35,49,0.714,14.0,33,17,13.0,3.0,21.0,28,101.6,111.3,103.4,0.379,,0.517,55.4,40.0,6.8,6.0,0.46,18.5,47.2,0.287,0.476,16.6,63.2,0.417,1979,-10,0,3,-0.01599999999999996,,,,-10,-16,0.04400000000000004,3.0,8,-1,-6.0,2.0,2.0,10
1,2,1978-10-17,2,KCK,POR,2,112,115,43,89,0.483,,,,26,28,0.929,18.0,40,25,10.0,1.0,19.0,35,39,71,0.549,,,,37,48,0.771,12.0,37,27,9.0,6.0,20.0,23,113.9,116.9,98.4,0.315,,0.553,51.9,58.1,10.2,1.4,0.483,15.8,41.9,0.292,0.549,17.8,64.7,0.521,1979,-3,4,18,-0.06600000000000006,,,,-11,-20,0.15800000000000003,6.0,3,-2,1.0,-5.0,-1.0,12
2,3,1978-10-19,1,KCK,HOU,1,108,103,49,99,0.495,,,,10,19,0.526,,44,25,12.0,4.0,,30,34,75,0.453,,,,35,42,0.833,,48,13,3.0,5.0,,24,,,,0.192,,0.503,47.8,51.0,,5.3,0.495,,,0.101,0.453,,,0.467,1979,5,15,24,0.04199999999999998,,,,-25,-23,-0.30699999999999994,,-4,12,9.0,-1.0,,6
3,4,1978-10-21,1,KCK,MIL,2,99,103,39,101,0.386,,,,21,30,0.7,,47,17,15.0,4.0,,34,36,74,0.486,,,,31,44,0.705,,46,16,8.0,4.0,,27,,,,0.297,,0.433,50.5,43.6,,5.4,0.386,,,0.208,0.486,,,0.419,1979,-4,3,27,-0.09999999999999998,,,,-10,-14,-0.0050000000000000044,,1,1,7.0,0.0,,7
4,5,1978-10-24,2,KCK,CHI,1,123,117,50,85,0.588,,,,23,36,0.639,10.0,34,19,12.0,8.0,18.0,31,43,81,0.531,,,,31,45,0.689,14.0,40,22,4.0,1.0,23.0,31,114.9,109.3,107.0,0.424,,0.61,45.9,38.0,11.2,9.9,0.588,15.1,27.8,0.271,0.531,18.6,63.2,0.383,1979,6,7,4,0.05699999999999994,,,,-8,-9,-0.04999999999999993,-4.0,-6,-3,8.0,7.0,-5.0,0
5,6,1978-10-25,1,KCK,NOJ,1,114,109,47,101,0.465,,,,20,29,0.69,,56,28,9.0,,,30,39,93,0.419,,,,31,42,0.738,,52,15,4.0,,,27,,,,0.287,,0.501,51.9,59.6,,,0.465,,,0.198,0.419,,,0.333,1979,5,8,8,0.04600000000000004,,,,-11,-13,-0.04800000000000004,,4,13,5.0,,,3
6,7,1978-10-27,2,KCK,DET,2,102,107,44,84,0.524,,,,14,23,0.609,,38,24,3.0,,,35,41,93,0.441,,,,25,33,0.758,,41,16,12.0,,,32,,,,0.274,,0.542,48.1,54.5,,,0.524,,,0.167,0.441,,,0.269,1979,-5,3,-9,0.08300000000000002,,,,-11,-10,-0.14900000000000002,,-3,8,-9.0,,,3
7,8,1978-10-28,1,KCK,PHO,1,112,102,47,92,0.511,,,,18,22,0.818,15.0,38,30,16.0,2.0,25.0,35,43,74,0.581,,,,16,25,0.64,11.0,38,26,5.0,4.0,30.0,28,105.7,96.3,105.9,0.239,,0.551,50.0,63.8,15.1,2.7,0.511,19.7,35.7,0.196,0.581,26.1,67.6,0.216,1979,10,4,18,-0.06999999999999995,,,,2,-3,0.17799999999999994,4.0,0,4,11.0,-2.0,-5.0,7
8,9,1978-10-31,2,KCK,MIL,2,112,114,45,91,0.495,,,,22,34,0.647,12.0,43,31,9.0,6.0,19.0,30,43,93,0.462,,,,28,34,0.824,14.0,40,33,10.0,4.0,18.0,29,103.7,105.5,108.0,0.374,,0.529,51.8,68.9,8.3,6.5,0.495,15.2,31.6,0.242,0.462,14.3,68.9,0.301,1979,-2,2,-2,0.032999999999999974,,,,-6,0,-0.17699999999999994,-2.0,3,-2,-1.0,2.0,1.0,1
9,10,1978-11-01,1,KCK,CLE,1,122,107,52,100,0.52,,,,18,26,0.692,20.0,47,29,12.0,2.0,14.0,19,44,85,0.518,,,,19,20,0.95,14.0,41,9,5.0,6.0,21.0,21,121.1,106.2,100.8,0.26,,0.547,53.4,55.8,11.9,2.4,0.52,11.2,42.6,0.18,0.518,18.3,65.9,0.224,1979,15,8,15,0.0020000000000000018,,,,-1,6,-0.258,6.0,6,20,7.0,-4.0,-7.0,-2
10,11,1978-11-03,2,KCK,IND,2,108,115,40,88,0.455,,,,28,40,0.7,,48,24,9.0,5.0,28.0,36,43,92,0.467,,,,29,45,0.644,,56,26,12.0,5.0,24.0,32,,,,0.455,,0.511,46.2,60.0,,5.4,0.455,21.0,,0.318,0.467,17.7,,0.315,1979,-7,-3,-4,-0.01200000000000001,,,,-1,-5,0.05599999999999994,,-8,-2,-3.0,0.0,4.0,4
