,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1979-10-12,1,SDC,LAL,2,102,103,44,92,0.478,0,0,,14,14,1.0,13.0,39,16,14.0,2,19.0,24,41,84,0.488,0,0,,21,31,0.677,13.0,39,19,8.0,8,20.0,20,101.7,102.7,100.3,0.152,0.0,0.52,50.0,36.4,14.0,2.4,0.478,16.2,33.3,0.152,0.488,17.0,66.7,0.25,1980,-1,3,8,-0.010000000000000009,0,0,,-7,-17,0.32299999999999995,0.0,0,-3,6.0,-6,-1.0,4
1,2,1979-10-14,1,SDC,SEA,1,98,93,38,90,0.422,1,5,0.2,21,34,0.618,14.0,53,17,9.0,7,16.0,20,38,103,0.369,0,1,0.0,17,22,0.773,21.0,54,12,7.0,8,15.0,26,95.4,90.5,102.7,0.378,0.056,0.467,49.5,44.7,8.8,6.9,0.428,13.2,29.8,0.233,0.369,11.7,65.0,0.165,1980,5,0,-13,0.05299999999999999,1,4,0.2,4,12,-0.15500000000000003,-7.0,-1,5,2.0,-1,1.0,-6
2,3,1979-10-16,2,SDC,POR,2,81,88,32,85,0.376,1,4,0.25,16,23,0.696,17.0,46,14,9.0,1,17.0,20,35,78,0.449,0,0,,18,21,0.857,15.0,52,24,6.0,8,16.0,23,90.0,97.7,90.0,0.271,0.047,0.426,46.9,43.8,10.0,1.3,0.382,15.2,31.5,0.188,0.449,15.5,65.9,0.231,1980,-7,-3,7,-0.07300000000000001,1,4,,-2,2,-0.16100000000000003,2.0,-6,-10,3.0,-7,1.0,-3
3,4,1979-10-18,1,SDC,CHI,1,111,107,41,87,0.471,0,4,0.0,29,34,0.853,18.0,42,16,5.0,1,16.0,24,43,91,0.473,0,1,0.0,21,27,0.778,17.0,42,19,9.0,1,13.0,29,117.1,112.9,94.8,0.391,0.046,0.544,50.0,39.0,5.3,1.1,0.471,13.6,41.9,0.333,0.473,11.2,58.5,0.231,1980,4,-2,-4,-0.0020000000000000018,0,3,0.0,8,7,0.07499999999999996,1.0,0,-3,-4.0,0,3.0,-5
4,5,1979-10-19,2,SDC,SEA,2,98,106,35,91,0.385,1,5,0.2,27,33,0.818,20.0,43,16,11.0,2,16.0,23,43,91,0.473,1,1,1.0,19,25,0.76,24.0,53,30,6.0,6,20.0,22,102.9,111.3,95.3,0.363,0.055,0.464,44.8,45.7,11.5,2.2,0.39,13.2,40.8,0.297,0.478,16.4,48.9,0.209,1980,-8,-8,0,-0.08799999999999997,0,4,-0.8,8,8,0.05799999999999994,-4.0,-10,-14,5.0,-4,-4.0,1
5,6,1979-10-22,2,SDC,UTA,2,109,110,45,83,0.542,0,0,,19,24,0.792,,38,12,3.0,2,15.0,20,47,89,0.528,0,1,0.0,16,19,0.842,,38,24,7.0,2,11.0,26,,,,0.289,0.0,0.583,50.0,26.7,,2.3,0.542,13.8,,0.229,0.528,10.2,,0.18,1980,-1,-2,-6,0.014000000000000012,0,-1,,3,5,-0.04999999999999993,,0,-12,-4.0,0,4.0,-6
6,7,1979-10-23,1,SDC,DEN,1,132,127,54,91,0.593,2,5,0.4,22,30,0.733,13.0,38,24,11.0,3,10.0,30,48,90,0.533,1,3,0.333,30,42,0.714,16.0,43,16,3.0,2,17.0,24,127.9,123.1,103.2,0.33,0.055,0.633,46.9,44.4,10.7,3.4,0.604,8.8,32.5,0.242,0.539,13.5,61.0,0.333,1980,5,6,1,0.05999999999999994,1,2,0.067,-8,-12,0.019000000000000017,-3.0,-5,8,8.0,1,-7.0,6
7,8,1979-10-25,1,SDC,MIL,2,115,118,45,96,0.469,0,4,0.0,25,30,0.833,22.0,50,18,7.0,3,20.0,24,50,97,0.515,1,2,0.5,17,27,0.63,13.0,36,26,11.0,4,16.0,25,110.0,112.8,104.6,0.313,0.042,0.527,58.1,40.0,6.7,3.2,0.469,15.5,48.9,0.26,0.521,12.8,68.3,0.175,1980,-3,-5,-1,-0.04600000000000004,-1,2,-0.5,8,3,0.20299999999999996,9.0,14,-8,-4.0,-1,4.0,-1
8,9,1979-10-27,1,SDC,SEA,1,110,105,44,86,0.512,1,5,0.2,21,26,0.808,15.0,43,19,7.0,1,16.0,24,44,93,0.473,0,3,0.0,17,28,0.607,15.0,39,18,6.0,4,11.0,23,114.6,109.4,96.0,0.302,0.058,0.564,52.4,43.2,7.3,1.1,0.517,14.1,38.5,0.244,0.473,9.5,65.1,0.183,1980,5,0,-7,0.039000000000000035,1,2,0.2,4,-2,0.20100000000000007,0.0,4,1,1.0,-3,5.0,1
9,10,1979-10-28,1,SDC,KCK,2,101,106,37,81,0.457,2,6,0.333,25,34,0.735,,32,20,4.0,3,14.0,21,45,91,0.495,0,2,0.0,16,24,0.667,,46,12,8.0,5,15.0,23,,,,0.42,0.074,0.526,41.0,54.1,,3.4,0.469,12.7,,0.309,0.495,12.9,,0.176,1980,-5,-8,-10,-0.03799999999999998,2,4,0.333,9,10,0.06799999999999995,,-14,8,-4.0,-2,-1.0,-2
