,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1982-10-29,2,POR,KCK,2,111,113,39,78,0.5,0,0,,33,46,0.717,12,43,19,13,6,24,27,42,82,0.512,0,2,0.0,29,37,0.784,11,38,21,10,8,23,36,102.7,104.6,108.1,0.59,0.0,0.565,53.1,48.7,12.0,7.5,0.5,19.6,30.8,0.423,0.512,19.0,73.8,0.354,1983,-2,-3,-4,-0.01200000000000001,0,-2,,4,9,-0.06700000000000006,1,5,-2,3,-2,1,-9
1,2,1982-10-30,2,POR,SAS,2,107,112,44,81,0.543,2,2,1.0,17,22,0.773,10,33,25,5,3,14,25,43,84,0.512,2,4,0.5,24,28,0.857,18,43,23,5,9,18,26,114.8,120.2,93.2,0.272,0.025,0.59,43.4,56.8,5.4,3.8,0.556,13.4,28.6,0.21,0.524,15.7,56.1,0.286,1983,-5,1,-3,0.031000000000000028,0,-2,0.5,-7,-6,-0.08399999999999996,-8,-10,2,0,-6,-4,-1
2,3,1982-11-02,2,POR,PHO,2,87,92,31,82,0.378,0,2,0.0,25,34,0.735,17,45,19,9,7,20,24,37,90,0.411,0,0,,18,24,0.75,15,48,21,4,9,22,27,87.5,92.5,99.4,0.415,0.024,0.449,48.4,61.3,9.1,7.8,0.378,17.1,34.0,0.305,0.411,18.0,65.1,0.2,1983,-5,-6,-8,-0.032999999999999974,0,2,,7,10,-0.015000000000000013,2,-3,-2,5,-2,-2,-3
3,4,1982-11-04,1,POR,SAS,2,107,108,41,92,0.446,0,0,,25,29,0.862,20,47,30,11,5,21,25,41,85,0.482,2,5,0.4,24,26,0.923,7,39,28,11,10,24,26,100.3,101.3,96.6,0.315,0.0,0.511,54.7,73.2,10.3,6.3,0.446,16.7,38.5,0.272,0.494,19.9,79.4,0.282,1983,-1,0,7,-0.035999999999999976,-2,-5,,1,3,-0.061000000000000054,13,8,2,0,-5,-3,-1
4,5,1982-11-06,1,POR,NYK,1,110,102,33,65,0.508,0,0,,44,56,0.786,9,29,23,13,4,16,29,37,72,0.514,0,0,,28,35,0.8,14,37,27,4,4,25,39,116.2,107.7,94.7,0.862,0.0,0.614,43.9,69.7,13.7,5.6,0.508,15.1,28.1,0.677,0.514,22.2,58.8,0.389,1983,8,-4,-7,-0.006000000000000005,0,0,,16,21,-0.014000000000000012,-5,-8,-4,9,0,-9,-10
5,6,1982-11-07,2,POR,LAL,2,89,103,40,87,0.46,0,3,0.0,9,15,0.6,10,28,26,12,2,25,20,48,87,0.552,0,0,,7,11,0.636,17,50,33,12,6,26,20,87.5,101.3,101.7,0.172,0.034,0.475,35.9,65.0,11.8,2.3,0.46,21.1,23.3,0.103,0.552,22.1,51.4,0.08,1983,-14,-8,0,-0.09200000000000003,0,3,,2,4,-0.03600000000000003,-7,-22,-7,0,-4,-1,0
6,7,1982-11-09,1,POR,GSW,1,111,96,42,86,0.488,0,0,,27,42,0.643,20,45,27,12,2,18,20,42,82,0.512,0,3,0.0,12,18,0.667,12,40,28,7,2,21,32,112.4,97.2,98.8,0.488,0.0,0.531,52.9,64.3,12.2,2.5,0.488,14.7,41.7,0.314,0.512,18.9,67.6,0.146,1983,15,0,4,-0.02400000000000002,0,-3,,15,24,-0.02400000000000002,8,5,-1,5,0,-3,-12
7,8,1982-11-11,1,POR,HOU,1,111,90,46,84,0.548,0,2,0.0,19,24,0.792,19,47,30,10,3,20,28,37,80,0.463,1,2,0.5,15,18,0.833,9,29,26,11,7,19,28,117.6,95.3,94.4,0.286,0.024,0.587,61.8,65.2,10.6,3.8,0.548,17.5,48.7,0.226,0.469,17.8,75.7,0.188,1983,21,9,4,0.08500000000000002,-1,0,-0.5,4,6,-0.040999999999999925,10,18,4,-1,-4,1,0
8,9,1982-11-12,2,POR,DEN,1,128,111,53,84,0.631,0,0,,22,30,0.733,8,49,41,7,11,22,26,43,99,0.434,1,4,0.25,24,28,0.857,13,36,22,9,4,18,25,114.7,99.5,111.6,0.357,0.0,0.658,57.6,77.4,6.3,11.6,0.631,18.5,25.8,0.262,0.439,13.9,75.9,0.242,1983,17,10,-15,0.197,-1,-4,,-2,2,-0.124,-5,13,19,-2,7,4,1
9,10,1982-11-14,1,POR,PHO,2,94,102,36,83,0.434,1,3,0.333,21,27,0.778,14,40,23,12,1,20,21,44,82,0.537,0,1,0.0,14,18,0.778,14,46,33,11,6,23,26,95.7,103.8,98.2,0.325,0.036,0.495,46.5,63.9,12.2,1.2,0.44,17.4,30.4,0.253,0.537,20.4,65.0,0.171,1983,-8,-8,1,-0.10300000000000004,1,2,0.333,7,9,0.0,0,-6,-10,1,-5,-3,-5
