,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1985-10-26,1,IND,NJN,1,119,92,44,74,0.595,0,0,,31,34,0.912,6,48,27,8,4,27,27,31,79,0.392,0,2,0.0,30,45,0.667,9,32,19,10,0,19,28,110.8,85.6,107.4,0.459,0.0,0.669,60.0,61.4,7.4,5.2,0.595,23.3,20.7,0.419,0.392,16.1,82.4,0.38,1986,27,13,-5,0.20299999999999996,0,-2,,1,-11,0.245,-3,16,8,-2,4,8,-1
1,2,1985-10-30,2,IND,NJN,2,138,147,48,109,0.44,0,1,0.0,42,50,0.84,19,58,24,9,6,22,35,55,121,0.455,0,3,0.0,37,46,0.804,18,65,27,14,6,20,36,102.5,109.2,102.6,0.459,0.009,0.527,47.2,50.0,6.7,5.1,0.44,14.4,28.8,0.385,0.455,12.4,68.4,0.306,1986,-9,-7,-12,-0.015000000000000013,0,-2,0.0,5,4,0.03599999999999992,1,-7,-3,-5,0,2,-1
2,3,1985-11-01,2,IND,DET,2,116,124,44,98,0.449,2,8,0.25,26,30,0.867,13,42,27,9,14,16,38,44,99,0.444,0,1,0.0,36,44,0.818,22,57,24,7,5,14,22,107.6,115.0,107.8,0.306,0.082,0.522,42.4,61.4,8.4,14.3,0.459,12.6,27.1,0.265,0.444,10.6,56.9,0.364,1986,-8,0,-1,0.0050000000000000044,2,7,0.25,-10,-14,0.049000000000000044,-9,-15,3,2,9,2,16
3,4,1985-11-02,1,IND,DET,2,117,128,50,102,0.49,1,6,0.167,16,19,0.842,21,47,28,6,2,16,30,47,86,0.547,0,0,,34,39,0.872,14,43,32,8,2,11,21,116.9,127.9,100.1,0.186,0.059,0.53,52.2,56.0,6.0,2.3,0.495,12.7,42.0,0.157,0.547,9.6,65.0,0.395,1986,-11,3,16,-0.05700000000000005,1,6,,-18,-20,-0.030000000000000027,7,4,-4,-2,0,5,9
4,5,1985-11-06,2,IND,PHI,2,97,105,41,88,0.466,1,4,0.25,14,23,0.609,14,55,23,7,7,24,23,42,97,0.433,0,1,0.0,21,25,0.84,15,49,27,11,8,13,21,92.0,99.6,105.4,0.261,0.045,0.494,52.9,56.1,6.6,7.3,0.472,19.7,29.2,0.159,0.433,10.7,73.2,0.216,1986,-8,-1,-9,0.03300000000000003,1,3,0.25,-7,-2,-0.23099999999999998,-1,6,-4,-4,-1,11,2
5,6,1985-11-09,1,IND,PHO,1,127,105,51,95,0.537,2,2,1.0,23,33,0.697,12,55,33,14,6,17,34,37,89,0.416,0,1,0.0,31,42,0.738,11,47,22,10,3,22,30,110.5,91.3,114.9,0.347,0.021,0.58,53.9,64.7,12.2,6.8,0.547,13.4,25.0,0.242,0.416,17.0,79.6,0.348,1986,22,14,6,0.12100000000000005,2,1,1.0,-8,-9,-0.041000000000000036,1,8,11,4,3,-5,4
6,7,1985-11-13,2,IND,BOS,2,114,118,47,97,0.485,0,2,0.0,20,23,0.87,9,45,24,10,4,20,29,46,102,0.451,0,5,0.0,26,30,0.867,11,49,28,10,3,17,24,97.9,101.3,116.5,0.237,0.021,0.532,47.9,51.1,8.6,4.1,0.485,15.7,19.1,0.206,0.451,12.9,76.6,0.255,1986,-4,1,-5,0.033999999999999975,0,-3,0.0,-6,-7,0.0030000000000000027,-2,-4,-4,0,1,3,5
7,8,1985-11-14,1,IND,CLE,2,104,112,45,97,0.464,0,4,0.0,14,25,0.56,14,51,26,10,2,12,22,45,90,0.5,1,6,0.167,21,28,0.75,8,45,29,9,8,15,24,98.4,106.0,105.7,0.258,0.041,0.481,53.1,57.8,9.5,2.4,0.464,10.0,27.5,0.144,0.506,12.8,82.2,0.233,1986,-8,0,7,-0.035999999999999976,-1,-2,-0.167,-7,-3,-0.18999999999999995,6,6,-3,1,-6,-3,-2
8,9,1985-11-16,1,IND,BOS,1,111,109,49,100,0.49,0,0,,13,19,0.684,20,47,32,9,3,12,21,45,82,0.549,2,3,0.667,17,20,0.85,10,40,31,6,3,18,21,113.8,111.8,97.5,0.19,0.0,0.512,54.0,65.3,9.2,3.8,0.49,10.0,40.0,0.13,0.561,16.5,73.0,0.207,1986,2,4,18,-0.05900000000000005,-2,-3,,-4,-1,-0.16599999999999993,10,7,1,3,0,-6,0
9,10,1985-11-19,2,IND,CHI,2,114,121,44,93,0.473,0,3,0.0,26,35,0.743,12,38,26,5,6,10,22,48,89,0.539,2,2,1.0,23,25,0.92,13,46,31,3,5,10,29,115.5,122.6,98.7,0.376,0.032,0.526,45.2,59.1,5.1,6.9,0.473,8.4,26.7,0.28,0.551,9.1,66.7,0.258,1986,-7,-4,4,-0.06600000000000006,-2,1,-1.0,3,10,-0.17700000000000005,-1,-8,-5,2,1,0,-7
