,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1986-10-31,2,WSB,BOS,2,102,120,37,85,0.435,0,1,0.0,28,36,0.778,20,38,18,10,6,22,25,47,84,0.56,1,4,0.25,25,25,1.0,14,44,31,5,6,18,27,104.3,122.7,97.8,0.424,0.012,0.506,46.3,48.6,10.2,7.5,0.435,17.9,40.0,0.329,0.565,15.9,56.3,0.298,1987,-18,-10,1,-0.12500000000000006,-1,-3,-0.25,3,11,-0.22199999999999998,6,-6,-13,5,0,4,-2
1,2,1986-11-01,2,WSB,CLE,2,106,113,45,97,0.464,1,4,0.25,15,24,0.625,16,45,24,12,8,20,31,46,86,0.535,1,5,0.2,20,30,0.667,11,42,32,8,5,22,22,98.2,104.7,107.9,0.247,0.041,0.493,51.7,53.3,11.1,9.9,0.469,15.7,34.0,0.155,0.541,18.2,72.5,0.233,1987,-7,-1,11,-0.07100000000000001,0,-1,0.04999999999999999,-5,-6,-0.04200000000000004,5,3,-8,4,3,-2,9
2,3,1986-11-04,1,WSB,NJN,1,102,101,37,87,0.425,0,1,0.0,28,32,0.875,17,35,17,9,7,16,20,42,71,0.592,1,1,1.0,16,23,0.696,8,35,27,10,6,23,28,108.1,107.0,94.4,0.368,0.011,0.505,50.0,45.9,9.5,10.0,0.425,13.7,38.6,0.322,0.599,22.1,69.2,0.225,1987,1,-5,16,-0.16699999999999998,-1,0,-1.0,12,9,0.17900000000000005,9,0,-10,-1,1,-7,-8
3,4,1986-11-05,2,WSB,DET,2,85,109,32,80,0.4,0,3,0.0,21,29,0.724,16,42,15,9,7,21,25,44,91,0.484,0,0,,21,30,0.7,20,51,25,9,6,18,25,87.5,112.2,97.1,0.363,0.038,0.458,45.2,46.9,9.3,7.7,0.4,18.5,34.0,0.263,0.484,14.7,56.5,0.231,1987,-24,-12,-11,-0.08399999999999996,0,3,,0,-1,0.02400000000000002,-4,-9,-10,0,1,3,0
4,5,1986-11-07,1,WSB,BOS,2,86,88,33,87,0.379,0,0,,20,26,0.769,17,45,12,11,6,12,17,38,79,0.481,1,5,0.2,11,19,0.579,9,40,25,8,13,15,19,95.6,97.9,89.9,0.299,0.0,0.437,52.9,36.4,12.2,8.1,0.379,10.9,35.4,0.23,0.487,14.7,75.7,0.139,1987,-2,-5,8,-0.10199999999999998,-1,-5,,9,7,0.19000000000000006,8,5,-13,3,-7,-3,-2
5,6,1986-11-08,2,WSB,ATL,2,91,110,35,84,0.417,0,1,0.0,21,35,0.6,14,40,20,4,5,7,23,44,97,0.454,1,9,0.111,21,28,0.75,24,64,23,5,6,9,27,100.3,121.3,90.7,0.417,0.012,0.458,38.5,57.1,4.4,5.7,0.417,6.6,25.9,0.25,0.459,7.6,52.0,0.216,1987,-19,-9,-13,-0.03700000000000003,-1,-8,-0.111,0,7,-0.15000000000000002,-10,-24,-3,-1,-1,-2,-4
6,7,1986-11-12,1,WSB,CHI,1,101,99,38,80,0.475,0,0,,25,34,0.735,11,41,18,5,7,16,21,38,82,0.463,2,3,0.667,21,28,0.75,10,36,25,7,2,13,27,105.9,103.8,95.3,0.425,0.0,0.532,53.2,47.4,5.2,8.9,0.475,14.4,29.7,0.313,0.476,12.1,75.0,0.256,1987,2,0,-2,0.011999999999999955,-2,-3,,4,6,-0.015000000000000013,1,5,-7,-2,5,3,-6
7,8,1986-11-15,2,WSB,NYK,2,97,104,39,91,0.429,0,2,0.0,19,25,0.76,17,40,18,8,4,9,18,44,83,0.53,1,2,0.5,15,21,0.714,14,43,25,5,2,19,21,105.4,113.0,92.0,0.275,0.022,0.475,48.2,46.2,8.7,4.9,0.429,8.1,37.0,0.209,0.536,17.1,62.2,0.181,1987,-7,-5,8,-0.10100000000000003,-1,0,-0.5,4,4,0.04600000000000004,3,-3,-7,3,2,-10,-3
8,9,1986-11-16,1,WSB,IND,1,124,111,44,85,0.518,0,2,0.0,36,49,0.735,17,56,22,7,7,25,19,47,100,0.47,1,3,0.333,16,22,0.727,13,37,26,13,7,15,36,112.2,100.4,110.5,0.576,0.024,0.582,60.2,50.0,6.3,7.2,0.518,19.0,41.5,0.424,0.475,12.0,75.0,0.16,1987,13,-3,-15,0.04800000000000004,-1,-1,-0.333,20,27,0.008000000000000007,4,19,-4,-6,0,10,-17
9,10,1986-11-19,1,WSB,DET,1,119,105,43,82,0.524,0,3,0.0,33,42,0.786,14,44,23,12,6,22,29,37,86,0.43,0,1,0.0,31,40,0.775,19,40,22,9,4,25,29,112.9,99.6,105.4,0.512,0.037,0.592,52.4,53.5,11.4,7.1,0.524,18.0,40.0,0.402,0.43,19.4,61.2,0.36,1987,14,6,-4,0.09400000000000003,0,2,0.0,2,2,0.01100000000000001,-5,4,1,3,2,-3,0
10,11,1986-11-21,1,WSB,HOU,1,115,99,39,82,0.476,0,1,0.0,37,43,0.86,13,45,20,10,10,17,27,36,90,0.4,2,4,0.5,25,32,0.781,19,37,19,10,8,19,28,116.6,100.4,98.6,0.524,0.012,0.57,54.9,51.3,10.1,11.6,0.476,14.4,41.9,0.451,0.411,15.4,62.7,0.278,1987,16,3,-8,0.07599999999999996,-2,-3,-0.5,12,11,0.07899999999999996,-6,8,1,0,2,-2,-1
