,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1987-11-06,1,HOU,SAS,1,108,102,45,93,0.484,0,5,0.0,18,25,0.72,14,41,25,12,4,20,20,45,89,0.506,0,2,0.0,12,14,0.857,13,43,23,12,2,27,25,101.4,95.8,106.5,0.269,0.054,0.519,48.8,55.6,11.3,4.6,0.484,16.1,31.8,0.194,0.506,22.1,67.5,0.135,1988,6,0,4,-0.02200000000000002,0,3,0.0,6,11,-0.137,1,-2,2,0,2,-7,-5
1,2,1987-11-08,2,HOU,LAL,2,92,101,37,95,0.389,2,6,0.333,16,24,0.667,14,36,17,18,7,19,20,40,87,0.46,1,8,0.125,20,27,0.741,19,55,23,5,8,28,21,88.2,96.8,104.4,0.253,0.063,0.436,39.6,45.9,17.2,8.9,0.4,15.3,28.0,0.168,0.466,22.1,53.7,0.23,1988,-9,-3,8,-0.07100000000000001,1,-2,0.20800000000000002,-4,-3,-0.07399999999999995,-5,-19,-6,13,-1,-9,-1
2,3,1987-11-10,2,HOU,POR,1,118,111,45,93,0.484,0,3,0.0,28,35,0.8,20,50,24,11,6,18,21,43,91,0.473,3,4,0.75,22,24,0.917,12,31,28,7,3,22,28,114.2,107.5,103.3,0.376,0.032,0.544,61.7,53.3,10.6,6.9,0.484,14.2,51.3,0.301,0.489,17.8,71.4,0.242,1988,7,2,2,0.01100000000000001,-3,-1,-0.75,6,11,-0.11699999999999999,8,19,-4,4,3,-4,-7
3,4,1987-11-12,2,HOU,SAC,1,116,114,44,91,0.484,2,5,0.4,26,31,0.839,15,35,24,10,5,8,30,43,76,0.566,0,1,0.0,28,35,0.8,13,46,28,5,11,22,29,119.7,117.7,96.9,0.341,0.055,0.554,43.2,54.5,10.3,6.7,0.495,7.1,31.3,0.286,0.566,19.4,60.6,0.368,1988,2,1,15,-0.08199999999999996,2,4,0.4,-2,-4,0.038999999999999924,2,-11,-4,5,-6,-14,1
4,5,1987-11-14,1,HOU,UTA,1,101,93,32,96,0.333,0,2,0.0,37,47,0.787,29,55,13,13,7,12,18,41,75,0.547,0,4,0.0,11,20,0.55,11,48,21,5,7,21,29,106.4,97.9,94.9,0.49,0.021,0.433,53.4,40.6,13.7,9.9,0.333,9.3,43.9,0.385,0.547,20.0,70.3,0.147,1988,8,-9,21,-0.21400000000000002,0,-2,0.0,26,27,0.237,18,7,-8,8,0,-9,-11
5,6,1987-11-15,1,HOU,SEA,1,108,106,38,73,0.521,3,6,0.5,29,40,0.725,13,35,26,11,1,21,23,43,78,0.551,1,2,0.5,19,23,0.826,14,35,31,10,4,22,34,113.5,111.4,95.2,0.548,0.082,0.596,50.0,68.4,11.6,1.3,0.541,18.8,38.2,0.397,0.558,20.0,61.1,0.244,1988,2,-5,-5,-0.030000000000000027,2,4,0.0,10,17,-0.10099999999999998,-1,0,-5,1,-3,-1,-11
6,7,1987-11-17,2,HOU,NJN,2,111,114,44,95,0.463,3,7,0.429,20,26,0.769,13,36,13,10,9,8,28,43,77,0.558,1,1,1.0,27,37,0.73,12,47,24,5,5,18,19,113.3,116.4,98.0,0.274,0.074,0.521,43.4,29.5,10.2,11.8,0.479,7.0,27.1,0.211,0.565,16.2,65.7,0.351,1988,-3,1,18,-0.09500000000000003,2,6,-0.571,-7,-11,0.039000000000000035,1,-11,-11,5,4,-10,9
7,8,1987-11-19,2,HOU,CLE,1,105,97,40,81,0.494,0,2,0.0,25,33,0.758,12,42,23,16,7,22,26,36,79,0.456,0,3,0.0,25,33,0.758,14,42,22,17,3,23,28,103.1,95.3,101.8,0.407,0.025,0.55,50.0,57.5,15.7,9.2,0.494,18.7,30.0,0.309,0.456,19.7,68.2,0.316,1988,8,4,2,0.03799999999999998,0,-1,0.0,0,0,0.0,-2,0,1,-1,4,-1,-2
8,9,1987-11-21,2,HOU,ATL,2,94,104,39,77,0.506,1,5,0.2,15,18,0.833,11,34,26,7,8,17,22,43,88,0.489,1,2,0.5,17,27,0.63,17,48,31,14,3,12,17,103.9,115.0,90.4,0.234,0.065,0.553,41.5,66.7,7.7,9.3,0.513,16.7,26.2,0.195,0.494,10.7,57.5,0.193,1988,-10,-4,-11,0.017000000000000015,0,3,-0.3,-2,-9,0.20299999999999996,-6,-14,-5,-7,5,5,5
9,10,1987-11-24,1,HOU,DET,2,83,97,30,84,0.357,4,16,0.25,19,29,0.655,19,45,16,4,4,18,24,37,81,0.457,0,2,0.0,23,31,0.742,14,50,22,9,5,16,22,89.0,104.0,93.3,0.345,0.19,0.429,47.4,53.3,4.3,5.1,0.381,15.7,34.5,0.226,0.457,14.5,65.0,0.284,1988,-14,-7,3,-0.10000000000000003,4,14,0.25,-4,-2,-0.08699999999999997,5,-5,-6,-5,-1,2,2
