,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1987-11-06,1,LAL,SEA,1,113,109,37,76,0.487,2,5,0.4,37,45,0.822,12,45,21,9,4,23,20,46,98,0.469,1,6,0.167,16,22,0.727,17,46,24,15,4,19,35,106.8,103.0,105.8,0.592,0.066,0.59,49.5,56.8,8.5,4.3,0.5,19.4,29.3,0.487,0.474,15.0,66.0,0.163,1988,4,-9,-22,0.018000000000000016,1,-1,0.233,21,23,0.09499999999999997,-5,-1,-3,-6,0,4,-15
1,2,1987-11-08,1,LAL,HOU,1,101,92,40,87,0.46,1,8,0.125,20,27,0.741,19,55,23,5,8,28,21,37,95,0.389,2,6,0.333,16,24,0.667,14,36,17,18,7,19,20,96.8,88.2,104.4,0.31,0.092,0.511,60.4,57.5,4.8,9.0,0.466,22.1,46.3,0.23,0.4,15.3,72.0,0.168,1988,9,3,-8,0.07100000000000001,-1,2,-0.20800000000000002,4,3,0.07399999999999995,5,19,6,-13,1,9,1
2,3,1987-11-10,2,LAL,SAS,1,133,124,52,93,0.559,2,5,0.4,27,33,0.818,16,48,33,5,6,24,27,54,97,0.557,0,2,0.0,16,24,0.667,10,38,33,14,10,15,29,118.3,110.3,112.4,0.355,0.054,0.618,55.8,63.5,4.4,6.3,0.57,18.2,36.4,0.29,0.557,12.2,76.2,0.165,1988,9,-2,-4,0.0020000000000000018,2,3,0.4,11,9,0.1509999999999999,6,10,0,-9,-4,9,-2
3,4,1987-11-12,1,LAL,LAC,1,111,82,41,86,0.477,2,6,0.333,27,34,0.794,10,54,29,5,6,13,18,34,96,0.354,1,4,0.25,13,20,0.65,13,41,23,7,5,9,22,112.2,82.9,98.9,0.395,0.07,0.55,56.8,70.7,5.1,6.5,0.488,11.4,26.3,0.314,0.359,7.9,77.2,0.135,1988,29,7,-10,0.123,1,2,0.08300000000000002,14,14,0.14400000000000002,-3,13,6,-2,1,4,-4
4,5,1987-11-14,2,LAL,GSW,1,118,110,45,85,0.529,2,6,0.333,26,34,0.765,9,38,26,6,2,16,20,48,97,0.495,1,6,0.167,13,17,0.765,12,35,26,8,2,11,28,116.8,108.9,101.0,0.4,0.071,0.59,52.1,57.8,5.9,2.2,0.541,13.8,28.1,0.306,0.5,9.5,70.7,0.134,1988,8,-3,-12,0.03400000000000003,1,0,0.166,13,17,0.0,-3,3,0,-2,0,5,-8
5,6,1987-11-15,1,LAL,SAS,1,147,130,57,105,0.543,1,5,0.2,32,42,0.762,21,58,37,10,8,14,26,48,107,0.449,3,6,0.5,31,37,0.838,21,47,29,10,7,17,30,128.5,113.6,114.4,0.4,0.048,0.595,55.2,64.9,8.7,7.9,0.548,10.2,44.7,0.305,0.463,12.1,63.8,0.29,1988,17,9,-2,0.09400000000000003,-2,-1,-0.3,1,5,-0.07599999999999996,0,11,8,0,1,-3,-4
6,7,1987-11-17,1,LAL,POR,1,142,115,54,94,0.574,4,8,0.5,30,40,0.75,16,50,35,10,6,20,24,44,99,0.444,3,8,0.375,24,27,0.889,21,46,22,12,9,23,26,127.0,102.8,111.8,0.426,0.085,0.636,52.1,64.8,8.9,6.6,0.596,15.2,39.0,0.319,0.46,17.2,61.8,0.242,1988,27,10,-5,0.12999999999999995,1,0,0.125,6,13,-0.139,-5,4,13,-2,-3,-3,-2
7,8,1987-11-20,1,LAL,DAL,1,119,116,48,82,0.585,5,7,0.714,18,27,0.667,12,41,31,6,3,20,24,49,90,0.544,1,5,0.2,17,22,0.773,11,34,35,12,4,14,20,118.4,115.4,100.5,0.329,0.085,0.634,54.7,64.6,6.0,3.5,0.616,17.6,34.3,0.22,0.55,12.3,72.5,0.189,1988,3,-1,-8,0.040999999999999925,4,2,0.514,1,5,-0.10599999999999998,1,7,-4,-6,-1,6,4
8,9,1987-11-22,1,LAL,MIL,2,116,124,49,101,0.485,1,10,0.1,17,22,0.773,14,45,30,5,6,14,22,51,102,0.5,2,5,0.4,20,29,0.69,22,56,31,9,3,14,19,109.2,116.7,96.2,0.218,0.099,0.524,44.6,61.2,4.7,6.2,0.49,11.2,29.2,0.168,0.51,10.9,58.5,0.196,1988,-8,-2,-1,-0.015000000000000013,-1,5,-0.30000000000000004,-3,-7,0.08300000000000007,-8,-11,-1,-4,3,0,3
9,10,1987-11-24,2,LAL,SEA,2,85,103,30,79,0.38,1,8,0.125,24,27,0.889,10,37,16,6,3,24,25,39,85,0.459,2,6,0.333,23,30,0.767,13,46,23,8,7,15,26,86.0,104.2,98.8,0.342,0.101,0.468,44.6,53.3,6.1,3.8,0.386,20.9,23.3,0.304,0.471,13.3,67.5,0.271,1988,-18,-9,-6,-0.07900000000000001,-1,2,-0.20800000000000002,1,-3,0.122,-3,-9,-7,-2,-4,9,-1
