,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1989-11-03,1,UTA,DEN,1,122,113,51,82,0.622,2,4,0.5,18,28,0.643,7,48,35,6,13,23,35,42,100,0.42,2,10,0.2,27,36,0.75,9,36,25,6,6,11,22,109.1,101.1,111.8,0.341,0.049,0.647,57.1,68.6,5.4,14.4,0.634,19.6,20.6,0.22,0.43,8.7,82.0,0.27,1990,9,9,-18,0.202,0,-6,0.3,-9,-8,-0.10699999999999998,-2,12,10,0,7,12,13
1,2,1989-11-08,1,UTA,CHH,1,102,86,44,93,0.473,0,3,0.0,14,18,0.778,16,47,29,15,2,22,24,35,76,0.461,2,5,0.4,14,21,0.667,8,38,22,12,5,25,23,99.8,84.2,102.2,0.194,0.032,0.505,55.3,65.9,14.7,2.8,0.473,17.9,34.8,0.151,0.474,22.7,79.5,0.184,1990,16,9,17,0.011999999999999955,-2,-2,-0.4,0,-3,0.11099999999999999,8,9,7,3,-3,-3,1
2,3,1989-11-10,1,UTA,SAS,1,106,92,39,76,0.513,1,2,0.5,27,38,0.711,7,33,26,11,7,21,27,37,87,0.425,0,1,0.0,18,23,0.783,21,43,15,8,8,23,29,107.1,93.0,99.0,0.5,0.026,0.572,43.4,66.7,11.1,8.1,0.52,18.5,24.1,0.355,0.425,19.1,55.3,0.207,1990,14,2,-11,0.08800000000000002,1,1,0.5,9,15,-0.07200000000000006,-14,-10,11,3,-1,-2,-2
3,4,1989-11-11,2,UTA,HOU,2,92,100,36,83,0.434,4,11,0.364,16,31,0.516,13,47,21,9,3,19,21,40,88,0.455,1,6,0.167,19,30,0.633,17,55,24,8,14,18,25,90.9,98.8,101.2,0.373,0.133,0.476,46.1,58.3,8.9,3.7,0.458,16.4,25.5,0.193,0.46,15.1,66.7,0.216,1990,-8,-4,-5,-0.02100000000000002,3,5,0.19699999999999998,-3,1,-0.11699999999999999,-4,-8,-3,1,-11,1,-4
4,5,1989-11-13,1,UTA,WSB,1,106,93,39,98,0.398,2,3,0.667,26,35,0.743,20,58,26,9,9,16,22,36,95,0.379,1,1,1.0,20,25,0.8,17,55,22,4,7,16,26,102.1,89.5,103.9,0.357,0.031,0.467,51.3,66.7,8.7,9.6,0.408,12.4,34.5,0.265,0.384,13.1,69.1,0.211,1990,13,3,3,0.019000000000000017,1,2,-0.33299999999999996,6,10,-0.05700000000000005,3,3,4,5,2,0,-4
5,6,1989-11-15,1,UTA,CHI,1,108,107,40,78,0.513,1,2,0.5,27,37,0.73,12,40,24,10,5,15,25,37,85,0.435,0,5,0.0,33,41,0.805,15,41,19,10,6,14,28,112.2,111.2,96.2,0.474,0.026,0.573,49.4,60.0,10.4,6.3,0.519,13.7,31.6,0.346,0.435,12.0,65.1,0.388,1990,1,3,-7,0.07800000000000001,1,-3,0.5,-6,-4,-0.07500000000000007,-3,-1,5,0,-1,1,-3
6,7,1989-11-17,1,UTA,IND,1,114,100,45,89,0.506,5,8,0.625,19,32,0.594,15,46,30,15,2,21,32,32,69,0.464,2,8,0.25,34,40,0.85,7,28,17,13,7,23,20,111.8,98.1,101.9,0.36,0.09,0.553,62.2,66.7,14.7,3.3,0.534,16.9,41.7,0.213,0.478,21.0,81.6,0.493,1990,14,13,20,0.04199999999999998,3,0,0.375,-15,-8,-0.256,8,18,13,2,-5,-2,12
7,8,1989-11-21,2,UTA,MIN,1,103,101,39,70,0.557,2,6,0.333,23,30,0.767,11,30,30,7,3,21,26,38,80,0.475,1,3,0.333,24,30,0.8,15,33,26,13,6,16,24,115.3,113.1,80.9,0.429,0.086,0.619,47.6,76.9,7.8,3.9,0.571,20.2,37.9,0.329,0.481,14.7,55.9,0.3,1990,2,1,-10,0.08200000000000007,1,3,0.0,-1,0,-0.03300000000000003,-4,-3,4,-6,-3,5,2
8,9,1989-11-22,1,UTA,ORL,2,97,119,38,87,0.437,2,5,0.4,19,23,0.826,11,38,26,8,9,19,22,49,93,0.527,2,4,0.5,19,22,0.864,11,43,33,11,7,12,20,96.1,117.8,101.0,0.264,0.057,0.499,46.9,68.4,7.9,10.1,0.448,16.4,25.6,0.218,0.538,10.5,71.1,0.204,1990,-22,-11,-6,-0.09000000000000002,0,1,-0.09999999999999998,0,1,-0.038000000000000034,0,-5,-7,-3,2,7,2
9,10,1989-11-25,1,UTA,LAL,2,86,92,34,72,0.472,2,7,0.286,16,22,0.727,11,36,16,6,6,16,19,36,76,0.474,4,6,0.667,16,20,0.8,10,34,20,6,5,15,21,100.7,107.7,85.4,0.306,0.097,0.526,51.4,47.1,7.0,8.6,0.486,16.4,31.4,0.222,0.5,15.0,71.4,0.211,1990,-6,-2,-4,-0.0020000000000000018,-2,1,-0.38100000000000006,0,2,-0.07300000000000006,1,2,-4,0,1,1,-2
