,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1991-11-01,1,SAS,DAL,1,140,99,53,93,0.57,2,7,0.286,32,34,0.941,12,47,38,8,9,10,24,41,81,0.506,0,6,0.0,17,28,0.607,5,24,20,5,5,13,26,140.1,99.1,99.9,0.366,0.075,0.648,66.2,71.7,8.0,12.0,0.581,8.5,38.7,0.344,0.506,12.2,87.5,0.21,1992,41,12,12,0.06399999999999995,2,1,0.286,15,6,0.33399999999999996,7,23,18,3,4,-3,-2
1,2,1991-11-03,2,SAS,SEA,1,106,98,40,77,0.519,1,3,0.333,25,32,0.781,10,34,31,13,7,18,27,37,81,0.457,3,13,0.231,21,25,0.84,14,40,20,8,4,21,25,110.7,102.4,95.7,0.416,0.039,0.582,45.9,77.5,13.6,10.3,0.526,16.5,27.8,0.325,0.475,18.6,63.2,0.259,1992,8,3,-4,0.062,-2,-10,0.10200000000000001,4,7,-0.05899999999999994,-4,-6,11,5,3,-3,2
2,3,1991-11-05,2,SAS,DEN,2,96,97,34,83,0.41,0,1,0.0,28,35,0.8,11,53,14,9,5,22,26,33,89,0.371,3,4,0.75,28,39,0.718,13,45,17,14,7,14,24,91.4,92.4,105.0,0.422,0.012,0.488,54.1,41.2,8.6,5.9,0.41,18.3,25.6,0.337,0.388,11.7,76.4,0.315,1992,-1,1,-6,0.03899999999999998,-3,-3,-0.75,0,-4,0.08200000000000007,-2,8,-3,-5,-2,8,2
3,4,1991-11-06,1,SAS,POR,1,119,93,43,83,0.518,4,9,0.444,29,38,0.763,10,42,28,11,2,11,25,34,90,0.378,3,14,0.214,22,29,0.759,16,44,21,8,4,19,29,119.9,93.7,99.3,0.458,0.108,0.597,48.8,65.1,11.1,2.6,0.542,9.9,26.3,0.349,0.394,15.6,66.7,0.244,1992,26,9,-7,0.14,1,-5,0.23,7,9,0.0040000000000000036,-6,-2,7,3,-2,-8,-4
4,5,1991-11-08,1,SAS,CLE,1,107,101,42,91,0.462,1,4,0.25,22,27,0.815,14,56,23,9,12,21,25,40,95,0.421,3,8,0.375,18,26,0.692,8,41,16,12,9,15,26,98.1,92.6,98.8,0.297,0.044,0.52,57.7,54.8,8.3,13.8,0.467,17.0,29.8,0.242,0.437,12.4,84.0,0.189,1992,6,2,-4,0.041000000000000036,-2,-4,-0.125,4,1,0.123,6,15,7,-3,3,6,-1
5,6,1991-11-13,1,SAS,LAC,1,107,93,42,89,0.472,2,3,0.667,21,28,0.75,16,53,25,7,5,16,22,36,86,0.419,3,10,0.3,18,22,0.818,7,38,27,7,9,15,21,106.8,92.8,100.2,0.315,0.034,0.528,58.2,59.5,7.0,6.6,0.483,13.6,34.0,0.236,0.436,13.6,84.1,0.209,1992,14,6,3,0.05299999999999999,-1,-7,0.36700000000000005,3,6,-0.06799999999999995,9,15,-2,0,-4,1,1
6,7,1991-11-16,1,SAS,NYK,1,106,89,44,81,0.543,1,4,0.25,17,22,0.773,7,32,32,19,11,18,23,36,87,0.414,1,5,0.2,16,21,0.762,21,48,20,12,5,26,20,108.1,90.8,98.1,0.272,0.049,0.584,40.0,72.7,19.4,13.4,0.549,16.6,20.6,0.21,0.42,21.3,54.3,0.184,1992,17,8,-6,0.12900000000000006,0,-1,0.04999999999999999,1,1,0.01100000000000001,-14,-16,12,7,6,-8,3
7,8,1991-11-20,1,SAS,MIN,1,113,106,46,87,0.529,3,7,0.429,18,26,0.692,17,49,30,11,11,19,28,42,86,0.488,2,3,0.667,20,32,0.625,14,37,26,10,7,16,22,114.0,106.9,99.1,0.299,0.08,0.574,57.0,65.2,11.1,13.3,0.546,16.2,42.5,0.207,0.5,13.8,69.6,0.233,1992,7,4,1,0.041000000000000036,1,4,-0.23800000000000004,-2,-6,0.06699999999999995,3,12,4,1,4,3,6
8,9,1991-11-22,2,SAS,LAL,2,96,98,37,89,0.416,3,8,0.375,19,26,0.731,18,50,29,6,8,16,27,34,85,0.4,3,10,0.3,27,36,0.75,16,43,20,9,8,13,21,102.5,104.6,93.7,0.292,0.09,0.478,53.8,78.4,6.4,10.7,0.433,13.7,40.0,0.213,0.418,11.4,66.7,0.318,1992,-2,3,4,0.01599999999999996,0,-2,0.07500000000000001,-8,-10,-0.019000000000000017,2,7,9,-3,0,3,6
9,10,1991-11-24,2,SAS,POR,2,111,116,44,95,0.463,2,5,0.4,21,28,0.75,21,59,28,4,9,17,27,38,101,0.376,7,14,0.5,33,43,0.767,26,54,22,10,7,6,21,112.9,118.0,98.3,0.295,0.053,0.517,52.2,63.6,4.1,10.3,0.474,13.7,42.9,0.221,0.411,4.8,59.4,0.327,1992,-5,6,-6,0.08700000000000002,-5,-9,-0.09999999999999998,-12,-15,-0.017000000000000015,-5,5,6,-6,2,11,6
