,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1993-11-05,1,CHH,CHI,2,123,124,49,99,0.495,5,13,0.385,20,26,0.769,10,44,31,7,4,13,30,50,90,0.556,2,6,0.333,22,35,0.629,12,43,27,6,4,16,28,112.7,113.7,98.8,0.263,0.131,0.557,50.6,63.3,6.4,4.8,0.52,10.5,24.4,0.202,0.567,13.2,73.9,0.244,1994,-1,-1,9,-0.061000000000000054,3,7,0.05199999999999999,-2,-9,0.14,-2,1,4,1,0,-3,2
1,2,1993-11-06,2,CHH,MIL,1,120,103,42,81,0.519,6,12,0.5,30,43,0.698,13,50,29,7,9,14,20,40,104,0.385,3,15,0.2,20,28,0.714,22,50,24,9,4,11,30,120.2,103.2,99.8,0.531,0.148,0.6,50.0,69.0,7.0,10.1,0.556,12.3,31.7,0.37,0.399,8.6,62.7,0.192,1994,17,2,-23,0.134,3,-3,0.3,10,15,-0.016000000000000014,-9,0,5,-2,5,3,-10
2,3,1993-11-09,2,CHH,CLE,2,108,113,42,83,0.506,0,5,0.0,24,29,0.828,9,40,29,8,7,16,20,43,84,0.512,4,8,0.5,23,30,0.767,10,40,28,11,6,13,18,108.7,113.7,99.4,0.349,0.06,0.564,50.0,69.0,8.0,9.2,0.506,14.3,23.1,0.289,0.536,11.8,75.6,0.274,1994,-5,-1,-1,-0.006000000000000005,-4,-3,-0.5,1,-1,0.06099999999999994,-1,0,1,-3,1,3,2
3,4,1993-11-11,1,CHH,ORL,1,120,87,45,82,0.549,3,13,0.231,27,37,0.73,10,49,33,9,2,14,27,32,81,0.395,5,19,0.263,18,35,0.514,17,40,16,6,2,20,29,121.3,87.9,98.9,0.451,0.159,0.611,55.1,73.3,9.1,3.2,0.567,12.5,30.3,0.329,0.426,17.2,69.6,0.222,1994,33,13,1,0.15400000000000003,-2,-6,-0.032,9,2,0.21599999999999997,-7,9,17,3,0,-6,-2
4,5,1993-11-12,2,CHH,BOS,1,110,107,37,72,0.514,3,7,0.429,33,42,0.786,10,45,25,3,3,17,21,47,101,0.465,1,5,0.2,12,19,0.632,14,37,25,8,7,7,27,113.7,110.6,96.8,0.583,0.097,0.608,54.9,67.6,3.1,3.1,0.535,15.8,30.3,0.458,0.47,6.0,71.4,0.119,1994,3,-10,-29,0.04899999999999999,2,2,0.22899999999999998,21,23,0.15400000000000003,-4,8,0,-5,-4,10,-6
5,6,1993-11-16,2,CHH,IND,1,102,93,42,81,0.519,4,7,0.571,14,22,0.636,12,48,27,9,5,20,18,42,101,0.416,1,4,0.25,8,12,0.667,24,49,26,11,8,12,18,108.0,98.5,94.4,0.272,0.086,0.562,49.5,64.3,9.5,5.2,0.543,18.1,32.4,0.173,0.421,10.1,60.0,0.079,1994,9,0,-20,0.10300000000000004,3,3,0.32099999999999995,6,10,-0.031000000000000028,-12,-1,1,-2,-3,8,0
6,7,1993-11-17,1,CHH,SAC,1,130,113,49,82,0.598,9,11,0.818,23,27,0.852,6,41,28,6,11,18,21,45,108,0.417,5,12,0.417,18,19,0.947,18,43,27,8,6,11,18,125.2,108.8,103.8,0.329,0.134,0.692,48.8,57.1,5.8,11.5,0.652,16.1,19.4,0.28,0.44,8.6,66.0,0.167,1994,17,4,-26,0.181,4,-1,0.40099999999999997,5,8,-0.09499999999999997,-12,-2,1,-2,5,7,3
7,8,1993-11-19,1,CHH,WSB,1,127,111,50,90,0.556,3,13,0.231,24,36,0.667,14,49,36,6,3,13,27,42,91,0.462,1,5,0.2,26,35,0.743,16,37,26,4,4,13,25,125.8,110.0,100.9,0.4,0.144,0.6,57.0,72.0,5.9,3.5,0.572,10.9,40.0,0.267,0.467,10.9,68.6,0.286,1994,16,8,-1,0.09400000000000003,2,8,0.031,-2,1,-0.07599999999999996,-2,12,10,2,-1,0,2
8,9,1993-11-20,2,CHH,ATL,2,91,96,38,84,0.452,3,9,0.333,12,16,0.75,13,46,21,6,3,16,21,38,95,0.4,3,16,0.188,17,20,0.85,18,53,21,11,5,10,21,98.6,104.0,92.3,0.19,0.107,0.5,46.5,55.3,6.5,3.8,0.47,14.9,27.1,0.143,0.416,8.8,64.7,0.179,1994,-5,0,-11,0.05199999999999999,0,-7,0.14500000000000002,-5,-4,-0.09999999999999998,-5,-7,0,-5,-2,6,0
9,10,1993-11-23,2,CHH,WSB,2,98,118,38,76,0.5,3,14,0.214,19,29,0.655,16,47,26,8,8,33,25,46,99,0.465,1,10,0.1,25,29,0.862,21,44,33,17,5,14,23,95.3,114.8,102.8,0.382,0.184,0.552,51.6,68.4,7.8,9.0,0.52,27.1,41.0,0.25,0.47,11.1,59.6,0.253,1994,-20,-8,-23,0.034999999999999976,2,4,0.11399999999999999,-6,0,-0.20699999999999996,-5,3,-7,-9,3,19,2
10,11,1993-11-24,1,CHH,LAL,1,141,124,54,96,0.563,1,8,0.125,32,39,0.821,19,63,40,3,5,17,22,52,108,0.481,6,10,0.6,14,21,0.667,14,36,28,7,3,8,27,129.5,113.9,108.9,0.406,0.083,0.623,63.6,74.1,2.8,5.1,0.568,13.1,46.3,0.333,0.509,6.4,75.9,0.13,1994,17,2,-12,0.08199999999999996,-5,-2,-0.475,18,18,0.15399999999999991,5,27,12,-4,2,9,-5
11,12,1993-11-26,1,CHH,MIL,1,110,99,39,80,0.488,4,9,0.444,28,42,0.667,10,52,26,7,10,13,23,35,96,0.365,1,14,0.071,28,33,0.848,17,50,21,4,4,11,29,109.5,98.5,100.5,0.525,0.113,0.558,51.0,66.7,7.0,12.2,0.513,11.7,23.3,0.35,0.37,9.1,71.2,0.292,1994,11,4,-16,0.123,3,-5,0.373,0,9,-0.18099999999999994,-7,2,5,3,6,2,-6
12,13,1993-11-27,2,CHH,MIA,2,100,114,37,94,0.394,3,13,0.231,23,29,0.793,21,41,20,12,5,11,29,42,87,0.483,4,14,0.286,26,29,0.897,24,55,26,5,4,16,25,110.9,126.5,90.2,0.309,0.138,0.468,42.7,54.1,13.3,6.8,0.41,9.3,40.4,0.245,0.506,13.8,45.5,0.299,1994,-14,-5,7,-0.08899999999999997,-1,-1,-0.054999999999999966,-3,0,-0.10399999999999998,-3,-14,-6,7,1,-5,4
13,14,1993-12-01,1,CHH,SAS,2,88,92,32,85,0.376,6,16,0.375,18,25,0.72,15,41,22,10,5,13,18,40,85,0.471,1,6,0.167,11,17,0.647,15,55,28,6,10,15,16,96.9,101.3,90.9,0.294,0.188,0.458,42.7,68.8,11.0,6.3,0.412,11.9,27.3,0.212,0.476,14.0,63.4,0.129,1994,-4,-8,0,-0.09499999999999997,5,10,0.208,7,8,0.07299999999999995,0,-14,-6,4,-5,-2,2
14,15,1993-12-03,2,CHH,DEN,2,94,102,40,99,0.404,1,12,0.083,13,18,0.722,16,49,17,10,10,13,25,38,96,0.396,3,7,0.429,23,31,0.742,21,58,23,7,10,12,18,95.7,103.9,98.2,0.182,0.121,0.44,45.8,42.5,10.2,11.2,0.409,10.8,30.2,0.131,0.411,9.9,61.1,0.24,1994,-8,2,3,0.008000000000000007,-2,5,-0.346,-10,-13,-0.020000000000000018,-5,-9,-6,3,0,1,7
