,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1993-11-05,1,CLE,MIL,2,91,94,34,71,0.479,3,11,0.273,20,31,0.645,15,47,25,9,11,22,18,38,94,0.404,5,13,0.385,13,15,0.867,20,44,24,10,8,19,24,97.8,101.0,93.1,0.437,0.155,0.538,51.6,73.5,9.7,13.6,0.5,20.6,38.5,0.282,0.431,15.9,61.5,0.138,1994,-3,-4,-23,0.07499999999999996,-2,-2,-0.11199999999999999,7,16,-0.22199999999999998,-5,3,1,-1,3,3,-6
1,2,1993-11-07,1,CLE,NYK,2,107,115,39,78,0.5,5,16,0.313,24,31,0.774,10,36,29,8,8,20,35,43,93,0.462,3,11,0.273,26,30,0.867,20,46,35,13,2,16,26,108.9,117.0,89.0,0.397,0.205,0.584,43.9,74.4,8.1,9.8,0.532,17.9,27.8,0.308,0.478,13.1,56.5,0.28,1994,-8,-4,-15,0.03799999999999998,2,5,0.03999999999999998,-2,1,-0.09299999999999997,-10,-10,-6,-5,6,4,9
2,3,1993-11-09,1,CLE,CHH,1,113,108,43,84,0.512,4,8,0.5,23,30,0.767,10,40,28,11,6,13,18,42,83,0.506,0,5,0.0,24,29,0.828,9,40,29,8,7,16,20,113.7,108.7,99.4,0.357,0.095,0.581,50.0,65.1,11.1,7.7,0.536,11.8,24.4,0.274,0.506,14.3,76.9,0.289,1994,5,1,1,0.006000000000000005,4,3,0.5,-1,1,-0.06099999999999994,1,0,-1,3,-1,-3,-2
3,4,1993-11-11,2,CLE,SEA,2,102,115,34,76,0.447,6,14,0.429,28,35,0.8,18,33,22,9,2,23,25,42,73,0.575,5,10,0.5,26,33,0.788,11,31,24,12,11,20,25,110.9,125.1,91.9,0.461,0.184,0.558,51.6,64.7,9.8,3.2,0.487,20.1,47.4,0.368,0.61,18.6,57.7,0.356,1994,-13,-8,3,-0.12799999999999995,1,4,-0.07100000000000001,2,2,0.01200000000000001,7,2,-2,-3,-9,3,0
4,5,1993-11-12,2,CLE,GSW,1,102,93,42,75,0.56,1,5,0.2,17,23,0.739,8,38,29,8,5,13,25,38,79,0.481,4,12,0.333,13,25,0.52,13,34,24,4,3,17,19,113.2,103.2,90.1,0.307,0.067,0.599,52.8,69.0,8.9,7.5,0.567,13.2,27.6,0.227,0.506,15.9,69.8,0.165,1994,9,4,-4,0.07900000000000007,-3,-7,-0.133,4,-2,0.21899999999999997,-5,4,5,4,2,-4,6
5,6,1993-11-14,2,CLE,LAL,2,100,107,33,78,0.423,3,12,0.25,31,39,0.795,11,35,24,5,2,12,26,40,80,0.5,1,8,0.125,26,34,0.765,11,41,19,7,5,9,27,110.0,117.7,90.9,0.5,0.154,0.525,46.1,72.7,5.5,2.8,0.442,11.2,26.8,0.397,0.506,8.7,68.6,0.325,1994,-7,-7,-2,-0.07700000000000001,2,4,0.125,5,5,0.030000000000000027,0,-6,5,-2,-3,3,-1
6,7,1993-11-16,2,CLE,POR,1,101,96,40,78,0.513,4,14,0.286,17,26,0.654,9,37,25,8,3,15,26,41,86,0.477,2,7,0.286,12,21,0.571,14,37,28,6,3,12,26,110.8,105.3,91.2,0.333,0.179,0.565,50.0,62.5,8.8,3.8,0.538,14.4,28.1,0.218,0.488,11.2,66.7,0.14,1994,5,-1,-8,0.03600000000000003,2,7,0.0,5,5,0.08300000000000007,-5,0,-3,2,0,3,0
7,8,1993-11-18,2,CLE,DEN,2,93,100,34,82,0.415,3,13,0.231,22,30,0.733,12,42,16,11,1,14,26,40,80,0.5,0,3,0.0,20,34,0.588,10,44,20,9,8,15,22,96.6,103.9,96.3,0.366,0.159,0.488,48.8,47.1,11.4,1.3,0.433,12.8,26.1,0.268,0.5,13.6,75.0,0.25,1994,-7,-6,2,-0.08500000000000002,3,10,0.231,2,-4,0.14500000000000002,2,-2,-4,2,-7,-1,4
8,9,1993-11-20,2,CLE,PHO,2,96,112,37,78,0.474,2,8,0.25,20,25,0.8,9,34,26,3,5,10,22,44,90,0.489,2,14,0.143,22,29,0.759,16,46,28,3,7,7,22,108.3,126.4,88.6,0.321,0.103,0.539,42.5,70.3,3.4,6.6,0.487,10.1,23.1,0.256,0.5,6.4,61.0,0.244,1994,-16,-7,-12,-0.015000000000000013,0,-6,0.10700000000000001,-2,-4,0.041000000000000036,-7,-12,-2,0,-2,3,0
9,10,1993-11-24,1,CLE,WSB,1,113,107,45,84,0.536,6,9,0.667,17,24,0.708,11,34,31,9,3,14,20,44,84,0.524,2,11,0.182,17,24,0.708,14,41,29,9,4,18,20,118.4,112.1,95.5,0.286,0.107,0.598,45.3,68.9,9.4,4.1,0.571,12.9,28.9,0.202,0.536,16.0,62.2,0.202,1994,6,1,0,0.01200000000000001,4,-2,0.48500000000000004,0,0,0.0,-3,-7,2,0,-1,-4,0
