,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1995-11-03,2,MIL,BOS,1,101,100,39,86,0.453,2,8,0.25,21,30,0.7,17,51,19,9,5,13,26,37,79,0.468,2,14,0.143,24,34,0.706,12,44,20,6,7,13,23,107.8,106.7,93.7,0.349,0.093,0.509,53.7,48.7,9.6,7.7,0.465,11.6,34.7,0.244,0.481,12.2,73.9,0.304,1996,1,2,7,-0.015000000000000013,0,-6,0.10700000000000001,-3,-4,-0.006000000000000005,5,7,-1,3,-2,0,3
1,2,1995-11-04,1,MIL,NYK,2,71,84,27,77,0.351,3,13,0.231,14,18,0.778,10,34,18,9,0,17,24,31,75,0.413,3,10,0.3,19,27,0.704,17,49,20,9,6,20,16,81.3,96.1,87.4,0.234,0.169,0.418,41.0,66.7,10.3,0.0,0.37,16.7,23.8,0.182,0.433,18.7,58.5,0.253,1996,-13,-4,2,-0.062,0,3,-0.06899999999999998,-5,-9,0.07400000000000007,-7,-15,-2,0,-6,-3,8
2,3,1995-11-07,2,MIL,HOU,2,89,106,32,84,0.381,6,18,0.333,19,22,0.864,14,43,13,9,2,15,27,39,85,0.459,6,19,0.316,22,30,0.733,16,52,20,11,5,12,19,96.9,115.4,91.9,0.262,0.214,0.475,45.3,40.6,9.8,3.0,0.417,13.8,28.0,0.226,0.494,10.9,64.4,0.259,1996,-17,-7,-1,-0.07800000000000001,0,-1,0.017000000000000015,-3,-8,0.131,-2,-9,-7,-2,-3,3,8
3,4,1995-11-09,2,MIL,DAL,2,94,104,41,87,0.471,3,11,0.273,9,13,0.692,14,37,20,11,2,13,13,44,84,0.524,11,23,0.478,5,5,1.0,10,39,23,4,6,19,13,103.7,114.8,90.6,0.149,0.126,0.507,48.7,48.8,12.1,3.3,0.489,12.3,32.6,0.103,0.589,18.1,69.7,0.06,1996,-10,-3,3,-0.05300000000000005,-8,-12,-0.20499999999999996,4,8,-0.30800000000000005,4,-2,-3,7,-4,-6,0
4,5,1995-11-10,2,MIL,SAS,2,90,104,33,84,0.393,3,15,0.2,21,27,0.778,17,46,13,4,3,12,33,40,74,0.541,5,12,0.417,19,38,0.5,8,42,26,10,8,11,22,99.5,115.0,90.5,0.321,0.179,0.469,52.3,39.4,4.4,4.8,0.411,11.1,33.3,0.25,0.574,10.8,78.4,0.257,1996,-14,-7,10,-0.14800000000000002,-2,3,-0.21699999999999997,2,-11,0.278,9,4,-13,-6,-5,1,11
5,6,1995-11-14,1,MIL,SAS,1,98,84,35,84,0.417,6,19,0.316,22,28,0.786,11,43,21,8,0,10,23,32,70,0.457,7,17,0.412,13,24,0.542,6,40,22,4,0,18,24,106.8,91.5,91.8,0.333,0.226,0.509,51.8,60.0,8.7,0.0,0.452,9.4,24.4,0.262,0.507,18.3,84.2,0.186,1996,14,3,14,-0.040000000000000036,-1,2,-0.09599999999999997,9,4,0.244,5,3,-1,4,0,-8,-1
6,7,1995-11-16,1,MIL,HOU,2,87,115,38,102,0.373,8,17,0.471,3,5,0.6,19,49,20,4,1,8,17,44,86,0.512,14,28,0.5,13,18,0.722,9,50,30,3,5,8,12,96.1,127.0,90.6,0.049,0.167,0.417,49.5,52.6,4.4,1.7,0.412,7.1,31.7,0.029,0.593,7.8,76.9,0.151,1996,-28,-6,16,-0.139,-6,-11,-0.029000000000000026,-10,-13,-0.122,10,-1,-10,1,-4,0,5
7,8,1995-11-18,1,MIL,BOS,2,93,99,33,74,0.446,3,12,0.25,24,30,0.8,13,32,21,8,2,16,27,38,68,0.559,2,3,0.667,21,32,0.656,12,37,22,8,4,19,27,106.7,113.6,87.2,0.405,0.162,0.533,46.4,63.6,9.2,3.1,0.466,15.5,34.2,0.324,0.574,18.8,61.3,0.309,1996,-6,-5,6,-0.11300000000000004,1,9,-0.41700000000000004,3,-2,0.14400000000000002,1,-5,-1,0,-2,-3,0
8,9,1995-11-22,1,MIL,TOR,1,96,86,36,85,0.424,9,19,0.474,15,21,0.714,14,41,24,4,6,12,20,33,76,0.434,0,8,0.0,20,27,0.741,15,43,19,6,3,13,23,112.1,100.4,85.6,0.247,0.224,0.509,48.8,66.7,4.7,8.8,0.476,11.3,33.3,0.176,0.434,12.9,64.3,0.263,1996,10,3,9,-0.010000000000000009,9,11,0.474,-5,-6,-0.027000000000000024,-1,-2,5,-2,3,-1,-3
9,10,1995-11-25,2,MIL,CLE,2,87,89,30,62,0.484,6,15,0.4,21,27,0.778,8,36,22,7,6,16,20,33,78,0.423,8,28,0.286,15,20,0.75,16,40,25,7,4,12,18,108.3,110.7,80.4,0.435,0.242,0.589,47.4,73.3,8.7,12.0,0.532,17.8,25.0,0.339,0.474,12.1,63.6,0.192,1996,-2,-3,-16,0.061,-2,-13,0.11400000000000005,6,7,0.028000000000000025,-8,-4,-3,0,2,4,2
