,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1997-10-31,1,VAN,DAL,2,88,90,36,89,0.404,2,13,0.154,14,20,0.7,24,44,25,7,4,16,27,32,74,0.432,1,11,0.091,25,32,0.781,10,37,18,5,8,16,21,101.1,103.4,87.1,0.225,0.146,0.45,54.3,69.4,8.0,6.3,0.416,14.1,47.1,0.157,0.439,15.4,66.7,0.338,1998,-2,4,15,-0.02799999999999997,1,2,0.063,-11,-12,-0.08100000000000007,14,7,7,2,-4,0,6
1,2,1997-11-01,1,VAN,SAC,1,97,96,38,78,0.487,2,4,0.5,19,23,0.826,11,42,22,6,3,13,25,36,84,0.429,1,7,0.143,23,35,0.657,17,44,18,4,3,8,20,110.5,109.3,87.8,0.295,0.051,0.55,48.8,57.9,6.8,3.9,0.5,12.9,28.9,0.244,0.435,7.4,64.6,0.274,1998,1,2,-6,0.057999999999999996,1,-3,0.357,-4,-12,0.16899999999999993,-6,-2,4,2,0,5,5
2,3,1997-11-04,2,VAN,DAL,2,87,92,37,91,0.407,1,12,0.083,12,19,0.632,16,47,21,6,5,10,21,37,88,0.42,5,15,0.333,13,20,0.65,16,54,22,5,9,10,22,97.3,102.8,89.5,0.209,0.132,0.438,46.5,56.8,6.7,6.8,0.412,9.1,29.6,0.132,0.449,9.4,66.0,0.148,1998,-5,0,3,-0.013000000000000012,-4,-3,-0.25,-1,-1,-0.018000000000000016,0,-7,-1,1,-4,0,-1
3,4,1997-11-05,2,VAN,SAS,2,79,87,34,81,0.42,1,5,0.2,10,17,0.588,13,42,22,6,5,16,17,37,83,0.446,1,4,0.25,12,22,0.545,16,50,26,10,14,12,19,89.7,98.8,88.1,0.21,0.062,0.446,45.7,64.7,6.8,6.3,0.426,15.3,27.7,0.123,0.452,11.5,64.4,0.145,1998,-8,-3,-2,-0.026000000000000023,0,1,-0.04999999999999999,-2,-5,0.04299999999999993,-3,-8,-4,-4,-9,4,-2
4,5,1997-11-07,1,VAN,MIN,2,97,108,37,87,0.425,1,5,0.2,22,29,0.759,16,44,26,6,3,18,23,44,83,0.53,0,5,0.0,20,23,0.87,7,41,29,8,6,16,26,97.3,108.4,99.7,0.333,0.057,0.486,51.8,70.3,6.0,3.8,0.431,15.3,32.0,0.253,0.53,14.7,80.0,0.241,1998,-11,-7,4,-0.10500000000000004,1,0,0.2,2,6,-0.11099999999999999,9,3,-3,-2,-3,2,-3
5,6,1997-11-09,1,VAN,DET,1,104,96,38,75,0.507,3,9,0.333,25,34,0.735,12,53,25,6,5,21,22,37,87,0.425,3,16,0.188,19,22,0.864,8,37,21,11,6,15,30,104.0,96.0,90.6,0.453,0.12,0.578,58.9,65.8,6.0,7.0,0.527,18.9,29.3,0.333,0.443,13.4,83.7,0.218,1998,8,1,-12,0.08200000000000002,0,-7,0.14500000000000002,6,12,-0.129,4,16,4,-5,-1,6,-8
6,7,1997-11-11,1,VAN,LAC,1,119,113,44,82,0.537,1,5,0.2,30,47,0.638,17,57,30,2,3,13,22,43,92,0.467,10,22,0.455,17,21,0.81,10,40,24,8,5,8,35,120.8,114.7,98.5,0.573,0.061,0.579,58.8,68.2,2.0,4.3,0.543,11.2,36.2,0.366,0.522,7.3,80.0,0.185,1998,6,1,-10,0.07,-9,-17,-0.255,13,26,-0.17200000000000004,7,17,6,-6,-2,5,-13
7,8,1997-11-12,2,VAN,UTA,2,80,98,33,78,0.423,4,12,0.333,10,17,0.588,12,42,21,8,4,19,20,39,89,0.438,5,10,0.5,15,24,0.625,19,51,30,11,6,11,16,89.1,109.2,89.8,0.218,0.154,0.468,45.2,63.6,8.9,5.1,0.449,18.2,27.3,0.128,0.466,9.9,61.2,0.169,1998,-18,-6,-11,-0.015000000000000013,-1,2,-0.16699999999999998,-5,-7,-0.03700000000000003,-7,-9,-9,-3,-2,8,4
8,9,1997-11-15,1,VAN,MIL,1,109,94,41,77,0.532,4,9,0.444,23,29,0.793,9,33,27,13,2,20,14,37,69,0.536,3,7,0.429,17,21,0.81,6,31,24,14,4,26,24,111.8,96.4,97.5,0.377,0.117,0.607,51.6,65.9,13.3,3.2,0.558,18.2,26.5,0.299,0.558,24.9,80.0,0.246,1998,15,4,8,-0.0040000000000000036,1,2,0.015000000000000013,6,8,-0.017000000000000015,3,2,3,-1,-2,-6,-10
9,10,1997-11-16,2,VAN,LAL,2,95,121,39,91,0.429,2,9,0.222,15,22,0.682,13,42,25,6,2,15,24,43,74,0.581,11,23,0.478,24,36,0.667,8,42,30,9,8,17,19,96.1,122.4,98.8,0.242,0.099,0.472,50.0,64.1,6.1,3.9,0.44,13.0,27.7,0.165,0.655,15.9,78.4,0.324,1998,-26,-4,17,-0.15199999999999997,-9,-14,-0.256,-9,-14,0.015000000000000013,5,0,-5,-3,-6,-2,5
