,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1999-02-06,2,NJN,ATL,2,106,111,38,91,0.418,2,9,0.222,28,38,0.737,17,37,14,7,3,9,38,30,66,0.455,3,7,0.429,48,60,0.8,12,42,15,4,6,15,34,114.4,119.8,92.6,0.418,0.099,0.492,46.8,36.8,7.6,5.1,0.429,7.7,36.2,0.308,0.477,14.0,62.5,0.727,1999,-5,8,25,-0.03700000000000003,-1,2,-0.207,-20,-22,-0.06300000000000006,5,-5,-1,3,-3,-6,4
1,2,1999-02-07,1,NJN,ATL,1,79,69,26,65,0.4,2,8,0.25,25,33,0.758,14,46,16,6,10,22,27,23,78,0.295,2,11,0.182,21,26,0.808,16,36,9,11,5,19,31,92.5,80.8,85.4,0.508,0.123,0.497,56.1,61.5,7.0,14.9,0.415,21.7,41.2,0.385,0.308,17.5,66.7,0.269,1999,10,3,-13,0.10500000000000004,0,-3,0.068,4,7,-0.050000000000000044,-2,10,7,-5,5,3,-4
2,3,1999-02-10,1,NJN,ORL,2,81,89,33,84,0.393,4,14,0.286,11,13,0.846,21,54,14,6,9,25,28,32,78,0.41,4,15,0.267,21,32,0.656,13,33,21,20,11,11,21,93.0,102.2,87.1,0.155,0.167,0.451,62.1,42.4,6.9,14.3,0.417,21.8,51.2,0.131,0.436,10.7,71.7,0.269,1999,-8,1,6,-0.01699999999999996,0,-1,0.01899999999999996,-10,-19,0.18999999999999995,8,21,-7,-14,-2,14,7
3,4,1999-02-11,2,NJN,MIL,2,75,95,30,84,0.357,2,7,0.286,13,17,0.765,16,41,21,9,3,21,18,39,81,0.481,4,13,0.308,13,16,0.813,9,46,25,11,8,17,20,80.3,101.7,93.4,0.202,0.083,0.41,47.1,70.0,9.6,4.4,0.369,18.7,30.2,0.155,0.506,16.2,73.5,0.16,1999,-20,-9,3,-0.124,-2,-6,-0.02200000000000002,0,1,-0.04799999999999993,7,-5,-4,-2,-5,4,-2
4,5,1999-02-15,2,NJN,MIA,2,72,95,30,88,0.341,3,12,0.25,9,14,0.643,18,40,10,11,4,10,29,30,66,0.455,4,13,0.308,31,45,0.689,14,50,14,4,12,15,18,86.3,113.8,83.5,0.159,0.136,0.382,44.4,33.3,13.2,7.5,0.358,9.6,33.3,0.102,0.485,14.9,61.1,0.47,1999,-23,0,22,-0.11399999999999999,-1,-1,-0.057999999999999996,-22,-31,-0.04599999999999993,4,-10,-4,7,-8,-5,11
5,6,1999-02-16,1,NJN,DET,1,97,82,35,74,0.473,5,17,0.294,22,31,0.71,9,35,20,16,3,17,30,29,68,0.426,2,7,0.286,22,30,0.733,11,40,13,5,9,24,27,104.8,88.6,92.6,0.419,0.23,0.553,46.7,57.1,17.3,4.9,0.507,16.2,23.7,0.297,0.441,22.8,70.3,0.324,1999,15,6,6,0.046999999999999986,3,10,0.008000000000000007,0,1,-0.02300000000000002,-2,-5,7,11,-6,-7,3
6,7,1999-02-18,1,NJN,HOU,2,92,93,38,85,0.447,2,7,0.286,14,20,0.7,11,39,21,13,6,16,28,36,94,0.383,2,16,0.125,19,28,0.679,24,57,16,9,4,20,21,95.3,96.4,87.4,0.235,0.082,0.49,40.6,55.3,13.5,7.7,0.459,14.6,25.0,0.165,0.394,15.8,53.8,0.202,1999,-1,2,-9,0.064,0,-9,0.16099999999999998,-5,-8,0.020999999999999908,-13,-18,5,4,2,-4,7
7,8,1999-02-20,2,NJN,CLE,2,84,89,34,84,0.405,3,12,0.25,13,16,0.813,8,35,21,12,6,17,32,28,67,0.418,2,7,0.286,31,39,0.795,6,36,24,9,3,20,23,87.9,93.1,95.6,0.19,0.143,0.461,49.3,61.8,12.6,10.0,0.423,15.7,21.1,0.155,0.433,19.2,81.8,0.463,1999,-5,6,17,-0.012999999999999956,1,5,-0.035999999999999976,-18,-23,0.017999999999999905,2,-1,-3,3,3,-3,9
8,9,1999-02-21,2,NJN,IND,2,79,80,25,70,0.357,2,9,0.222,27,33,0.818,7,41,10,7,9,12,22,28,77,0.364,8,18,0.444,16,21,0.762,12,46,18,7,6,17,25,89.9,91.1,87.9,0.471,0.129,0.467,47.1,40.0,8.0,15.3,0.371,12.4,17.1,0.386,0.416,16.5,73.9,0.208,1999,-1,-3,-7,-0.007000000000000006,-6,-9,-0.222,11,12,0.05599999999999994,-5,-5,-8,0,3,-5,-3
9,10,1999-02-23,2,NJN,NYK,2,74,82,25,86,0.291,2,7,0.286,22,25,0.88,15,44,13,13,5,14,26,31,69,0.449,5,9,0.556,15,24,0.625,9,45,19,7,8,23,21,81.0,89.7,91.4,0.291,0.081,0.381,49.4,52.0,14.2,8.3,0.302,12.6,29.4,0.256,0.486,22.4,76.3,0.217,1999,-8,-6,17,-0.15800000000000003,-3,-2,-0.2700000000000001,7,1,0.255,6,-1,-6,6,-3,-9,5
10,11,1999-02-24,1,NJN,POR,2,85,94,36,81,0.444,1,5,0.2,12,15,0.8,10,40,18,8,10,18,21,36,84,0.429,5,21,0.238,17,25,0.68,13,46,22,7,6,17,14,89.8,99.3,94.6,0.185,0.062,0.485,46.5,50.0,8.5,15.9,0.451,17.0,23.3,0.148,0.458,15.2,69.8,0.202,1999,-9,0,-3,0.015000000000000013,-4,-16,-0.03799999999999998,-5,-10,0.12,-3,-6,-4,1,4,1,7
11,12,1999-02-27,1,NJN,BOS,2,92,101,34,94,0.362,3,12,0.25,21,31,0.677,16,55,21,9,7,19,31,40,89,0.449,3,16,0.188,18,28,0.643,12,53,21,11,4,17,30,86.7,95.2,106.1,0.33,0.128,0.427,50.9,61.8,8.5,9.6,0.378,15.0,28.1,0.223,0.466,14.4,76.5,0.202,1999,-9,-6,5,-0.08700000000000002,0,-4,0.062,3,3,0.03400000000000003,4,2,0,-2,3,2,1
12,13,1999-03-01,2,NJN,BOS,1,99,97,38,83,0.458,4,11,0.364,19,25,0.76,10,49,24,8,4,16,22,39,89,0.438,6,13,0.462,13,19,0.684,11,41,23,8,7,12,21,102.2,100.1,96.9,0.301,0.133,0.527,54.4,63.2,8.3,5.3,0.482,14.5,25.0,0.229,0.472,11.0,78.0,0.146,1999,2,-1,-6,0.020000000000000018,-2,-2,-0.09800000000000003,6,6,0.07599999999999996,-1,8,1,0,-3,4,1
13,14,1999-03-02,1,NJN,MIL,2,86,94,31,89,0.348,6,19,0.316,18,20,0.9,16,47,19,9,9,15,21,36,81,0.444,3,6,0.5,19,26,0.731,14,49,13,7,11,16,20,93.0,101.6,92.5,0.225,0.213,0.44,49.0,61.3,9.7,12.0,0.382,13.3,31.4,0.202,0.463,14.8,68.9,0.235,1999,-8,-5,8,-0.09600000000000003,3,13,-0.184,-1,-6,0.16900000000000004,2,-2,6,2,-2,-1,1
14,15,1999-03-04,1,NJN,CHH,2,82,96,33,85,0.388,4,13,0.308,12,18,0.667,10,42,20,13,8,13,14,36,79,0.456,10,22,0.455,14,21,0.667,12,51,20,6,6,16,16,88.8,104.0,92.3,0.212,0.153,0.441,45.2,60.6,14.1,14.0,0.412,12.3,20.4,0.141,0.519,15.3,72.7,0.177,1999,-14,-3,6,-0.068,-6,-9,-0.14700000000000002,-2,-3,0.0,-2,-9,0,7,2,-3,-2
15,16,1999-03-07,2,NJN,NYK,2,86,97,35,94,0.372,7,13,0.538,9,14,0.643,27,51,21,7,1,13,17,38,74,0.514,7,13,0.538,14,20,0.7,11,40,24,6,7,13,14,104.2,117.5,82.5,0.149,0.138,0.429,56.0,60.0,8.5,1.6,0.41,11.5,48.2,0.096,0.561,13.6,68.6,0.189,1999,-11,-3,20,-0.14200000000000002,0,0,0.0,-5,-6,-0.05699999999999994,16,11,-3,1,-6,0,3
16,17,1999-03-09,2,NJN,CHI,2,87,103,30,69,0.435,2,8,0.25,25,36,0.694,10,40,16,12,7,21,23,37,81,0.457,5,13,0.385,24,36,0.667,12,39,24,13,5,15,25,91.5,108.4,95.0,0.522,0.116,0.513,50.6,53.3,12.6,10.3,0.449,19.8,27.0,0.362,0.488,13.4,71.4,0.296,1999,-16,-7,-12,-0.02200000000000002,-3,-5,-0.135,1,0,0.026999999999999913,-2,1,-8,-1,2,6,-2
17,18,1999-03-10,2,NJN,IND,2,82,93,25,71,0.352,2,8,0.25,30,42,0.714,8,38,16,9,10,12,24,36,85,0.424,3,13,0.231,18,26,0.692,15,48,20,6,6,12,30,91.1,103.3,90.1,0.592,0.113,0.458,44.2,64.0,10.0,13.9,0.366,11.8,19.5,0.423,0.441,11.1,66.7,0.212,1999,-11,-11,-14,-0.07200000000000001,-1,-5,0.01899999999999999,12,16,0.02200000000000002,-7,-10,-4,3,4,0,-6
