,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2002-10-29,1,ORL,PHI,1,95,88,36,81,0.444,6,18,0.333,17,22,0.773,8,39,24,4,8,15,26,31,78,0.397,2,8,0.25,24,32,0.75,11,46,19,10,1,20,22,98.2,91.0,96.7,0.272,0.222,0.524,45.9,66.7,4.1,11.4,0.481,14.2,18.6,0.21,0.41,17.8,73.8,0.308,2003,7,5,3,0.046999999999999986,4,10,0.08300000000000002,-7,-10,0.02300000000000002,-3,-7,5,-6,7,-5,4
1,2,2002-10-30,2,ORL,MIA,1,100,86,39,71,0.549,8,12,0.667,14,21,0.667,9,38,22,5,2,13,19,36,78,0.462,1,5,0.2,13,17,0.765,8,34,20,4,6,10,17,118.6,102.0,84.3,0.296,0.169,0.623,52.8,56.4,5.9,2.7,0.606,13.9,25.7,0.197,0.468,10.5,78.4,0.167,2003,14,3,-7,0.08700000000000002,7,7,0.467,1,4,-0.09799999999999998,1,4,2,1,-4,3,2
2,3,2002-11-01,2,ORL,MIN,2,105,111,31,78,0.397,6,22,0.273,37,41,0.902,9,42,21,5,4,17,29,38,88,0.432,7,10,0.7,28,37,0.757,14,52,26,6,4,14,34,103.6,109.6,101.3,0.526,0.282,0.547,44.7,67.7,4.9,5.1,0.436,15.0,19.1,0.474,0.472,11.8,70.2,0.318,2003,-6,-7,-10,-0.034999999999999976,-1,12,-0.42699999999999994,9,4,0.14500000000000002,-5,-10,-5,-1,0,3,-5
3,4,2002-11-02,2,ORL,MIL,1,100,90,36,82,0.439,11,22,0.5,17,19,0.895,14,42,22,9,4,15,23,34,78,0.436,3,14,0.214,19,29,0.655,16,45,20,11,6,17,19,112.3,101.1,89.0,0.232,0.268,0.553,48.3,61.1,10.1,6.3,0.506,14.2,32.6,0.207,0.455,15.8,63.6,0.244,2003,10,2,4,0.0030000000000000027,8,8,0.28600000000000003,-2,-10,0.24,-2,-3,2,-2,-2,-2,4
4,5,2002-11-05,1,ORL,SAC,1,125,121,48,88,0.545,5,15,0.333,24,28,0.857,11,45,34,7,3,19,25,46,96,0.479,6,16,0.375,23,33,0.697,16,40,26,13,3,16,26,117.5,113.7,106.4,0.318,0.17,0.623,52.9,70.8,6.6,3.8,0.574,15.9,31.4,0.273,0.51,12.6,68.0,0.24,2003,4,2,-8,0.06600000000000006,-1,-1,-0.04199999999999998,1,-5,0.16000000000000003,-5,5,8,-6,0,3,-1
5,6,2002-11-08,1,ORL,SEA,1,105,98,39,82,0.476,4,15,0.267,23,27,0.852,11,37,22,8,5,9,17,40,86,0.465,6,17,0.353,12,14,0.857,14,44,23,3,1,15,22,117.4,109.6,89.4,0.329,0.183,0.559,45.7,56.4,8.9,7.2,0.5,8.7,26.8,0.28,0.5,14.0,65.0,0.14,2003,7,-1,-4,0.010999999999999954,-2,-2,-0.08599999999999997,11,13,-0.0050000000000000044,-3,-7,-1,5,4,-6,-5
6,7,2002-11-10,1,ORL,LAC,2,117,120,40,85,0.471,7,29,0.241,30,33,0.909,13,33,23,4,5,10,29,43,76,0.566,4,8,0.5,30,36,0.833,9,37,22,5,4,15,25,124.9,128.1,93.7,0.388,0.341,0.588,47.1,57.5,4.3,7.4,0.512,9.1,31.7,0.353,0.592,14.0,69.0,0.395,2003,-3,-3,9,-0.09499999999999997,3,21,-0.259,0,-3,0.07600000000000007,4,-4,1,-1,1,-5,4
7,8,2002-11-12,1,ORL,TOR,2,109,115,38,80,0.475,3,14,0.214,30,34,0.882,8,35,22,9,2,9,27,43,86,0.5,3,9,0.333,26,31,0.839,18,49,17,4,5,16,25,115.1,121.5,94.7,0.425,0.175,0.574,41.7,57.9,9.5,2.6,0.494,8.7,20.5,0.375,0.517,13.8,60.0,0.302,2003,-6,-5,-6,-0.025000000000000022,0,5,-0.11900000000000002,4,3,0.04300000000000004,-10,-14,5,5,-3,-7,2
8,9,2002-11-14,2,ORL,LAC,1,101,80,41,90,0.456,8,20,0.4,11,13,0.846,16,52,21,10,6,14,25,29,73,0.397,3,13,0.231,19,26,0.731,5,33,12,8,10,18,17,108.7,86.1,92.9,0.144,0.222,0.528,61.2,51.2,10.8,10.0,0.5,12.8,36.4,0.122,0.418,17.6,87.8,0.26,2003,21,12,17,0.059,5,7,0.169,-8,-13,0.11499999999999999,11,19,9,2,-4,-4,8
9,10,2002-11-16,2,ORL,GSW,2,92,135,30,78,0.385,2,8,0.25,30,42,0.714,11,29,8,6,5,14,31,48,82,0.585,7,12,0.583,32,39,0.821,17,52,31,7,5,15,29,96.1,141.0,95.7,0.538,0.103,0.477,35.8,26.7,6.3,7.1,0.397,12.7,23.9,0.385,0.628,13.1,51.4,0.39,2003,-43,-18,-4,-0.19999999999999996,-5,-4,-0.33299999999999996,-2,3,-0.10699999999999998,-6,-23,-23,-1,0,-1,2
10,11,2002-11-17,2,ORL,SAC,2,99,101,36,96,0.375,9,22,0.409,18,21,0.857,22,53,20,12,4,20,21,41,81,0.506,5,11,0.455,14,18,0.778,5,38,19,16,5,18,19,99.5,101.5,99.5,0.219,0.229,0.47,58.2,55.6,12.1,5.7,0.422,16.0,40.0,0.188,0.537,16.8,86.1,0.173,2003,-2,-5,15,-0.131,4,11,-0.04600000000000004,4,3,0.07899999999999996,17,15,1,-4,-1,2,2
11,12,2002-11-19,2,ORL,SEA,1,101,84,40,78,0.513,11,22,0.5,10,11,0.909,7,37,22,6,5,14,17,32,80,0.4,2,15,0.133,18,19,0.947,11,39,23,9,3,13,16,115.4,96.0,87.5,0.141,0.282,0.61,48.7,55.0,6.9,7.7,0.583,14.5,20.0,0.128,0.413,12.8,73.2,0.225,2003,17,8,-2,0.11299999999999999,9,7,0.367,-8,-8,-0.03799999999999992,-4,-2,-1,-3,2,1,1
12,13,2002-11-20,2,ORL,POR,2,84,98,31,85,0.365,7,20,0.35,15,16,0.938,6,34,22,10,3,10,22,39,74,0.527,5,15,0.333,15,22,0.682,8,49,28,3,5,19,19,89.6,104.5,93.8,0.188,0.235,0.456,41.0,71.0,10.7,5.1,0.406,9.8,12.8,0.176,0.561,18.5,77.8,0.203,2003,-14,-8,11,-0.16200000000000003,2,5,0.01699999999999996,0,-6,0.2559999999999999,-2,-15,-6,7,-2,-9,3
13,14,2002-11-22,2,ORL,IND,2,70,106,26,79,0.329,1,10,0.1,17,30,0.567,17,47,15,6,10,22,21,42,96,0.438,5,12,0.417,17,26,0.654,20,61,26,14,9,11,23,73.4,111.2,95.3,0.38,0.127,0.38,43.5,57.7,6.3,11.9,0.335,19.3,29.3,0.215,0.464,9.3,60.0,0.177,2003,-36,-16,-17,-0.10899999999999999,-4,-2,-0.31699999999999995,0,4,-0.08700000000000008,-3,-14,-11,-8,1,11,-2
14,15,2002-11-24,1,ORL,MIA,1,77,75,31,74,0.419,2,6,0.333,13,18,0.722,12,50,15,5,6,18,22,29,84,0.345,2,15,0.133,15,19,0.789,14,39,14,7,2,14,21,88.5,86.2,87.0,0.243,0.081,0.47,56.2,48.4,5.7,8.7,0.432,18.0,32.4,0.176,0.357,13.2,73.1,0.179,2003,2,2,-10,0.07400000000000001,0,-9,0.2,-2,-1,-0.06700000000000006,-2,11,1,-2,4,4,1
15,16,2002-11-27,1,ORL,LAL,1,112,102,37,81,0.457,10,19,0.526,28,35,0.8,13,43,18,5,2,10,20,40,82,0.488,5,13,0.385,17,26,0.654,11,41,23,5,7,14,26,121.0,110.2,92.6,0.432,0.235,0.581,51.2,48.6,5.4,2.9,0.519,9.4,30.2,0.346,0.518,13.0,73.2,0.207,2003,10,-3,-1,-0.030999999999999972,5,6,0.14100000000000001,11,9,0.14600000000000002,2,2,-5,0,-5,-4,-6
16,17,2002-11-30,1,ORL,ATL,1,117,92,46,89,0.517,6,15,0.4,19,24,0.792,15,48,24,11,5,12,16,38,95,0.4,4,20,0.2,12,15,0.8,18,46,20,9,4,16,18,123.1,96.8,95.0,0.27,0.169,0.588,51.1,52.2,11.6,6.7,0.551,10.8,34.9,0.213,0.421,13.6,64.7,0.126,2003,25,8,-6,0.11699999999999999,2,-5,0.2,7,9,-0.008000000000000007,-3,2,4,2,1,-4,-2
