,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2003-10-29,1,SAC,CLE,1,106,92,44,87,0.506,2,9,0.222,16,20,0.8,13,41,27,7,8,10,11,40,86,0.465,6,11,0.545,6,9,0.667,10,39,24,6,9,14,25,116.9,101.4,90.7,0.23,0.103,0.553,51.3,61.4,7.7,10.7,0.517,9.5,31.0,0.184,0.5,13.5,73.7,0.07,2004,14,4,1,0.04099999999999998,-4,-2,-0.32300000000000006,10,11,0.133,3,2,3,1,-1,-4,-14
1,2,2003-10-31,1,SAC,PHI,1,100,89,38,74,0.514,6,11,0.545,18,23,0.783,8,33,26,8,7,15,23,33,79,0.418,0,7,0.0,23,30,0.767,15,40,16,9,5,16,21,112.7,100.3,88.7,0.311,0.149,0.594,45.2,68.4,9.0,9.7,0.554,15.1,24.2,0.243,0.418,14.8,62.5,0.291,2004,11,5,-5,0.09600000000000003,6,4,0.545,-5,-7,0.016000000000000014,-7,-7,10,-1,2,-1,2
2,3,2003-11-01,2,SAC,DEN,2,88,109,33,91,0.363,4,15,0.267,18,26,0.692,16,41,24,13,4,16,29,42,86,0.488,2,5,0.4,23,28,0.821,12,49,25,9,14,16,25,89.5,110.9,98.3,0.286,0.165,0.43,45.6,72.7,13.2,4.9,0.385,13.5,30.2,0.198,0.5,14.0,67.6,0.267,2004,-21,-9,5,-0.125,2,10,-0.133,-5,-2,-0.129,4,-8,-1,4,-10,0,4
3,4,2003-11-05,2,SAC,MIN,1,125,121,46,92,0.5,9,14,0.643,24,28,0.857,17,41,29,9,3,14,19,52,101,0.515,4,9,0.444,13,18,0.722,18,46,32,10,8,11,27,128.0,123.9,88.5,0.304,0.152,0.599,47.1,63.0,9.2,3.3,0.549,11.8,37.8,0.261,0.535,9.2,57.1,0.129,2004,4,-6,-9,-0.015000000000000013,5,5,0.199,11,10,0.135,-1,-5,-3,-1,-5,3,-8
4,5,2003-11-07,2,SAC,NYK,2,111,114,45,87,0.517,6,14,0.429,15,21,0.714,6,29,36,10,6,7,26,39,80,0.488,8,18,0.444,28,32,0.875,15,47,25,4,5,13,23,120.8,124.1,91.9,0.241,0.161,0.577,38.2,80.0,10.9,9.7,0.552,6.8,15.8,0.172,0.538,12.1,60.5,0.35,2004,-3,6,7,0.029000000000000026,-2,-4,-0.015000000000000013,-13,-11,-0.16100000000000003,-9,-18,11,6,1,-6,3
5,6,2003-11-09,2,SAC,BOS,2,82,91,32,90,0.356,6,19,0.316,12,19,0.632,12,42,26,7,3,13,17,36,83,0.434,4,15,0.267,15,20,0.75,15,52,17,9,6,17,25,87.9,97.5,93.3,0.211,0.211,0.417,44.7,81.3,7.5,4.4,0.389,11.7,24.5,0.133,0.458,15.6,66.7,0.181,2004,-9,-4,7,-0.07800000000000001,2,4,0.04899999999999999,-3,-1,-0.118,-3,-10,9,-2,-3,-4,-8
6,7,2003-11-11,1,SAC,DET,1,97,91,38,79,0.481,4,13,0.308,17,25,0.68,8,46,29,6,5,15,23,31,78,0.397,2,7,0.286,27,35,0.771,11,47,9,6,5,16,26,100.7,94.4,96.4,0.316,0.165,0.539,49.5,76.3,6.2,7.0,0.506,14.3,18.2,0.215,0.41,14.6,77.6,0.346,2004,6,7,1,0.08399999999999996,2,6,0.02200000000000002,-10,-10,-0.09099999999999997,-3,-1,20,0,0,-1,-3
7,8,2003-11-13,2,SAC,POR,2,110,112,44,91,0.484,11,24,0.458,11,12,0.917,10,38,31,10,4,18,21,47,90,0.522,2,7,0.286,16,18,0.889,12,44,28,12,5,17,17,108.8,110.8,91.6,0.132,0.264,0.571,46.3,70.5,9.9,4.8,0.544,15.8,23.8,0.121,0.533,14.8,70.0,0.178,2004,-2,-3,1,-0.038000000000000034,9,17,0.17200000000000004,-5,-6,0.028000000000000025,-2,-6,3,-2,-1,1,4
8,9,2003-11-14,1,SAC,TOR,1,94,64,38,76,0.5,5,13,0.385,13,14,0.929,10,48,29,9,10,15,16,27,80,0.338,3,12,0.25,7,9,0.778,10,34,10,8,6,14,18,110.3,75.1,85.2,0.184,0.171,0.572,58.5,76.3,10.6,14.7,0.533,15.4,29.4,0.171,0.356,14.3,79.2,0.088,2004,30,11,-4,0.16199999999999998,2,1,0.135,6,5,0.15100000000000002,0,14,19,1,4,1,-2
9,10,2003-11-16,1,SAC,GSW,1,106,104,36,85,0.424,10,16,0.625,24,28,0.857,21,47,24,6,3,13,19,43,82,0.524,7,14,0.5,11,19,0.579,10,35,21,10,4,12,24,121.0,118.7,87.6,0.329,0.188,0.545,57.3,66.7,6.8,4.4,0.482,11.8,45.7,0.282,0.567,11.7,72.2,0.134,2004,2,-7,3,-0.10000000000000003,3,2,0.125,13,9,0.278,11,12,3,-4,-1,1,-5
