,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2003-10-29,1,TOR,NJN,1,90,87,34,80,0.425,2,12,0.167,20,25,0.8,12,45,17,2,4,12,23,33,81,0.407,4,11,0.364,17,23,0.739,12,40,26,6,3,9,25,104.2,100.7,86.4,0.313,0.15,0.495,52.9,50.0,2.3,5.7,0.438,11.7,30.0,0.25,0.432,9.0,73.3,0.21,2004,3,1,-1,0.018000000000000016,-2,1,-0.19699999999999998,3,2,0.061000000000000054,0,5,-9,-4,1,3,-2
1,2,2003-10-31,1,TOR,WAS,1,82,79,32,83,0.386,3,9,0.333,15,18,0.833,18,49,24,9,5,14,13,31,70,0.443,1,7,0.143,16,21,0.762,7,37,17,10,7,12,18,98.5,94.9,83.2,0.217,0.108,0.451,57.0,75.0,10.8,7.9,0.404,13.3,37.5,0.181,0.45,13.2,81.6,0.229,2004,3,1,13,-0.056999999999999995,2,2,0.19000000000000003,-1,-3,0.07099999999999995,11,12,7,-1,-2,2,-5
2,3,2003-11-01,2,TOR,MIN,2,56,73,19,69,0.275,3,8,0.375,15,17,0.882,17,45,10,4,2,16,15,31,68,0.456,2,5,0.4,9,11,0.818,7,35,20,5,10,11,22,76.2,99.3,73.5,0.246,0.116,0.366,56.3,52.6,5.4,3.2,0.297,17.3,37.8,0.217,0.471,13.1,80.0,0.132,2004,-17,-12,1,-0.181,1,3,-0.025000000000000022,6,6,0.06400000000000006,10,10,-10,-1,-8,5,-7
3,4,2003-11-06,1,TOR,DAL,1,77,71,29,73,0.397,4,9,0.444,15,20,0.75,12,44,22,14,6,16,19,29,82,0.354,4,12,0.333,9,11,0.818,17,44,20,6,8,18,19,92.1,84.9,83.6,0.274,0.123,0.471,50.0,75.9,16.7,8.6,0.425,16.4,30.8,0.205,0.378,17.2,65.3,0.11,2004,6,0,-9,0.04300000000000004,0,-3,0.11099999999999999,6,9,-0.06799999999999995,-5,0,2,8,-2,-2,0
4,5,2003-11-07,2,TOR,WAS,2,60,86,25,68,0.368,1,8,0.125,9,15,0.6,8,38,14,8,6,21,21,31,78,0.397,5,14,0.357,19,26,0.731,15,48,18,12,1,15,18,69.5,99.6,86.3,0.221,0.118,0.402,44.2,56.0,9.3,9.4,0.375,22.0,19.5,0.132,0.429,14.4,66.7,0.244,2004,-26,-6,-10,-0.029000000000000026,-4,-6,-0.23199999999999998,-10,-11,-0.131,-7,-10,-4,-4,5,6,3
5,6,2003-11-09,1,TOR,DEN,1,89,76,37,76,0.487,5,13,0.385,10,13,0.769,11,41,25,5,3,13,20,26,75,0.347,2,7,0.286,22,26,0.846,14,39,11,6,6,11,15,110.4,94.3,80.6,0.171,0.171,0.545,51.3,67.6,6.2,4.4,0.52,13.7,30.6,0.132,0.36,11.3,68.2,0.293,2004,13,11,1,0.14,3,6,0.09900000000000003,-12,-13,-0.07699999999999996,-3,2,14,-1,-3,2,5
6,7,2003-11-11,2,TOR,POR,2,80,83,29,70,0.414,5,14,0.357,17,26,0.654,9,29,24,8,6,7,12,36,79,0.456,3,7,0.429,8,12,0.667,15,45,21,3,2,11,19,105.0,109.0,76.2,0.371,0.2,0.491,39.2,82.8,10.5,8.3,0.45,7.9,23.1,0.243,0.475,11.5,57.1,0.101,2004,-3,-7,-9,-0.04200000000000004,2,7,-0.07200000000000001,9,14,-0.013000000000000012,-6,-16,3,5,4,-4,-7
7,8,2003-11-12,2,TOR,LAL,2,79,94,24,69,0.348,6,18,0.333,25,28,0.893,5,44,15,7,2,18,31,32,77,0.416,2,7,0.286,28,45,0.622,10,47,22,10,3,11,23,83.8,99.7,94.3,0.406,0.261,0.486,48.4,62.5,7.4,2.9,0.391,18.1,11.9,0.362,0.429,10.2,79.6,0.364,2004,-15,-8,-8,-0.068,4,11,0.04700000000000004,-3,-17,0.271,-5,-3,-7,-3,-1,7,8
8,9,2003-11-14,2,TOR,SAC,2,64,94,27,80,0.338,3,12,0.25,7,9,0.778,10,34,10,8,6,14,18,38,76,0.5,5,13,0.385,13,14,0.929,10,48,29,9,10,15,16,75.1,110.3,85.2,0.113,0.15,0.381,41.5,37.0,9.4,9.5,0.356,14.3,20.8,0.088,0.533,15.4,70.6,0.171,2004,-30,-11,4,-0.16199999999999998,-2,-1,-0.135,-6,-5,-0.15100000000000002,0,-14,-19,-1,-4,-1,2
9,10,2003-11-16,1,TOR,HOU,1,101,97,33,79,0.418,2,11,0.182,33,38,0.868,11,42,22,10,1,18,28,31,84,0.369,4,16,0.25,31,36,0.861,14,44,11,10,3,19,32,101.6,97.6,82.2,0.481,0.139,0.528,48.8,66.7,10.1,1.5,0.43,15.8,26.8,0.418,0.393,16.0,68.9,0.369,2004,4,2,-5,0.04899999999999999,-2,-5,-0.068,2,2,0.007000000000000006,-3,-2,11,0,-2,-1,-4
10,11,2003-11-19,1,TOR,PHI,2,75,81,28,69,0.406,4,18,0.222,15,19,0.789,7,35,19,3,8,10,20,29,69,0.42,3,6,0.5,20,25,0.8,10,42,18,5,4,10,18,95.9,103.5,78.2,0.275,0.261,0.485,45.5,67.9,3.8,12.7,0.435,11.4,17.9,0.217,0.442,11.1,73.7,0.29,2004,-6,-1,0,-0.013999999999999957,1,12,-0.278,-5,-6,-0.01100000000000001,-3,-7,1,-2,4,0,2
11,12,2003-11-22,2,TOR,NJN,1,81,80,31,72,0.431,6,13,0.462,13,18,0.722,13,33,25,5,4,13,21,33,68,0.485,1,5,0.2,13,17,0.765,10,32,22,6,2,14,22,106.4,105.1,76.1,0.25,0.181,0.507,50.8,80.6,6.6,6.3,0.472,14.0,37.1,0.181,0.493,15.6,66.7,0.191,2004,1,-2,4,-0.05399999999999999,5,8,0.262,0,1,-0.04300000000000004,3,1,3,-1,2,-1,-1
12,13,2003-11-23,1,TOR,MIL,2,62,82,25,73,0.342,2,11,0.182,10,14,0.714,15,39,13,6,3,18,21,31,73,0.425,2,14,0.143,18,24,0.75,12,45,15,11,2,12,14,77.4,102.4,80.1,0.192,0.151,0.392,46.4,52.0,7.5,5.1,0.356,18.5,31.3,0.137,0.438,12.6,66.7,0.247,2004,-20,-6,0,-0.08299999999999996,0,-3,0.03900000000000001,-8,-10,-0.03600000000000003,3,-6,-2,-5,1,6,7
13,14,2003-11-26,2,TOR,ATL,1,99,97,39,79,0.494,5,11,0.455,16,21,0.762,9,37,18,10,7,16,19,42,88,0.477,1,8,0.125,12,18,0.667,15,46,23,9,5,12,21,107.7,105.5,83.2,0.266,0.139,0.561,44.6,46.2,10.9,8.8,0.525,15.3,22.5,0.203,0.483,11.1,65.1,0.136,2004,2,-3,-9,0.017000000000000015,4,3,0.33,4,3,0.09499999999999997,-6,-9,-5,1,2,4,-2
14,15,2003-11-28,2,TOR,ORL,1,87,86,31,75,0.413,3,7,0.429,22,25,0.88,10,38,20,7,2,13,22,31,73,0.425,2,5,0.4,22,26,0.846,9,39,10,5,6,17,25,99.0,97.9,87.8,0.333,0.093,0.506,49.4,64.5,8.0,2.9,0.433,13.1,25.0,0.293,0.438,16.8,75.7,0.301,2004,1,0,2,-0.01200000000000001,1,2,0.02899999999999997,0,-1,0.03400000000000003,1,-1,10,2,-4,-4,-3
15,16,2003-11-29,2,TOR,MIA,2,66,78,28,71,0.394,5,17,0.294,5,8,0.625,8,37,11,4,4,19,19,31,74,0.419,2,9,0.222,14,18,0.778,10,38,14,9,5,12,18,80.3,94.9,82.2,0.113,0.239,0.443,49.3,39.3,4.9,6.2,0.43,20.3,22.2,0.07,0.432,12.8,74.4,0.189,2004,-12,-3,-3,-0.024999999999999967,3,8,0.07199999999999998,-9,-10,-0.15300000000000002,-2,-1,-3,-5,-1,7,1
16,17,2003-12-02,2,TOR,PHI,1,95,88,34,72,0.472,7,15,0.467,20,29,0.69,6,43,23,6,9,15,28,30,87,0.345,3,17,0.176,25,33,0.758,18,49,19,6,3,13,25,102.6,95.0,92.6,0.403,0.208,0.56,46.7,67.6,6.5,12.9,0.521,15.0,16.2,0.278,0.362,11.4,67.3,0.287,2004,7,4,-15,0.127,4,-2,0.29100000000000004,-5,-4,-0.06800000000000006,-12,-6,4,0,6,2,3
17,18,2003-12-03,1,TOR,BOS,1,105,95,36,85,0.424,17,24,0.708,16,23,0.696,14,39,25,8,3,12,15,40,79,0.506,3,11,0.273,12,15,0.8,8,44,23,4,3,16,15,115.1,104.2,91.2,0.271,0.282,0.552,47.0,69.4,8.8,4.4,0.524,11.2,28.0,0.188,0.525,15.7,75.8,0.152,2004,10,-4,6,-0.08200000000000002,14,13,0.43499999999999994,4,8,-0.10400000000000009,6,-5,2,4,0,-4,0
18,19,2003-12-05,1,TOR,ATL,1,92,87,35,73,0.479,2,15,0.133,20,27,0.741,6,35,24,11,9,13,21,33,72,0.458,3,11,0.273,18,27,0.667,9,41,17,8,4,18,24,101.5,96.0,90.6,0.37,0.205,0.542,46.1,68.6,12.1,14.8,0.493,13.3,15.8,0.274,0.479,17.7,76.3,0.25,2004,5,2,1,0.020999999999999963,-1,4,-0.14,2,0,0.07399999999999995,-3,-6,7,3,5,-5,-3
